hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,46,2.000000,P1,6,46,0.000000
LH,58,2.000000,P1,1,58,0.000000
LH,45,2.750000,P1,6,45,2.000000
LH,57,2.750000,P1,1,57,2.000000
LH,46,2.875000,P1,6,46,2.333333
LH,58,2.875000,P1,1,58,2.333333
LH,49,3.000000,P1,6,49,2.666667
RH,61,3.000000,P1,1,61,2.666667
LH,53,3.125000,P1,6,53,3.000000
RH,65,3.125000,P1,1,65,3.000000
LH,45,3.875000,P1,6,45,5.000000
LH,57,3.875000,P1,1,57,5.000000
LH,46,4.000000,P1,6,46,5.333333
LH,58,4.000000,P1,1,58,5.333333
LH,49,4.125000,P1,6,49,5.666667
RH,61,4.125000,P1,1,61,5.666667
LH,53,4.333333,P1,6,53,6.000000
RH,65,4.333333,P1,1,65,6.000000
LH,34,6.500000,P1,6,34,12.000000
LH,46,6.500000,P1,6,46,12.000000
LH,58,6.500000,P1,1,58,12.000000
RH,70,7.625000,P1,6,70,15.000000
RH,82,7.625000,P1,1,82,15.000000
RH,90,7.625000,P1,1,90,15.000000
RH,94,7.625000,P1,1,94,15.000000
LH,58,7.666667,P1,6,58,15.000000
RH,60,7.666667,P1,6,60,15.000000
RH,63,7.666667,P1,6,63,15.000000
RH,66,7.666667,P1,6,66,15.000000
LH,58,9.875000,P1,6,58,21.000000
RH,60,9.875000,P1,6,60,21.000000
RH,63,9.875000,P1,6,63,21.000000
RH,66,9.875000,P1,6,66,21.000000
RH,70,9.875000,P1,6,70,21.000000
RH,75,9.875000,P1,1,75,21.000000
RH,84,9.875000,P1,1,84,21.000000
RH,87,9.875000,P1,1,87,21.000000
RH,66,10.333333,P1,6,66,22.500000
RH,70,10.333333,P1,6,70,22.500000
RH,77,10.333333,P1,1,77,22.500000
RH,84,10.333333,P1,1,84,22.500000
LH,58,10.375000,P1,6,58,22.500000
RH,63,10.375000,P1,6,63,22.500000
RH,78,10.500000,P1,1,78,23.000000
RH,84,10.500000,P1,1,84,23.000000
RH,90,10.500000,P1,1,90,23.000000
LH,58,11.000000,P1,6,58,24.000000
RH,61,11.000000,P1,6,61,24.000000
RH,65,11.000000,P1,6,65,24.000000
RH,70,11.000000,P1,6,70,24.000000
RH,77,11.000000,P1,1,77,24.000000
RH,85,11.000000,P1,1,85,24.000000
RH,89,11.000000,P1,1,89,24.000000
LH,45,11.875000,P1,6,45,26.000000
LH,57,11.875000,P1,1,57,26.000000
LH,46,12.000000,P1,6,46,26.333333
LH,58,12.000000,P1,1,58,26.333333
LH,49,12.125000,P1,6,49,26.666667
RH,61,12.125000,P1,1,61,26.666667
LH,53,12.250000,P1,6,53,27.000000
RH,65,12.250000,P1,1,65,27.000000
LH,45,13.000000,P1,6,45,29.000000
LH,57,13.000000,P1,1,57,29.000000
LH,46,13.125000,P1,6,46,29.333333
LH,58,13.125000,P1,1,58,29.333333
LH,49,13.333333,P1,6,49,29.666667
RH,61,13.333333,P1,1,61,29.666667
LH,53,13.375000,P1,6,53,30.000000
RH,65,13.375000,P1,1,65,30.000000
LH,32,16.125000,P1,6,32,36.000000
LH,44,16.125000,P1,6,44,36.000000
LH,56,16.125000,P1,1,56,36.000000
RH,73,17.625000,P1,6,73,39.000000
RH,80,17.625000,P1,1,80,39.000000
RH,89,17.625000,P1,1,89,39.000000
RH,92,17.625000,P1,1,92,39.000000
LH,56,19.875000,P1,6,56,45.000000
RH,63,19.875000,P1,6,63,45.000000
RH,66,19.875000,P1,6,66,45.000000
RH,68,19.875000,P1,6,68,45.000000
RH,75,19.875000,P1,1,75,45.000000
RH,84,19.875000,P1,1,84,45.000000
RH,87,19.875000,P1,1,87,45.000000
RH,66,20.333333,P1,6,66,46.500000
RH,68,20.333333,P1,6,68,46.500000
RH,77,20.333333,P1,1,77,46.500000
RH,84,20.333333,P1,1,84,46.500000
LH,56,20.375000,P1,6,56,46.500000
RH,63,20.375000,P1,6,63,46.500000
RH,78,20.500000,P1,1,78,47.000000
RH,84,20.500000,P1,1,84,47.000000
RH,90,20.500000,P1,1,90,47.000000
RH,65,21.000000,P1,6,65,48.000000
RH,68,21.000000,P1,6,68,48.000000
RH,77,21.000000,P1,1,77,48.000000
RH,85,21.000000,P1,1,85,48.000000
RH,89,21.000000,P1,1,89,48.000000
RH,61,21.125000,P1,6,61,48.000000
