hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,46,2.000000,P1,6,46,0.000000
LH,45,2.875000,P1,6,45,2.000000
LH,57,2.875000,P1,1,57,2.000000
LH,46,3.000000,P1,6,46,2.333333
LH,58,3.000000,P1,1,58,2.333333
RH,61,3.125000,P1,1,61,2.666667
LH,53,3.250000,P1,6,53,3.000000
RH,65,3.250000,P1,1,65,3.000000
LH,45,4.000000,P1,6,45,5.000000
LH,57,4.000000,P1,1,57,5.000000
LH,46,4.125000,P1,6,46,5.333333
LH,58,4.125000,P1,1,58,5.333333
LH,49,4.250000,P1,6,49,5.666667
RH,61,4.250000,P1,1,61,5.666667
LH,53,4.333333,P1,6,53,6.000000
RH,65,4.333333,P1,1,65,6.000000
LH,34,6.750000,P1,6,34,12.000000
LH,46,6.750000,P1,6,46,12.000000
LH,58,6.750000,P1,1,58,12.000000
LH,58,8.125000,P1,6,58,15.000000
RH,60,8.125000,P1,6,60,15.000000
RH,63,8.125000,P1,6,63,15.000000
RH,66,8.125000,P1,6,66,15.000000
RH,70,8.125000,P1,6,70,15.000000
RH,82,8.125000,P1,1,82,15.000000
RH,90,8.125000,P1,1,90,15.000000
RH,94,8.125000,P1,1,94,15.000000
LH,58,10.500000,P1,6,58,21.000000
RH,60,10.500000,P1,6,60,21.000000
RH,63,10.500000,P1,6,63,21.000000
RH,66,10.500000,P1,6,66,21.000000
RH,70,10.500000,P1,6,70,21.000000
RH,75,10.500000,P1,1,75,21.000000
RH,84,10.500000,P1,1,84,21.000000
RH,87,10.500000,P1,1,87,21.000000
RH,63,10.875000,P1,6,63,22.500000
RH,66,10.875000,P1,6,66,22.500000
RH,70,10.875000,P1,6,70,22.500000
RH,77,10.875000,P1,1,77,22.500000
RH,89,10.875000,P1,1,89,22.500000
RH,60,11.000000,P1,6,60,22.500000
LH,58,11.125000,P1,6,58,23.000000
RH,63,11.125000,P1,6,63,23.000000
RH,66,11.125000,P1,6,66,23.000000
RH,70,11.125000,P1,6,70,23.000000
RH,78,11.125000,P1,1,78,23.000000
RH,90,11.125000,P1,1,90,23.000000
LH,58,11.666667,P1,6,58,24.000000
RH,61,11.666667,P1,6,61,24.000000
RH,65,11.666667,P1,6,65,24.000000
RH,70,11.666667,P1,6,70,24.000000
RH,77,11.666667,P1,1,77,24.000000
RH,85,11.666667,P1,1,85,24.000000
RH,89,11.666667,P1,1,89,24.000000
LH,45,12.500000,P1,6,45,26.000000
LH,57,12.500000,P1,1,57,26.000000
LH,46,12.666667,P1,6,46,26.333333
LH,58,12.666667,P1,1,58,26.333333
LH,49,12.875000,P1,6,49,26.666667
LH,53,12.875000,P1,6,53,27.000000
RH,61,12.875000,P1,1,61,26.666667
