hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,37,10.500000,P1,5,37,0.000000
LH,28,15.125000,P1,5,28,4.000000
LH,40,15.125000,P1,5,40,4.000000
LH,49,18.000000,P1,1,49,6.000000
LH,56,18.000000,P1,1,56,6.000000
RH,61,18.000000,P1,1,61,6.000000
RH,60,28.000000,P1,1,60,12.000000
LH,48,28.125000,P1,1,48,12.000000
LH,34,34.125000,P1,5,34,16.000000
LH,46,34.125000,P1,5,46,16.000000
LH,53,34.375000,P1,1,53,16.500000
LH,49,34.750000,P1,1,49,17.000000
LH,58,34.750000,P1,1,58,17.000000
RH,61,34.750000,P1,1,61,17.000000
LH,41,35.000000,P1,5,41,17.500000
LH,34,35.250000,P1,5,34,18.000000
LH,46,35.250000,P1,5,46,18.000000
LH,53,35.500000,P1,1,53,18.500000
LH,49,35.750000,P1,1,49,19.000000
LH,58,35.750000,P1,1,58,19.000000
RH,61,35.750000,P1,1,61,19.000000
LH,41,36.000000,P1,5,41,19.500000
LH,34,36.125000,P1,5,34,20.000000
LH,46,36.125000,P1,5,46,20.000000
LH,53,36.375000,P1,1,53,20.500000
LH,49,36.666667,P1,1,49,21.000000
RH,61,36.666667,P1,1,61,21.000000
LH,58,36.750000,P1,1,58,21.000000
LH,41,36.875000,P1,5,41,21.500000
LH,34,37.125000,P1,5,34,22.000000
LH,46,37.125000,P1,5,46,22.000000
LH,53,37.333333,P1,1,53,22.500000
LH,49,37.625000,P1,1,49,23.000000
LH,58,37.625000,P1,1,58,23.000000
RH,61,37.625000,P1,1,61,23.000000
LH,41,37.750000,P1,5,41,23.500000
LH,34,38.000000,P1,5,34,24.000000
LH,46,38.000000,P1,5,46,24.000000
LH,53,38.250000,P1,1,53,24.500000
LH,49,38.500000,P1,1,49,25.000000
LH,58,38.500000,P1,1,58,25.000000
RH,61,38.500000,P1,1,61,25.000000
LH,41,38.750000,P1,5,41,25.500000
LH,34,39.000000,P1,5,34,26.000000
LH,46,39.000000,P1,5,46,26.000000
LH,53,39.125000,P1,1,53,26.500000
LH,49,39.375000,P1,1,49,27.000000
RH,61,39.375000,P1,1,61,27.000000
LH,53,41.000000,P1,6,53,31.000000
LH,51,105.375000,P1,5,51,152.000000
LH,56,143.375000,P1,5,56,200.000000
RH,65,155.750000,P1,1,65,216.000000
LH,56,177.625000,P1,5,56,243.000000
LH,56,180.125000,P1,5,56,247.000000
LH,56,182.625000,P1,5,56,251.000000
LH,56,184.875000,P1,5,56,255.000000
LH,56,185.250000,P1,5,56,255.000000
RH,61,211.250000,P1,1,61,298.000000
RH,66,319.000000,P1,1,66,474.000000
RH,72,334.333333,P1,1,72,500.000000
RH,62,336.000000,P1,1,62,504.000000
RH,74,336.000000,P1,1,74,504.000000
LH,55,347.250000,P1,5,55,522.500000
LH,48,349.250000,P1,5,48,526.500000
RH,62,352.500000,P1,1,62,532.000000
RH,74,352.500000,P1,1,74,532.000000
RH,76,354.250000,P1,1,76,536.000000
RH,71,378.125000,P1,1,71,578.500000
RH,67,473.625000,P1,1,67,728.000000
RH,74,473.666667,P1,1,74,728.000000
RH,70,477.000000,P1,2,70,732.000000
LH,53,495.125000,P1,5,53,755.000000
RH,65,497.000000,P1,1,65,758.000000
LH,53,497.625000,P1,5,53,759.000000
LH,53,500.000000,P1,5,53,763.000000
LH,53,502.125000,P1,5,53,767.000000
LH,53,502.375000,P1,5,53,767.000000
LH,47,591.625000,P1,5,47,932.500000
