hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,34,4.125000,P1,5,34,0.000000
LH,46,4.125000,P1,1,46,0.000000
LH,51,6.000000,P1,1,51,3.000000
RH,63,6.000000,P1,1,63,3.000000
RH,63,6.625000,P1,1,63,4.000000
RH,65,7.750000,P1,1,65,6.000000
RH,66,9.000000,P1,1,66,8.500000
LH,54,9.333333,P1,1,54,9.000000
RH,66,9.333333,P1,1,66,9.000000
RH,66,9.875000,P1,1,66,10.000000
RH,68,11.000000,P1,1,68,12.000000
RH,69,12.333333,P1,1,69,14.500000
LH,57,12.625000,P1,1,57,15.000000
RH,69,12.625000,P1,1,69,15.000000
LH,58,14.250000,P1,1,58,18.000000
RH,70,14.250000,P1,1,70,18.000000
LH,58,14.875000,P1,1,58,19.000000
RH,70,14.875000,P1,1,70,19.000000
LH,58,15.125000,P1,1,58,19.500000
RH,70,15.125000,P1,1,70,19.500000
LH,56,15.375000,P1,1,56,20.000000
RH,70,15.375000,P1,1,70,20.000000
LH,58,15.875000,P1,1,58,21.000000
RH,63,15.875000,P1,1,63,21.000000
RH,66,15.875000,P1,1,66,21.000000
RH,70,15.875000,P1,1,70,21.000000
RH,63,16.625000,P1,1,63,22.000000
RH,70,16.625000,P1,1,70,22.000000
RH,63,18.000000,P1,1,63,24.000000
RH,66,19.750000,P1,1,66,26.000000
RH,61,20.375000,P1,1,61,27.000000
LH,54,20.500000,P1,1,54,27.000000
LH,58,21.000000,P1,5,58,28.000000
RH,66,21.000000,P1,1,66,28.000000
RH,73,21.000000,P1,1,73,28.000000
RH,70,21.375000,P1,1,70,29.000000
RH,78,21.375000,P1,1,78,29.000000
RH,61,21.500000,P1,5,61,29.000000
RH,73,21.875000,P1,1,73,30.000000
RH,82,21.875000,P1,1,82,30.000000
RH,66,22.000000,P1,5,66,30.000000
RH,70,22.500000,P1,5,70,31.000000
RH,78,22.500000,P1,1,78,31.000000
RH,85,23.500000,P1,1,85,33.000000
RH,71,24.125000,P1,5,71,34.000000
RH,85,24.125000,P1,1,85,34.000000
RH,61,25.250000,P1,5,61,36.000000
RH,73,25.250000,P1,1,73,36.000000
LH,49,26.875000,P1,5,49,39.000000
LH,53,26.875000,P1,5,53,39.000000
LH,59,26.875000,P1,5,59,39.000000
RH,61,26.875000,P1,1,61,39.000000
RH,73,26.875000,P1,1,73,39.000000
RH,73,28.750000,P1,1,73,42.000000
RH,61,28.875000,P1,1,61,42.000000
LH,42,35.875000,P1,5,42,52.000000
LH,54,35.875000,P1,5,54,52.000000
LH,37,38.000000,P1,5,37,56.000000
LH,49,38.000000,P1,5,49,56.000000
LH,34,39.666667,P1,5,34,59.000000
LH,46,39.666667,P1,5,46,59.000000
LH,51,41.750000,P1,1,51,63.000000
RH,63,41.750000,P1,1,63,63.000000
RH,63,42.375000,P1,1,63,64.000000
RH,65,43.500000,P1,1,65,66.000000
RH,66,44.750000,P1,1,66,68.500000
LH,54,45.125000,P1,1,54,69.000000
RH,66,45.125000,P1,1,66,69.000000
RH,66,45.625000,P1,1,66,70.000000
RH,68,46.750000,P1,1,68,72.000000
RH,69,48.000000,P1,1,69,74.500000
LH,57,48.333333,P1,1,57,75.000000
RH,69,48.333333,P1,1,69,75.000000
RH,69,49.000000,P1,1,69,76.000000
RH,69,49.250000,P1,1,69,76.500000
RH,69,49.500000,P1,1,69,77.000000
LH,59,50.000000,P1,1,59,78.000000
RH,65,50.000000,P1,1,65,78.000000
RH,69,50.000000,P1,1,69,78.000000
RH,71,50.000000,P1,1,71,78.000000
RH,60,51.500000,P1,1,60,81.000000
RH,63,51.500000,P1,1,63,81.000000
RH,72,51.500000,P1,1,72,81.000000
RH,60,52.250000,P1,1,60,82.000000
RH,69,52.250000,P1,1,69,82.000000
RH,61,55.875000,P1,1,61,87.000000
RH,66,56.375000,P1,1,66,88.000000
RH,73,56.375000,P1,1,73,88.000000
RH,61,56.875000,P1,5,61,89.000000
RH,69,56.875000,P1,1,69,89.000000
RH,78,56.875000,P1,1,78,89.000000
RH,66,57.333333,P1,5,66,90.000000
RH,73,57.333333,P1,1,73,90.000000
RH,81,57.333333,P1,1,81,90.000000
RH,69,57.750000,P1,5,69,91.000000
RH,78,57.750000,P1,1,78,91.000000
RH,85,58.875000,P1,1,85,93.000000
RH,71,59.500000,P1,5,71,94.000000
RH,85,59.500000,P1,1,85,94.000000
RH,61,60.625000,P1,5,61,96.000000
RH,73,60.625000,P1,1,73,96.000000
