hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,41,0.000000,P1,5,41,0.000000
LH,49,6.625000,P1,5,49,1.000000
RH,61,6.666667,P1,1,61,1.000000
LH,40,7.000000,P1,5,40,1.333333
LH,52,7.000000,P1,1,52,1.333333
LH,43,7.125000,P1,5,43,1.666667
LH,55,7.125000,P1,1,55,1.666667
LH,41,7.375000,P1,5,41,2.000000
LH,53,7.375000,P1,1,53,2.000000
LH,43,7.666667,P1,5,43,2.333333
LH,55,7.666667,P1,1,55,2.333333
LH,46,7.875000,P1,5,46,2.666667
LH,49,8.000000,P1,5,49,3.000000
RH,61,8.000000,P1,1,61,3.000000
LH,40,8.125000,P1,5,40,3.333333
LH,52,8.125000,P1,1,52,3.333333
LH,43,8.250000,P1,5,43,3.666667
LH,55,8.375000,P1,1,55,3.666667
LH,43,8.625000,P1,5,43,4.000000
LH,55,8.666667,P1,1,55,4.000000
LH,45,8.875000,P1,5,45,4.333333
LH,57,8.875000,P1,1,57,4.333333
LH,48,9.125000,P1,5,48,4.666667
RH,60,9.125000,P1,1,60,4.666667
LH,51,9.250000,P1,5,51,5.000000
RH,63,9.250000,P1,1,63,5.000000
LH,42,9.375000,P1,5,42,5.333333
LH,54,9.375000,P1,1,54,5.333333
LH,45,9.500000,P1,5,45,5.666667
LH,57,9.500000,P1,1,57,5.666667
LH,43,9.750000,P1,5,43,6.000000
LH,55,9.750000,P1,1,55,6.000000
LH,45,10.000000,P1,5,45,6.333333
LH,57,10.000000,P1,1,57,6.333333
LH,48,10.125000,P1,5,48,6.666667
RH,60,10.125000,P1,1,60,6.666667
LH,51,10.250000,P1,5,51,7.000000
RH,63,10.250000,P1,1,63,7.000000
LH,42,10.333333,P1,5,42,7.333333
LH,54,10.333333,P1,1,54,7.333333
LH,45,10.500000,P1,5,45,7.666667
LH,57,10.500000,P1,1,57,7.666667
LH,46,10.625000,P1,5,46,8.000000
LH,58,10.750000,P1,1,58,8.000000
LH,48,10.875000,P1,5,48,8.333333
RH,60,11.000000,P1,1,60,8.333333
LH,51,11.125000,P1,5,51,8.666667
RH,63,11.125000,P1,1,63,8.666667
LH,54,11.250000,P1,5,54,9.000000
