hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,53,1.750000,P1,1,53,0.000000
LH,43,2.250000,P1,5,43,0.333333
LH,55,2.250000,P1,1,55,0.333333
LH,46,2.500000,P1,5,46,0.666667
LH,58,2.500000,P1,1,58,0.666667
LH,49,2.750000,P1,5,49,1.000000
RH,61,2.750000,P1,1,61,1.000000
LH,40,3.000000,P1,5,40,1.333333
LH,52,3.125000,P1,1,52,1.333333
LH,43,3.250000,P1,5,43,1.666667
LH,55,3.333333,P1,1,55,1.666667
LH,41,3.500000,P1,5,41,2.000000
LH,53,3.625000,P1,1,53,2.000000
LH,43,3.750000,P1,5,43,2.333333
LH,55,3.750000,P1,1,55,2.333333
LH,46,4.000000,P1,5,46,2.666667
LH,58,4.000000,P1,1,58,2.666667
LH,49,4.125000,P1,5,49,3.000000
RH,61,4.125000,P1,1,61,3.000000
LH,40,4.250000,P1,5,40,3.333333
LH,52,4.250000,P1,1,52,3.333333
LH,43,4.375000,P1,5,43,3.666667
LH,55,4.500000,P1,1,55,3.666667
LH,43,4.750000,P1,5,43,4.000000
LH,55,4.750000,P1,1,55,4.000000
LH,45,5.000000,P1,5,45,4.333333
LH,57,5.000000,P1,1,57,4.333333
LH,48,5.125000,P1,5,48,4.666667
RH,60,5.125000,P1,1,60,4.666667
RH,63,5.250000,P1,1,63,5.000000
LH,42,5.375000,P1,5,42,5.333333
LH,51,5.375000,P1,5,51,5.000000
LH,54,5.375000,P1,1,54,5.333333
LH,45,5.625000,P1,5,45,5.666667
LH,57,5.625000,P1,1,57,5.666667
LH,43,5.750000,P1,5,43,6.000000
LH,55,5.750000,P1,1,55,6.000000
LH,45,6.000000,P1,5,45,6.333333
LH,57,6.000000,P1,1,57,6.333333
LH,48,6.125000,P1,5,48,6.666667
RH,60,6.125000,P1,1,60,6.666667
LH,51,6.250000,P1,5,51,7.000000
RH,63,6.250000,P1,1,63,7.000000
LH,42,6.375000,P1,5,42,7.333333
LH,54,6.375000,P1,1,54,7.333333
LH,45,6.500000,P1,5,45,7.666667
LH,57,6.625000,P1,1,57,7.666667
LH,46,6.750000,P1,5,46,8.000000
LH,58,6.750000,P1,1,58,8.000000
LH,48,6.875000,P1,5,48,8.333333
LH,51,7.000000,P1,5,51,8.666667
RH,60,7.000000,P1,1,60,8.333333
RH,63,7.125000,P1,1,63,8.666667
LH,54,7.250000,P1,5,54,9.000000
RH,66,7.250000,P1,1,66,9.000000
LH,45,7.375000,P1,5,45,9.333333
LH,57,7.375000,P1,1,57,9.333333
LH,48,7.500000,P1,5,48,9.666667
RH,60,7.500000,P1,1,60,9.666667
LH,49,7.750000,P1,5,49,10.000000
RH,61,7.750000,P1,1,61,10.000000
LH,51,7.875000,P1,5,51,10.333333
RH,63,7.875000,P1,1,63,10.333333
LH,54,8.125000,P1,5,54,10.666667
RH,66,8.125000,P1,1,66,10.666667
RH,69,8.250000,P1,1,69,11.000000
LH,57,8.333333,P1,5,57,11.000000
LH,48,8.375000,P1,5,48,11.333333
RH,60,8.375000,P1,1,60,11.333333
LH,51,8.500000,P1,5,51,11.666667
RH,63,8.625000,P1,1,63,11.666667
LH,49,8.750000,P1,5,49,12.000000
RH,61,8.750000,P1,1,61,12.000000
LH,51,8.875000,P1,5,51,12.333333
RH,63,8.875000,P1,1,63,12.333333
LH,54,9.000000,P1,5,54,12.666667
RH,66,9.000000,P1,1,66,12.666667
LH,57,9.250000,P1,5,57,13.000000
RH,69,9.250000,P1,1,69,13.000000
LH,48,9.333333,P1,5,48,13.333333
RH,60,9.333333,P1,1,60,13.333333
LH,51,9.500000,P1,5,51,13.666667
RH,63,9.500000,P1,1,63,13.666667
LH,54,9.625000,P1,5,54,14.000000
RH,66,9.666667,P1,1,66,14.000000
LH,58,9.750000,P1,5,58,14.333333
RH,70,9.750000,P1,1,70,14.333333
RH,60,9.875000,P1,5,60,14.666667
RH,72,9.875000,P1,1,72,14.666667
RH,63,10.125000,P1,5,63,15.000000
RH,75,10.125000,P1,1,75,15.000000
LH,53,10.250000,P1,5,53,15.333333
RH,65,10.250000,P1,1,65,15.333333
LH,57,10.375000,P1,5,57,15.666667
RH,69,10.375000,P1,1,69,15.666667
LH,58,10.625000,P1,5,58,16.000000
RH,70,10.625000,P1,1,70,16.000000
RH,61,10.750000,P1,5,61,16.333333
RH,73,10.875000,P1,1,73,16.333333
RH,66,11.000000,P1,5,66,16.666667
RH,78,11.000000,P1,1,78,16.666667
RH,65,11.250000,P1,5,65,17.000000
RH,77,11.250000,P1,1,77,17.000000
RH,60,11.375000,P1,5,60,17.333333
RH,72,11.375000,P1,1,72,17.333333
RH,61,11.500000,P1,5,61,17.666667
RH,73,11.500000,P1,1,73,17.666667
RH,64,11.625000,P1,5,64,18.000000
RH,76,11.625000,P1,1,76,18.000000
RH,60,11.750000,P1,5,60,18.333333
RH,72,11.750000,P1,1,72,18.333333
RH,61,11.875000,P1,5,61,18.666667
RH,73,11.875000,P1,1,73,18.666667
LH,57,12.125000,P1,5,57,19.000000
RH,69,12.125000,P1,1,69,19.000000
LH,58,12.250000,P1,5,58,19.333333
RH,70,12.250000,P1,1,70,19.333333
LH,54,12.375000,P1,5,54,19.666667
RH,66,12.375000,P1,1,66,19.666667
LH,52,12.625000,P1,5,52,20.000000
RH,64,12.625000,P1,1,64,20.000000
LH,53,12.750000,P1,5,53,20.333333
RH,65,12.750000,P1,1,65,20.333333
LH,58,12.875000,P1,5,58,20.666667
RH,70,12.875000,P1,1,70,20.666667
LH,56,13.000000,P1,5,56,21.000000
RH,68,13.000000,P1,1,68,21.000000
LH,57,13.125000,P1,5,57,21.333333
RH,69,13.125000,P1,1,69,21.333333
RH,61,13.333333,P1,5,61,21.666667
RH,73,13.333333,P1,1,73,21.666667
LH,57,13.500000,P1,5,57,22.000000
RH,69,13.500000,P1,1,69,22.000000
LH,58,13.625000,P1,5,58,22.333333
RH,70,13.625000,P1,1,70,22.333333
RH,61,13.750000,P1,5,61,22.666667
RH,73,13.750000,P1,1,73,22.666667
LH,59,13.875000,P1,5,59,23.000000
RH,71,13.875000,P1,1,71,23.000000
RH,60,14.000000,P1,5,60,23.333333
RH,72,14.000000,P1,1,72,23.333333
RH,65,14.125000,P1,5,65,23.666667
RH,77,14.125000,P1,1,77,23.666667
LH,56,14.333333,P1,5,56,24.000000
RH,68,14.333333,P1,1,68,24.000000
LH,59,14.500000,P1,5,59,24.333333
RH,71,14.500000,P1,1,71,24.333333
RH,76,14.625000,P1,1,76,24.666667
RH,63,14.750000,P1,5,63,25.000000
RH,75,14.750000,P1,1,75,25.000000
LH,58,14.875000,P1,5,58,25.333333
RH,70,14.875000,P1,1,70,25.333333
LH,59,15.125000,P1,5,59,25.666667
RH,71,15.125000,P1,1,71,25.666667
RH,62,15.250000,P1,5,62,26.000000
RH,74,15.250000,P1,1,74,26.000000
LH,58,15.375000,P1,5,58,26.333333
RH,70,15.375000,P1,1,70,26.333333
LH,59,15.500000,P1,5,59,26.666667
RH,71,15.500000,P1,1,71,26.666667
LH,55,15.666667,P1,5,55,27.000000
RH,67,15.666667,P1,1,67,27.000000
LH,56,15.875000,P1,5,56,27.333333
RH,68,15.875000,P1,1,68,27.333333
LH,52,16.000000,P1,5,52,27.666667
RH,64,16.000000,P1,1,64,27.666667
LH,50,16.125000,P1,5,50,28.000000
RH,62,16.125000,P1,1,62,28.000000
RH,63,16.333333,P1,1,63,28.333333
LH,56,16.375000,P1,5,56,28.666667
RH,68,16.375000,P1,1,68,28.666667
LH,52,16.625000,P1,5,52,29.000000
RH,64,16.625000,P1,1,64,29.000000
LH,53,16.750000,P1,5,53,29.333333
RH,65,16.750000,P1,1,65,29.333333
LH,59,16.875000,P1,5,59,29.666667
RH,71,16.875000,P1,1,71,29.666667
LH,53,17.125000,P1,5,53,30.000000
RH,65,17.125000,P1,1,65,30.000000
LH,54,17.250000,P1,5,54,30.333333
RH,66,17.250000,P1,1,66,30.333333
LH,59,17.333333,P1,5,59,30.666667
RH,71,17.333333,P1,1,71,30.666667
LH,57,17.500000,P1,5,57,31.000000
RH,69,17.500000,P1,1,69,31.000000
LH,58,17.625000,P1,5,58,31.333333
RH,70,17.625000,P1,1,70,31.333333
RH,63,17.875000,P1,5,63,31.666667
RH,75,17.875000,P1,1,75,31.666667
RH,61,18.000000,P1,5,61,32.000000
RH,73,18.000000,P1,1,73,32.000000
LH,53,18.125000,P1,5,53,32.333333
RH,65,18.125000,P1,1,65,32.333333
LH,58,18.333333,P1,5,58,32.666667
RH,70,18.333333,P1,1,70,32.666667
RH,61,18.500000,P1,1,61,33.000000
LH,49,18.625000,P1,5,49,33.000000
LH,52,18.666667,P1,5,52,33.333333
RH,64,18.666667,P1,1,64,33.333333
LH,57,18.750000,P1,5,57,33.666667
RH,69,18.750000,P1,1,69,33.666667
RH,60,19.000000,P1,5,60,34.000000
RH,72,19.000000,P1,1,72,34.000000
LH,51,19.125000,P1,5,51,34.333333
RH,63,19.125000,P1,1,63,34.333333
RH,68,19.250000,P1,1,68,34.666667
LH,56,19.333333,P1,5,56,34.666667
LH,59,19.375000,P1,1,59,35.000000
LH,47,19.500000,P1,5,47,35.000000
RH,62,19.625000,P1,1,62,35.333333
LH,50,19.666667,P1,5,50,35.333333
LH,55,19.750000,P1,5,55,35.666667
RH,67,19.750000,P1,1,67,35.666667
LH,59,19.875000,P1,5,59,36.000000
RH,71,19.875000,P1,1,71,36.000000
LH,50,20.000000,P1,5,50,36.333333
RH,62,20.000000,P1,1,62,36.333333
LH,54,20.250000,P1,5,54,36.666667
RH,66,20.250000,P1,1,66,36.666667
LH,46,20.375000,P1,5,46,37.000000
LH,58,20.375000,P1,1,58,37.000000
LH,49,20.500000,P1,5,49,37.333333
RH,61,20.500000,P1,1,61,37.333333
LH,54,20.666667,P1,5,54,37.666667
RH,66,20.666667,P1,1,66,37.666667
LH,58,20.750000,P1,5,58,38.000000
RH,70,20.750000,P1,1,70,38.000000
LH,54,21.000000,P1,5,54,38.333333
RH,66,21.000000,P1,1,66,38.333333
LH,59,21.125000,P1,5,59,38.666667
RH,71,21.125000,P1,1,71,38.666667
RH,60,21.333333,P1,5,60,39.000000
RH,72,21.333333,P1,1,72,39.000000
RH,61,21.375000,P1,5,61,39.333333
RH,73,21.375000,P1,1,73,39.333333
RH,63,21.625000,P1,5,63,39.666667
RH,75,21.625000,P1,1,75,39.666667
RH,64,21.750000,P1,5,64,40.000000
RH,76,21.750000,P1,1,76,40.000000
RH,67,22.000000,P1,1,67,40.333333
RH,60,22.125000,P1,5,60,40.666667
RH,72,22.125000,P1,1,72,40.666667
RH,63,22.250000,P1,1,63,41.000000
LH,51,22.333333,P1,5,51,41.000000
LH,54,22.375000,P1,5,54,41.333333
RH,66,22.375000,P1,1,66,41.333333
LH,59,22.500000,P1,5,59,41.666667
RH,71,22.500000,P1,1,71,41.666667
RH,62,22.666667,P1,5,62,42.000000
RH,74,22.666667,P1,1,74,42.000000
LH,53,22.875000,P1,5,53,42.333333
RH,65,22.875000,P1,1,65,42.333333
LH,58,23.000000,P1,5,58,42.666667
RH,70,23.000000,P1,1,70,42.666667
LH,49,23.125000,P1,5,49,43.000000
RH,61,23.125000,P1,1,61,43.000000
LH,52,23.333333,P1,5,52,43.333333
RH,64,23.333333,P1,1,64,43.333333
LH,57,23.500000,P1,5,57,43.666667
RH,69,23.500000,P1,1,69,43.666667
RH,60,23.625000,P1,5,60,44.000000
RH,72,23.625000,P1,1,72,44.000000
LH,52,23.750000,P1,5,52,44.333333
RH,64,23.750000,P1,1,64,44.333333
LH,56,23.875000,P1,5,56,44.666667
LH,47,24.000000,P1,5,47,45.000000
LH,59,24.000000,P1,1,59,45.000000
RH,68,24.000000,P1,1,68,44.666667
LH,50,24.250000,P1,5,50,45.333333
RH,62,24.250000,P1,1,62,45.333333
LH,55,24.375000,P1,5,55,45.666667
RH,67,24.375000,P1,1,67,45.666667
LH,59,24.500000,P1,5,59,46.000000
RH,71,24.500000,P1,1,71,46.000000
LH,54,24.666667,P1,5,54,46.333333
RH,66,24.666667,P1,1,66,46.333333
RH,73,24.750000,P1,1,73,46.666667
RH,61,24.875000,P1,5,61,46.666667
RH,62,25.000000,P1,5,62,47.000000
RH,74,25.000000,P1,1,74,47.000000
RH,63,25.125000,P1,5,63,47.333333
RH,75,25.125000,P1,1,75,47.333333
RH,64,25.333333,P1,5,64,47.666667
RH,76,25.333333,P1,1,76,47.666667
RH,65,25.500000,P1,5,65,48.000000
RH,77,25.500000,P1,1,77,48.000000
LH,57,25.625000,P1,5,57,48.333333
