hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,55,1.000000,P1,1,55,0.000000
LH,56,1.250000,P1,1,56,0.500000
RH,79,6.125000,P1,5,79,17.000000
LH,56,9.250000,P1,1,56,27.000000
RH,67,17.333333,P1,1,67,54.000000
RH,79,19.125000,P1,1,79,60.000000
RH,82,20.500000,P1,5,82,65.000000
RH,67,22.125000,P1,1,67,70.000000
LH,56,22.750000,P1,5,56,72.000000
RH,65,24.666667,P1,1,65,78.000000
RH,77,26.375000,P1,1,77,84.000000
LH,55,30.750000,P1,1,55,96.500000
LH,56,31.875000,P1,1,56,99.000000
RH,79,36.250000,P1,5,79,113.000000
LH,56,39.375000,P1,1,56,123.000000
RH,60,46.625000,P1,1,60,147.000000
RH,60,47.250000,P1,5,60,149.000000
LH,58,47.375000,P1,5,58,149.500000
LH,55,47.500000,P1,5,55,150.000000
RH,67,47.500000,P1,1,67,150.000000
LH,51,47.666667,P1,5,51,150.500000
RH,63,47.666667,P1,1,63,150.500000
LH,48,47.875000,P1,5,48,151.000000
RH,60,47.875000,P1,1,60,151.000000
LH,46,48.000000,P1,5,46,151.500000
LH,58,48.000000,P1,1,58,151.500000
LH,55,48.125000,P1,5,55,152.000000
LH,55,48.750000,P1,5,55,154.500000
LH,51,49.000000,P1,5,51,155.000000
RH,63,49.000000,P1,1,63,155.000000
LH,48,49.125000,P1,5,48,155.500000
RH,60,49.125000,P1,1,60,155.500000
LH,46,49.250000,P1,5,46,156.000000
LH,58,49.250000,P1,1,58,156.000000
LH,55,49.375000,P1,1,55,156.500000
LH,43,49.500000,P1,5,43,156.500000
LH,51,49.625000,P1,5,51,157.000000
RH,63,55.875000,P1,5,63,174.000000
LH,58,67.000000,P1,7,58,187.000000
LH,58,68.000000,P1,7,58,189.000000
RH,63,71.500000,P1,1,63,195.000000
LH,56,77.750000,P1,8,56,207.000000
LH,52,80.750000,P1,5,52,213.000000
LH,58,84.666667,P1,5,58,219.000000
LH,56,88.000000,P1,5,56,225.000000
LH,57,95.000000,P1,5,57,234.000000
LH,59,95.625000,P1,5,59,235.000000
LH,57,102.875000,P1,5,57,246.000000
LH,59,103.500000,P1,5,59,247.000000
LH,54,130.500000,P1,7,54,289.000000
LH,41,149.125000,P1,6,41,321.000000
RH,62,151.750000,P1,2,62,324.000000
RH,62,158.125000,P1,2,62,330.000000
RH,64,158.750000,P1,2,64,331.000000
RH,62,165.375000,P1,2,62,342.000000
RH,64,166.125000,P1,2,64,343.000000
LH,59,173.125000,P1,7,59,354.000000
LH,57,177.125000,P1,7,57,360.000000
LH,56,181.000000,P1,7,56,366.000000
LH,59,181.000000,P1,7,59,366.000000
LH,58,192.000000,P1,1,58,379.000000
LH,58,193.250000,P1,1,58,381.000000
RH,63,196.750000,P1,4,63,387.000000
LH,56,203.375000,P1,6,56,399.000000
LH,52,206.666667,P1,5,52,405.000000
LH,58,210.875000,P1,5,58,411.000000
LH,56,214.666667,P1,5,56,417.000000
LH,57,221.750000,P1,5,57,426.000000
LH,59,222.375000,P1,5,59,427.000000
LH,57,229.500000,P1,5,57,438.000000
LH,59,230.125000,P1,5,59,439.000000
LH,46,253.875000,P1,5,46,471.000000
RH,79,258.125000,P1,5,79,485.000000
LH,56,261.250000,P1,1,56,495.000000
RH,67,269.375000,P1,1,67,522.000000
RH,79,271.125000,P1,1,79,528.000000
RH,82,272.500000,P1,5,82,533.000000
RH,67,274.125000,P1,1,67,538.000000
LH,56,274.875000,P1,5,56,540.000000
RH,65,276.666667,P1,1,65,546.000000
RH,77,278.500000,P1,1,77,552.000000
LH,55,282.625000,P1,1,55,564.500000
LH,56,283.500000,P1,1,56,567.000000
RH,79,287.666667,P1,5,79,581.000000
LH,56,290.750000,P1,1,56,591.000000
RH,60,298.125000,P1,1,60,615.000000
RH,60,298.750000,P1,5,60,617.000000
LH,58,298.875000,P1,5,58,617.500000
LH,55,299.125000,P1,5,55,618.000000
RH,67,299.125000,P1,1,67,618.000000
LH,51,299.250000,P1,5,51,618.500000
RH,63,299.250000,P1,1,63,618.500000
LH,48,299.375000,P1,5,48,619.000000
RH,60,299.375000,P1,1,60,619.000000
LH,46,299.500000,P1,5,46,619.500000
LH,58,299.500000,P1,1,58,619.500000
LH,55,299.625000,P1,5,55,620.000000
LH,55,300.333333,P1,5,55,622.500000
LH,51,300.375000,P1,5,51,623.000000
RH,63,300.375000,P1,1,63,623.000000
LH,48,300.625000,P1,5,48,623.500000
RH,60,300.625000,P1,1,60,623.500000
LH,46,300.750000,P1,5,46,624.000000
LH,58,300.750000,P1,1,58,624.000000
LH,55,300.875000,P1,1,55,624.500000
LH,43,301.000000,P1,5,43,624.500000
LH,51,301.125000,P1,5,51,625.000000
RH,63,307.250000,P1,5,63,642.000000
