hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,56,7.375000,P1,1,56,0.500000
RH,79,12.666667,P1,5,79,17.000000
LH,56,16.000000,P1,1,56,27.000000
RH,67,24.625000,P1,1,67,54.000000
RH,79,26.500000,P1,1,79,60.000000
RH,82,28.125000,P1,5,82,65.000000
RH,67,29.625000,P1,1,67,70.000000
LH,56,30.250000,P1,5,56,72.000000
RH,65,32.125000,P1,1,65,78.000000
RH,77,34.125000,P1,1,77,84.000000
LH,55,39.750000,P1,1,55,96.500000
LH,56,40.750000,P1,1,56,99.000000
RH,79,45.333333,P1,5,79,113.000000
LH,56,48.875000,P1,1,56,123.000000
RH,60,56.250000,P1,1,60,147.000000
RH,60,57.000000,P1,5,60,149.000000
LH,58,57.125000,P1,5,58,149.500000
LH,55,57.250000,P1,5,55,150.000000
RH,67,57.250000,P1,1,67,150.000000
LH,51,57.500000,P1,5,51,150.500000
RH,63,57.500000,P1,1,63,150.500000
LH,48,57.625000,P1,5,48,151.000000
RH,60,57.625000,P1,1,60,151.000000
LH,46,57.750000,P1,5,46,151.500000
LH,58,57.750000,P1,1,58,151.500000
LH,55,57.875000,P1,5,55,152.000000
LH,55,58.750000,P1,5,55,154.500000
LH,51,58.875000,P1,5,51,155.000000
RH,63,58.875000,P1,1,63,155.000000
LH,48,59.000000,P1,5,48,155.500000
RH,60,59.000000,P1,1,60,155.500000
LH,46,59.250000,P1,5,46,156.000000
LH,58,59.250000,P1,1,58,156.000000
LH,43,59.375000,P1,5,43,156.500000
LH,55,59.375000,P1,1,55,156.500000
LH,51,59.625000,P1,5,51,157.000000
RH,63,65.666667,P1,5,63,174.000000
LH,58,74.250000,P1,7,58,187.000000
LH,58,75.750000,P1,7,58,189.000000
RH,63,78.750000,P1,1,63,195.000000
LH,56,84.666667,P1,8,56,207.000000
LH,52,87.500000,P1,5,52,213.000000
LH,58,90.625000,P1,5,58,219.000000
LH,56,93.875000,P1,5,56,225.000000
LH,57,99.750000,P1,5,57,234.000000
LH,59,100.500000,P1,5,59,235.000000
LH,57,108.000000,P1,5,57,246.000000
LH,59,108.625000,P1,5,59,247.000000
LH,54,133.625000,P1,7,54,289.000000
LH,41,150.750000,P1,6,41,321.000000
RH,62,152.500000,P1,2,62,324.000000
RH,62,156.000000,P1,2,62,330.000000
RH,64,156.750000,P1,2,64,331.000000
RH,62,164.375000,P1,2,62,342.000000
RH,64,165.125000,P1,2,64,343.000000
LH,59,172.625000,P1,7,59,354.000000
LH,57,176.250000,P1,7,57,360.000000
LH,56,180.333333,P1,7,56,366.000000
LH,59,180.333333,P1,7,59,366.000000
LH,58,190.625000,P1,1,58,379.000000
LH,58,192.125000,P1,1,58,381.000000
RH,63,195.000000,P1,4,63,387.000000
LH,56,200.750000,P1,6,56,399.000000
LH,52,203.750000,P1,5,52,405.000000
LH,58,207.000000,P1,5,58,411.000000
LH,56,210.333333,P1,5,56,417.000000
LH,57,216.125000,P1,5,57,426.000000
LH,59,216.750000,P1,5,59,427.000000
LH,57,224.250000,P1,5,57,438.000000
LH,59,224.875000,P1,5,59,439.000000
LH,46,247.125000,P1,5,46,471.000000
RH,79,251.875000,P1,5,79,485.000000
LH,56,255.375000,P1,1,56,495.000000
RH,67,264.000000,P1,1,67,522.000000
RH,79,265.875000,P1,1,79,528.000000
RH,82,267.500000,P1,5,82,533.000000
RH,67,269.000000,P1,1,67,538.000000
LH,56,269.666667,P1,5,56,540.000000
RH,65,271.500000,P1,1,65,546.000000
RH,77,273.500000,P1,1,77,552.000000
LH,55,279.125000,P1,1,55,564.500000
LH,56,280.125000,P1,1,56,567.000000
RH,79,284.500000,P1,5,79,581.000000
LH,56,287.875000,P1,1,56,591.000000
RH,60,295.333333,P1,1,60,615.000000
RH,60,296.000000,P1,5,60,617.000000
LH,58,296.125000,P1,5,58,617.500000
LH,55,296.333333,P1,5,55,618.000000
RH,67,296.333333,P1,1,67,618.000000
LH,51,296.500000,P1,5,51,618.500000
RH,63,296.500000,P1,1,63,618.500000
LH,48,296.625000,P1,5,48,619.000000
RH,60,296.625000,P1,1,60,619.000000
LH,46,296.750000,P1,5,46,619.500000
LH,58,296.750000,P1,1,58,619.500000
LH,55,296.875000,P1,5,55,620.000000
LH,55,297.750000,P1,5,55,622.500000
LH,51,297.875000,P1,5,51,623.000000
RH,63,297.875000,P1,1,63,623.000000
LH,48,298.000000,P1,5,48,623.500000
RH,60,298.000000,P1,1,60,623.500000
LH,46,298.250000,P1,5,46,624.000000
LH,58,298.250000,P1,1,58,624.000000
LH,43,298.375000,P1,5,43,624.500000
LH,55,298.375000,P1,1,55,624.500000
LH,51,298.625000,P1,5,51,625.000000
RH,63,304.875000,P1,5,63,642.000000
