hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,37,3.125000,P1,5,37,0.125000
LH,49,3.125000,P1,5,49,0.125000
LH,39,5.500000,P1,5,39,1.000000
LH,51,5.500000,P1,2,51,1.000000
RH,63,5.500000,P1,2,63,1.000000
LH,35,5.666667,P1,5,35,1.125000
LH,47,5.666667,P1,5,47,1.125000
LH,59,5.666667,P1,2,59,1.125000
LH,39,8.125000,P1,5,39,2.000000
LH,51,8.125000,P1,2,51,2.000000
RH,63,8.125000,P1,2,63,2.000000
LH,34,8.333333,P1,5,34,2.125000
LH,46,8.333333,P1,5,46,2.125000
LH,58,8.333333,P1,2,58,2.125000
LH,35,11.000000,P1,5,35,3.000000
LH,47,11.000000,P1,2,47,3.000000
LH,59,11.000000,P1,2,59,3.000000
LH,55,26.250000,P1,2,55,8.000000
LH,55,28.500000,P1,2,55,9.000000
LH,59,32.625000,P1,2,59,10.000000
LH,42,35.125000,P1,5,42,11.000000
LH,42,36.333333,P1,5,42,11.000000
RH,75,63.500000,P1,2,75,19.000000
RH,76,71.250000,P1,2,76,22.000000
RH,75,106.500000,P1,2,75,35.000000
RH,76,113.666667,P1,2,76,38.000000
RH,78,125.125000,P1,2,78,42.500000
RH,75,191.000000,P1,2,75,67.000000
RH,76,199.750000,P1,2,76,70.000000
LH,59,221.666667,P1,2,59,79.000000
LH,59,235.375000,P1,2,59,87.000000
RH,62,235.375000,P1,2,62,87.000000
RH,71,241.666667,P1,3,71,91.091667
RH,68,255.375000,P1,2,68,99.000000
RH,64,263.125000,P1,2,64,102.000000
LH,47,277.500000,P1,5,47,109.000000
LH,56,330.500000,P1,5,56,140.000000
RH,68,377.666667,P1,2,68,168.666667
RH,68,379.125000,P1,2,68,169.666667
LH,56,435.500000,P1,5,56,204.000000
RH,68,481.375000,P1,2,68,232.666667
RH,68,483.125000,P1,2,68,233.666667
RH,68,486.250000,P1,2,68,235.666667
RH,68,487.666667,P1,2,68,236.666667
RH,68,489.250000,P1,2,68,237.666667
RH,66,496.250000,P1,1,66,241.666667
RH,66,499.250000,P1,1,66,243.666667
RH,64,507.875000,P1,2,64,249.666667
RH,64,510.500000,P1,2,64,251.666667
RH,61,519.125000,P1,2,61,257.666667
LH,35,521.000000,P1,5,35,260.000000
LH,47,521.000000,P1,5,47,260.000000
RH,61,521.875000,P1,2,61,260.666667
LH,59,522.333333,P1,2,59,261.000000
LH,40,523.750000,P1,5,40,262.000000
LH,28,523.875000,P1,5,28,262.000000
RH,61,524.875000,P1,2,61,262.666667
LH,27,527.125000,P1,5,27,264.000000
LH,39,527.125000,P1,5,39,264.000000
RH,61,626.875000,P1,3,61,326.112500
LH,57,655.750000,P1,5,57,346.000000
RH,69,660.875000,P1,2,69,349.333333
RH,63,674.250000,P1,2,63,357.000000
LH,57,678.625000,P1,2,57,359.000000
LH,48,678.666667,P1,5,48,359.000000
RH,66,683.333333,P1,2,66,362.000000
RH,63,690.125000,P1,2,63,365.000000
LH,54,693.500000,P1,2,54,367.000000
RH,63,693.500000,P1,2,63,367.000000
RH,60,697.500000,P1,2,60,370.000000
RH,60,700.500000,P1,1,60,372.000000
RH,65,718.375000,P1,2,65,383.000000
RH,73,723.500000,P1,3,73,386.000000
RH,76,727.875000,P1,2,76,388.000000
LH,35,748.750000,P1,5,35,394.000000
LH,42,749.875000,P1,5,42,394.333333
LH,54,750.625000,P1,5,54,394.666667
LH,59,751.500000,P1,6,59,395.008333
RH,63,751.500000,P1,6,63,395.008333
LH,51,751.625000,P1,6,51,395.008333
LH,42,753.375000,P1,6,42,395.675000
LH,35,754.500000,P1,5,35,396.000000
LH,42,755.375000,P1,5,42,396.333333
LH,42,759.125000,P1,6,42,397.675000
LH,35,760.000000,P1,5,35,398.000000
LH,42,761.125000,P1,5,42,398.333333
LH,54,762.875000,P1,6,54,399.008333
LH,58,762.875000,P1,6,58,399.008333
RH,64,762.875000,P1,6,64,399.008333
LH,42,764.625000,P1,6,42,399.675000
LH,35,765.500000,P1,5,35,400.000000
LH,42,766.500000,P1,5,42,400.333333
LH,42,770.125000,P1,6,42,401.675000
LH,51,773.875000,P1,6,51,403.008333
LH,42,789.875000,P1,5,42,408.333333
LH,54,790.750000,P1,5,54,408.666667
LH,42,796.750000,P1,6,42,409.675000
LH,35,799.125000,P1,5,35,410.000000
LH,42,800.500000,P1,5,42,410.333333
LH,54,801.250000,P1,5,54,410.666667
LH,51,802.333333,P1,6,51,411.008333
LH,59,802.333333,P1,6,59,411.008333
RH,63,802.333333,P1,6,63,411.008333
LH,42,804.125000,P1,6,42,411.675000
RH,66,805.250000,P1,1,66,412.000000
LH,42,806.000000,P1,5,42,412.333333
LH,54,806.750000,P1,5,54,412.666667
RH,66,810.750000,P1,1,66,414.000000
LH,42,811.750000,P1,5,42,414.333333
RH,68,813.375000,P1,1,68,415.000000
LH,58,813.500000,P1,6,58,415.008333
RH,64,813.500000,P1,6,64,415.008333
LH,42,817.875000,P1,5,42,416.333333
LH,54,820.250000,P1,5,54,417.000000
RH,75,824.375000,P1,2,75,418.000000
LH,59,838.125000,P1,2,59,423.000000
LH,59,852.750000,P1,2,59,431.000000
RH,68,857.125000,P1,2,68,434.000000
LH,49,865.375000,P1,5,49,439.000000
RH,68,870.666667,P1,2,68,441.750000
LH,59,884.000000,P1,5,59,448.000000
LH,46,893.500000,P1,7,46,451.000000
LH,44,894.250000,P1,7,44,451.333333
RH,68,895.875000,P1,2,68,452.000000
LH,54,896.000000,P1,5,54,452.000000
LH,44,899.125000,P1,6,44,453.333333
LH,49,901.000000,P1,6,49,454.000000
LH,48,901.875000,P1,6,48,454.333333
LH,51,902.500000,P1,6,51,454.666667
LH,49,903.250000,P1,6,49,455.000000
LH,44,904.000000,P1,6,44,455.333333
LH,42,904.666667,P1,6,42,455.666667
RH,70,905.500000,P1,2,70,456.000000
LH,44,908.500000,P1,6,44,457.335417
RH,63,910.375000,P1,2,63,458.000000
LH,47,910.500000,P1,6,47,458.002083
LH,46,911.500000,P1,6,46,458.335417
LH,47,912.375000,P1,6,47,458.668750
LH,46,913.250000,P1,6,46,459.002083
LH,44,914.125000,P1,6,44,459.335417
LH,42,914.875000,P1,6,42,459.668750
LH,44,920.000000,P1,6,44,461.333333
LH,42,920.750000,P1,6,42,461.666667
LH,49,921.750000,P1,6,49,462.000000
LH,51,923.750000,P1,6,51,462.666667
LH,49,924.500000,P1,6,49,463.000000
LH,44,925.375000,P1,6,44,463.333333
LH,42,926.000000,P1,6,42,463.666667
LH,42,951.250000,P1,5,42,471.000000
LH,42,952.875000,P1,5,42,471.666667
LH,35,964.125000,P1,5,35,474.000000
RH,63,964.125000,P1,2,63,474.000000
LH,51,972.250000,P1,2,51,476.000000
RH,63,972.250000,P1,2,63,476.000000
LH,35,972.333333,P1,5,35,476.000000
LH,47,972.333333,P1,5,47,476.000000
LH,59,972.333333,P1,2,59,476.000000
