hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,30,4.000000,P1,5,30,0.000000
LH,42,4.000000,P1,5,42,0.000000
LH,42,5.000000,P1,5,42,1.500000
LH,54,5.000000,P1,5,54,1.500000
RH,66,5.000000,P1,1,66,1.500000
RH,78,5.000000,P1,1,78,1.500000
RH,78,5.750000,P1,1,78,3.000000
RH,90,5.750000,P1,1,90,3.000000
LH,54,5.875000,P1,5,54,3.000000
RH,66,5.875000,P1,5,66,3.000000
LH,42,6.625000,P1,5,42,4.500000
LH,54,6.625000,P1,1,54,4.500000
RH,66,6.625000,P1,1,66,4.500000
LH,30,6.666667,P1,5,30,4.500000
LH,31,7.375000,P1,5,31,6.000000
LH,43,7.375000,P1,5,43,6.000000
LH,54,7.375000,P1,1,54,6.000000
LH,59,7.375000,P1,1,59,6.000000
RH,66,7.375000,P1,1,66,6.000000
LH,43,8.250000,P1,5,43,7.500000
LH,55,8.250000,P1,5,55,7.500000
RH,66,8.250000,P1,1,66,7.500000
RH,71,8.250000,P1,1,71,7.500000
RH,78,8.250000,P1,1,78,7.500000
LH,55,9.000000,P1,5,55,9.000000
RH,67,9.000000,P1,5,67,9.000000
RH,78,9.000000,P1,1,78,9.000000
RH,83,9.000000,P1,1,83,9.000000
RH,90,9.000000,P1,1,90,9.000000
LH,31,9.750000,P1,5,31,10.500000
LH,43,9.750000,P1,5,43,10.500000
LH,54,9.750000,P1,1,54,10.500000
LH,59,9.750000,P1,1,59,10.500000
RH,66,9.750000,P1,1,66,10.500000
LH,32,10.625000,P1,5,32,12.000000
LH,44,10.625000,P1,5,44,12.000000
LH,54,10.625000,P1,1,54,12.000000
RH,60,10.625000,P1,1,60,12.000000
RH,66,10.625000,P1,1,66,12.000000
LH,44,11.375000,P1,5,44,13.500000
LH,56,11.375000,P1,5,56,13.500000
RH,66,11.375000,P1,1,66,13.500000
RH,72,11.375000,P1,1,72,13.500000
RH,78,11.375000,P1,1,78,13.500000
LH,57,12.250000,P1,5,57,15.000000
RH,61,12.250000,P1,5,61,15.000000
RH,66,12.250000,P1,5,66,15.000000
RH,69,12.250000,P1,5,69,15.000000
RH,78,12.250000,P1,1,78,15.000000
RH,85,12.250000,P1,1,85,15.000000
RH,90,12.250000,P1,1,90,15.000000
LH,33,13.125000,P1,5,33,16.500000
LH,45,13.125000,P1,5,45,16.500000
LH,54,13.125000,P1,1,54,16.500000
RH,61,13.125000,P1,1,61,16.500000
RH,66,13.125000,P1,1,66,16.500000
LH,34,14.000000,P1,5,34,18.000000
LH,46,14.000000,P1,5,46,18.000000
LH,54,14.000000,P1,1,54,18.000000
RH,61,14.000000,P1,1,61,18.000000
RH,64,14.000000,P1,1,64,18.000000
RH,66,14.000000,P1,1,66,18.000000
LH,54,14.875000,P1,5,54,19.500000
RH,61,14.875000,P1,5,61,19.500000
RH,64,14.875000,P1,5,64,19.500000
RH,66,14.875000,P1,1,66,19.500000
RH,73,14.875000,P1,1,73,19.500000
RH,76,14.875000,P1,1,76,19.500000
RH,78,14.875000,P1,1,78,19.500000
RH,64,16.000000,P1,5,64,21.000000
RH,74,16.000000,P1,5,74,21.000000
RH,86,16.000000,P1,1,86,21.000000
RH,90,16.000000,P1,1,90,21.000000
RH,98,16.000000,P1,1,98,21.000000
RH,66,16.125000,P1,5,66,21.000000
RH,64,17.625000,P1,5,64,22.500000
RH,66,17.625000,P1,5,66,22.500000
RH,73,17.625000,P1,5,73,22.500000
RH,85,17.625000,P1,1,85,22.500000
RH,90,17.625000,P1,1,90,22.500000
RH,97,17.625000,P1,1,97,22.500000
LH,59,23.500000,P1,1,59,24.000000
LH,35,23.625000,P1,5,35,24.000000
LH,47,24.000000,P1,5,47,24.500000
LH,50,24.000000,P1,1,50,24.500000
LH,42,24.375000,P1,5,42,25.000000
LH,54,24.375000,P1,1,54,25.000000
LH,40,24.666667,P1,5,40,25.500000
LH,55,24.666667,P1,1,55,25.500000
LH,47,25.000000,P1,5,47,26.000000
LH,52,25.000000,P1,1,52,26.000000
LH,43,25.333333,P1,5,43,26.500000
LH,58,25.333333,P1,1,58,26.500000
LH,35,25.666667,P1,5,35,27.000000
LH,59,25.666667,P1,1,59,27.000000
LH,47,26.000000,P1,5,47,27.500000
LH,50,26.000000,P1,1,50,27.500000
LH,42,26.250000,P1,5,42,28.000000
LH,54,26.250000,P1,1,54,28.000000
LH,40,26.625000,P1,5,40,28.500000
LH,55,26.625000,P1,1,55,28.500000
LH,47,27.000000,P1,5,47,29.000000
LH,52,27.000000,P1,1,52,29.000000
LH,43,27.250000,P1,5,43,29.500000
LH,58,27.250000,P1,1,58,29.500000
LH,35,27.666667,P1,5,35,30.000000
LH,59,27.666667,P1,1,59,30.000000
LH,47,28.000000,P1,5,47,30.500000
LH,50,28.000000,P1,1,50,30.500000
LH,54,28.000000,P1,1,54,30.500000
LH,42,28.333333,P1,5,42,31.000000
LH,59,28.333333,P1,1,59,31.000000
LH,40,28.625000,P1,5,40,31.500000
LH,47,29.000000,P1,5,47,32.000000
LH,58,29.000000,P1,1,58,32.000000
LH,43,29.250000,P1,5,43,32.500000
LH,59,29.250000,P1,1,59,32.500000
LH,38,29.666667,P1,5,38,33.000000
LH,50,30.125000,P1,5,50,33.500000
LH,54,30.125000,P1,2,54,33.500000
LH,45,30.500000,P1,5,45,34.000000
LH,57,30.500000,P1,2,57,34.000000
LH,43,30.750000,P1,5,43,34.500000
LH,50,31.125000,P1,5,50,35.000000
LH,55,31.125000,P1,2,55,35.000000
LH,46,31.500000,P1,5,46,35.500000
LH,58,31.500000,P1,2,58,35.500000
LH,38,31.875000,P1,5,38,36.000000
LH,50,32.125000,P1,5,50,36.500000
LH,54,32.125000,P1,1,54,36.500000
LH,45,32.500000,P1,5,45,37.000000
LH,57,32.500000,P1,1,57,37.000000
LH,58,32.875000,P1,1,58,37.500000
LH,43,33.000000,P1,5,43,37.500000
LH,50,33.250000,P1,5,50,38.000000
LH,55,33.250000,P1,1,55,38.000000
LH,52,33.333333,P1,1,52,38.000000
LH,46,33.625000,P1,5,46,38.500000
RH,61,33.625000,P1,1,61,38.500000
LH,38,34.000000,P1,5,38,39.000000
RH,62,34.000000,P1,1,62,39.000000
LH,50,34.333333,P1,5,50,39.500000
LH,54,34.333333,P1,1,54,39.500000
LH,45,34.625000,P1,5,45,40.000000
LH,57,34.625000,P1,1,57,40.000000
LH,43,34.875000,P1,5,43,40.500000
LH,58,34.875000,P1,1,58,40.500000
LH,50,35.250000,P1,5,50,41.000000
LH,55,35.250000,P1,1,55,41.000000
LH,46,35.500000,P1,5,46,41.500000
RH,61,35.500000,P1,1,61,41.500000
