hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,37,1.875000,P1,5,37,0.000000
LH,54,2.875000,P1,1,54,0.250000
LH,58,2.875000,P1,1,58,0.250000
RH,61,2.875000,P1,1,61,0.250000
RH,60,3.625000,P1,1,60,0.500000
RH,65,3.625000,P1,1,65,0.500000
RH,68,3.625000,P1,1,68,0.500000
RH,68,3.750000,P1,1,68,0.500000
LH,58,4.500000,P1,1,58,0.750000
RH,61,4.500000,P1,1,61,0.750000
RH,63,4.500000,P1,1,63,0.750000
RH,68,5.500000,P1,4,68,1.000000
RH,66,6.250000,P1,1,66,1.250000
RH,73,6.250000,P1,1,73,1.250000
RH,70,6.333333,P1,1,70,1.250000
RH,72,7.000000,P1,1,72,1.500000
RH,77,7.000000,P1,1,77,1.500000
RH,80,7.000000,P1,1,80,1.500000
RH,70,7.666667,P1,1,70,1.750000
RH,73,7.666667,P1,1,73,1.750000
RH,75,7.666667,P1,1,75,1.750000
RH,65,8.500000,P1,4,65,2.000000
RH,78,8.625000,P1,1,78,2.000000
RH,85,8.625000,P1,1,85,2.000000
RH,84,9.250000,P1,1,84,2.250000
RH,89,9.250000,P1,1,89,2.250000
RH,92,9.250000,P1,1,92,2.250000
RH,82,9.875000,P1,1,82,2.500000
RH,87,9.875000,P1,1,87,2.500000
RH,85,10.000000,P1,1,85,2.500000
RH,72,10.625000,P1,1,72,2.750000
RH,77,10.625000,P1,1,77,2.750000
RH,80,10.625000,P1,1,80,2.750000
RH,63,11.500000,P1,4,63,3.000000
RH,70,11.500000,P1,1,70,3.000000
RH,73,11.500000,P1,1,73,3.000000
RH,75,11.500000,P1,1,75,3.000000
RH,60,12.250000,P1,1,60,3.250000
RH,68,12.250000,P1,1,68,3.250000
RH,63,12.875000,P1,1,63,3.500000
LH,58,13.000000,P1,2,58,3.500000
RH,61,13.000000,P1,1,61,3.500000
RH,63,13.000000,P1,1,63,3.500000
LH,37,14.500000,P1,5,37,4.000000
LH,53,15.125000,P1,1,53,4.250000
LH,56,15.125000,P1,1,56,4.250000
RH,63,15.125000,P1,1,63,4.250000
RH,61,15.750000,P1,1,61,4.500000
RH,65,15.750000,P1,1,65,4.500000
RH,70,15.750000,P1,1,70,4.500000
RH,60,16.375000,P1,1,60,4.750000
RH,65,16.375000,P1,1,65,4.750000
RH,63,16.500000,P1,1,63,4.750000
LH,58,17.000000,P1,1,58,5.000000
RH,61,17.000000,P1,1,61,5.000000
RH,65,17.000000,P1,1,65,5.000000
RH,68,17.625000,P1,1,68,5.250000
RH,75,17.625000,P1,1,75,5.250000
RH,73,18.250000,P1,1,73,5.500000
RH,77,18.250000,P1,1,77,5.500000
RH,82,18.250000,P1,1,82,5.500000
RH,75,18.875000,P1,1,75,5.750000
RH,70,19.500000,P1,5,70,6.000000
RH,73,19.500000,P1,4,73,6.000000
RH,77,19.500000,P1,4,77,6.000000
RH,80,20.125000,P1,4,80,6.250000
RH,87,20.125000,P1,4,87,6.250000
RH,85,20.875000,P1,4,85,6.500000
RH,89,20.875000,P1,4,89,6.500000
RH,94,20.875000,P1,4,94,6.500000
RH,89,21.666667,P1,4,89,6.750000
RH,84,21.750000,P1,4,84,6.750000
RH,87,21.750000,P1,4,87,6.750000
RH,82,22.375000,P1,4,82,7.000000
RH,85,22.375000,P1,4,85,7.000000
RH,89,22.375000,P1,4,89,7.000000
RH,77,23.125000,P1,4,77,7.250000
RH,85,23.125000,P1,4,85,7.250000
RH,82,23.250000,P1,4,82,7.250000
RH,73,24.000000,P1,4,73,7.500000
RH,77,24.000000,P1,4,77,7.500000
RH,82,24.000000,P1,4,82,7.500000
RH,70,25.125000,P1,4,70,7.750000
RH,77,25.125000,P1,4,77,7.750000
LH,54,27.000000,P1,1,54,8.250000
RH,61,27.000000,P1,1,61,8.250000
LH,58,27.125000,P1,1,58,8.250000
LH,37,27.666667,P1,5,37,8.500000
RH,60,27.750000,P1,1,60,8.500000
RH,65,27.750000,P1,1,65,8.500000
RH,68,27.750000,P1,1,68,8.500000
LH,58,28.333333,P1,1,58,8.750000
RH,61,28.333333,P1,1,61,8.750000
RH,68,29.333333,P1,4,68,9.000000
RH,66,30.250000,P1,1,66,9.250000
RH,70,30.250000,P1,1,70,9.250000
RH,73,30.250000,P1,1,73,9.250000
RH,72,30.875000,P1,1,72,9.500000
RH,77,30.875000,P1,1,77,9.500000
RH,80,30.875000,P1,1,80,9.500000
RH,70,31.625000,P1,1,70,9.750000
RH,73,31.625000,P1,1,73,9.750000
RH,75,31.625000,P1,1,75,9.750000
RH,65,32.375000,P1,4,65,10.000000
RH,78,32.500000,P1,1,78,10.000000
RH,82,32.500000,P1,1,82,10.000000
RH,85,32.500000,P1,1,85,10.000000
RH,84,33.125000,P1,1,84,10.250000
RH,89,33.125000,P1,1,89,10.250000
RH,92,33.125000,P1,1,92,10.250000
RH,82,33.750000,P1,1,82,10.500000
RH,85,33.750000,P1,1,85,10.500000
