hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,60,2.125000,P1,1,60,0.250000
RH,64,2.250000,P1,1,64,0.500000
RH,60,2.500000,P1,1,60,0.750000
RH,60,2.750000,P1,1,60,1.250000
LH,57,3.000000,P1,5,57,1.500000
RH,64,3.000000,P1,1,64,1.500000
RH,60,3.125000,P1,1,60,1.750000
RH,60,3.375000,P1,1,60,2.250000
LH,52,3.625000,P1,5,52,2.500000
LH,58,4.000000,P1,1,58,3.250000
LH,55,4.250000,P1,5,55,3.500000
LH,58,4.333333,P1,1,58,3.750000
RH,62,4.333333,P1,1,62,3.500000
LH,58,4.750000,P1,1,58,4.250000
LH,55,5.000000,P1,5,55,4.500000
LH,58,5.000000,P1,1,58,4.750000
RH,62,5.000000,P1,1,62,4.500000
LH,58,5.375000,P1,1,58,5.250000
RH,62,5.375000,P1,1,62,5.250000
LH,59,5.750000,P1,1,59,5.750000
RH,63,5.750000,P1,1,63,5.750000
RH,60,6.250000,P1,1,60,6.250000
RH,64,6.375000,P1,1,64,6.500000
RH,60,6.500000,P1,1,60,6.750000
RH,60,6.875000,P1,1,60,7.250000
LH,57,7.125000,P1,5,57,7.500000
RH,60,7.250000,P1,1,60,7.750000
RH,60,7.500000,P1,1,60,8.250000
LH,52,7.750000,P1,5,52,8.500000
LH,58,8.125000,P1,1,58,9.250000
RH,62,8.333333,P1,1,62,9.500000
LH,55,8.500000,P1,5,55,9.500000
LH,58,8.625000,P1,1,58,9.750000
RH,61,9.000000,P1,1,61,10.500000
LH,54,9.125000,P1,5,54,10.500000
LH,57,9.125000,P1,1,57,10.750000
LH,57,9.500000,P1,1,57,11.250000
LH,53,9.750000,P1,5,53,11.500000
LH,57,9.875000,P1,1,57,11.750000
LH,56,10.500000,P1,1,56,12.250000
RH,60,10.666667,P1,1,60,12.500000
LH,56,10.875000,P1,1,56,12.750000
LH,56,11.250000,P1,1,56,13.250000
LH,52,11.500000,P1,5,52,13.500000
RH,60,11.500000,P1,1,60,13.500000
LH,56,11.750000,P1,1,56,13.750000
LH,56,12.250000,P1,1,56,14.250000
RH,60,12.625000,P1,1,60,14.500000
LH,56,12.875000,P1,1,56,14.250000
LH,33,14.250000,P1,6,33,15.000000
LH,48,15.125000,P1,1,48,15.750000
LH,48,15.500000,P1,1,48,15.750000
LH,50,16.000000,P1,1,50,16.250000
LH,57,16.250000,P1,1,57,16.500000
LH,50,16.375000,P1,1,50,16.750000
LH,52,16.750000,P1,1,52,17.250000
LH,57,17.000000,P1,1,57,17.500000
LH,52,17.125000,P1,1,52,17.750000
LH,53,17.625000,P1,1,53,18.250000
LH,57,17.875000,P1,1,57,18.500000
LH,53,18.000000,P1,1,53,18.750000
LH,50,18.375000,P1,1,50,19.250000
LH,57,18.625000,P1,1,57,19.500000
LH,50,18.750000,P1,1,50,19.750000
LH,52,19.125000,P1,1,52,20.250000
LH,57,19.375000,P1,1,57,20.500000
LH,33,20.000000,P1,6,33,21.000000
LH,48,20.250000,P1,1,48,21.250000
LH,57,20.500000,P1,1,57,21.500000
LH,48,20.625000,P1,1,48,21.750000
LH,50,21.000000,P1,1,50,22.250000
LH,57,21.250000,P1,1,57,22.500000
LH,50,21.375000,P1,1,50,22.750000
LH,52,21.750000,P1,1,52,23.250000
LH,57,22.000000,P1,1,57,23.500000
LH,52,22.125000,P1,1,52,23.750000
LH,45,22.333333,P1,2,45,24.000000
LH,53,22.500000,P1,1,53,24.250000
LH,53,22.875000,P1,1,53,24.750000
LH,57,24.333333,P1,1,57,26.500000
LH,58,24.750000,P1,1,58,27.250000
RH,64,24.875000,P1,1,64,27.500000
LH,58,25.000000,P1,1,58,27.750000
LH,55,25.500000,P1,1,55,28.250000
RH,61,25.625000,P1,1,61,28.500000
LH,55,25.875000,P1,1,55,28.750000
LH,57,26.250000,P1,1,57,29.250000
RH,62,26.333333,P1,1,62,29.500000
LH,57,26.500000,P1,1,57,29.750000
LH,45,26.750000,P1,2,45,30.000000
