hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,59,4.125000,P1,1,59,0.000000
LH,47,4.625000,P1,5,47,0.500000
LH,50,5.250000,P1,5,50,1.000000
LH,47,5.875000,P1,5,47,1.500000
RH,66,6.500000,P1,1,66,2.000000
RH,66,6.666667,P1,1,66,2.000000
LH,46,7.125000,P1,5,46,2.500000
LH,49,7.666667,P1,5,49,3.000000
LH,42,8.333333,P1,5,42,3.500000
RH,71,9.125000,P1,1,71,4.000000
LH,43,9.625000,P1,5,43,4.500000
LH,42,10.125000,P1,5,42,5.000000
LH,40,10.875000,P1,5,40,5.500000
RH,73,10.875000,P1,1,73,5.500000
RH,74,11.500000,P1,1,74,5.875000
RH,71,11.666667,P1,1,71,6.000000
LH,38,11.750000,P1,5,38,6.000000
RH,78,14.125000,P1,1,78,7.500000
RH,78,14.750000,P1,1,78,8.000000
LH,58,15.500000,P1,5,58,8.500000
RH,61,15.500000,P1,5,61,8.500000
RH,61,16.125000,P1,5,61,9.000000
LH,58,16.750000,P1,5,58,9.500000
RH,61,16.750000,P1,5,61,9.500000
RH,79,16.750000,P1,1,79,9.500000
RH,76,17.250000,P1,1,76,9.875000
RH,76,17.375000,P1,1,76,10.000000
LH,59,18.125000,P1,5,59,10.500000
RH,66,18.125000,P1,5,66,10.500000
LH,59,18.750000,P1,5,59,11.000000
RH,66,18.750000,P1,5,66,11.000000
RH,74,18.750000,P1,1,74,11.000000
RH,74,19.000000,P1,1,74,11.000000
RH,62,19.375000,P1,5,62,11.500000
RH,78,19.375000,P1,1,78,11.500000
RH,71,19.750000,P1,1,71,11.875000
RH,64,20.000000,P1,5,64,12.000000
RH,73,20.125000,P1,1,73,12.000000
RH,73,20.375000,P1,1,73,12.000000
RH,62,20.750000,P1,5,62,12.500000
RH,71,20.750000,P1,1,71,12.500000
RH,64,21.500000,P1,5,64,13.000000
RH,74,21.500000,P1,1,74,13.000000
RH,73,21.875000,P1,1,73,13.250000
RH,66,22.333333,P1,5,66,13.500000
RH,71,22.333333,P1,1,71,13.500000
RH,70,22.750000,P1,1,70,13.750000
RH,67,23.250000,P1,5,67,14.000000
RH,71,23.250000,P1,1,71,14.000000
RH,79,27.125000,P1,1,79,15.750000
RH,78,27.500000,P1,1,78,16.000000
RH,76,27.750000,P1,1,76,16.250000
RH,75,28.125000,P1,1,75,16.500000
RH,76,28.375000,P1,1,76,16.750000
RH,78,28.750000,P1,1,78,17.000000
RH,76,29.000000,P1,1,76,17.250000
RH,79,29.375000,P1,1,79,17.500000
RH,76,29.666667,P1,1,76,17.750000
RH,70,30.125000,P1,1,70,18.000000
RH,64,30.250000,P1,5,64,18.000000
RH,67,30.250000,P1,5,67,18.000000
RH,71,31.625000,P1,1,71,19.000000
RH,62,31.666667,P1,5,62,19.000000
RH,66,31.666667,P1,5,66,19.000000
RH,83,32.500000,P1,1,83,19.500000
RH,79,32.875000,P1,1,79,19.750000
RH,78,33.250000,P1,1,78,20.000000
RH,76,33.500000,P1,1,76,20.250000
RH,75,33.875000,P1,1,75,20.500000
RH,76,34.125000,P1,1,76,20.750000
RH,78,34.500000,P1,1,78,21.000000
RH,76,34.875000,P1,1,76,21.250000
RH,79,35.125000,P1,1,79,21.500000
RH,76,35.500000,P1,1,76,21.750000
RH,70,35.875000,P1,1,70,22.000000
RH,64,36.000000,P1,5,64,22.000000
RH,67,36.000000,P1,5,67,22.000000
RH,71,37.333333,P1,1,71,23.000000
RH,62,37.375000,P1,5,62,23.000000
RH,66,37.375000,P1,5,66,23.000000
RH,83,38.250000,P1,1,83,23.500000
RH,79,38.500000,P1,1,79,23.750000
RH,78,38.875000,P1,1,78,24.000000
RH,76,39.250000,P1,1,76,24.250000
RH,75,39.500000,P1,1,75,24.500000
RH,76,39.875000,P1,1,76,24.750000
RH,78,40.125000,P1,1,78,25.000000
RH,76,40.500000,P1,1,76,25.250000
RH,79,40.750000,P1,1,79,25.500000
RH,76,41.125000,P1,1,76,25.750000
RH,82,41.625000,P1,1,82,26.000000
RH,73,41.666667,P1,1,73,26.000000
RH,64,41.750000,P1,5,64,26.000000
RH,67,41.750000,P1,5,67,26.000000
RH,74,43.000000,P1,1,74,27.000000
RH,83,43.000000,P1,1,83,27.000000
RH,62,43.125000,P1,5,62,27.000000
RH,66,43.125000,P1,5,66,27.000000
RH,64,43.666667,P1,5,64,27.500000
RH,76,43.666667,P1,1,76,27.500000
RH,64,43.875000,P1,5,64,27.500000
RH,79,43.875000,P1,1,79,27.500000
RH,74,44.333333,P1,1,74,28.000000
RH,78,44.333333,P1,1,78,28.000000
RH,66,44.375000,P1,5,66,28.000000
RH,73,45.000000,P1,1,73,28.500000
RH,76,45.000000,P1,1,76,28.500000
LH,54,45.666667,P1,5,54,29.000000
RH,71,45.666667,P1,1,71,29.000000
RH,74,45.750000,P1,1,74,29.000000
RH,74,46.000000,P1,1,74,29.000000
RH,70,46.500000,P1,1,70,29.500000
RH,73,46.500000,P1,1,73,29.500000
LH,47,47.375000,P1,5,47,30.000000
LH,59,47.375000,P1,5,59,30.000000
RH,71,47.500000,P1,1,71,30.000000
LH,59,50.000000,P1,1,59,32.000000
LH,59,50.250000,P1,1,59,32.000000
LH,47,50.625000,P1,5,47,32.500000
LH,50,51.250000,P1,5,50,33.000000
LH,47,51.875000,P1,5,47,33.500000
RH,66,52.500000,P1,1,66,34.000000
RH,66,52.750000,P1,1,66,34.000000
LH,46,53.125000,P1,5,46,34.500000
LH,49,53.750000,P1,5,49,35.000000
LH,42,54.375000,P1,5,42,35.500000
RH,71,55.000000,P1,1,71,36.000000
LH,43,55.666667,P1,5,43,36.500000
LH,42,56.333333,P1,5,42,37.000000
LH,40,57.000000,P1,5,40,37.500000
RH,73,57.000000,P1,1,73,37.500000
RH,74,57.625000,P1,1,74,37.750000
LH,38,57.875000,P1,5,38,38.000000
RH,71,57.875000,P1,1,71,38.000000
RH,73,58.875000,P1,1,73,38.500000
RH,74,59.375000,P1,1,74,38.875000
