hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,59,4.000000,P1,1,59,0.000000
LH,59,4.250000,P1,1,59,0.000000
LH,47,4.750000,P1,5,47,0.500000
LH,50,5.500000,P1,5,50,1.000000
LH,47,6.250000,P1,5,47,1.500000
RH,66,7.000000,P1,1,66,2.000000
RH,66,7.250000,P1,1,66,2.000000
LH,46,7.666667,P1,5,46,2.500000
LH,49,8.500000,P1,5,49,3.000000
LH,42,9.250000,P1,5,42,3.500000
RH,71,10.000000,P1,1,71,4.000000
RH,71,10.250000,P1,1,71,4.000000
LH,43,10.666667,P1,5,43,4.500000
LH,42,11.500000,P1,5,42,5.000000
LH,40,12.125000,P1,5,40,5.500000
RH,73,12.125000,P1,1,73,5.500000
RH,74,12.750000,P1,1,74,5.875000
LH,38,13.000000,P1,5,38,6.000000
RH,71,13.000000,P1,1,71,6.000000
RH,78,13.875000,P1,1,78,6.500000
RH,78,14.750000,P1,1,78,7.000000
RH,78,15.625000,P1,1,78,7.500000
RH,78,16.375000,P1,1,78,8.000000
LH,58,17.250000,P1,5,58,8.500000
RH,61,17.250000,P1,5,61,8.500000
RH,61,17.875000,P1,5,61,9.000000
LH,58,18.000000,P1,5,58,9.000000
RH,61,18.666667,P1,5,61,9.500000
RH,79,18.666667,P1,1,79,9.500000
LH,58,18.750000,P1,5,58,9.500000
RH,76,19.333333,P1,1,76,9.875000
RH,76,19.625000,P1,1,76,10.000000
LH,59,20.250000,P1,5,59,10.500000
RH,66,20.250000,P1,5,66,10.500000
LH,59,21.000000,P1,5,59,11.000000
RH,74,21.000000,P1,1,74,11.000000
RH,66,21.125000,P1,5,66,11.000000
RH,62,21.750000,P1,5,62,11.500000
RH,78,21.750000,P1,1,78,11.500000
RH,71,22.333333,P1,1,71,11.875000
RH,64,22.625000,P1,5,64,12.000000
RH,73,22.750000,P1,1,73,12.000000
RH,62,23.250000,P1,5,62,12.500000
RH,71,23.250000,P1,1,71,12.500000
RH,64,24.000000,P1,5,64,13.000000
RH,74,24.000000,P1,1,74,13.000000
RH,73,24.333333,P1,1,73,13.250000
RH,66,24.750000,P1,5,66,13.500000
RH,71,24.750000,P1,1,71,13.500000
RH,70,25.125000,P1,1,70,13.750000
RH,71,25.625000,P1,1,71,14.000000
RH,67,25.666667,P1,5,67,14.000000
RH,83,27.750000,P1,1,83,15.500000
RH,79,28.125000,P1,1,79,15.750000
RH,78,28.500000,P1,1,78,16.000000
RH,76,28.875000,P1,1,76,16.250000
RH,75,29.250000,P1,1,75,16.500000
RH,76,29.625000,P1,1,76,16.750000
RH,78,30.000000,P1,1,78,17.000000
RH,76,30.333333,P1,1,76,17.250000
RH,79,30.666667,P1,1,79,17.500000
RH,76,31.000000,P1,1,76,17.750000
RH,64,31.500000,P1,5,64,18.000000
RH,67,31.500000,P1,5,67,18.000000
RH,70,31.500000,P1,1,70,18.000000
RH,62,33.125000,P1,5,62,19.000000
RH,66,33.125000,P1,5,66,19.000000
RH,71,33.125000,P1,1,71,19.000000
RH,83,34.000000,P1,1,83,19.500000
RH,79,34.375000,P1,1,79,19.750000
RH,78,34.750000,P1,1,78,20.000000
RH,76,35.000000,P1,1,76,20.250000
RH,75,35.375000,P1,1,75,20.500000
RH,76,35.750000,P1,1,76,20.750000
RH,78,36.125000,P1,1,78,21.000000
RH,76,36.375000,P1,1,76,21.250000
RH,79,36.750000,P1,1,79,21.500000
RH,76,37.125000,P1,1,76,21.750000
RH,64,37.500000,P1,5,64,22.000000
RH,67,37.500000,P1,5,67,22.000000
RH,70,37.625000,P1,1,70,22.000000
RH,62,39.250000,P1,5,62,23.000000
RH,66,39.250000,P1,5,66,23.000000
RH,71,39.250000,P1,1,71,23.000000
RH,83,40.000000,P1,1,83,23.500000
RH,79,40.375000,P1,1,79,23.750000
RH,78,40.750000,P1,1,78,24.000000
RH,76,41.125000,P1,1,76,24.250000
RH,75,41.500000,P1,1,75,24.500000
RH,76,41.750000,P1,1,76,24.750000
RH,78,42.125000,P1,1,78,25.000000
RH,76,42.500000,P1,1,76,25.250000
RH,79,42.750000,P1,1,79,25.500000
RH,76,43.125000,P1,1,76,25.750000
RH,64,43.500000,P1,5,64,26.000000
RH,67,43.500000,P1,5,67,26.000000
RH,73,43.500000,P1,1,73,26.000000
RH,82,43.500000,P1,1,82,26.000000
RH,62,45.125000,P1,5,62,27.000000
RH,66,45.125000,P1,5,66,27.000000
RH,74,45.125000,P1,1,74,27.000000
RH,83,45.125000,P1,1,83,27.000000
RH,64,45.750000,P1,5,64,27.500000
RH,76,45.750000,P1,1,76,27.500000
RH,79,46.000000,P1,1,79,27.500000
RH,66,46.375000,P1,5,66,28.000000
RH,74,46.375000,P1,1,74,28.000000
RH,78,46.375000,P1,1,78,28.000000
RH,73,47.125000,P1,1,73,28.500000
RH,76,47.125000,P1,1,76,28.500000
LH,54,47.875000,P1,5,54,29.000000
RH,74,47.875000,P1,1,74,29.000000
RH,70,48.500000,P1,1,70,29.500000
RH,73,48.500000,P1,1,73,29.500000
LH,47,49.000000,P1,5,47,30.000000
LH,59,49.250000,P1,5,59,30.000000
RH,71,49.375000,P1,1,71,30.000000
LH,59,52.250000,P1,1,59,32.000000
LH,59,52.375000,P1,1,59,32.000000
LH,47,52.875000,P1,5,47,32.500000
LH,50,53.625000,P1,5,50,33.000000
LH,47,54.375000,P1,5,47,33.500000
RH,66,55.125000,P1,1,66,34.000000
RH,66,55.375000,P1,1,66,34.000000
LH,46,55.875000,P1,5,46,34.500000
LH,49,56.625000,P1,5,49,35.000000
LH,42,57.250000,P1,5,42,35.500000
RH,71,58.000000,P1,1,71,36.000000
LH,43,58.666667,P1,5,43,36.500000
LH,42,59.375000,P1,5,42,37.000000
LH,40,60.125000,P1,5,40,37.500000
RH,73,60.125000,P1,1,73,37.500000
RH,74,60.666667,P1,1,74,37.750000
LH,38,60.875000,P1,5,38,38.000000
RH,71,60.875000,P1,1,71,38.000000
RH,73,61.625000,P1,1,73,38.500000
RH,74,62.125000,P1,1,74,38.875000
RH,71,62.333333,P1,1,71,39.000000
RH,73,63.333333,P1,1,73,39.500000
RH,74,64.125000,P1,1,74,39.875000
RH,71,64.250000,P1,1,71,40.000000
LH,55,65.000000,P1,5,55,40.500000
RH,67,65.750000,P1,5,67,41.000000
RH,73,66.625000,P1,1,73,41.500000
RH,74,67.125000,P1,1,74,41.875000
RH,69,67.375000,P1,1,69,42.000000
LH,54,68.125000,P1,5,54,42.500000
RH,66,69.000000,P1,5,66,43.000000
RH,74,69.625000,P1,1,74,43.375000
RH,78,69.750000,P1,1,78,43.500000
RH,81,70.333333,P1,1,81,43.875000
RH,79,70.500000,P1,1,79,44.000000
RH,64,70.625000,P1,6,64,44.000000
RH,83,71.000000,P1,1,83,44.375000
RH,76,71.250000,P1,1,76,44.500000
RH,61,71.333333,P1,6,61,44.500000
RH,79,71.750000,P1,1,79,44.875000
RH,78,72.000000,P1,1,78,45.000000
RH,74,72.625000,P1,1,74,45.375000
LH,56,73.000000,P1,6,56,45.500000
RH,86,73.250000,P1,1,86,45.500000
RH,78,73.875000,P1,1,78,45.875000
LH,57,74.250000,P1,6,57,46.000000
RH,78,74.250000,P1,1,78,45.875000
RH,78,74.500000,P1,1,78,46.000000
RH,76,75.333333,P1,1,76,46.500000
LH,38,79.750000,P1,5,38,48.000000
LH,42,79.875000,P1,5,42,48.000000
LH,45,80.000000,P1,5,45,48.000000
LH,50,80.125000,P1,5,50,48.000000
RH,74,81.125000,P1,1,74,48.500000
RH,62,81.500000,P1,1,62,48.750000
LH,52,81.875000,P1,5,52,49.000000
RH,73,81.875000,P1,1,73,49.000000
RH,62,82.250000,P1,1,62,49.250000
LH,54,82.625000,P1,5,54,49.500000
RH,72,82.625000,P1,1,72,49.500000
RH,62,83.000000,P1,1,62,49.750000
LH,55,83.333333,P1,5,55,50.000000
RH,71,83.333333,P1,1,71,50.000000
RH,62,83.750000,P1,1,62,50.250000
LH,54,84.125000,P1,5,54,50.500000
RH,70,84.125000,P1,1,70,50.500000
RH,62,84.375000,P1,1,62,50.750000
LH,55,84.750000,P1,5,55,51.000000
RH,71,84.750000,P1,1,71,51.000000
RH,62,85.250000,P1,1,62,51.250000
LH,59,85.500000,P1,5,59,51.500000
RH,67,85.500000,P1,1,67,51.500000
RH,62,85.875000,P1,1,62,51.750000
LH,38,86.000000,P1,5,38,52.000000
LH,42,86.125000,P1,5,42,52.000000
LH,45,86.125000,P1,5,45,52.000000
LH,50,86.250000,P1,5,50,52.000000
RH,66,86.333333,P1,1,66,52.000000
RH,62,86.625000,P1,1,62,52.250000
RH,74,87.000000,P1,1,74,52.500000
RH,62,87.500000,P1,1,62,52.750000
LH,52,87.750000,P1,5,52,53.000000
RH,73,87.750000,P1,1,73,53.000000
RH,62,88.125000,P1,1,62,53.250000
LH,54,88.500000,P1,5,54,53.500000
RH,72,88.500000,P1,1,72,53.500000
RH,62,88.875000,P1,1,62,53.750000
LH,55,89.250000,P1,5,55,54.000000
RH,71,89.250000,P1,1,71,54.000000
RH,62,89.625000,P1,1,62,54.250000
LH,54,90.000000,P1,5,54,54.500000
RH,70,90.000000,P1,1,70,54.500000
RH,62,90.333333,P1,1,62,54.750000
LH,55,90.666667,P1,5,55,55.000000
RH,71,90.666667,P1,1,71,55.000000
RH,62,91.000000,P1,1,62,55.250000
LH,59,91.375000,P1,5,59,55.500000
RH,67,91.375000,P1,1,67,55.500000
RH,62,91.750000,P1,1,62,55.750000
RH,66,92.125000,P1,1,66,56.000000
LH,38,92.333333,P1,5,38,56.000000
LH,45,92.333333,P1,5,45,56.000000
LH,50,92.333333,P1,5,50,56.000000
LH,42,92.375000,P1,5,42,56.000000
RH,62,92.666667,P1,1,62,56.250000
RH,74,93.333333,P1,1,74,56.500000
RH,62,93.875000,P1,1,62,56.750000
LH,52,94.250000,P1,5,52,57.000000
RH,73,94.250000,P1,1,73,57.000000
RH,62,94.625000,P1,1,62,57.250000
LH,54,95.000000,P1,5,54,57.500000
RH,72,95.000000,P1,1,72,57.500000
RH,62,95.333333,P1,1,62,57.750000
LH,55,95.750000,P1,5,55,58.000000
RH,71,95.750000,P1,1,71,58.000000
RH,62,96.125000,P1,1,62,58.250000
LH,54,96.500000,P1,5,54,58.500000
RH,70,96.500000,P1,1,70,58.500000
RH,62,96.875000,P1,1,62,58.750000
LH,55,97.250000,P1,5,55,59.000000
RH,71,97.250000,P1,1,71,59.000000
RH,62,97.500000,P1,1,62,59.250000
LH,59,97.875000,P1,5,59,59.500000
RH,74,97.875000,P1,1,74,59.500000
RH,62,98.250000,P1,1,62,59.750000
LH,54,98.625000,P1,5,54,60.000000
RH,69,98.625000,P1,1,69,60.000000
RH,62,99.000000,P1,1,62,60.250000
LH,53,99.375000,P1,5,53,60.500000
RH,68,99.375000,P1,1,68,60.500000
RH,62,99.750000,P1,1,62,60.750000
LH,54,100.125000,P1,5,54,61.000000
RH,69,100.125000,P1,1,69,61.000000
RH,62,100.500000,P1,1,62,61.250000
LH,57,100.875000,P1,5,57,61.500000
RH,72,100.875000,P1,1,72,61.500000
RH,62,101.250000,P1,1,62,61.750000
LH,55,101.625000,P1,5,55,62.000000
RH,71,101.625000,P1,1,71,62.000000
RH,62,102.000000,P1,1,62,62.250000
LH,54,102.333333,P1,5,54,62.500000
RH,70,102.333333,P1,1,70,62.500000
RH,62,102.750000,P1,1,62,62.750000
LH,55,103.125000,P1,5,55,63.000000
RH,71,103.125000,P1,1,71,63.000000
RH,62,103.375000,P1,1,62,63.250000
LH,59,103.750000,P1,5,59,63.500000
RH,74,103.750000,P1,1,74,63.500000
RH,62,104.125000,P1,1,62,63.750000
LH,54,104.500000,P1,5,54,64.000000
RH,69,104.500000,P1,1,69,64.000000
RH,62,104.875000,P1,1,62,64.250000
LH,53,105.250000,P1,5,53,64.500000
RH,68,105.250000,P1,1,68,64.500000
RH,62,105.500000,P1,1,62,64.750000
LH,54,106.000000,P1,5,54,65.000000
RH,69,106.000000,P1,1,69,65.000000
RH,62,106.333333,P1,1,62,65.250000
LH,57,106.750000,P1,5,57,65.500000
RH,72,106.750000,P1,1,72,65.500000
RH,62,107.125000,P1,1,62,65.750000
LH,55,107.375000,P1,5,55,66.000000
RH,71,107.375000,P1,1,71,66.000000
LH,59,107.750000,P1,5,59,66.250000
RH,62,107.750000,P1,1,62,66.250000
LH,55,108.125000,P1,5,55,66.500000
RH,71,108.125000,P1,1,71,66.500000
LH,59,108.500000,P1,5,59,66.750000
RH,62,108.500000,P1,1,62,66.750000
LH,54,108.875000,P1,5,54,67.000000
RH,69,108.875000,P1,1,69,67.000000
RH,60,109.250000,P1,5,60,67.250000
RH,63,109.250000,P1,1,63,67.250000
LH,54,109.625000,P1,5,54,67.500000
RH,69,109.625000,P1,1,69,67.500000
RH,60,109.875000,P1,5,60,67.750000
RH,63,109.875000,P1,1,63,67.750000
LH,55,110.333333,P1,5,55,68.000000
RH,67,110.333333,P1,1,67,68.000000
LH,59,110.666667,P1,5,59,68.250000
RH,64,110.666667,P1,1,64,68.250000
LH,55,111.000000,P1,5,55,68.500000
RH,67,111.000000,P1,1,67,68.500000
LH,59,111.333333,P1,5,59,68.750000
RH,64,111.333333,P1,1,64,68.750000
LH,57,111.666667,P1,5,57,69.000000
RH,66,111.666667,P1,1,66,69.000000
RH,60,112.125000,P1,5,60,69.250000
RH,63,112.125000,P1,1,63,69.250000
LH,57,112.500000,P1,5,57,69.500000
RH,66,112.500000,P1,1,66,69.500000
RH,60,112.750000,P1,5,60,69.750000
RH,63,112.750000,P1,1,63,69.750000
LH,55,113.125000,P1,5,55,70.000000
RH,67,113.125000,P1,1,67,70.000000
LH,59,113.500000,P1,5,59,70.250000
RH,64,113.500000,P1,1,64,70.250000
LH,55,113.750000,P1,5,55,70.500000
RH,67,113.750000,P1,1,67,70.500000
LH,59,114.125000,P1,5,59,70.750000
RH,64,114.125000,P1,1,64,70.750000
LH,56,114.500000,P1,5,56,71.000000
RH,66,114.500000,P1,1,66,71.000000
LH,59,114.875000,P1,5,59,71.250000
RH,62,114.875000,P1,1,62,71.250000
LH,56,115.250000,P1,5,56,71.500000
RH,66,115.250000,P1,1,66,71.500000
LH,59,115.500000,P1,5,59,71.750000
RH,62,115.500000,P1,1,62,71.750000
LH,45,116.000000,P1,5,45,72.000000
RH,61,116.000000,P1,1,61,72.000000
LH,57,116.500000,P1,5,57,72.250000
LH,47,116.750000,P1,5,47,72.500000
RH,62,116.750000,P1,1,62,72.500000
LH,57,117.125000,P1,5,57,72.750000
LH,49,117.500000,P1,5,49,73.000000
RH,64,117.500000,P1,1,64,73.000000
LH,57,117.875000,P1,5,57,73.250000
LH,50,118.250000,P1,5,50,73.500000
RH,66,118.375000,P1,1,66,73.500000
LH,57,118.625000,P1,5,57,73.750000
LH,52,118.875000,P1,5,52,74.000000
RH,67,118.875000,P1,1,67,74.000000
LH,57,119.250000,P1,5,57,74.250000
LH,51,119.625000,P1,5,51,74.500000
RH,66,119.625000,P1,1,66,74.500000
LH,57,119.875000,P1,5,57,74.750000
LH,52,120.333333,P1,5,52,75.000000
RH,67,120.333333,P1,1,67,75.000000
LH,57,120.625000,P1,5,57,75.250000
LH,49,121.000000,P1,5,49,75.500000
RH,64,121.000000,P1,1,64,75.500000
LH,57,121.333333,P1,5,57,75.750000
LH,50,121.666667,P1,5,50,76.000000
RH,66,121.750000,P1,1,66,76.000000
RH,62,122.125000,P1,1,62,76.250000
LH,52,122.375000,P1,5,52,76.500000
RH,67,122.375000,P1,1,67,76.500000
RH,62,122.750000,P1,1,62,76.750000
LH,54,123.125000,P1,5,54,77.000000
RH,69,123.125000,P1,1,69,77.000000
RH,62,123.500000,P1,1,62,77.250000
LH,55,123.875000,P1,5,55,77.500000
RH,71,123.875000,P1,1,71,77.500000
RH,62,124.125000,P1,1,62,77.750000
LH,57,124.500000,P1,5,57,78.000000
RH,72,124.500000,P1,1,72,78.000000
RH,62,124.875000,P1,1,62,78.250000
LH,56,125.250000,P1,5,56,78.500000
RH,71,125.250000,P1,1,71,78.500000
RH,62,125.500000,P1,1,62,78.750000
LH,57,126.000000,P1,5,57,79.000000
RH,72,126.000000,P1,1,72,79.000000
RH,62,126.333333,P1,1,62,79.250000
LH,54,126.666667,P1,5,54,79.500000
RH,69,126.666667,P1,1,69,79.500000
RH,62,127.000000,P1,1,62,79.750000
LH,55,127.375000,P1,5,55,80.000000
RH,71,127.375000,P1,1,71,80.000000
RH,62,127.750000,P1,1,62,80.250000
LH,54,128.125000,P1,5,54,80.500000
RH,70,128.125000,P1,1,70,80.500000
RH,62,128.375000,P1,1,62,80.750000
LH,55,128.750000,P1,5,55,81.000000
RH,71,128.750000,P1,1,71,81.000000
RH,62,129.125000,P1,1,62,81.250000
RH,67,129.375000,P1,5,67,81.500000
RH,73,129.375000,P1,1,73,81.500000
RH,66,130.125000,P1,5,66,82.000000
RH,74,130.125000,P1,1,74,82.000000
RH,62,130.500000,P1,1,62,82.250000
RH,61,130.875000,P1,5,61,82.500000
RH,76,130.875000,P1,1,76,82.500000
RH,62,131.500000,P1,5,62,83.000000
RH,78,131.500000,P1,1,78,83.000000
RH,64,132.125000,P1,5,64,83.500000
RH,79,132.125000,P1,1,79,83.500000
RH,66,132.875000,P1,5,66,84.000000
RH,81,132.875000,P1,1,81,84.000000
RH,86,133.500000,P1,1,86,84.500000
RH,85,133.750000,P1,1,85,84.666667
RH,83,134.000000,P1,1,83,84.833333
RH,81,134.125000,P1,1,81,85.000000
RH,79,134.333333,P1,1,79,85.166667
RH,78,134.500000,P1,1,78,85.333333
RH,76,134.666667,P1,1,76,85.500000
RH,74,134.875000,P1,1,74,85.666667
RH,73,135.000000,P1,1,73,85.833333
LH,55,135.250000,P1,5,55,86.000000
RH,71,135.250000,P1,1,71,86.000000
RH,66,136.000000,P1,1,66,86.500000
RH,67,136.125000,P1,1,67,86.666667
RH,69,136.333333,P1,1,69,86.833333
RH,71,136.500000,P1,1,71,87.000000
RH,73,136.666667,P1,1,73,87.166667
RH,74,136.875000,P1,1,74,87.333333
RH,76,137.000000,P1,1,76,87.500000
RH,78,137.250000,P1,1,78,87.666667
RH,79,137.333333,P1,1,79,87.833333
RH,81,137.625000,P1,1,81,88.000000
LH,54,138.250000,P1,5,54,88.500000
RH,78,138.250000,P1,1,78,88.500000
RH,74,138.500000,P1,1,74,88.833333
RH,76,138.500000,P1,1,76,88.666667
LH,55,138.875000,P1,5,55,89.000000
RH,76,138.875000,P1,1,76,89.000000
LH,57,139.625000,P1,5,57,89.500000
LH,50,140.250000,P1,5,50,90.000000
RH,74,140.250000,P1,1,74,90.000000
RH,86,141.250000,P1,1,86,90.500000
