hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,59,3.875000,P1,1,59,0.000000
LH,59,4.125000,P1,1,59,0.000000
LH,47,4.625000,P1,5,47,0.500000
LH,50,5.250000,P1,5,50,1.000000
LH,47,6.000000,P1,5,47,1.500000
RH,66,6.666667,P1,1,66,2.000000
RH,66,6.875000,P1,1,66,2.000000
LH,46,7.375000,P1,5,46,2.500000
LH,49,8.125000,P1,5,49,3.000000
LH,42,8.750000,P1,5,42,3.500000
RH,71,9.500000,P1,1,71,4.000000
RH,71,9.750000,P1,1,71,4.000000
LH,43,10.125000,P1,5,43,4.500000
LH,42,10.750000,P1,5,42,5.000000
LH,40,11.500000,P1,5,40,5.500000
RH,73,11.500000,P1,1,73,5.500000
RH,74,12.125000,P1,1,74,5.875000
LH,38,12.375000,P1,5,38,6.000000
RH,71,12.375000,P1,1,71,6.000000
RH,78,15.500000,P1,1,78,8.000000
RH,61,16.250000,P1,5,61,8.500000
LH,58,16.333333,P1,5,58,8.500000
LH,58,17.000000,P1,5,58,9.000000
RH,61,17.000000,P1,5,61,9.000000
RH,79,17.625000,P1,1,79,9.500000
LH,58,17.666667,P1,5,58,9.500000
RH,61,17.666667,P1,5,61,9.500000
RH,76,18.250000,P1,1,76,9.875000
RH,76,18.375000,P1,1,76,10.000000
LH,59,19.125000,P1,5,59,10.500000
RH,66,19.125000,P1,5,66,10.500000
LH,59,19.875000,P1,5,59,11.000000
RH,66,19.875000,P1,5,66,11.000000
RH,74,19.875000,P1,1,74,11.000000
RH,62,20.500000,P1,5,62,11.500000
RH,78,20.500000,P1,1,78,11.500000
RH,71,21.000000,P1,1,71,11.875000
RH,64,21.250000,P1,5,64,12.000000
RH,73,21.375000,P1,1,73,12.000000
RH,71,21.875000,P1,1,71,12.500000
RH,62,22.000000,P1,5,62,12.500000
RH,64,22.666667,P1,5,64,13.000000
RH,74,22.666667,P1,1,74,13.000000
RH,73,23.000000,P1,1,73,13.250000
RH,71,23.375000,P1,1,71,13.500000
RH,66,23.500000,P1,5,66,13.500000
RH,70,23.750000,P1,1,70,13.750000
RH,67,24.250000,P1,5,67,14.000000
RH,71,24.250000,P1,1,71,14.000000
RH,83,27.250000,P1,1,83,15.500000
RH,79,27.625000,P1,1,79,15.750000
RH,78,27.875000,P1,1,78,16.000000
RH,76,28.250000,P1,1,76,16.250000
RH,75,28.625000,P1,1,75,16.500000
RH,76,29.000000,P1,1,76,16.750000
RH,78,29.333333,P1,1,78,17.000000
RH,76,29.625000,P1,1,76,17.250000
RH,79,30.000000,P1,1,79,17.500000
RH,76,30.333333,P1,1,76,17.750000
RH,64,30.750000,P1,5,64,18.000000
RH,67,30.750000,P1,5,67,18.000000
RH,70,30.750000,P1,1,70,18.000000
RH,62,32.333333,P1,5,62,19.000000
RH,66,32.333333,P1,5,66,19.000000
RH,71,32.333333,P1,1,71,19.000000
RH,83,33.125000,P1,1,83,19.500000
RH,79,33.500000,P1,1,79,19.750000
RH,78,33.750000,P1,1,78,20.000000
RH,76,34.125000,P1,1,76,20.250000
RH,75,34.500000,P1,1,75,20.500000
RH,76,34.750000,P1,1,76,20.750000
RH,78,35.125000,P1,1,78,21.000000
RH,76,35.500000,P1,1,76,21.250000
RH,79,35.750000,P1,1,79,21.500000
RH,76,36.125000,P1,1,76,21.750000
RH,64,36.500000,P1,5,64,22.000000
RH,67,36.500000,P1,5,67,22.000000
RH,70,36.500000,P1,1,70,22.000000
RH,62,38.125000,P1,5,62,23.000000
RH,66,38.125000,P1,5,66,23.000000
RH,71,38.125000,P1,1,71,23.000000
RH,83,38.875000,P1,1,83,23.500000
RH,79,39.250000,P1,1,79,23.750000
RH,78,39.500000,P1,1,78,24.000000
RH,76,39.875000,P1,1,76,24.250000
RH,75,40.250000,P1,1,75,24.500000
RH,76,40.500000,P1,1,76,24.750000
RH,78,40.875000,P1,1,78,25.000000
RH,76,41.250000,P1,1,76,25.250000
RH,79,41.500000,P1,1,79,25.500000
RH,76,41.875000,P1,1,76,25.750000
RH,64,42.250000,P1,5,64,26.000000
RH,67,42.250000,P1,5,67,26.000000
RH,73,42.250000,P1,1,73,26.000000
RH,82,42.250000,P1,1,82,26.000000
RH,62,43.666667,P1,5,62,27.000000
RH,66,43.666667,P1,5,66,27.000000
RH,74,43.666667,P1,1,74,27.000000
RH,83,43.666667,P1,1,83,27.000000
RH,64,44.375000,P1,5,64,27.500000
RH,76,44.500000,P1,1,76,27.500000
RH,79,44.500000,P1,1,79,27.500000
RH,66,45.000000,P1,5,66,28.000000
RH,74,45.000000,P1,1,74,28.000000
RH,78,45.000000,P1,1,78,28.000000
RH,73,45.666667,P1,1,73,28.500000
