hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,71,1.875000,P1,1,71,0.000000
RH,72,2.750000,P1,1,72,0.750000
RH,74,2.875000,P1,1,74,0.875000
RH,67,4.500000,P1,1,67,2.500000
RH,72,7.500000,P1,5,72,5.000000
RH,71,8.000000,P1,5,71,5.500000
RH,69,8.750000,P1,5,69,6.000000
RH,67,9.125000,P1,5,67,6.500000
RH,62,10.875000,P1,5,62,8.000000
RH,66,10.875000,P1,1,66,8.000000
RH,74,10.875000,P1,1,74,8.000000
RH,62,12.000000,P1,5,62,9.000000
RH,62,12.625000,P1,5,62,9.500000
RH,62,13.125000,P1,5,62,10.000000
RH,62,13.750000,P1,5,62,10.500000
RH,76,14.000000,P1,1,76,10.500000
RH,62,14.250000,P1,5,62,11.000000
RH,62,14.750000,P1,5,62,11.500000
RH,62,15.375000,P1,5,62,12.000000
RH,83,16.375000,P1,1,83,13.000000
RH,62,16.500000,P1,5,62,13.000000
RH,62,17.625000,P1,5,62,14.000000
RH,62,18.666667,P1,5,62,15.000000
RH,69,26.000000,P1,1,69,21.000000
RH,81,35.250000,P1,1,81,28.875000
RH,62,40.125000,P1,5,62,33.000000
LH,50,46.875000,P1,5,50,39.000000
RH,79,54.000000,P1,1,79,45.000000
RH,69,60.250000,P1,1,69,50.000000
RH,72,70.333333,P1,1,72,58.500000
RH,74,73.500000,P1,1,74,61.500000
RH,79,78.000000,P1,1,79,64.000000
RH,81,78.750000,P1,1,81,64.750000
RH,82,78.875000,P1,1,82,64.875000
RH,72,81.333333,P1,1,72,67.000000
RH,69,81.625000,P1,1,69,67.375000
RH,72,81.625000,P1,1,72,67.000000
RH,70,82.125000,P1,1,70,67.500000
RH,67,83.000000,P1,1,67,67.875000
RH,69,94.500000,P1,1,69,77.000000
RH,67,95.000000,P1,1,67,77.500000
RH,62,95.750000,P1,5,62,78.000000
RH,72,106.875000,P1,1,72,86.166667
RH,74,110.375000,P1,1,74,89.000000
RH,67,113.125000,P1,5,67,91.000000
RH,62,114.500000,P1,5,62,92.000000
RH,62,117.125000,P1,5,62,94.000000
RH,74,120.375000,P1,1,74,96.000000
RH,77,127.250000,P1,1,77,100.833333
RH,66,134.750000,P1,1,66,106.000000
RH,72,145.750000,P1,1,72,112.875000
RH,79,150.125000,P1,1,79,116.375000
RH,71,154.875000,P1,1,71,120.500000
RH,69,156.625000,P1,1,69,121.875000
RH,61,161.500000,P1,5,61,126.500000
RH,66,162.875000,P1,5,66,127.500000
RH,62,163.500000,P1,5,62,128.000000
RH,66,163.500000,P1,5,66,128.000000
RH,74,163.500000,P1,1,74,128.000000
RH,62,164.000000,P1,5,62,128.500000
RH,66,164.000000,P1,5,66,128.500000
RH,62,164.666667,P1,5,62,129.000000
RH,62,165.250000,P1,5,62,129.500000
RH,66,166.875000,P1,5,66,131.000000
RH,66,167.375000,P1,5,66,131.500000
RH,62,167.875000,P1,5,62,132.000000
RH,74,171.333333,P1,1,74,134.875000
RH,71,172.666667,P1,1,71,136.000000
RH,66,181.875000,P1,5,66,144.000000
RH,67,183.625000,P1,1,67,145.500000
RH,81,186.333333,P1,1,81,147.875000
RH,62,186.500000,P1,5,62,148.000000
RH,62,187.125000,P1,5,62,148.500000
RH,62,187.625000,P1,5,62,149.000000
RH,83,187.625000,P1,1,83,149.000000
RH,62,188.125000,P1,5,62,149.500000
RH,83,188.125000,P1,1,83,149.500000
LH,57,188.666667,P1,5,57,150.000000
RH,76,191.666667,P1,1,76,152.375000
LH,59,194.000000,P1,5,59,154.500000
RH,76,196.000000,P1,1,76,156.375000
RH,72,207.000000,P1,1,72,165.750000
RH,76,212.875000,P1,1,76,170.375000
RH,72,217.500000,P1,1,72,174.250000
LH,50,220.750000,P1,5,50,177.000000
LH,50,221.375000,P1,5,50,177.500000
RH,62,226.666667,P1,5,62,182.000000
LH,50,227.375000,P1,5,50,182.500000
RH,79,232.000000,P1,1,79,184.500000
RH,76,232.625000,P1,1,76,184.750000
RH,76,233.333333,P1,1,76,185.500000
RH,76,237.875000,P1,1,76,189.500000
RH,62,240.875000,P1,5,62,192.000000
RH,62,241.375000,P1,5,62,192.500000
RH,76,241.750000,P1,1,76,193.000000
RH,74,244.250000,P1,1,74,195.000000
RH,66,244.750000,P1,5,66,195.500000
LH,59,245.875000,P1,5,59,196.500000
RH,61,247.125000,P1,5,61,197.500000
RH,66,247.666667,P1,1,66,198.000000
RH,78,256.500000,P1,1,78,205.500000
RH,66,264.333333,P1,5,66,212.000000
LH,59,269.250000,P1,5,59,216.000000
RH,71,269.250000,P1,1,71,215.875000
RH,79,272.000000,P1,1,79,218.500000
RH,62,272.750000,P1,5,62,219.000000
RH,74,275.875000,P1,1,74,221.875000
RH,71,281.500000,P1,1,71,226.000000
