hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,3.875000,P1,1,68,0.000000
LH,56,4.625000,P1,5,56,0.500000
RH,60,4.625000,P1,5,60,0.500000
LH,56,5.333333,P1,5,56,1.000000
RH,60,5.333333,P1,5,60,1.000000
LH,56,6.000000,P1,5,56,1.500000
RH,60,6.000000,P1,5,60,1.500000
LH,55,7.500000,P1,5,55,2.500000
LH,58,7.500000,P1,5,58,2.500000
LH,55,8.125000,P1,5,55,3.000000
LH,58,8.125000,P1,5,58,3.000000
LH,55,8.875000,P1,5,55,3.500000
LH,58,8.875000,P1,5,58,3.500000
RH,73,9.125000,P1,1,73,3.750000
RH,73,9.500000,P1,1,73,4.000000
LH,56,10.125000,P1,5,56,4.500000
RH,63,10.125000,P1,5,63,4.500000
LH,56,10.875000,P1,5,56,5.000000
RH,63,10.875000,P1,5,63,5.000000
RH,72,10.875000,P1,1,72,5.000000
LH,56,11.625000,P1,5,56,5.500000
RH,63,11.625000,P1,5,63,5.500000
RH,73,11.875000,P1,1,73,5.750000
RH,72,12.333333,P1,1,72,6.000000
RH,61,13.000000,P1,5,61,6.500000
RH,65,13.000000,P1,5,65,6.500000
RH,61,13.625000,P1,5,61,7.000000
RH,65,13.625000,P1,5,65,7.000000
RH,70,13.625000,P1,1,70,7.000000
RH,61,14.375000,P1,5,61,7.500000
RH,65,14.375000,P1,5,65,7.500000
RH,72,14.666667,P1,1,72,7.750000
RH,70,15.125000,P1,1,70,8.000000
RH,60,15.750000,P1,5,60,8.500000
RH,63,15.750000,P1,5,63,8.500000
RH,60,16.500000,P1,5,60,9.000000
RH,63,16.500000,P1,5,63,9.000000
RH,68,16.500000,P1,1,68,9.000000
RH,67,17.000000,P1,1,67,9.375000
RH,68,17.125000,P1,1,68,9.500000
RH,60,17.250000,P1,5,60,9.500000
RH,63,17.250000,P1,5,63,9.500000
RH,70,17.750000,P1,1,70,9.750000
RH,63,17.875000,P1,5,63,10.000000
RH,68,17.875000,P1,1,68,10.000000
RH,60,18.000000,P1,5,60,10.000000
RH,80,20.875000,P1,1,80,12.000000
RH,84,21.125000,P1,1,84,12.166667
RH,82,21.375000,P1,1,82,12.333333
RH,80,21.625000,P1,1,80,12.500000
RH,79,21.750000,P1,1,79,12.666667
RH,77,22.000000,P1,1,77,12.833333
RH,75,22.125000,P1,1,75,13.000000
RH,73,22.375000,P1,1,73,13.166667
RH,72,22.625000,P1,1,72,13.333333
RH,70,22.750000,P1,1,70,13.500000
RH,68,23.000000,P1,1,68,13.666667
RH,67,23.250000,P1,1,67,13.833333
RH,65,23.500000,P1,1,65,14.000000
LH,49,24.125000,P1,5,49,14.500000
LH,56,24.125000,P1,5,56,14.500000
LH,49,24.875000,P1,5,49,15.000000
LH,56,24.875000,P1,5,56,15.000000
LH,49,25.625000,P1,5,49,15.500000
LH,58,25.625000,P1,5,58,15.500000
RH,67,25.875000,P1,1,67,15.750000
RH,67,26.250000,P1,1,67,16.000000
LH,48,27.000000,P1,5,48,16.500000
LH,51,27.000000,P1,5,51,16.500000
LH,48,27.666667,P1,5,48,17.000000
LH,51,27.666667,P1,5,51,17.000000
RH,68,27.666667,P1,1,68,17.000000
RH,72,27.875000,P1,1,72,17.166667
RH,70,28.125000,P1,1,70,17.333333
LH,49,28.333333,P1,5,49,17.500000
LH,53,28.333333,P1,5,53,17.500000
RH,68,28.333333,P1,1,68,17.500000
RH,67,28.500000,P1,1,67,17.666667
RH,65,28.750000,P1,1,65,17.833333
RH,63,29.000000,P1,1,63,18.000000
LH,51,29.750000,P1,5,51,18.500000
RH,60,29.750000,P1,5,60,18.500000
RH,60,30.125000,P1,1,60,18.750000
RH,61,30.250000,P1,1,61,18.875000
LH,51,30.375000,P1,5,51,19.000000
LH,58,30.375000,P1,5,58,19.000000
RH,61,30.625000,P1,1,61,19.000000
LH,58,31.000000,P1,5,58,19.500000
LH,51,31.125000,P1,5,51,19.500000
LH,58,31.750000,P1,1,58,20.000000
RH,61,31.750000,P1,1,61,20.000000
LH,44,32.375000,P1,5,44,20.500000
LH,56,32.375000,P1,5,56,20.500000
LH,44,33.125000,P1,5,44,21.000000
LH,51,33.125000,P1,5,51,21.000000
LH,56,33.125000,P1,1,56,21.000000
RH,60,33.125000,P1,1,60,21.000000
LH,44,33.875000,P1,5,44,21.500000
LH,51,33.875000,P1,5,51,21.500000
RH,65,34.625000,P1,1,65,22.000000
LH,49,35.333333,P1,5,49,22.500000
LH,53,35.333333,P1,5,53,22.500000
LH,49,36.000000,P1,5,49,23.000000
LH,53,36.000000,P1,5,53,23.000000
RH,67,36.250000,P1,1,67,23.166667
RH,68,36.500000,P1,1,68,23.333333
LH,49,36.666667,P1,5,49,23.500000
LH,51,36.666667,P1,5,51,23.500000
RH,67,36.666667,P1,1,67,23.500000
RH,68,36.875000,P1,1,68,23.666667
RH,70,37.125000,P1,1,70,23.833333
LH,48,37.333333,P1,5,48,24.000000
LH,51,37.333333,P1,5,51,24.000000
RH,68,37.333333,P1,1,68,24.000000
RH,70,37.500000,P1,1,70,24.166667
RH,72,37.750000,P1,1,72,24.333333
RH,70,38.000000,P1,1,70,24.500000
RH,72,38.250000,P1,1,72,24.666667
RH,73,38.500000,P1,1,73,24.833333
RH,72,38.666667,P1,1,72,25.000000
RH,73,38.875000,P1,1,73,25.166667
RH,75,39.125000,P1,1,75,25.333333
RH,73,39.250000,P1,1,73,25.500000
RH,75,39.500000,P1,1,75,25.666667
RH,77,39.750000,P1,1,77,25.833333
RH,75,40.000000,P1,1,75,26.000000
RH,73,40.125000,P1,1,73,26.166667
RH,72,40.375000,P1,1,72,26.333333
RH,70,40.625000,P1,1,70,26.500000
RH,68,40.875000,P1,1,68,26.666667
RH,67,41.000000,P1,1,67,26.833333
RH,68,41.250000,P1,1,68,27.000000
RH,72,41.500000,P1,1,72,27.166667
RH,70,41.750000,P1,1,70,27.333333
RH,68,41.875000,P1,1,68,27.500000
RH,67,42.125000,P1,1,67,27.666667
RH,65,42.375000,P1,1,65,27.833333
LH,51,42.666667,P1,5,51,28.000000
RH,60,42.666667,P1,5,60,28.000000
RH,63,42.666667,P1,1,63,28.000000
LH,51,43.375000,P1,5,51,28.500000
RH,60,43.375000,P1,5,60,28.500000
RH,60,43.666667,P1,1,60,28.750000
RH,61,43.875000,P1,1,61,28.875000
LH,51,44.125000,P1,5,51,29.000000
LH,58,44.125000,P1,5,58,29.000000
RH,61,44.125000,P1,1,61,29.000000
LH,51,44.750000,P1,5,51,29.500000
LH,58,44.750000,P1,5,58,29.500000
RH,61,45.250000,P1,1,61,30.000000
LH,58,45.333333,P1,1,58,30.000000
LH,44,46.000000,P1,5,44,30.500000
LH,56,46.000000,P1,5,56,30.500000
LH,44,46.750000,P1,5,44,31.000000
LH,51,46.750000,P1,5,51,31.000000
LH,56,46.750000,P1,1,56,31.000000
RH,60,46.750000,P1,1,60,31.000000
LH,44,47.500000,P1,5,44,31.500000
LH,51,47.500000,P1,5,51,31.500000
RH,68,48.875000,P1,5,68,32.500000
RH,72,48.875000,P1,5,72,32.500000
RH,68,49.500000,P1,5,68,33.000000
RH,72,49.500000,P1,5,72,33.000000
RH,84,49.750000,P1,1,84,33.000000
RH,82,49.875000,P1,1,82,33.250000
RH,80,50.125000,P1,1,80,33.375000
RH,68,50.250000,P1,5,68,33.500000
RH,72,50.250000,P1,5,72,33.500000
RH,80,50.375000,P1,1,80,33.500000
RH,79,50.625000,P1,1,79,33.750000
RH,77,50.666667,P1,1,77,33.875000
RH,77,51.000000,P1,1,77,34.000000
RH,67,51.625000,P1,5,67,34.500000
RH,70,51.625000,P1,5,70,34.500000
RH,76,52.250000,P1,1,76,35.000000
RH,67,52.375000,P1,5,67,35.000000
RH,70,52.375000,P1,5,70,35.000000
RH,67,53.000000,P1,5,67,35.500000
RH,70,53.000000,P1,5,70,35.500000
RH,79,53.333333,P1,1,79,35.750000
RH,73,53.750000,P1,1,73,36.000000
RH,64,54.500000,P1,5,64,36.500000
RH,67,54.500000,P1,5,67,36.500000
RH,64,55.250000,P1,5,64,37.000000
RH,67,55.250000,P1,5,67,37.000000
RH,72,55.250000,P1,1,72,37.000000
RH,64,55.875000,P1,5,64,37.500000
RH,67,55.875000,P1,5,67,37.500000
RH,70,56.250000,P1,1,70,37.750000
RH,65,56.625000,P1,5,65,38.000000
RH,68,56.625000,P1,1,68,38.000000
RH,65,56.875000,P1,1,65,38.166667
RH,67,57.125000,P1,1,67,38.333333
RH,68,57.333333,P1,1,68,38.500000
RH,70,57.500000,P1,1,70,38.666667
RH,72,57.750000,P1,1,72,38.833333
RH,74,58.000000,P1,1,74,39.000000
RH,76,58.125000,P1,1,76,39.166667
RH,77,58.375000,P1,1,77,39.333333
RH,79,58.625000,P1,1,79,39.500000
RH,80,58.750000,P1,1,80,39.666667
RH,82,59.000000,P1,1,82,39.833333
RH,84,59.250000,P1,1,84,40.000000
RH,68,60.000000,P1,5,68,40.500000
RH,72,60.000000,P1,5,72,40.500000
RH,68,60.666667,P1,5,68,41.000000
RH,72,60.666667,P1,5,72,41.000000
RH,82,61.000000,P1,1,82,41.250000
RH,80,61.125000,P1,1,80,41.375000
RH,68,61.333333,P1,5,68,41.500000
RH,72,61.333333,P1,5,72,41.500000
RH,80,61.500000,P1,1,80,41.500000
RH,79,61.666667,P1,1,79,41.750000
RH,77,61.875000,P1,1,77,41.875000
RH,75,62.000000,P1,1,75,42.000000
RH,68,62.750000,P1,5,68,42.500000
RH,70,62.750000,P1,5,70,42.500000
RH,68,63.500000,P1,5,68,43.000000
RH,70,63.500000,P1,5,70,43.000000
RH,74,63.500000,P1,1,74,43.000000
RH,74,63.750000,P1,1,74,43.000000
RH,68,64.125000,P1,5,68,43.500000
RH,70,64.125000,P1,5,70,43.500000
RH,75,64.500000,P1,1,75,43.750000
RH,77,64.625000,P1,1,77,43.875000
RH,67,64.750000,P1,5,67,44.000000
RH,70,64.750000,P1,5,70,44.000000
RH,75,64.750000,P1,1,75,44.000000
RH,62,65.500000,P1,5,62,44.500000
RH,65,65.500000,P1,1,65,44.500000
RH,68,65.500000,P1,1,68,44.500000
RH,63,66.333333,P1,5,63,45.000000
RH,63,67.000000,P1,1,63,45.500000
RH,67,67.000000,P1,1,67,45.500000
LH,57,67.125000,P1,5,57,45.500000
LH,58,67.875000,P1,5,58,46.000000
RH,62,67.875000,P1,1,62,46.000000
RH,65,67.875000,P1,1,65,46.000000
LH,58,68.625000,P1,1,58,46.500000
RH,62,68.875000,P1,1,62,46.666667
RH,60,69.125000,P1,1,60,46.833333
LH,58,69.250000,P1,1,58,47.000000
RH,60,69.500000,P1,1,60,47.166667
RH,62,69.666667,P1,1,62,47.333333
RH,63,69.875000,P1,1,63,47.500000
RH,65,70.125000,P1,1,65,47.666667
RH,67,70.333333,P1,1,67,47.833333
LH,58,70.625000,P1,5,58,48.000000
RH,65,70.625000,P1,5,65,48.000000
RH,68,70.625000,P1,5,68,48.000000
RH,74,70.875000,P1,1,74,48.166667
RH,75,71.000000,P1,1,75,48.333333
RH,77,71.250000,P1,1,77,48.500000
RH,75,71.500000,P1,1,75,48.666667
RH,74,71.666667,P1,1,74,48.833333
LH,58,72.000000,P1,5,58,49.000000
RH,63,72.000000,P1,5,63,49.000000
RH,67,72.000000,P1,5,67,49.000000
RH,75,72.250000,P1,1,75,49.166667
RH,77,72.375000,P1,1,77,49.333333
RH,79,72.625000,P1,1,79,49.500000
RH,77,72.875000,P1,1,77,49.666667
RH,75,73.125000,P1,1,75,49.833333
RH,62,73.333333,P1,5,62,50.000000
RH,65,73.333333,P1,5,65,50.000000
RH,77,73.333333,P1,1,77,50.000000
LH,58,73.375000,P1,5,58,50.000000
RH,80,73.625000,P1,1,80,50.166667
RH,79,73.750000,P1,1,79,50.333333
RH,77,74.000000,P1,1,77,50.500000
RH,75,74.250000,P1,1,75,50.666667
RH,74,74.375000,P1,1,74,50.833333
RH,72,74.625000,P1,1,72,51.000000
RH,70,74.875000,P1,1,70,51.166667
RH,68,75.000000,P1,1,68,51.333333
RH,67,75.250000,P1,1,67,51.500000
RH,65,75.375000,P1,1,65,51.666667
RH,63,75.666667,P1,1,63,51.833333
LH,46,75.875000,P1,5,46,52.000000
LH,53,75.875000,P1,5,53,52.000000
LH,56,75.875000,P1,5,56,52.000000
RH,62,76.125000,P1,1,62,52.166667
RH,63,76.333333,P1,1,63,52.333333
RH,65,76.625000,P1,1,65,52.500000
RH,63,76.750000,P1,1,63,52.666667
RH,62,77.000000,P1,1,62,52.833333
LH,51,77.333333,P1,5,51,53.000000
LH,55,77.333333,P1,5,55,53.000000
LH,46,77.375000,P1,5,46,53.000000
RH,63,77.500000,P1,1,63,53.166667
RH,65,77.750000,P1,1,65,53.333333
RH,67,78.000000,P1,1,67,53.500000
RH,65,78.125000,P1,1,65,53.666667
RH,63,78.375000,P1,1,63,53.833333
LH,46,78.625000,P1,5,46,54.000000
LH,50,78.625000,P1,5,50,54.000000
LH,53,78.625000,P1,5,53,54.000000
RH,65,78.625000,P1,1,65,54.000000
RH,68,78.875000,P1,1,68,54.166667
RH,67,79.125000,P1,1,67,54.333333
RH,65,79.250000,P1,1,65,54.500000
RH,63,79.500000,P1,1,63,54.666667
RH,62,79.666667,P1,1,62,54.833333
RH,60,79.875000,P1,1,60,55.000000
LH,58,80.125000,P1,1,58,55.166667
LH,56,80.333333,P1,1,56,55.333333
