hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,4.000000,P1,1,68,0.000000
RH,68,4.250000,P1,1,68,0.000000
LH,56,4.750000,P1,5,56,0.500000
RH,60,4.750000,P1,5,60,0.500000
LH,56,5.375000,P1,5,56,1.000000
RH,60,5.375000,P1,5,60,1.000000
LH,56,6.125000,P1,5,56,1.500000
RH,60,6.125000,P1,5,60,1.500000
LH,55,7.333333,P1,5,55,2.500000
LH,58,7.333333,P1,5,58,2.500000
LH,55,8.000000,P1,5,55,3.000000
LH,58,8.000000,P1,5,58,3.000000
LH,55,8.750000,P1,5,55,3.500000
LH,58,8.750000,P1,5,58,3.500000
RH,73,9.000000,P1,1,73,3.750000
RH,73,9.375000,P1,1,73,4.000000
LH,56,10.000000,P1,5,56,4.500000
RH,63,10.000000,P1,5,63,4.500000
LH,56,10.666667,P1,5,56,5.000000
RH,63,10.666667,P1,5,63,5.000000
RH,72,10.666667,P1,1,72,5.000000
LH,56,11.375000,P1,5,56,5.500000
RH,63,11.375000,P1,5,63,5.500000
RH,73,11.666667,P1,1,73,5.750000
RH,72,12.000000,P1,1,72,6.000000
RH,61,12.625000,P1,5,61,6.500000
RH,65,12.625000,P1,5,65,6.500000
RH,61,13.250000,P1,5,61,7.000000
RH,65,13.250000,P1,5,65,7.000000
RH,70,13.250000,P1,1,70,7.000000
RH,61,13.875000,P1,5,61,7.500000
RH,65,13.875000,P1,5,65,7.500000
RH,72,14.250000,P1,1,72,7.750000
RH,70,14.625000,P1,1,70,8.000000
RH,60,15.250000,P1,5,60,8.500000
RH,63,15.250000,P1,5,63,8.500000
RH,60,15.875000,P1,5,60,9.000000
RH,63,15.875000,P1,5,63,9.000000
RH,68,15.875000,P1,1,68,9.000000
RH,67,16.333333,P1,1,67,9.375000
RH,60,16.500000,P1,5,60,9.500000
RH,63,16.500000,P1,5,63,9.500000
RH,68,16.500000,P1,1,68,9.500000
RH,70,17.000000,P1,1,70,9.750000
RH,60,17.125000,P1,5,60,10.000000
RH,63,17.125000,P1,5,63,10.000000
RH,68,17.125000,P1,1,68,10.000000
RH,80,20.375000,P1,1,80,12.000000
RH,84,20.625000,P1,1,84,12.166667
RH,82,20.750000,P1,1,82,12.333333
RH,80,21.000000,P1,1,80,12.500000
RH,79,21.125000,P1,1,79,12.666667
RH,77,21.333333,P1,1,77,12.833333
RH,75,21.500000,P1,1,75,13.000000
RH,73,21.666667,P1,1,73,13.166667
RH,72,21.875000,P1,1,72,13.333333
