hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,2.125000,P1,1,68,0.000000
LH,56,2.875000,P1,5,56,0.500000
RH,60,2.875000,P1,5,60,0.500000
LH,56,3.625000,P1,5,56,1.000000
RH,60,3.625000,P1,5,60,1.000000
LH,56,4.375000,P1,5,56,1.500000
RH,60,4.375000,P1,5,60,1.500000
LH,55,5.875000,P1,5,55,2.500000
LH,58,5.875000,P1,5,58,2.500000
LH,55,6.666667,P1,5,55,3.000000
LH,58,6.666667,P1,5,58,3.000000
LH,55,7.375000,P1,5,55,3.500000
LH,58,7.375000,P1,5,58,3.500000
RH,73,7.750000,P1,1,73,3.750000
RH,73,8.125000,P1,1,73,4.000000
LH,56,8.875000,P1,5,56,4.500000
RH,63,8.875000,P1,5,63,4.500000
LH,56,9.500000,P1,5,56,5.000000
RH,63,9.500000,P1,5,63,5.000000
RH,72,9.500000,P1,1,72,5.000000
LH,56,10.333333,P1,5,56,5.500000
RH,63,10.333333,P1,5,63,5.500000
RH,73,10.666667,P1,1,73,5.750000
RH,72,11.000000,P1,1,72,6.000000
RH,61,11.750000,P1,5,61,6.500000
RH,65,11.750000,P1,5,65,6.500000
RH,61,12.500000,P1,5,61,7.000000
RH,65,12.500000,P1,5,65,7.000000
RH,70,12.500000,P1,1,70,7.000000
RH,61,13.333333,P1,5,61,7.500000
RH,65,13.333333,P1,5,65,7.500000
RH,72,13.666667,P1,1,72,7.750000
RH,70,14.125000,P1,1,70,8.000000
RH,60,14.875000,P1,5,60,8.500000
RH,63,14.875000,P1,5,63,8.500000
RH,60,15.500000,P1,5,60,9.000000
RH,63,15.500000,P1,5,63,9.000000
RH,68,15.500000,P1,1,68,9.000000
RH,67,16.125000,P1,1,67,9.375000
RH,60,16.250000,P1,5,60,9.500000
RH,63,16.250000,P1,5,63,9.500000
RH,68,16.250000,P1,1,68,9.500000
RH,70,17.000000,P1,1,70,9.750000
RH,68,17.125000,P1,1,68,10.000000
RH,60,17.250000,P1,5,60,10.000000
RH,63,17.250000,P1,5,63,10.000000
RH,80,20.250000,P1,1,80,12.000000
RH,84,20.375000,P1,1,84,12.166667
RH,82,20.625000,P1,1,82,12.333333
RH,80,20.875000,P1,1,80,12.500000
RH,79,21.000000,P1,1,79,12.666667
RH,77,21.250000,P1,1,77,12.833333
RH,75,21.500000,P1,1,75,13.000000
RH,73,21.625000,P1,1,73,13.166667
RH,72,21.875000,P1,1,72,13.333333
RH,70,22.000000,P1,1,70,13.500000
RH,68,22.250000,P1,1,68,13.666667
RH,67,22.500000,P1,1,67,13.833333
RH,65,22.750000,P1,1,65,14.000000
LH,49,23.625000,P1,5,49,14.500000
LH,56,23.625000,P1,5,56,14.500000
LH,49,24.333333,P1,5,49,15.000000
LH,56,24.333333,P1,5,56,15.000000
LH,49,25.125000,P1,5,49,15.500000
LH,58,25.125000,P1,5,58,15.500000
RH,67,25.500000,P1,1,67,15.750000
RH,67,25.875000,P1,1,67,16.000000
LH,48,26.500000,P1,5,48,16.500000
LH,51,26.500000,P1,5,51,16.500000
LH,48,27.375000,P1,5,48,17.000000
LH,51,27.375000,P1,5,51,17.000000
RH,68,27.375000,P1,1,68,17.000000
RH,72,27.666667,P1,1,72,17.166667
RH,70,27.875000,P1,1,70,17.333333
LH,49,28.000000,P1,5,49,17.500000
LH,53,28.000000,P1,5,53,17.500000
RH,68,28.000000,P1,1,68,17.500000
RH,67,28.333333,P1,1,67,17.666667
RH,65,28.500000,P1,1,65,17.833333
RH,63,28.750000,P1,1,63,18.000000
LH,51,29.500000,P1,5,51,18.500000
RH,60,29.500000,P1,5,60,18.500000
RH,60,29.875000,P1,1,60,18.750000
RH,61,30.125000,P1,1,61,18.875000
LH,51,30.333333,P1,5,51,19.000000
LH,58,30.333333,P1,5,58,19.000000
LH,51,31.000000,P1,5,51,19.500000
LH,58,31.000000,P1,5,58,19.500000
RH,61,31.750000,P1,1,61,20.000000
LH,58,31.875000,P1,1,58,20.000000
LH,44,32.500000,P1,5,44,20.500000
LH,56,32.500000,P1,5,56,20.500000
LH,44,33.333333,P1,5,44,21.000000
LH,56,33.333333,P1,1,56,21.000000
RH,60,33.333333,P1,1,60,21.000000
LH,51,33.375000,P1,5,51,21.000000
LH,44,34.125000,P1,5,44,21.500000
LH,51,34.125000,P1,5,51,21.500000
RH,65,35.125000,P1,1,65,22.000000
LH,49,35.875000,P1,5,49,22.500000
LH,49,36.625000,P1,5,49,23.000000
RH,67,36.875000,P1,1,67,23.166667
RH,68,37.125000,P1,1,68,23.333333
LH,49,37.333333,P1,5,49,23.500000
LH,51,37.333333,P1,5,51,23.500000
RH,67,37.333333,P1,1,67,23.500000
RH,68,37.625000,P1,1,68,23.666667
RH,70,37.750000,P1,1,70,23.833333
LH,48,38.000000,P1,5,48,24.000000
LH,51,38.000000,P1,5,51,24.000000
RH,68,38.000000,P1,1,68,24.000000
RH,70,38.250000,P1,1,70,24.166667
RH,72,38.500000,P1,1,72,24.333333
RH,70,38.750000,P1,1,70,24.500000
RH,72,39.000000,P1,1,72,24.666667
RH,73,39.125000,P1,1,73,24.833333
RH,72,39.375000,P1,1,72,25.000000
RH,73,39.625000,P1,1,73,25.166667
RH,75,39.875000,P1,1,75,25.333333
RH,73,40.000000,P1,1,73,25.500000
RH,75,40.250000,P1,1,75,25.666667
RH,77,40.500000,P1,1,77,25.833333
