hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,79,1.000000,P1,1,79,0.000000
RH,79,1.375000,P1,1,79,0.500000
RH,60,2.375000,P1,5,60,2.000000
RH,60,3.125000,P1,5,60,3.000000
RH,72,3.750000,P1,1,72,4.000000
RH,74,5.250000,P1,1,74,6.000000
RH,76,6.625000,P1,1,76,8.000000
RH,76,7.333333,P1,1,76,9.000000
RH,74,8.750000,P1,5,74,11.000000
RH,60,10.750000,P1,5,60,14.000000
RH,60,11.500000,P1,5,60,15.000000
RH,76,15.125000,P1,1,76,20.000000
RH,79,17.125000,P1,1,79,23.000000
RH,79,17.875000,P1,1,79,24.000000
RH,74,21.333333,P1,5,74,29.000000
RH,60,22.666667,P1,7,60,31.000000
RH,76,24.000000,P1,5,76,33.000000
RH,72,25.125000,P1,5,72,34.500000
RH,76,25.125000,P1,1,76,34.500000
RH,79,26.500000,P1,1,79,36.500000
RH,79,29.000000,P1,1,79,40.000000
RH,74,29.625000,P1,1,74,41.000000
RH,72,32.875000,P1,1,72,45.500000
LH,59,34.625000,P1,5,59,48.000000
RH,72,36.333333,P1,1,72,50.500000
RH,76,40.000000,P1,1,76,55.500000
LH,53,41.125000,P1,5,53,57.000000
RH,60,51.666667,P1,5,60,72.000000
RH,76,51.666667,P1,1,76,72.000000
RH,78,53.375000,P1,1,78,74.500000
RH,81,53.750000,P1,1,81,75.000000
RH,79,54.125000,P1,1,79,75.500000
RH,86,55.250000,P1,1,86,77.000000
RH,86,56.625000,P1,1,86,79.000000
RH,64,64.250000,P1,5,64,89.500000
RH,74,67.875000,P1,1,74,94.500000
RH,60,69.375000,P1,5,60,96.500000
LH,54,70.750000,P1,5,54,98.500000
LH,59,75.625000,P1,5,59,105.000000
RH,60,77.875000,P1,5,60,108.000000
RH,69,87.375000,P1,5,69,121.000000
LH,48,91.666667,P1,6,48,127.000000
LH,52,91.666667,P1,6,52,127.000000
RH,81,93.000000,P1,1,81,129.000000
RH,78,93.500000,P1,5,78,129.500000
RH,62,95.500000,P1,1,62,132.500000
RH,62,98.333333,P1,1,62,136.500000
LH,59,99.375000,P1,5,59,138.000000
RH,75,102.000000,P1,1,75,141.500000
LH,59,111.000000,P1,5,59,154.000000
LH,59,113.875000,P1,6,59,158.000000
LH,59,115.375000,P1,6,59,160.000000
RH,60,116.125000,P1,6,60,161.000000
RH,60,116.500000,P1,6,60,161.500000
RH,72,120.875000,P1,1,72,167.500000
RH,71,121.250000,P1,1,71,168.000000
LH,55,121.333333,P1,6,55,168.000000
RH,67,121.875000,P1,1,67,169.000000
LH,59,122.000000,P1,1,59,169.000000
RH,67,122.625000,P1,1,67,170.000000
RH,67,125.625000,P1,1,67,174.000000
RH,71,129.125000,P1,1,71,179.000000
RH,74,140.333333,P1,1,74,195.000000
RH,76,141.750000,P1,1,76,197.000000
RH,76,143.666667,P1,1,76,199.500000
RH,64,145.625000,P1,5,64,202.000000
RH,65,146.333333,P1,5,65,203.000000
LH,55,153.500000,P1,7,55,213.000000
LH,59,153.500000,P1,6,59,213.000000
RH,74,154.875000,P1,5,74,215.000000
RH,72,158.750000,P1,5,72,220.500000
RH,76,158.750000,P1,1,76,220.500000
LH,55,160.625000,P1,6,55,223.000000
RH,60,161.000000,P1,6,60,223.500000
RH,60,166.875000,P1,5,60,232.000000
RH,67,168.750000,P1,1,67,234.500000
RH,76,170.500000,P1,1,76,237.000000
RH,77,171.500000,P1,1,77,238.500000
RH,81,172.625000,P1,1,81,240.000000
RH,77,173.500000,P1,1,77,241.000000
RH,81,176.666667,P1,1,81,245.000000
RH,72,178.875000,P1,1,72,248.000000
RH,60,193.625000,P1,1,60,268.500000
RH,70,195.500000,P1,1,70,271.000000
RH,63,196.875000,P1,1,63,273.000000
RH,60,199.625000,P1,1,60,276.500000
RH,60,203.125000,P1,1,60,281.500000
RH,60,207.000000,P1,1,60,287.000000
LH,50,226.000000,P1,6,50,313.500000
LH,55,227.750000,P1,6,55,316.000000
RH,67,231.000000,P1,6,67,320.000000
RH,60,236.500000,P1,6,60,327.500000
RH,60,239.500000,P1,6,60,331.500000
LH,59,242.000000,P1,6,59,335.000000
RH,60,255.333333,P1,6,60,353.000000
RH,72,262.000000,P1,5,72,361.500000
RH,60,264.625000,P1,5,60,365.000000
RH,82,269.625000,P1,1,82,372.000000
RH,70,273.750000,P1,5,70,378.000000
RH,64,275.625000,P1,7,64,380.500000
RH,67,275.625000,P1,6,67,380.500000
RH,72,277.125000,P1,5,72,382.500000
RH,82,277.625000,P1,1,82,383.000000
RH,60,278.666667,P1,6,60,384.500000
RH,60,280.125000,P1,5,60,386.500000
LH,53,280.500000,P1,5,53,387.000000
LH,55,282.500000,P1,5,55,390.000000
RH,74,284.666667,P1,1,74,393.000000
RH,71,289.875000,P1,5,71,400.000000
RH,74,290.250000,P1,5,74,400.500000
RH,77,291.666667,P1,1,77,402.000000
RH,73,314.125000,P1,1,73,433.000000
RH,74,316.666667,P1,1,74,436.500000
RH,77,319.500000,P1,1,77,440.000000
RH,74,319.875000,P1,5,74,440.500000
RH,77,322.000000,P1,1,77,443.500000
LH,48,324.500000,P1,6,48,447.000000
RH,81,332.250000,P1,1,81,458.000000
LH,55,333.875000,P1,5,55,460.500000
LH,53,334.250000,P1,5,53,461.000000
LH,55,334.625000,P1,5,55,461.500000
LH,55,335.333333,P1,6,55,462.500000
LH,53,335.750000,P1,6,53,463.000000
RH,79,336.375000,P1,1,79,464.000000
RH,72,340.000000,P1,1,72,468.750000
RH,72,341.250000,P1,1,72,470.500000
LH,48,342.250000,P1,6,48,472.000000
RH,67,345.000000,P1,5,67,476.000000
RH,68,349.875000,P1,1,68,482.500000
LH,52,355.250000,P1,5,52,490.000000
RH,74,356.500000,P1,1,74,491.500000
RH,74,359.875000,P1,1,74,495.500000
RH,76,365.875000,P1,1,76,502.000000
RH,77,367.000000,P1,1,77,503.500000
RH,76,367.333333,P1,1,76,504.000000
RH,64,368.000000,P1,1,64,505.000000
RH,72,368.000000,P1,1,72,505.000000
RH,72,368.666667,P1,1,72,506.000000
RH,60,371.625000,P1,1,60,510.000000
RH,72,375.375000,P1,5,72,515.500000
LH,59,381.500000,P1,5,59,524.000000
LH,55,383.750000,P1,5,55,527.500000
