hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,3.125000,P1,1,58,0.250000
LH,56,3.333333,P1,1,56,0.500000
RH,60,3.500000,P1,1,60,0.750000
RH,60,10.875000,P1,6,60,9.000000
RH,62,16.500000,P1,1,62,15.000000
RH,62,22.000000,P1,6,62,21.000000
RH,63,23.500000,P1,5,63,22.500000
RH,72,29.625000,P1,1,72,29.500000
RH,71,29.666667,P1,1,71,29.750000
LH,46,34.333333,P1,5,46,35.000000
LH,46,41.125000,P1,5,46,41.500000
RH,60,53.625000,P1,6,60,56.000000
RH,69,58.750000,P1,6,69,62.000000
RH,77,58.750000,P1,1,77,62.000000
RH,69,61.333333,P1,6,69,65.000000
RH,77,61.333333,P1,1,77,65.000000
RH,62,72.625000,P1,1,62,74.000000
RH,75,80.875000,P1,1,75,83.750000
LH,58,81.000000,P1,5,58,84.000000
RH,65,81.250000,P1,5,65,84.250000
RH,62,81.500000,P1,5,62,84.500000
RH,65,81.666667,P1,5,65,84.750000
RH,65,82.125000,P1,5,65,85.250000
RH,65,82.500000,P1,5,65,85.750000
RH,65,83.000000,P1,5,65,86.250000
RH,65,83.333333,P1,5,65,86.750000
RH,65,83.750000,P1,5,65,87.250000
RH,65,84.125000,P1,5,65,87.750000
RH,65,84.625000,P1,5,65,88.250000
RH,65,85.000000,P1,5,65,88.750000
RH,65,85.333333,P1,5,65,89.250000
RH,65,85.750000,P1,5,65,89.750000
LH,58,85.875000,P1,5,58,90.000000
RH,65,86.125000,P1,5,65,90.250000
RH,62,86.333333,P1,5,62,90.500000
RH,65,86.500000,P1,5,65,90.750000
RH,65,87.000000,P1,5,65,91.250000
RH,65,87.375000,P1,5,65,91.750000
RH,65,87.875000,P1,5,65,92.250000
RH,65,88.333333,P1,5,65,92.750000
RH,65,88.666667,P1,5,65,93.250000
RH,65,89.125000,P1,5,65,93.750000
RH,65,89.500000,P1,5,65,94.250000
RH,65,90.000000,P1,5,65,94.750000
