hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,3.125000,P1,1,67,1.000000
RH,64,4.125000,P1,1,64,2.000000
LH,48,4.625000,P1,5,48,2.500000
LH,36,5.125000,P1,5,36,3.000000
RH,69,5.625000,P1,1,69,3.500000
RH,62,6.125000,P1,1,62,4.000000
LH,48,6.625000,P1,5,48,4.500000
LH,36,7.125000,P1,5,36,5.000000
RH,67,7.625000,P1,1,67,5.500000
RH,60,8.125000,P1,1,60,6.000000
LH,48,8.625000,P1,5,48,6.500000
LH,36,9.125000,P1,5,36,7.000000
RH,76,9.625000,P1,1,76,7.500000
RH,65,10.125000,P1,1,65,8.000000
LH,48,10.500000,P1,5,48,8.500000
LH,36,11.000000,P1,5,36,9.000000
RH,74,11.500000,P1,1,74,9.500000
RH,64,12.125000,P1,1,64,10.000000
LH,48,12.500000,P1,5,48,10.500000
LH,36,13.000000,P1,5,36,11.000000
RH,72,13.500000,P1,1,72,11.500000
RH,62,14.000000,P1,1,62,12.000000
LH,48,14.500000,P1,5,48,12.500000
RH,69,14.500000,P1,1,69,12.500000
LH,36,15.000000,P1,5,36,13.000000
LH,57,15.000000,P1,1,57,13.000000
LH,59,15.500000,P1,1,59,13.500000
RH,62,16.000000,P1,1,62,14.000000
LH,48,16.500000,P1,5,48,14.500000
RH,60,16.500000,P1,1,60,14.500000
LH,36,17.000000,P1,5,36,15.000000
LH,59,17.500000,P1,2,59,15.500000
RH,62,17.500000,P1,1,62,15.500000
RH,62,18.000000,P1,2,62,16.000000
RH,65,18.000000,P1,1,65,16.000000
LH,48,18.500000,P1,5,48,16.500000
RH,60,18.500000,P1,2,60,16.500000
RH,64,18.500000,P1,1,64,16.500000
LH,36,19.000000,P1,5,36,17.000000
RH,62,19.375000,P1,2,62,17.500000
RH,65,19.375000,P1,1,65,17.500000
RH,65,20.000000,P1,2,65,18.000000
RH,69,20.000000,P1,1,69,18.000000
LH,48,20.500000,P1,5,48,18.500000
RH,64,20.500000,P1,2,64,18.500000
RH,67,20.500000,P1,1,67,18.500000
LH,36,21.000000,P1,5,36,19.000000
RH,62,21.375000,P1,1,62,19.500000
RH,71,21.375000,P1,1,71,19.500000
RH,65,22.000000,P1,1,65,20.000000
RH,74,22.000000,P1,1,74,20.000000
LH,48,22.500000,P1,5,48,20.500000
RH,64,22.500000,P1,1,64,20.500000
RH,72,22.500000,P1,1,72,20.500000
LH,36,23.000000,P1,5,36,21.000000
RH,71,23.375000,P1,1,71,21.500000
RH,74,23.375000,P1,1,74,21.500000
RH,74,24.250000,P1,1,74,22.000000
RH,77,24.250000,P1,1,77,22.000000
RH,72,28.000000,P1,1,72,23.000000
RH,76,28.000000,P1,1,76,23.000000
LH,36,31.250000,P1,5,36,24.000000
LH,40,31.333333,P1,5,40,24.000000
RH,72,31.333333,P1,1,72,24.000000
RH,76,31.375000,P1,1,76,24.000000
LH,43,32.333333,P1,5,43,25.000000
LH,47,32.375000,P1,5,47,25.000000
RH,71,32.375000,P1,1,71,25.000000
LH,48,33.333333,P1,5,48,26.000000
LH,52,33.333333,P1,5,52,26.000000
RH,67,33.333333,P1,1,67,26.000000
RH,81,35.000000,P1,1,81,27.500000
RH,80,35.125000,P1,1,80,27.750000
RH,74,35.333333,P1,1,74,28.000000
RH,65,35.875000,P1,6,65,28.500000
RH,71,35.875000,P1,5,71,28.500000
RH,65,36.375000,P1,6,65,29.000000
RH,71,36.375000,P1,5,71,29.000000
RH,79,37.000000,P1,1,79,29.500000
RH,78,37.125000,P1,1,78,29.750000
RH,72,37.375000,P1,1,72,30.000000
RH,64,37.875000,P1,6,64,30.500000
RH,67,37.875000,P1,5,67,30.500000
RH,64,38.375000,P1,6,64,31.000000
RH,67,38.375000,P1,5,67,31.000000
RH,88,38.875000,P1,1,88,31.500000
RH,77,39.375000,P1,1,77,32.000000
RH,62,39.625000,P1,5,62,32.250000
RH,61,39.875000,P1,5,61,32.500000
RH,62,40.125000,P1,5,62,32.750000
RH,60,40.333333,P1,5,60,33.000000
LH,59,40.500000,P1,5,59,33.250000
RH,86,40.750000,P1,1,86,33.500000
LH,57,40.875000,P1,5,57,33.500000
LH,55,41.000000,P1,5,55,33.750000
RH,76,41.333333,P1,1,76,34.000000
RH,60,41.625000,P1,5,60,34.250000
RH,62,41.875000,P1,5,62,34.500000
RH,64,42.000000,P1,5,64,34.750000
RH,65,42.250000,P1,5,65,35.000000
RH,67,42.500000,P1,5,67,35.250000
RH,84,42.666667,P1,2,84,35.500000
RH,68,42.750000,P1,5,68,35.500000
RH,69,43.000000,P1,5,69,35.750000
RH,65,43.250000,P1,5,65,36.000000
RH,74,43.250000,P1,2,74,36.000000
RH,77,43.750000,P1,2,77,36.500000
RH,81,43.750000,P1,1,81,36.500000
RH,76,44.250000,P1,2,76,37.000000
RH,79,44.250000,P1,1,79,37.000000
RH,67,44.750000,P1,5,67,37.500000
RH,71,44.750000,P1,1,71,37.500000
RH,64,45.250000,P1,5,64,38.000000
RH,72,45.250000,P1,1,72,38.000000
RH,60,45.333333,P1,6,60,38.000000
RH,67,45.500000,P1,5,67,38.250000
RH,64,45.750000,P1,5,64,38.500000
RH,72,45.750000,P1,1,72,38.500000
RH,60,45.875000,P1,6,60,38.500000
RH,67,46.125000,P1,5,67,38.750000
RH,60,46.333333,P1,6,60,39.000000
RH,64,46.333333,P1,5,64,39.000000
RH,67,46.500000,P1,5,67,39.250000
RH,60,46.750000,P1,6,60,39.500000
RH,64,46.750000,P1,5,64,39.500000
RH,79,46.875000,P1,1,79,39.500000
RH,67,47.000000,P1,5,67,39.750000
RH,78,47.000000,P1,1,78,39.750000
RH,79,47.125000,P1,1,79,39.875000
RH,60,47.333333,P1,6,60,40.000000
RH,62,47.333333,P1,6,62,40.000000
RH,65,47.333333,P1,5,65,40.000000
RH,71,47.333333,P1,1,71,40.000000
RH,67,47.625000,P1,5,67,40.250000
RH,60,47.875000,P1,6,60,40.500000
RH,62,47.875000,P1,6,62,40.500000
RH,65,47.875000,P1,5,65,40.500000
RH,71,47.875000,P1,1,71,40.500000
