hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,72,2.875000,P1,1,72,0.000000
RH,67,4.000000,P1,1,67,1.000000
RH,64,5.000000,P1,1,64,2.000000
LH,48,5.500000,P1,5,48,2.500000
LH,36,6.000000,P1,5,36,3.000000
RH,69,6.500000,P1,1,69,3.500000
RH,62,7.000000,P1,1,62,4.000000
LH,48,7.500000,P1,5,48,4.500000
LH,36,8.000000,P1,5,36,5.000000
RH,67,8.500000,P1,1,67,5.500000
RH,60,9.000000,P1,1,60,6.000000
LH,48,9.500000,P1,5,48,6.500000
LH,36,10.000000,P1,5,36,7.000000
RH,76,10.500000,P1,1,76,7.500000
RH,65,11.000000,P1,1,65,8.000000
LH,48,11.500000,P1,5,48,8.500000
LH,36,12.000000,P1,5,36,9.000000
RH,74,12.625000,P1,1,74,9.500000
RH,64,13.125000,P1,1,64,10.000000
LH,48,13.625000,P1,5,48,10.500000
LH,36,14.000000,P1,5,36,11.000000
RH,72,14.500000,P1,1,72,11.500000
RH,62,15.125000,P1,1,62,12.000000
LH,48,15.625000,P1,5,48,12.500000
RH,69,15.625000,P1,1,69,12.500000
LH,36,16.125000,P1,5,36,13.000000
LH,57,16.125000,P1,1,57,13.000000
LH,59,16.625000,P1,1,59,13.500000
RH,62,17.125000,P1,1,62,14.000000
LH,48,17.625000,P1,5,48,14.500000
RH,60,17.625000,P1,1,60,14.500000
LH,36,18.125000,P1,5,36,15.000000
LH,59,18.625000,P1,2,59,15.500000
RH,62,18.625000,P1,1,62,15.500000
RH,62,19.125000,P1,2,62,16.000000
RH,65,19.125000,P1,1,65,16.000000
LH,48,19.625000,P1,5,48,16.500000
RH,60,19.625000,P1,2,60,16.500000
RH,64,19.625000,P1,1,64,16.500000
LH,36,20.125000,P1,5,36,17.000000
RH,62,20.625000,P1,2,62,17.500000
RH,65,20.625000,P1,1,65,17.500000
RH,65,21.125000,P1,2,65,18.000000
RH,69,21.125000,P1,1,69,18.000000
LH,48,21.625000,P1,5,48,18.500000
RH,64,21.625000,P1,2,64,18.500000
RH,67,21.625000,P1,1,67,18.500000
LH,36,22.000000,P1,5,36,19.000000
RH,62,22.500000,P1,1,62,19.500000
