hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,5.125000,P1,1,67,1.000000
RH,64,6.250000,P1,1,64,2.000000
LH,48,6.875000,P1,5,48,2.500000
LH,36,7.375000,P1,5,36,3.000000
RH,69,8.000000,P1,1,69,3.500000
RH,62,8.500000,P1,1,62,4.000000
LH,48,9.000000,P1,5,48,4.500000
LH,36,9.625000,P1,5,36,5.000000
RH,67,10.125000,P1,1,67,5.500000
RH,60,10.666667,P1,1,60,6.000000
LH,48,11.250000,P1,5,48,6.500000
LH,36,11.875000,P1,5,36,7.000000
RH,76,12.333333,P1,1,76,7.500000
RH,65,12.875000,P1,1,65,8.000000
LH,48,13.375000,P1,5,48,8.500000
LH,36,14.000000,P1,5,36,9.000000
RH,74,14.625000,P1,1,74,9.500000
RH,64,15.125000,P1,1,64,10.000000
LH,48,15.666667,P1,5,48,10.500000
LH,36,16.250000,P1,5,36,11.000000
RH,72,16.750000,P1,1,72,11.500000
RH,62,17.250000,P1,1,62,12.000000
LH,48,17.875000,P1,5,48,12.500000
RH,69,17.875000,P1,1,69,12.500000
LH,36,18.375000,P1,5,36,13.000000
LH,57,18.375000,P1,1,57,13.000000
LH,59,18.875000,P1,1,59,13.500000
RH,62,19.375000,P1,1,62,14.000000
LH,48,20.000000,P1,5,48,14.500000
RH,60,20.000000,P1,1,60,14.500000
LH,36,20.500000,P1,5,36,15.000000
LH,59,21.000000,P1,2,59,15.500000
RH,62,21.000000,P1,1,62,15.500000
RH,62,21.500000,P1,2,62,16.000000
RH,65,21.500000,P1,1,65,16.000000
LH,48,22.125000,P1,5,48,16.500000
RH,60,22.125000,P1,2,60,16.500000
RH,64,22.125000,P1,1,64,16.500000
LH,36,22.625000,P1,5,36,17.000000
RH,62,23.125000,P1,2,62,17.500000
RH,65,23.125000,P1,1,65,17.500000
RH,65,23.666667,P1,2,65,18.000000
RH,69,23.666667,P1,1,69,18.000000
LH,48,24.250000,P1,5,48,18.500000
RH,64,24.250000,P1,2,64,18.500000
RH,67,24.250000,P1,1,67,18.500000
LH,36,24.666667,P1,5,36,19.000000
RH,62,25.250000,P1,1,62,19.500000
RH,71,25.250000,P1,1,71,19.500000
RH,65,25.750000,P1,1,65,20.000000
RH,74,25.750000,P1,1,74,20.000000
LH,48,26.250000,P1,5,48,20.500000
RH,72,26.250000,P1,1,72,20.500000
RH,64,26.333333,P1,1,64,20.500000
LH,36,26.750000,P1,5,36,21.000000
RH,71,27.333333,P1,1,71,21.500000
RH,74,27.333333,P1,1,74,21.500000
RH,77,28.125000,P1,1,77,22.000000
RH,74,28.250000,P1,1,74,22.000000
RH,72,32.000000,P1,1,72,23.000000
RH,76,32.000000,P1,1,76,23.000000
RH,72,34.875000,P1,1,72,24.000000
LH,36,35.000000,P1,5,36,24.000000
LH,40,35.000000,P1,5,40,24.000000
RH,76,35.000000,P1,1,76,24.000000
LH,43,36.000000,P1,5,43,25.000000
LH,47,36.125000,P1,5,47,25.000000
RH,71,36.125000,P1,1,71,25.000000
LH,48,37.250000,P1,5,48,26.000000
LH,52,37.250000,P1,5,52,26.000000
RH,67,37.250000,P1,1,67,26.000000
RH,81,39.125000,P1,1,81,27.500000
RH,80,39.250000,P1,1,80,27.750000
RH,74,39.500000,P1,1,74,28.000000
RH,65,40.000000,P1,6,65,28.500000
RH,71,40.000000,P1,5,71,28.500000
RH,65,40.625000,P1,6,65,29.000000
RH,71,40.625000,P1,5,71,29.000000
RH,79,41.250000,P1,1,79,29.500000
RH,78,41.333333,P1,1,78,29.750000
RH,72,41.666667,P1,1,72,30.000000
RH,64,42.125000,P1,6,64,30.500000
RH,67,42.125000,P1,5,67,30.500000
RH,64,42.666667,P1,6,64,31.000000
RH,67,42.666667,P1,5,67,31.000000
RH,88,43.250000,P1,1,88,31.500000
RH,77,43.750000,P1,1,77,32.000000
RH,62,44.125000,P1,5,62,32.250000
RH,61,44.375000,P1,5,61,32.500000
RH,62,44.625000,P1,5,62,32.750000
RH,60,44.875000,P1,5,60,33.000000
LH,59,45.125000,P1,5,59,33.250000
LH,57,45.375000,P1,5,57,33.500000
RH,86,45.375000,P1,1,86,33.500000
LH,55,45.666667,P1,5,55,33.750000
RH,76,46.000000,P1,1,76,34.000000
RH,60,46.250000,P1,5,60,34.250000
RH,62,46.625000,P1,5,62,34.500000
RH,64,46.750000,P1,5,64,34.750000
RH,65,47.125000,P1,5,65,35.000000
RH,67,47.333333,P1,5,67,35.250000
RH,68,47.625000,P1,5,68,35.500000
RH,84,47.625000,P1,2,84,35.500000
RH,69,47.875000,P1,5,69,35.750000
RH,74,48.125000,P1,2,74,36.000000
RH,65,48.250000,P1,5,65,36.000000
RH,81,48.750000,P1,1,81,36.500000
RH,77,48.875000,P1,2,77,36.500000
RH,76,49.250000,P1,2,76,37.000000
RH,79,49.250000,P1,1,79,37.000000
RH,67,49.875000,P1,5,67,37.500000
RH,71,49.875000,P1,1,71,37.500000
RH,72,50.333333,P1,1,72,38.000000
RH,60,50.375000,P1,6,60,38.000000
RH,64,50.375000,P1,5,64,38.000000
RH,67,50.666667,P1,5,67,38.250000
RH,60,50.875000,P1,6,60,38.500000
RH,64,50.875000,P1,5,64,38.500000
RH,72,50.875000,P1,1,72,38.500000
RH,67,51.250000,P1,5,67,38.750000
RH,60,51.375000,P1,6,60,39.000000
RH,64,51.375000,P1,5,64,39.000000
RH,67,51.666667,P1,5,67,39.250000
RH,60,51.875000,P1,6,60,39.500000
RH,64,51.875000,P1,5,64,39.500000
RH,67,52.125000,P1,5,67,39.750000
RH,78,52.125000,P1,1,78,39.750000
RH,79,52.125000,P1,1,79,39.500000
RH,79,52.333333,P1,1,79,39.875000
RH,60,52.375000,P1,6,60,40.000000
RH,62,52.375000,P1,6,62,40.000000
RH,65,52.375000,P1,5,65,40.000000
RH,71,52.375000,P1,1,71,40.000000
RH,67,52.750000,P1,5,67,40.250000
RH,60,53.000000,P1,6,60,40.500000
RH,62,53.000000,P1,6,62,40.500000
RH,65,53.000000,P1,5,65,40.500000
RH,71,53.000000,P1,1,71,40.500000
RH,67,53.250000,P1,5,67,40.750000
RH,60,53.500000,P1,6,60,41.000000
RH,62,53.500000,P1,6,62,41.000000
RH,65,53.500000,P1,5,65,41.000000
RH,67,53.750000,P1,5,67,41.250000
RH,60,54.000000,P1,6,60,41.500000
RH,62,54.000000,P1,6,62,41.500000
RH,65,54.000000,P1,5,65,41.500000
RH,79,54.125000,P1,1,79,41.500000
RH,67,54.250000,P1,5,67,41.750000
RH,78,54.250000,P1,1,78,41.750000
RH,79,54.333333,P1,1,79,41.875000
RH,60,54.500000,P1,6,60,42.000000
RH,64,54.500000,P1,5,64,42.000000
RH,84,54.500000,P1,1,84,42.000000
RH,67,54.750000,P1,5,67,42.250000
RH,60,55.125000,P1,6,60,42.500000
RH,64,55.125000,P1,5,64,42.500000
RH,88,55.125000,P1,1,88,42.500000
RH,67,55.375000,P1,5,67,42.750000
RH,60,55.625000,P1,6,60,43.000000
RH,64,55.625000,P1,5,64,43.000000
RH,67,55.875000,P1,5,67,43.250000
RH,79,55.875000,P1,1,79,43.250000
RH,60,56.125000,P1,6,60,43.500000
RH,64,56.125000,P1,5,64,43.500000
RH,79,56.250000,P1,1,79,43.500000
RH,67,56.375000,P1,5,67,43.750000
RH,78,56.375000,P1,1,78,43.750000
RH,79,56.500000,P1,1,79,43.875000
RH,60,56.625000,P1,6,60,44.000000
RH,65,56.625000,P1,5,65,44.000000
RH,71,56.625000,P1,1,71,44.000000
RH,62,56.666667,P1,6,62,44.000000
RH,67,56.875000,P1,5,67,44.250000
RH,60,57.250000,P1,6,60,44.500000
RH,62,57.250000,P1,6,62,44.500000
RH,65,57.250000,P1,5,65,44.500000
RH,71,57.250000,P1,1,71,44.500000
RH,67,57.500000,P1,5,67,44.750000
RH,60,57.750000,P1,6,60,45.000000
RH,62,57.750000,P1,6,62,45.000000
RH,65,57.750000,P1,5,65,45.000000
RH,67,57.875000,P1,5,67,45.250000
RH,60,58.250000,P1,6,60,45.500000
RH,62,58.250000,P1,6,62,45.500000
RH,65,58.250000,P1,5,65,45.500000
RH,79,58.333333,P1,1,79,45.500000
RH,67,58.500000,P1,5,67,45.750000
RH,78,58.500000,P1,1,78,45.750000
RH,79,58.625000,P1,1,79,45.875000
RH,60,58.750000,P1,6,60,46.000000
RH,64,58.750000,P1,5,64,46.000000
RH,84,58.750000,P1,1,84,46.000000
RH,67,59.000000,P1,5,67,46.250000
RH,88,59.250000,P1,1,88,46.500000
RH,60,59.333333,P1,6,60,46.500000
RH,64,59.333333,P1,5,64,46.500000
RH,67,59.625000,P1,5,67,46.750000
RH,60,59.875000,P1,6,60,47.000000
RH,64,59.875000,P1,5,64,47.000000
RH,67,60.125000,P1,5,67,47.250000
RH,79,60.125000,P1,1,79,47.250000
RH,60,60.375000,P1,6,60,47.500000
RH,64,60.375000,P1,5,64,47.500000
RH,79,60.375000,P1,1,79,47.500000
RH,67,60.500000,P1,5,67,47.750000
RH,78,60.500000,P1,1,78,47.750000
RH,79,60.666667,P1,1,79,47.875000
RH,60,60.875000,P1,6,60,48.000000
RH,62,60.875000,P1,6,62,48.000000
RH,65,60.875000,P1,5,65,48.000000
RH,71,60.875000,P1,1,71,48.000000
RH,67,61.000000,P1,5,67,48.250000
RH,60,61.375000,P1,6,60,48.500000
RH,62,61.375000,P1,6,62,48.500000
RH,65,61.375000,P1,5,65,48.500000
RH,71,61.375000,P1,1,71,48.500000
RH,67,61.625000,P1,5,67,48.750000
RH,60,61.875000,P1,6,60,49.000000
RH,62,61.875000,P1,6,62,49.000000
RH,65,61.875000,P1,5,65,49.000000
RH,67,62.125000,P1,5,67,49.250000
RH,60,62.333333,P1,6,60,49.500000
RH,65,62.333333,P1,5,65,49.500000
RH,62,62.375000,P1,6,62,49.500000
RH,67,62.500000,P1,5,67,49.750000
RH,79,62.500000,P1,1,79,49.500000
RH,78,62.625000,P1,1,78,49.750000
RH,79,62.750000,P1,1,79,49.875000
RH,60,62.875000,P1,6,60,50.000000
RH,64,62.875000,P1,5,64,50.000000
RH,72,62.875000,P1,1,72,50.000000
RH,67,63.125000,P1,5,67,50.250000
RH,60,63.375000,P1,6,60,50.500000
RH,64,63.375000,P1,5,64,50.500000
RH,79,63.500000,P1,1,79,50.500000
RH,67,63.625000,P1,5,67,50.750000
RH,78,63.625000,P1,1,78,50.750000
RH,79,63.750000,P1,1,79,50.875000
LH,59,63.875000,P1,6,59,51.000000
RH,62,63.875000,P1,5,62,51.000000
RH,74,63.875000,P1,1,74,51.000000
RH,67,64.125000,P1,5,67,51.250000
LH,59,64.375000,P1,6,59,51.500000
RH,62,64.375000,P1,5,62,51.500000
RH,79,64.500000,P1,1,79,51.500000
RH,67,64.625000,P1,5,67,51.750000
RH,78,64.625000,P1,1,78,51.750000
RH,79,64.750000,P1,1,79,51.875000
RH,60,64.875000,P1,6,60,52.000000
RH,64,64.875000,P1,5,64,52.000000
RH,76,64.875000,P1,1,76,52.000000
RH,67,65.125000,P1,5,67,52.250000
RH,60,65.375000,P1,6,60,52.500000
RH,64,65.375000,P1,5,64,52.500000
RH,79,65.500000,P1,1,79,52.500000
RH,67,65.625000,P1,5,67,52.750000
RH,78,65.625000,P1,1,78,52.750000
RH,79,65.750000,P1,1,79,52.875000
RH,62,65.875000,P1,6,62,53.000000
RH,65,65.875000,P1,5,65,53.000000
RH,71,65.875000,P1,1,71,53.000000
RH,67,66.125000,P1,5,67,53.250000
RH,62,66.375000,P1,6,62,53.500000
RH,65,66.375000,P1,5,65,53.500000
RH,79,66.500000,P1,1,79,53.500000
RH,67,66.625000,P1,5,67,53.750000
RH,78,66.625000,P1,1,78,53.750000
RH,79,66.750000,P1,1,79,53.875000
RH,72,66.875000,P1,1,72,54.000000
RH,67,67.125000,P1,5,67,54.250000
RH,79,67.500000,P1,1,79,54.500000
RH,78,67.625000,P1,1,78,54.750000
RH,67,67.666667,P1,5,67,54.750000
RH,79,67.750000,P1,1,79,54.875000
LH,59,67.875000,P1,6,59,55.000000
RH,74,67.875000,P1,1,74,55.000000
RH,62,68.000000,P1,5,62,55.000000
RH,67,68.250000,P1,5,67,55.250000
LH,59,68.500000,P1,6,59,55.500000
RH,62,68.500000,P1,5,62,55.500000
RH,67,68.625000,P1,5,67,55.750000
RH,78,68.625000,P1,1,78,55.750000
RH,79,68.625000,P1,1,79,55.500000
RH,79,68.750000,P1,1,79,55.875000
RH,76,69.000000,P1,1,76,56.000000
RH,60,69.250000,P1,5,60,56.250000
RH,64,69.500000,P1,5,64,56.500000
RH,67,69.750000,P1,5,67,56.750000
RH,72,70.000000,P1,5,72,57.000000
RH,76,70.250000,P1,1,76,57.250000
RH,79,70.500000,P1,1,79,57.500000
RH,84,70.750000,P1,1,84,57.750000
RH,88,71.000000,P1,1,88,58.000000
RH,83,71.875000,P1,1,83,58.750000
RH,86,71.875000,P1,1,86,58.750000
RH,81,72.125000,P1,1,81,59.000000
RH,84,72.125000,P1,1,84,59.000000
RH,79,72.500000,P1,1,79,59.250000
RH,83,72.500000,P1,1,83,59.250000
RH,81,72.666667,P1,1,81,59.500000
RH,76,72.875000,P1,1,76,59.750000
RH,79,72.875000,P1,1,79,59.750000
RH,74,73.125000,P1,1,74,60.000000
RH,77,73.125000,P1,1,77,60.000000
RH,61,73.500000,P1,5,61,60.250000
RH,62,73.750000,P1,5,62,60.500000
RH,64,74.000000,P1,5,64,60.750000
RH,65,74.250000,P1,5,65,61.000000
RH,64,74.500000,P1,5,64,61.250000
RH,65,74.750000,P1,5,65,61.500000
RH,72,74.750000,P1,1,72,61.500000
RH,76,74.750000,P1,1,76,61.500000
RH,66,74.875000,P1,5,66,61.750000
RH,67,75.250000,P1,5,67,62.000000
RH,71,75.250000,P1,1,71,62.000000
RH,74,75.250000,P1,1,74,62.000000
LH,55,75.500000,P1,5,55,62.250000
RH,67,75.750000,P1,5,67,62.500000
RH,76,76.000000,P1,1,76,62.750000
RH,79,76.000000,P1,1,79,62.750000
RH,75,76.250000,P1,1,75,63.000000
RH,78,76.250000,P1,1,78,63.000000
RH,76,76.500000,P1,1,76,63.250000
RH,79,76.500000,P1,1,79,63.250000
RH,77,76.750000,P1,1,77,63.500000
RH,81,76.750000,P1,1,81,63.500000
RH,76,77.000000,P1,1,76,63.750000
RH,79,77.000000,P1,1,79,63.750000
RH,74,77.250000,P1,1,74,64.000000
RH,77,77.250000,P1,1,77,64.000000
RH,67,77.500000,P1,5,67,64.250000
LH,55,77.750000,P1,5,55,64.500000
RH,76,78.000000,P1,1,76,64.750000
RH,79,78.000000,P1,1,79,64.750000
RH,72,78.250000,P1,1,72,65.000000
RH,76,78.250000,P1,1,76,65.000000
RH,67,78.500000,P1,5,67,65.250000
LH,55,78.875000,P1,5,55,65.500000
RH,74,79.000000,P1,1,74,65.750000
RH,77,79.000000,P1,1,77,65.750000
RH,71,79.250000,P1,1,71,66.000000
RH,74,79.250000,P1,1,74,66.000000
RH,67,79.500000,P1,5,67,66.250000
LH,55,79.875000,P1,5,55,66.500000
RH,76,80.125000,P1,1,76,66.750000
RH,79,80.125000,P1,1,79,66.750000
RH,75,80.333333,P1,1,75,67.000000
RH,78,80.333333,P1,1,78,67.000000
RH,76,80.625000,P1,1,76,67.250000
RH,79,80.625000,P1,1,79,67.250000
RH,77,80.875000,P1,1,77,67.500000
RH,81,80.875000,P1,1,81,67.500000
RH,76,81.125000,P1,1,76,67.750000
RH,79,81.125000,P1,1,79,67.750000
RH,74,81.333333,P1,1,74,68.000000
RH,77,81.333333,P1,1,77,68.000000
RH,67,81.625000,P1,5,67,68.250000
LH,55,81.875000,P1,5,55,68.500000
RH,77,82.125000,P1,1,77,68.750000
RH,83,82.125000,P1,1,83,68.750000
RH,76,82.375000,P1,1,76,69.000000
RH,84,82.375000,P1,1,84,69.000000
RH,67,82.625000,P1,5,67,69.250000
LH,55,82.875000,P1,5,55,69.500000
RH,72,83.125000,P1,1,72,69.750000
RH,76,83.125000,P1,1,76,69.750000
RH,71,83.375000,P1,1,71,70.000000
RH,74,83.375000,P1,1,74,70.000000
RH,67,83.750000,P1,5,67,70.250000
LH,55,84.000000,P1,5,55,70.500000
RH,72,84.250000,P1,1,72,70.750000
RH,76,84.250000,P1,1,76,70.750000
RH,71,84.500000,P1,1,71,71.000000
RH,74,84.500000,P1,1,74,71.000000
RH,72,84.750000,P1,1,72,71.250000
RH,76,84.750000,P1,1,76,71.250000
RH,71,85.000000,P1,1,71,71.500000
RH,74,85.000000,P1,1,74,71.500000
RH,72,85.250000,P1,1,72,71.750000
RH,76,85.250000,P1,1,76,71.750000
RH,74,85.500000,P1,1,74,72.000000
RH,71,85.625000,P1,1,71,72.000000
LH,54,86.625000,P1,1,54,72.750000
LH,42,86.666667,P1,5,42,72.750000
LH,43,86.875000,P1,5,43,73.000000
LH,55,86.875000,P1,1,55,73.000000
LH,42,87.125000,P1,5,42,73.250000
LH,54,87.125000,P1,1,54,73.250000
LH,43,87.375000,P1,5,43,73.500000
LH,55,87.375000,P1,1,55,73.500000
LH,42,87.666667,P1,5,42,73.750000
LH,54,87.666667,P1,1,54,73.750000
LH,43,88.000000,P1,5,43,74.000000
LH,55,88.000000,P1,1,55,74.000000
LH,43,90.625000,P1,5,43,76.000000
LH,55,90.625000,P1,5,55,76.000000
RH,74,90.875000,P1,1,74,76.250000
RH,76,91.125000,P1,1,76,76.500000
RH,78,91.375000,P1,1,78,76.750000
LH,38,91.666667,P1,5,38,77.000000
LH,50,91.666667,P1,5,50,77.000000
RH,79,91.666667,P1,1,79,77.000000
RH,81,92.000000,P1,1,81,77.250000
RH,83,92.250000,P1,1,83,77.500000
RH,84,92.500000,P1,1,84,77.750000
LH,35,92.750000,P1,5,35,78.000000
LH,47,92.750000,P1,5,47,78.000000
RH,86,92.750000,P1,1,86,78.000000
RH,84,93.000000,P1,1,84,78.250000
RH,83,93.250000,P1,1,83,78.500000
RH,81,93.500000,P1,1,81,78.750000
RH,79,93.750000,P1,1,79,79.000000
RH,81,94.000000,P1,1,81,79.250000
LH,40,94.333333,P1,5,40,79.500000
LH,52,94.333333,P1,5,52,79.500000
RH,83,94.333333,P1,1,83,79.500000
RH,79,94.625000,P1,1,79,79.750000
LH,33,94.875000,P1,5,33,80.000000
LH,45,94.875000,P1,5,45,80.000000
RH,84,94.875000,P1,1,84,80.000000
RH,83,95.125000,P1,1,83,80.250000
RH,81,95.375000,P1,1,81,80.500000
RH,79,95.666667,P1,1,79,80.750000
RH,78,95.875000,P1,1,78,81.000000
RH,79,96.125000,P1,1,79,81.250000
LH,38,96.375000,P1,5,38,81.500000
LH,50,96.375000,P1,5,50,81.500000
RH,81,96.375000,P1,1,81,81.500000
RH,78,96.666667,P1,1,78,81.750000
LH,31,97.000000,P1,5,31,82.000000
LH,43,97.000000,P1,5,43,82.000000
RH,83,97.000000,P1,1,83,82.000000
RH,81,97.250000,P1,1,81,82.250000
RH,79,97.625000,P1,1,79,82.500000
RH,78,97.750000,P1,1,78,82.750000
RH,76,98.125000,P1,1,76,83.000000
RH,74,98.333333,P1,1,74,83.250000
RH,64,98.625000,P1,5,64,83.500000
RH,72,98.625000,P1,1,72,83.500000
RH,71,98.875000,P1,1,71,83.750000
LH,54,99.125000,P1,5,54,84.000000
RH,69,99.125000,P1,1,69,84.000000
RH,79,99.500000,P1,1,79,84.250000
RH,78,99.750000,P1,1,78,84.500000
RH,76,100.000000,P1,1,76,84.750000
RH,74,100.250000,P1,1,74,85.000000
RH,72,100.500000,P1,1,72,85.250000
RH,62,100.750000,P1,5,62,85.500000
RH,71,100.750000,P1,1,71,85.500000
RH,69,101.000000,P1,1,69,85.750000
LH,52,101.333333,P1,5,52,86.000000
RH,67,101.333333,P1,1,67,86.000000
RH,78,101.666667,P1,1,78,86.250000
RH,76,101.875000,P1,1,76,86.500000
RH,74,102.125000,P1,1,74,86.750000
RH,72,102.375000,P1,1,72,87.000000
RH,71,102.625000,P1,1,71,87.250000
RH,60,102.875000,P1,5,60,87.500000
RH,69,102.875000,P1,1,69,87.500000
RH,67,103.250000,P1,1,67,87.750000
LH,50,103.625000,P1,6,50,88.000000
RH,66,103.625000,P1,1,66,88.000000
RH,71,103.875000,P1,1,71,88.250000
RH,69,104.125000,P1,1,69,88.500000
LH,59,104.625000,P1,5,59,89.000000
RH,62,104.625000,P1,1,62,89.000000
RH,72,104.875000,P1,1,72,89.250000
RH,71,105.250000,P1,1,71,89.500000
RH,67,105.500000,P1,1,67,89.750000
LH,54,105.750000,P1,5,54,90.000000
RH,62,105.750000,P1,1,62,90.000000
RH,74,106.000000,P1,1,74,90.250000
RH,72,106.250000,P1,1,72,90.500000
RH,69,106.500000,P1,1,69,90.750000
LH,55,106.750000,P1,5,55,91.000000
