hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,3.875000,P1,1,67,1.000000
RH,64,4.875000,P1,1,64,2.000000
LH,48,5.333333,P1,5,48,2.500000
LH,36,5.750000,P1,5,36,3.000000
RH,69,6.250000,P1,1,69,3.500000
RH,62,6.750000,P1,1,62,4.000000
LH,48,7.250000,P1,5,48,4.500000
LH,36,7.750000,P1,5,36,5.000000
RH,67,8.125000,P1,1,67,5.500000
RH,60,8.625000,P1,1,60,6.000000
LH,48,9.125000,P1,5,48,6.500000
LH,36,9.500000,P1,5,36,7.000000
RH,76,10.000000,P1,1,76,7.500000
RH,65,10.500000,P1,1,65,8.000000
LH,48,11.000000,P1,5,48,8.500000
LH,36,11.500000,P1,5,36,9.000000
RH,74,12.000000,P1,1,74,9.500000
RH,64,12.500000,P1,1,64,10.000000
LH,48,13.000000,P1,5,48,10.500000
LH,36,13.375000,P1,5,36,11.000000
RH,72,13.875000,P1,1,72,11.500000
RH,62,14.375000,P1,1,62,12.000000
LH,48,14.875000,P1,5,48,12.500000
RH,69,14.875000,P1,1,69,12.500000
LH,36,15.333333,P1,5,36,13.000000
LH,57,15.333333,P1,1,57,13.000000
LH,59,15.750000,P1,1,59,13.500000
RH,62,16.250000,P1,1,62,14.000000
LH,48,16.750000,P1,5,48,14.500000
RH,60,16.750000,P1,1,60,14.500000
LH,36,17.250000,P1,5,36,15.000000
LH,59,17.666667,P1,2,59,15.500000
RH,62,17.666667,P1,1,62,15.500000
RH,62,18.125000,P1,2,62,16.000000
RH,65,18.125000,P1,1,65,16.000000
RH,60,18.625000,P1,2,60,16.500000
RH,64,18.625000,P1,1,64,16.500000
LH,48,18.666667,P1,5,48,16.500000
LH,36,19.125000,P1,5,36,17.000000
RH,62,19.625000,P1,2,62,17.500000
RH,65,19.625000,P1,1,65,17.500000
RH,65,20.000000,P1,2,65,18.000000
RH,69,20.000000,P1,1,69,18.000000
LH,48,20.500000,P1,5,48,18.500000
RH,64,20.500000,P1,2,64,18.500000
RH,67,20.500000,P1,1,67,18.500000
LH,36,21.000000,P1,5,36,19.000000
RH,62,21.500000,P1,1,62,19.500000
RH,71,21.500000,P1,1,71,19.500000
RH,65,22.000000,P1,1,65,20.000000
RH,74,22.000000,P1,1,74,20.000000
LH,48,22.500000,P1,5,48,20.500000
RH,64,22.500000,P1,1,64,20.500000
RH,72,22.500000,P1,1,72,20.500000
LH,36,23.000000,P1,5,36,21.000000
RH,71,23.500000,P1,1,71,21.500000
RH,74,23.500000,P1,1,74,21.500000
RH,74,24.333333,P1,1,74,22.000000
RH,77,24.333333,P1,1,77,22.000000
RH,72,27.750000,P1,1,72,23.000000
RH,76,27.750000,P1,1,76,23.000000
LH,36,30.250000,P1,5,36,24.000000
LH,40,30.375000,P1,5,40,24.000000
RH,72,30.375000,P1,1,72,24.000000
RH,76,30.500000,P1,1,76,24.000000
LH,43,31.500000,P1,5,43,25.000000
LH,47,31.500000,P1,5,47,25.000000
RH,71,31.500000,P1,1,71,25.000000
LH,48,32.375000,P1,5,48,26.000000
LH,52,32.500000,P1,5,52,26.000000
RH,67,32.500000,P1,1,67,26.000000
RH,81,34.125000,P1,1,81,27.500000
RH,80,34.250000,P1,1,80,27.750000
RH,74,34.500000,P1,1,74,28.000000
RH,65,35.000000,P1,6,65,28.500000
RH,71,35.000000,P1,5,71,28.500000
RH,65,35.500000,P1,6,65,29.000000
RH,71,35.500000,P1,5,71,29.000000
RH,79,36.125000,P1,1,79,29.500000
RH,78,36.250000,P1,1,78,29.750000
RH,72,36.375000,P1,1,72,30.000000
RH,64,36.875000,P1,6,64,30.500000
RH,67,36.875000,P1,5,67,30.500000
RH,64,37.375000,P1,6,64,31.000000
RH,67,37.375000,P1,5,67,31.000000
RH,88,37.875000,P1,1,88,31.500000
