hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,66,128.500000,P1,6,66,134.000000
RH,82,128.500000,P1,1,82,134.000000
RH,78,139.333333,P1,1,78,142.000000
RH,70,141.125000,P1,6,70,144.000000
LH,59,148.750000,P1,5,59,151.500000
LH,58,150.333333,P1,5,58,153.000000
RH,66,154.250000,P1,1,66,155.500000
RH,75,156.500000,P1,2,75,157.500000
RH,63,160.125000,P1,5,63,160.500000
RH,78,160.125000,P1,2,78,160.500000
RH,63,164.000000,P1,5,63,162.500000
RH,68,166.625000,P1,1,68,163.500000
RH,65,300.875000,P1,6,65,310.000000
RH,81,300.875000,P1,1,81,310.000000
RH,77,310.875000,P1,1,77,318.000000
RH,69,312.750000,P1,6,69,320.000000
LH,58,320.625000,P1,5,58,327.500000
LH,57,322.125000,P1,5,57,329.000000
RH,65,326.250000,P1,1,65,331.500000
RH,74,328.625000,P1,2,74,333.500000
RH,62,332.500000,P1,5,62,336.500000
RH,67,332.500000,P1,1,67,336.500000
RH,77,332.500000,P1,2,77,336.500000
RH,62,336.250000,P1,5,62,338.500000
RH,69,359.250000,P1,5,69,359.750000
RH,69,364.625000,P1,5,69,367.750000
RH,93,385.625000,P1,1,93,398.000000
RH,81,386.250000,P1,1,81,399.000000
LH,50,397.666667,P1,5,50,414.000000
LH,56,399.125000,P1,1,56,416.000000
LH,59,404.750000,P1,1,59,424.500000
LH,37,413.333333,P1,5,37,437.000000
LH,37,414.000000,P1,5,37,438.000000
LH,37,414.666667,P1,5,37,439.000000
LH,37,415.500000,P1,5,37,440.000000
LH,37,417.125000,P1,5,37,442.500000
LH,44,475.625000,P1,5,44,525.750000
RH,61,476.125000,P1,1,61,526.500000
RH,78,622.000000,P1,5,78,645.000000
RH,78,625.125000,P1,1,78,647.500000
RH,81,625.125000,P1,1,81,647.500000
RH,90,635.333333,P1,1,90,655.500000
RH,93,635.333333,P1,1,93,655.500000
RH,84,645.875000,P1,1,84,663.000000
RH,78,646.250000,P1,1,78,663.500000
RH,81,646.250000,P1,1,81,663.500000
RH,81,647.875000,P1,1,81,665.000000
RH,79,649.875000,P1,1,79,666.500000
RH,84,649.875000,P1,1,84,666.500000
RH,81,652.750000,P1,1,81,668.500000
RH,71,671.125000,P1,1,71,679.500000
RH,74,671.125000,P1,1,74,679.500000
RH,83,680.750000,P1,1,83,687.500000
RH,86,680.750000,P1,1,86,687.500000
RH,77,691.125000,P1,1,77,695.000000
RH,71,691.625000,P1,1,71,695.500000
RH,74,691.625000,P1,1,74,695.500000
RH,77,692.125000,P1,1,77,696.000000
RH,74,693.375000,P1,1,74,697.000000
RH,72,695.375000,P1,1,72,698.500000
RH,77,695.375000,P1,1,77,698.500000
RH,77,696.750000,P1,1,77,699.500000
RH,74,698.500000,P1,1,74,700.500000
RH,69,701.875000,P1,1,69,702.500000
LH,41,730.750000,P1,5,41,723.250000
LH,39,732.625000,P1,5,39,725.250000
LH,41,734.000000,P1,5,41,727.250000
LH,39,735.375000,P1,5,39,729.250000
LH,41,737.125000,P1,5,41,731.250000
LH,39,739.000000,P1,5,39,733.250000
LH,41,740.333333,P1,5,41,735.250000
LH,39,742.000000,P1,5,39,737.250000
LH,42,746.875000,P1,5,42,743.500000
LH,40,751.666667,P1,5,40,749.500000
LH,42,752.666667,P1,5,42,751.000000
LH,40,754.500000,P1,5,40,753.500000
LH,41,755.666667,P1,5,41,755.250000
LH,42,759.125000,P1,5,42,759.500000
LH,40,763.500000,P1,5,40,765.500000
RH,62,776.000000,P1,1,62,784.500000
RH,74,776.125000,P1,1,74,784.750000
LH,33,806.000000,P1,5,33,827.500000
LH,31,813.500000,P1,5,31,839.000000
RH,64,840.500000,P1,5,64,882.000000
LH,58,852.666667,P1,1,58,901.750000
LH,58,858.125000,P1,5,58,909.500000
LH,58,861.125000,P1,5,58,913.500000
LH,58,862.666667,P1,7,58,915.666667
RH,61,864.750000,P1,5,61,917.833333
LH,55,871.625000,P1,7,55,924.000000
RH,71,931.875000,P1,1,71,974.000000
RH,72,958.125000,P1,1,72,986.000000
RH,63,1002.750000,P1,1,63,1011.500000
RH,66,1002.750000,P1,1,66,1011.500000
RH,66,1010.250000,P1,1,66,1017.000000
RH,75,1013.375000,P1,1,75,1019.500000
RH,78,1013.375000,P1,1,78,1019.500000
RH,73,1017.333333,P1,1,73,1022.000000
RH,69,1023.250000,P1,1,69,1027.500000
RH,69,1027.500000,P1,1,69,1030.500000
RH,73,1028.875000,P1,1,73,1031.500000
RH,73,1029.500000,P1,1,73,1032.000000
RH,67,1048.000000,P1,1,67,1043.500000
RH,70,1048.000000,P1,1,70,1043.500000
RH,68,1053.250000,P1,1,68,1047.500000
RH,70,1055.000000,P1,1,70,1049.000000
RH,82,1058.125000,P1,1,82,1051.500000
RH,79,1058.250000,P1,1,79,1051.500000
RH,77,1062.125000,P1,1,77,1054.000000
RH,73,1068.125000,P1,1,73,1059.500000
RH,73,1073.000000,P1,1,73,1062.500000
RH,68,1073.666667,P1,1,68,1063.000000
RH,77,1073.666667,P1,1,77,1063.000000
RH,70,1074.333333,P1,1,70,1063.500000
RH,73,1074.333333,P1,1,73,1063.500000
RH,77,1074.875000,P1,1,77,1064.000000
RH,68,1078.250000,P1,1,68,1066.500000
RH,68,1086.750000,P1,1,68,1070.500000
RH,63,1090.250000,P1,1,63,1073.500000
RH,64,1091.333333,P1,1,64,1074.500000
RH,64,1094.625000,P1,1,64,1077.000000
RH,68,1097.250000,P1,1,68,1078.500000
RH,64,1102.750000,P1,1,64,1082.500000
RH,61,1133.125000,P1,1,61,1105.500000
RH,66,1211.250000,P1,1,66,1180.000000
RH,78,1214.125000,P1,1,78,1182.500000
LH,49,1214.750000,P1,5,49,1183.000000
LH,49,1223.875000,P1,5,49,1191.000000
RH,90,1233.250000,P1,1,90,1198.500000
LH,49,1233.750000,P1,5,49,1199.000000
RH,91,1242.000000,P1,1,91,1206.500000
RH,66,1250.875000,P1,5,66,1215.250000
RH,85,1257.500000,P1,1,85,1220.000000
RH,63,1263.625000,P1,5,63,1227.500000
RH,78,1263.666667,P1,1,78,1227.750000
RH,61,1263.875000,P1,1,61,1228.000000
RH,75,1264.000000,P1,1,75,1228.250000
RH,73,1264.333333,P1,1,73,1228.750000
LH,58,1264.750000,P1,1,58,1229.500000
RH,73,1264.875000,P1,1,73,1229.750000
LH,56,1265.125000,P1,1,56,1230.000000
RH,70,1265.250000,P1,1,70,1230.250000
LH,54,1265.500000,P1,1,54,1230.500000
RH,68,1265.625000,P1,1,68,1230.750000
RH,75,1274.125000,P1,1,75,1240.000000
LH,56,1284.750000,P1,5,56,1252.000000
LH,46,1294.375000,P1,5,46,1263.000000
RH,70,1294.375000,P1,1,70,1263.000000
RH,78,1309.666667,P1,1,78,1280.000000
RH,82,1309.666667,P1,1,82,1280.000000
RH,78,1310.125000,P1,1,78,1280.500000
RH,82,1310.125000,P1,1,82,1280.500000
RH,78,1311.000000,P1,1,78,1281.000000
RH,82,1311.125000,P1,1,82,1281.000000
RH,90,1311.250000,P1,1,90,1281.250000
RH,82,1311.500000,P1,1,82,1281.500000
RH,90,1311.875000,P1,1,90,1281.750000
RH,78,1315.750000,P1,1,78,1286.000000
LH,58,1329.625000,P1,1,58,1301.000000
RH,61,1332.250000,P1,5,61,1304.000000
RH,71,1337.500000,P1,5,71,1309.862500
RH,73,1337.750000,P1,5,73,1310.000000
RH,63,1343.333333,P1,5,63,1316.000000
RH,90,1344.000000,P1,1,90,1316.250000
LH,48,1352.125000,P1,5,48,1324.000000
RH,66,1362.875000,P1,1,66,1336.000000
RH,61,1364.666667,P1,1,61,1338.000000
LH,54,1367.125000,P1,5,54,1340.500000
LH,59,1367.125000,P1,2,59,1340.500000
LH,54,1371.375000,P1,5,54,1344.500000
RH,63,1371.375000,P1,2,63,1344.500000
LH,54,1378.500000,P1,5,54,1348.500000
RH,64,1380.000000,P1,2,64,1350.000000
RH,75,1381.375000,P1,1,75,1351.500000
LH,54,1382.500000,P1,5,54,1352.500000
RH,80,1398.625000,P1,1,80,1364.000000
RH,64,1404.333333,P1,5,64,1367.000000
RH,80,1404.333333,P1,1,80,1367.000000
LH,35,1437.000000,P1,5,35,1388.000000
