hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,3.666667,P1,1,68,1.000000
RH,75,3.875000,P1,1,75,1.166667
RH,72,4.000000,P1,1,72,1.333333
RH,77,4.250000,P1,1,77,1.500000
RH,80,4.250000,P1,1,80,1.500000
RH,75,4.500000,P1,1,75,1.666667
RH,72,4.666667,P1,1,72,1.833333
RH,68,4.875000,P1,1,68,2.000000
RH,75,5.000000,P1,1,75,2.166667
RH,72,5.125000,P1,1,72,2.333333
RH,77,5.375000,P1,1,77,2.500000
RH,80,5.375000,P1,1,80,2.500000
RH,75,5.625000,P1,1,75,2.666667
RH,72,5.750000,P1,1,72,2.833333
RH,68,5.875000,P1,1,68,3.000000
RH,75,6.125000,P1,1,75,3.166667
RH,72,6.250000,P1,1,72,3.333333
RH,80,6.375000,P1,1,80,3.500000
RH,77,6.500000,P1,1,77,3.500000
RH,75,6.666667,P1,1,75,3.666667
RH,72,6.875000,P1,1,72,3.833333
RH,68,7.000000,P1,1,68,4.000000
RH,75,7.125000,P1,1,75,4.166667
RH,72,7.333333,P1,1,72,4.333333
RH,66,7.500000,P1,5,66,4.500000
RH,77,7.750000,P1,1,77,4.500000
RH,75,7.875000,P1,1,75,4.666667
RH,72,8.125000,P1,1,72,4.833333
RH,68,8.333333,P1,1,68,5.000000
RH,75,8.500000,P1,1,75,5.166667
RH,72,8.666667,P1,1,72,5.333333
RH,77,8.750000,P1,1,77,5.500000
RH,80,8.750000,P1,1,80,5.500000
RH,75,9.000000,P1,1,75,5.666667
RH,62,9.125000,P1,5,62,6.000000
RH,72,9.125000,P1,1,72,5.833333
RH,68,9.250000,P1,1,68,6.000000
RH,75,9.375000,P1,1,75,6.166667
RH,72,9.500000,P1,1,72,6.333333
RH,65,9.666667,P1,5,65,6.500000
RH,80,9.666667,P1,1,80,6.500000
RH,77,9.750000,P1,1,77,6.500000
RH,75,10.000000,P1,1,75,6.666667
RH,72,10.125000,P1,1,72,6.833333
RH,63,10.250000,P1,5,63,7.000000
RH,68,10.250000,P1,1,68,7.000000
RH,75,10.500000,P1,1,75,7.166667
RH,72,10.625000,P1,1,72,7.333333
RH,61,10.750000,P1,5,61,7.500000
RH,77,10.750000,P1,1,77,7.500000
RH,80,10.750000,P1,1,80,7.500000
RH,75,11.000000,P1,1,75,7.666667
RH,72,11.125000,P1,1,72,7.833333
LH,59,11.250000,P1,5,59,8.000000
