hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,80,6.125000,P1,1,80,4.500000
RH,73,12.625000,P1,1,73,11.500000
RH,69,18.000000,P1,1,69,19.500000
RH,78,22.125000,P1,1,78,25.500000
RH,69,26.125000,P1,1,69,31.500000
RH,77,29.125000,P1,1,77,36.125000
RH,81,29.125000,P1,1,81,36.000000
RH,65,29.750000,P1,1,65,37.125000
RH,61,30.000000,P1,1,61,37.625000
RH,65,30.000000,P1,1,65,37.500000
RH,77,30.625000,P1,1,77,38.500000
RH,81,30.666667,P1,1,81,38.625000
RH,74,31.000000,P1,1,74,39.125000
RH,78,31.000000,P1,1,78,39.000000
RH,62,31.625000,P1,1,62,40.125000
RH,66,31.625000,P1,1,66,40.000000
RH,70,32.250000,P1,5,70,41.000000
RH,74,32.375000,P1,5,74,41.125000
RH,78,32.500000,P1,1,78,41.500000
RH,82,32.500000,P1,1,82,41.625000
RH,78,33.000000,P1,1,78,42.125000
RH,83,33.000000,P1,1,83,42.000000
RH,66,33.625000,P1,1,66,43.125000
RH,63,33.875000,P1,1,63,43.625000
RH,67,33.875000,P1,1,67,43.500000
RH,79,34.500000,P1,1,79,44.500000
RH,83,34.625000,P1,1,83,44.625000
RH,76,34.875000,P1,1,76,45.125000
RH,80,34.875000,P1,1,80,45.000000
RH,64,35.500000,P1,1,64,46.125000
RH,68,35.500000,P1,1,68,46.000000
RH,68,35.750000,P1,1,68,46.500000
RH,71,35.750000,P1,1,71,46.625000
RH,71,36.000000,P1,1,71,46.625000
RH,80,36.333333,P1,1,80,47.500000
RH,84,36.333333,P1,1,84,47.625000
RH,80,36.666667,P1,1,80,48.125000
RH,85,36.666667,P1,1,85,48.000000
RH,65,37.333333,P1,1,65,49.125000
RH,68,37.333333,P1,1,68,49.000000
RH,66,37.625000,P1,1,66,49.625000
RH,69,37.625000,P1,1,69,49.500000
RH,78,38.125000,P1,1,78,50.500000
RH,81,38.125000,P1,1,81,50.500000
RH,84,38.125000,P1,1,84,50.625000
RH,80,38.500000,P1,1,80,51.125000
RH,85,38.500000,P1,1,85,51.000000
RH,65,39.250000,P1,1,65,52.125000
RH,68,39.250000,P1,1,68,52.000000
RH,66,39.500000,P1,1,66,52.625000
RH,69,39.500000,P1,1,69,52.500000
RH,78,40.000000,P1,1,78,53.500000
RH,81,40.000000,P1,1,81,53.500000
RH,84,40.125000,P1,1,84,53.625000
RH,80,40.375000,P1,1,80,54.125000
RH,85,40.375000,P1,1,85,54.000000
RH,81,41.375000,P1,1,81,55.625000
RH,85,41.375000,P1,1,85,55.500000
RH,81,42.333333,P1,1,81,57.125000
RH,85,42.333333,P1,1,85,57.000000
RH,64,46.250000,P1,5,64,60.000000
RH,69,46.250000,P1,5,69,60.000000
RH,73,46.250000,P1,5,73,60.000000
RH,88,46.375000,P1,1,88,60.250000
RH,64,46.625000,P1,5,64,60.500000
RH,69,46.625000,P1,5,69,60.500000
RH,73,46.625000,P1,5,73,60.500000
RH,97,46.625000,P1,1,97,60.500000
RH,88,46.750000,P1,1,88,60.750000
RH,64,47.000000,P1,5,64,61.000000
RH,69,47.000000,P1,5,69,61.000000
RH,73,47.000000,P1,5,73,61.000000
RH,64,47.333333,P1,5,64,61.500000
RH,69,47.333333,P1,5,69,61.500000
RH,73,47.333333,P1,5,73,61.500000
RH,85,47.500000,P1,1,85,61.750000
RH,64,47.666667,P1,5,64,62.000000
RH,69,47.666667,P1,5,69,62.000000
RH,73,47.666667,P1,5,73,62.000000
RH,93,47.666667,P1,1,93,62.000000
RH,85,47.750000,P1,1,85,62.250000
RH,64,48.000000,P1,5,64,62.500000
RH,73,48.000000,P1,5,73,62.500000
RH,69,48.125000,P1,5,69,62.500000
RH,64,48.375000,P1,5,64,63.000000
RH,69,48.375000,P1,5,69,63.000000
