hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,80,5.125000,P1,1,80,4.500000
RH,73,10.125000,P1,1,73,11.500000
RH,69,17.500000,P1,1,69,19.500000
RH,78,21.500000,P1,1,78,25.500000
RH,69,25.250000,P1,1,69,31.500000
RH,77,28.000000,P1,1,77,36.125000
RH,81,28.000000,P1,1,81,36.000000
RH,65,28.666667,P1,1,65,37.125000
RH,61,29.000000,P1,1,61,37.625000
RH,65,29.000000,P1,1,65,37.500000
RH,77,29.666667,P1,1,77,38.500000
RH,81,29.666667,P1,1,81,38.625000
RH,74,30.000000,P1,1,74,39.125000
RH,78,30.000000,P1,1,78,39.000000
RH,62,30.625000,P1,1,62,40.125000
RH,66,30.625000,P1,1,66,40.000000
RH,66,30.875000,P1,1,66,40.500000
RH,69,30.875000,P1,1,69,40.625000
RH,70,31.250000,P1,5,70,41.000000
RH,74,31.250000,P1,5,74,41.125000
RH,82,31.500000,P1,1,82,41.625000
RH,78,31.750000,P1,1,78,42.125000
RH,83,31.750000,P1,1,83,42.000000
RH,66,32.375000,P1,1,66,43.125000
RH,63,32.666667,P1,1,63,43.625000
RH,67,32.666667,P1,1,67,43.500000
RH,79,33.333333,P1,1,79,44.500000
RH,83,33.333333,P1,1,83,44.625000
RH,76,33.625000,P1,1,76,45.125000
RH,80,33.625000,P1,1,80,45.000000
RH,64,34.250000,P1,1,64,46.125000
RH,68,34.250000,P1,1,68,46.000000
RH,68,34.500000,P1,1,68,46.500000
RH,71,34.500000,P1,1,71,46.625000
RH,72,34.750000,P1,5,72,47.000000
RH,76,34.750000,P1,5,76,47.125000
RH,84,35.000000,P1,1,84,47.625000
RH,80,35.333333,P1,1,80,48.125000
RH,85,35.333333,P1,1,85,48.000000
RH,65,35.875000,P1,1,65,49.125000
RH,68,35.875000,P1,1,68,49.000000
RH,66,36.250000,P1,1,66,49.625000
RH,69,36.250000,P1,1,69,49.500000
RH,78,36.750000,P1,1,78,50.500000
RH,81,36.750000,P1,1,81,50.500000
RH,80,37.125000,P1,1,80,51.125000
RH,85,37.125000,P1,1,85,51.000000
RH,68,37.666667,P1,1,68,52.000000
RH,66,38.000000,P1,1,66,52.625000
RH,69,38.000000,P1,1,69,52.500000
RH,78,38.500000,P1,1,78,53.500000
RH,81,38.500000,P1,1,81,53.500000
RH,84,38.500000,P1,1,84,53.625000
RH,80,38.750000,P1,1,80,54.125000
RH,85,38.750000,P1,1,85,54.000000
RH,81,39.666667,P1,1,81,55.625000
RH,85,39.666667,P1,1,85,55.500000
RH,81,40.750000,P1,1,81,57.125000
RH,85,40.750000,P1,1,85,57.000000
RH,64,44.250000,P1,5,64,60.000000
RH,69,44.375000,P1,5,69,60.000000
RH,73,44.375000,P1,5,73,60.000000
RH,88,44.625000,P1,1,88,60.250000
RH,97,44.750000,P1,1,97,60.500000
RH,64,44.875000,P1,5,64,61.000000
RH,69,44.875000,P1,5,69,61.000000
RH,88,44.875000,P1,1,88,60.750000
RH,73,45.125000,P1,5,73,61.500000
RH,64,45.375000,P1,5,64,61.500000
RH,69,45.375000,P1,5,69,62.000000
RH,73,45.375000,P1,5,73,61.500000
RH,85,45.500000,P1,1,85,61.750000
RH,64,45.625000,P1,5,64,62.000000
RH,93,45.625000,P1,1,93,62.000000
RH,73,45.666667,P1,5,73,62.000000
RH,69,45.750000,P1,5,69,62.500000
RH,85,45.750000,P1,1,85,62.250000
RH,64,45.875000,P1,5,64,62.500000
RH,73,45.875000,P1,5,73,62.500000
RH,69,46.000000,P1,5,69,62.500000
RH,64,46.250000,P1,5,64,63.000000
RH,73,46.250000,P1,5,73,63.000000
RH,69,46.333333,P1,5,69,63.000000
RH,81,46.333333,P1,1,81,63.250000
RH,85,46.500000,P1,1,85,63.750000
RH,90,46.500000,P1,1,90,63.500000
RH,64,47.000000,P1,5,64,64.500000
RH,75,47.000000,P1,5,75,64.500000
RH,69,47.125000,P1,5,69,64.500000
RH,87,47.250000,P1,1,87,64.750000
RH,64,47.333333,P1,5,64,65.000000
RH,75,47.333333,P1,5,75,65.000000
RH,95,47.333333,P1,1,95,65.000000
RH,69,47.375000,P1,5,69,65.000000
RH,64,47.625000,P1,5,64,65.500000
RH,75,47.625000,P1,5,75,65.500000
RH,64,47.875000,P1,5,64,66.000000
RH,68,47.875000,P1,5,68,66.000000
RH,71,47.875000,P1,5,71,66.000000
RH,74,47.875000,P1,5,74,66.000000
RH,83,48.000000,P1,1,83,66.250000
RH,90,48.125000,P1,1,90,66.500000
RH,83,48.250000,P1,1,83,66.750000
RH,78,48.500000,P1,1,78,67.000000
RH,76,48.666667,P1,1,76,67.250000
RH,75,48.875000,P1,1,75,67.500000
RH,76,49.000000,P1,1,76,67.750000
RH,78,49.125000,P1,1,78,68.000000
RH,81,49.333333,P1,1,81,68.500000
RH,83,49.500000,P1,1,83,68.750000
RH,64,49.625000,P1,5,64,69.000000
RH,69,49.625000,P1,5,69,69.000000
RH,73,49.625000,P1,5,73,69.000000
RH,73,49.875000,P1,5,73,69.500000
RH,88,49.875000,P1,1,88,69.250000
RH,64,50.000000,P1,5,64,69.500000
RH,69,50.000000,P1,5,69,69.500000
RH,97,50.000000,P1,1,97,69.500000
RH,88,50.125000,P1,1,88,69.750000
RH,69,50.250000,P1,5,69,70.000000
RH,73,50.250000,P1,5,73,70.000000
RH,64,50.500000,P1,5,64,70.500000
RH,69,50.500000,P1,5,69,70.500000
RH,73,50.500000,P1,5,73,70.500000
RH,64,50.750000,P1,5,64,71.000000
RH,69,50.750000,P1,5,69,71.000000
RH,73,50.750000,P1,5,73,71.000000
RH,85,50.750000,P1,1,85,70.750000
RH,93,50.750000,P1,1,93,71.000000
RH,85,51.000000,P1,1,85,71.250000
RH,64,51.125000,P1,5,64,71.500000
RH,73,51.125000,P1,5,73,71.500000
RH,69,51.250000,P1,5,69,71.500000
