hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,63,3.666667,P1,5,63,1.500000
RH,87,4.375000,P1,1,87,2.000000
RH,99,4.375000,P1,1,99,2.000000
RH,87,5.125000,P1,1,87,2.500000
RH,99,5.125000,P1,1,99,2.500000
RH,87,6.000000,P1,1,87,3.000000
RH,99,6.000000,P1,1,99,3.000000
RH,63,6.875000,P1,5,63,3.500000
RH,75,6.875000,P1,5,75,3.500000
RH,75,7.625000,P1,5,75,4.000000
RH,63,7.666667,P1,5,63,4.000000
RH,63,8.375000,P1,5,63,4.500000
RH,75,8.375000,P1,5,75,4.500000
RH,87,9.125000,P1,1,87,5.000000
RH,99,9.125000,P1,1,99,5.000000
RH,87,9.875000,P1,1,87,5.500000
RH,99,9.875000,P1,1,99,5.500000
RH,87,10.666667,P1,1,87,6.000000
RH,99,10.666667,P1,1,99,6.000000
RH,75,11.500000,P1,5,75,6.500000
RH,63,11.625000,P1,5,63,6.500000
RH,87,12.375000,P1,1,87,7.000000
RH,99,12.375000,P1,1,99,7.000000
RH,87,13.125000,P1,1,87,7.500000
RH,99,13.125000,P1,1,99,7.500000
RH,75,14.000000,P1,5,75,8.000000
RH,63,14.125000,P1,5,63,8.000000
RH,87,14.875000,P1,1,87,8.500000
RH,99,14.875000,P1,1,99,8.500000
RH,87,16.125000,P1,1,87,9.000000
RH,99,16.125000,P1,1,99,9.000000
RH,87,19.500000,P1,1,87,10.250000
RH,99,20.125000,P1,1,99,10.750000
RH,99,20.666667,P1,1,99,11.250000
RH,99,21.250000,P1,1,99,11.750000
LH,56,21.333333,P1,5,56,12.000000
RH,99,21.875000,P1,1,99,12.250000
RH,99,22.500000,P1,1,99,12.750000
RH,99,23.000000,P1,1,99,13.250000
LH,59,23.125000,P1,5,59,13.500000
RH,99,23.625000,P1,1,99,13.750000
RH,99,24.250000,P1,1,99,14.250000
RH,63,24.875000,P1,5,63,15.000000
RH,99,24.875000,P1,1,99,14.750000
RH,99,25.500000,P1,1,99,15.250000
RH,99,26.125000,P1,1,99,15.750000
RH,67,26.875000,P1,5,67,16.500000
RH,87,26.875000,P1,1,87,16.250000
RH,87,27.333333,P1,1,87,16.750000
RH,87,27.875000,P1,1,87,17.250000
RH,87,28.500000,P1,1,87,17.750000
RH,68,28.750000,P1,5,68,18.000000
RH,87,29.125000,P1,1,87,18.250000
RH,87,29.750000,P1,1,87,18.750000
RH,87,30.333333,P1,1,87,19.250000
LH,59,30.500000,P1,5,59,19.500000
RH,87,30.875000,P1,1,87,19.750000
RH,87,31.500000,P1,1,87,20.250000
RH,87,32.125000,P1,1,87,20.750000
RH,63,32.375000,P1,5,63,21.000000
RH,67,32.375000,P1,5,67,21.000000
