hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,75,3.500000,P1,5,75,1.500000
RH,87,4.250000,P1,1,87,2.000000
RH,99,4.250000,P1,1,99,2.000000
RH,87,5.000000,P1,1,87,2.500000
RH,99,5.000000,P1,1,99,2.500000
RH,87,5.666667,P1,1,87,3.000000
RH,99,5.666667,P1,1,99,3.000000
RH,63,6.500000,P1,5,63,3.500000
RH,75,6.500000,P1,5,75,3.500000
RH,63,7.250000,P1,5,63,4.000000
RH,75,7.250000,P1,5,75,4.000000
RH,63,7.875000,P1,5,63,4.500000
RH,75,7.875000,P1,5,75,4.500000
RH,87,8.666667,P1,1,87,5.000000
RH,99,8.666667,P1,1,99,5.000000
RH,87,9.500000,P1,1,87,5.500000
RH,99,9.500000,P1,1,99,5.500000
RH,87,10.250000,P1,1,87,6.000000
RH,99,10.250000,P1,1,99,6.000000
RH,63,11.000000,P1,5,63,6.500000
RH,75,11.000000,P1,5,75,6.500000
RH,87,11.750000,P1,1,87,7.000000
RH,99,11.750000,P1,1,99,7.000000
RH,99,12.500000,P1,1,99,7.500000
RH,87,12.625000,P1,1,87,7.500000
RH,63,13.333333,P1,5,63,8.000000
RH,75,13.333333,P1,5,75,8.000000
RH,87,14.250000,P1,1,87,8.500000
RH,99,14.250000,P1,1,99,8.500000
RH,87,15.500000,P1,1,87,9.000000
RH,99,15.500000,P1,1,99,9.000000
RH,99,20.000000,P1,1,99,10.750000
RH,99,20.500000,P1,1,99,11.250000
LH,56,21.000000,P1,5,56,12.000000
RH,99,21.000000,P1,1,99,11.750000
RH,99,21.666667,P1,1,99,12.250000
RH,99,22.250000,P1,1,99,12.750000
LH,59,22.750000,P1,5,59,13.500000
RH,99,22.750000,P1,1,99,13.250000
RH,99,23.333333,P1,1,99,13.750000
RH,63,24.333333,P1,5,63,15.000000
RH,99,24.375000,P1,1,99,14.750000
RH,99,25.000000,P1,1,99,15.250000
RH,99,25.500000,P1,1,99,15.750000
RH,87,26.000000,P1,1,87,16.250000
RH,67,26.375000,P1,5,67,16.500000
RH,87,26.666667,P1,1,87,16.750000
RH,87,27.125000,P1,1,87,17.250000
RH,87,27.750000,P1,1,87,17.750000
RH,68,28.000000,P1,5,68,18.000000
RH,87,28.333333,P1,1,87,18.250000
RH,87,28.875000,P1,1,87,18.750000
LH,59,29.375000,P1,5,59,19.500000
RH,87,30.500000,P1,1,87,20.250000
RH,87,31.000000,P1,1,87,20.750000
RH,63,31.125000,P1,5,63,21.000000
RH,67,31.250000,P1,5,67,21.000000
RH,87,31.666667,P1,1,87,21.250000
RH,75,32.333333,P1,1,75,21.750000
RH,87,32.875000,P1,1,87,22.250000
RH,99,33.375000,P1,1,99,22.750000
RH,99,34.000000,P1,1,99,23.250000
