hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,75,5.375000,P1,5,75,1.500000
RH,87,6.000000,P1,1,87,2.000000
RH,99,6.000000,P1,1,99,2.000000
RH,87,6.666667,P1,1,87,2.500000
RH,99,6.666667,P1,1,99,2.500000
RH,99,7.333333,P1,1,99,3.000000
RH,87,7.375000,P1,1,87,3.000000
RH,63,8.000000,P1,5,63,3.500000
RH,75,8.000000,P1,5,75,3.500000
RH,63,8.666667,P1,5,63,4.000000
RH,75,8.666667,P1,5,75,4.000000
RH,63,9.375000,P1,5,63,4.500000
RH,75,9.375000,P1,5,75,4.500000
RH,87,10.000000,P1,1,87,5.000000
RH,99,10.000000,P1,1,99,5.000000
RH,87,10.666667,P1,1,87,5.500000
RH,99,10.666667,P1,1,99,5.500000
RH,87,11.375000,P1,1,87,6.000000
RH,99,11.375000,P1,1,99,6.000000
RH,63,12.125000,P1,5,63,6.500000
RH,75,12.125000,P1,5,75,6.500000
RH,87,12.875000,P1,1,87,7.000000
RH,99,12.875000,P1,1,99,7.000000
RH,87,13.666667,P1,1,87,7.500000
RH,99,13.666667,P1,1,99,7.500000
RH,63,14.500000,P1,5,63,8.000000
RH,75,14.500000,P1,5,75,8.000000
RH,87,17.125000,P1,1,87,9.000000
RH,99,17.125000,P1,1,99,9.000000
RH,99,22.250000,P1,1,99,10.750000
RH,99,22.750000,P1,1,99,11.250000
RH,99,23.333333,P1,1,99,11.750000
LH,56,23.500000,P1,5,56,12.000000
RH,99,23.875000,P1,1,99,12.250000
RH,99,24.500000,P1,1,99,12.750000
RH,99,25.000000,P1,1,99,13.250000
LH,59,25.250000,P1,5,59,13.500000
RH,99,25.666667,P1,1,99,13.750000
RH,99,26.250000,P1,1,99,14.250000
RH,99,26.750000,P1,1,99,14.750000
RH,63,26.875000,P1,5,63,15.000000
RH,99,27.375000,P1,1,99,15.250000
RH,99,28.000000,P1,1,99,15.750000
RH,67,28.500000,P1,5,67,16.500000
RH,87,28.500000,P1,1,87,16.250000
RH,87,29.000000,P1,1,87,16.750000
RH,87,29.625000,P1,1,87,17.250000
RH,87,30.125000,P1,1,87,17.750000
RH,68,30.375000,P1,5,68,18.000000
RH,87,30.750000,P1,1,87,18.250000
RH,87,31.250000,P1,1,87,18.750000
RH,87,31.750000,P1,1,87,19.250000
LH,59,32.000000,P1,5,59,19.500000
RH,87,32.375000,P1,1,87,19.750000
RH,87,33.000000,P1,1,87,20.250000
RH,87,33.500000,P1,1,87,20.750000
RH,67,33.875000,P1,5,67,21.000000
RH,87,34.250000,P1,1,87,21.250000
RH,75,35.000000,P1,1,75,21.750000
RH,87,35.500000,P1,1,87,22.250000
RH,99,36.000000,P1,1,99,22.750000
RH,99,36.625000,P1,1,99,23.250000
LH,56,37.125000,P1,5,56,24.000000
RH,99,37.125000,P1,1,99,23.750000
RH,99,37.750000,P1,1,99,24.250000
RH,99,38.333333,P1,1,99,24.750000
LH,59,38.875000,P1,5,59,25.500000
RH,99,38.875000,P1,1,99,25.250000
RH,99,39.375000,P1,1,99,25.750000
RH,99,40.000000,P1,1,99,26.250000
RH,63,40.500000,P1,5,63,27.000000
RH,99,40.500000,P1,1,99,26.750000
RH,99,41.000000,P1,1,99,27.250000
RH,99,41.625000,P1,1,99,27.750000
RH,67,42.375000,P1,5,67,28.500000
RH,87,42.666667,P1,1,87,28.750000
RH,87,43.250000,P1,1,87,29.250000
RH,73,43.500000,P1,1,73,29.500000
RH,75,43.500000,P1,2,75,29.500000
RH,87,43.750000,P1,1,87,29.750000
RH,68,44.000000,P1,5,68,30.000000
RH,71,44.000000,P1,5,71,30.000000
RH,87,44.375000,P1,2,87,30.250000
RH,80,44.625000,P1,1,80,30.500000
RH,83,44.875000,P1,1,83,30.750000
