hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,63,13.500000,P1,5,63,1.500000
RH,87,14.125000,P1,1,87,2.000000
RH,99,14.125000,P1,1,99,2.000000
RH,87,14.750000,P1,1,87,2.500000
RH,99,14.750000,P1,1,99,2.500000
RH,87,15.333333,P1,1,87,3.000000
RH,99,15.333333,P1,1,99,3.000000
RH,63,15.875000,P1,5,63,3.500000
RH,75,15.875000,P1,5,75,3.500000
RH,63,16.500000,P1,5,63,4.000000
RH,75,16.500000,P1,5,75,4.000000
RH,63,17.125000,P1,5,63,4.500000
RH,75,17.125000,P1,5,75,4.500000
RH,87,17.750000,P1,1,87,5.000000
RH,99,17.750000,P1,1,99,5.000000
RH,87,18.333333,P1,1,87,5.500000
RH,99,18.333333,P1,1,99,5.500000
RH,87,19.000000,P1,1,87,6.000000
RH,99,19.000000,P1,1,99,6.000000
RH,63,19.666667,P1,5,63,6.500000
RH,75,19.666667,P1,5,75,6.500000
RH,87,20.375000,P1,1,87,7.000000
RH,99,20.375000,P1,1,99,7.000000
RH,87,21.125000,P1,1,87,7.500000
RH,99,21.125000,P1,1,99,7.500000
RH,63,21.875000,P1,5,63,8.000000
RH,75,21.875000,P1,5,75,8.000000
RH,87,22.750000,P1,1,87,8.500000
RH,99,22.750000,P1,1,99,8.500000
RH,87,24.000000,P1,1,87,9.000000
RH,99,24.000000,P1,1,99,9.000000
RH,87,27.125000,P1,1,87,10.250000
RH,99,27.666667,P1,1,99,10.750000
RH,99,28.125000,P1,1,99,11.250000
RH,99,28.666667,P1,1,99,11.750000
RH,99,30.750000,P1,1,99,13.750000
RH,99,31.250000,P1,1,99,14.250000
RH,63,31.750000,P1,5,63,15.000000
RH,99,31.750000,P1,1,99,14.750000
RH,99,32.250000,P1,1,99,15.250000
RH,99,32.750000,P1,1,99,15.750000
RH,87,33.333333,P1,1,87,16.250000
RH,67,33.500000,P1,5,67,16.500000
RH,87,33.875000,P1,1,87,16.750000
RH,87,34.375000,P1,1,87,17.250000
RH,87,34.875000,P1,1,87,17.750000
RH,68,35.125000,P1,5,68,18.000000
RH,87,35.375000,P1,1,87,18.250000
LH,59,36.375000,P1,5,59,19.500000
RH,87,37.375000,P1,1,87,20.250000
RH,87,38.000000,P1,1,87,20.750000
RH,63,38.250000,P1,5,63,21.000000
RH,67,38.250000,P1,5,67,21.000000
RH,87,38.500000,P1,1,87,21.250000
RH,75,39.000000,P1,1,75,21.750000
RH,87,39.500000,P1,1,87,22.250000
RH,99,40.125000,P1,1,99,22.750000
RH,99,40.625000,P1,1,99,23.250000
LH,56,41.125000,P1,5,56,24.000000
RH,99,41.125000,P1,1,99,23.750000
RH,99,41.625000,P1,1,99,24.250000
RH,99,42.125000,P1,1,99,24.750000
LH,59,42.625000,P1,5,59,25.500000
RH,99,42.625000,P1,1,99,25.250000
RH,99,43.625000,P1,1,99,26.250000
RH,63,44.125000,P1,5,63,27.000000
RH,99,44.125000,P1,1,99,26.750000
RH,99,44.666667,P1,1,99,27.250000
RH,99,45.250000,P1,1,99,27.750000
RH,87,45.750000,P1,1,87,28.250000
RH,67,45.875000,P1,5,67,28.500000
RH,87,46.250000,P1,1,87,28.750000
RH,87,46.750000,P1,1,87,29.250000
RH,73,47.000000,P1,1,73,29.500000
RH,75,47.000000,P1,2,75,29.500000
RH,87,47.333333,P1,1,87,29.750000
RH,71,47.750000,P1,5,71,30.000000
RH,87,47.875000,P1,2,87,30.250000
RH,80,48.125000,P1,1,80,30.500000
RH,83,48.375000,P1,1,83,30.750000
RH,87,48.666667,P1,1,87,31.000000
RH,99,48.875000,P1,1,99,31.250000
RH,67,49.125000,P1,5,67,31.500000
RH,73,49.250000,P1,5,73,31.500000
RH,87,49.500000,P1,2,87,31.750000
RH,79,49.875000,P1,1,79,32.000000
RH,82,50.125000,P1,1,82,32.250000
RH,87,50.375000,P1,1,87,32.500000
RH,99,50.625000,P1,1,99,32.750000
LH,56,50.875000,P1,1,56,33.000000
RH,63,51.125000,P1,1,63,33.250000
RH,71,51.500000,P1,1,71,33.500000
RH,80,51.750000,P1,1,80,33.750000
RH,75,52.125000,P1,1,75,34.000000
RH,87,52.333333,P1,1,87,34.250000
RH,99,52.625000,P1,1,99,34.500000
RH,87,52.875000,P1,1,87,34.750000
RH,99,53.125000,P1,1,99,35.000000
RH,87,53.333333,P1,1,87,35.250000
RH,99,53.625000,P1,1,99,35.500000
RH,85,53.875000,P1,1,85,35.750000
LH,44,54.250000,P1,5,44,36.000000
RH,99,54.625000,P1,1,99,36.250000
RH,99,55.125000,P1,1,99,36.750000
RH,99,55.750000,P1,1,99,37.250000
LH,47,56.000000,P1,5,47,37.500000
RH,99,56.375000,P1,1,99,37.750000
LH,56,56.625000,P1,5,56,38.000000
RH,63,56.625000,P1,5,63,38.000000
RH,99,56.875000,P1,1,99,38.250000
