hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,52,3.125000,P1,5,52,0.000000
RH,69,3.125000,P1,1,69,0.000000
LH,57,3.250000,P1,5,57,0.000000
RH,69,4.125000,P1,1,69,0.875000
RH,69,4.250000,P1,1,69,1.000000
RH,72,4.500000,P1,1,72,1.250000
RH,71,4.666667,P1,1,71,1.500000
RH,69,4.750000,P1,1,69,1.750000
RH,71,5.000000,P1,1,71,2.000000
LH,59,5.125000,P1,5,59,2.000000
RH,76,5.125000,P1,1,76,2.000000
RH,64,5.875000,P1,1,64,2.875000
RH,64,6.000000,P1,1,64,3.000000
RH,68,6.333333,P1,1,68,3.250000
RH,66,6.500000,P1,1,66,3.500000
RH,64,6.625000,P1,1,64,3.750000
LH,45,6.666667,P1,5,45,4.000000
LH,52,6.875000,P1,5,52,4.000000
LH,57,6.875000,P1,5,57,4.000000
RH,64,6.875000,P1,1,64,4.000000
RH,69,6.875000,P1,1,69,4.000000
RH,69,7.750000,P1,1,69,4.875000
RH,69,8.000000,P1,1,69,5.000000
RH,72,8.125000,P1,1,72,5.250000
RH,71,8.333333,P1,1,71,5.500000
RH,69,8.500000,P1,1,69,5.750000
RH,76,8.750000,P1,2,76,6.000000
RH,80,8.875000,P1,1,80,6.000000
RH,64,9.875000,P1,1,64,7.000000
LH,52,10.625000,P1,5,52,8.000000
RH,64,10.625000,P1,1,64,8.000000
RH,69,10.666667,P1,1,69,8.000000
LH,57,10.750000,P1,5,57,8.000000
RH,69,11.500000,P1,1,69,8.875000
RH,69,11.666667,P1,1,69,9.000000
RH,72,11.875000,P1,1,72,9.250000
RH,71,12.125000,P1,1,71,9.500000
RH,69,12.250000,P1,1,69,9.750000
RH,71,12.375000,P1,1,71,10.000000
LH,59,12.500000,P1,5,59,10.000000
RH,64,12.625000,P1,5,64,10.000000
RH,76,12.625000,P1,1,76,10.000000
RH,64,13.375000,P1,1,64,10.875000
RH,64,13.500000,P1,1,64,11.000000
RH,68,13.750000,P1,1,68,11.250000
RH,66,13.875000,P1,1,66,11.500000
RH,64,14.125000,P1,1,64,11.750000
LH,52,14.250000,P1,5,52,12.000000
RH,64,14.250000,P1,1,64,12.000000
LH,57,14.375000,P1,5,57,12.000000
RH,60,14.375000,P1,5,60,12.000000
RH,69,14.375000,P1,1,69,12.000000
RH,69,15.125000,P1,1,69,12.875000
RH,69,15.333333,P1,1,69,13.000000
RH,72,15.500000,P1,1,72,13.250000
RH,71,15.666667,P1,1,71,13.500000
RH,76,16.125000,P1,2,76,14.000000
RH,80,16.250000,P1,1,80,14.000000
RH,88,16.333333,P1,1,88,14.000000
