hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,69,2.125000,P1,1,69,0.000000
LH,57,2.250000,P1,5,57,0.000000
RH,69,3.125000,P1,1,69,0.875000
RH,69,3.250000,P1,1,69,1.000000
RH,72,3.500000,P1,1,72,1.250000
RH,71,3.666667,P1,1,71,1.500000
RH,69,3.875000,P1,1,69,1.750000
LH,59,4.000000,P1,5,59,2.000000
RH,71,4.000000,P1,1,71,2.000000
RH,76,4.125000,P1,1,76,2.000000
RH,64,4.875000,P1,1,64,2.875000
RH,64,5.125000,P1,1,64,3.000000
RH,68,5.250000,P1,1,68,3.250000
RH,66,5.500000,P1,1,66,3.500000
RH,64,5.666667,P1,1,64,3.750000
LH,52,5.875000,P1,5,52,4.000000
RH,69,5.875000,P1,1,69,4.000000
LH,57,6.000000,P1,5,57,4.000000
RH,69,6.750000,P1,1,69,4.875000
RH,69,7.000000,P1,1,69,5.000000
RH,72,7.125000,P1,1,72,5.250000
RH,71,7.333333,P1,1,71,5.500000
RH,69,7.500000,P1,1,69,5.750000
RH,76,7.750000,P1,2,76,6.000000
RH,80,7.750000,P1,1,80,6.000000
RH,88,7.875000,P1,1,88,6.000000
RH,64,8.750000,P1,1,64,7.000000
LH,45,9.375000,P1,5,45,8.000000
LH,52,9.625000,P1,5,52,8.000000
RH,69,9.625000,P1,1,69,8.000000
RH,69,10.500000,P1,1,69,8.875000
RH,69,10.625000,P1,1,69,9.000000
RH,72,10.875000,P1,1,72,9.250000
RH,71,11.000000,P1,1,71,9.500000
RH,69,11.250000,P1,1,69,9.750000
LH,52,11.333333,P1,5,52,10.000000
RH,71,11.375000,P1,1,71,10.000000
LH,59,11.500000,P1,5,59,10.000000
RH,64,11.500000,P1,5,64,10.000000
RH,76,11.500000,P1,1,76,10.000000
RH,64,12.250000,P1,1,64,10.875000
RH,64,12.500000,P1,1,64,11.000000
RH,68,12.625000,P1,1,68,11.250000
RH,66,12.875000,P1,1,66,11.500000
RH,64,13.125000,P1,1,64,11.750000
LH,52,13.250000,P1,5,52,12.000000
RH,69,13.250000,P1,1,69,12.000000
LH,57,13.333333,P1,5,57,12.000000
RH,60,13.375000,P1,5,60,12.000000
RH,69,14.125000,P1,1,69,12.875000
RH,69,14.250000,P1,1,69,13.000000
RH,72,14.500000,P1,1,72,13.250000
RH,71,14.666667,P1,1,71,13.500000
RH,69,14.875000,P1,1,69,13.750000
RH,76,15.250000,P1,2,76,14.000000
RH,80,15.250000,P1,1,80,14.000000
RH,88,15.250000,P1,1,88,14.000000
RH,64,16.125000,P1,1,64,15.000000
LH,52,17.000000,P1,5,52,16.000000
LH,57,17.000000,P1,5,57,16.000000
RH,76,17.000000,P1,1,76,16.000000
RH,81,17.000000,P1,1,81,16.000000
RH,81,17.750000,P1,1,81,16.875000
RH,81,17.875000,P1,1,81,17.000000
RH,82,18.125000,P1,1,82,17.250000
RH,81,18.333333,P1,1,81,17.500000
RH,79,18.500000,P1,1,79,17.750000
LH,57,18.625000,P1,5,57,18.000000
RH,69,18.666667,P1,1,69,18.000000
RH,62,18.750000,P1,5,62,18.000000
RH,77,18.750000,P1,1,77,18.000000
RH,74,19.500000,P1,1,74,18.875000
RH,74,19.666667,P1,1,74,19.000000
RH,77,19.875000,P1,1,77,19.250000
RH,76,20.125000,P1,1,76,19.500000
RH,74,20.333333,P1,1,74,19.750000
LH,50,20.375000,P1,5,50,20.000000
RH,74,20.375000,P1,1,74,20.000000
LH,55,20.625000,P1,5,55,20.000000
RH,79,20.625000,P1,1,79,20.000000
RH,79,21.333333,P1,1,79,20.875000
RH,79,21.500000,P1,1,79,21.000000
RH,81,21.666667,P1,1,81,21.250000
RH,79,21.875000,P1,1,79,21.500000
RH,77,22.000000,P1,1,77,21.750000
LH,55,22.250000,P1,5,55,22.000000
RH,67,22.250000,P1,1,67,22.000000
RH,60,22.333333,P1,5,60,22.000000
RH,76,22.333333,P1,1,76,22.000000
RH,72,23.125000,P1,1,72,22.875000
RH,72,23.250000,P1,1,72,23.000000
RH,76,23.500000,P1,1,76,23.250000
RH,74,23.666667,P1,1,74,23.500000
LH,50,23.875000,P1,5,50,24.000000
RH,72,23.875000,P1,1,72,23.750000
LH,53,24.000000,P1,5,53,24.000000
RH,71,24.000000,P1,1,71,24.000000
LH,59,24.125000,P1,5,59,24.000000
RH,77,24.250000,P1,1,77,24.000000
RH,71,24.875000,P1,1,71,24.875000
RH,71,25.125000,P1,1,71,25.000000
RH,74,25.333333,P1,1,74,25.250000
RH,72,25.500000,P1,1,72,25.500000
RH,71,25.666667,P1,1,71,25.750000
LH,52,25.750000,P1,5,52,26.000000
RH,60,25.875000,P1,5,60,26.000000
RH,69,25.875000,P1,1,69,26.000000
RH,64,26.000000,P1,5,64,26.000000
RH,76,26.000000,P1,1,76,26.000000
RH,69,26.750000,P1,1,69,26.875000
RH,69,27.000000,P1,1,69,27.000000
RH,72,27.250000,P1,1,72,27.250000
RH,71,27.375000,P1,1,71,27.500000
RH,69,27.625000,P1,1,69,27.750000
LH,57,28.500000,P1,5,57,28.750000
RH,63,28.500000,P1,5,63,28.750000
RH,75,28.500000,P1,1,75,28.750000
RH,76,29.000000,P1,1,76,29.250000
RH,74,29.250000,P1,1,74,29.500000
LH,56,29.333333,P1,5,56,29.750000
RH,71,29.375000,P1,1,71,29.750000
LH,57,29.666667,P1,5,57,30.000000
RH,69,29.666667,P1,1,69,30.000000
RH,60,29.750000,P1,5,60,30.000000
RH,64,30.625000,P1,5,64,31.000000
RH,69,30.625000,P1,5,69,31.000000
RH,72,30.625000,P1,1,72,31.000000
RH,81,30.625000,P1,1,81,31.000000
RH,76,31.375000,P1,1,76,32.000000
RH,81,31.375000,P1,1,81,32.000000
LH,52,31.500000,P1,5,52,32.000000
RH,81,32.250000,P1,1,81,32.875000
RH,61,32.375000,P1,5,61,33.000000
RH,64,32.375000,P1,5,64,33.000000
RH,69,32.375000,P1,5,69,33.000000
RH,81,32.375000,P1,1,81,33.000000
RH,82,32.625000,P1,1,82,33.250000
RH,81,32.750000,P1,1,81,33.500000
RH,79,33.000000,P1,1,79,33.750000
LH,57,33.125000,P1,5,57,34.000000
RH,69,33.125000,P1,1,69,34.000000
RH,65,33.250000,P1,5,65,34.000000
RH,77,33.250000,P1,1,77,34.000000
RH,74,34.000000,P1,1,74,34.875000
RH,65,34.125000,P1,5,65,35.000000
RH,69,34.125000,P1,5,69,35.000000
RH,74,34.125000,P1,1,74,35.000000
RH,77,34.375000,P1,1,77,35.250000
RH,76,34.500000,P1,1,76,35.500000
RH,74,34.666667,P1,1,74,35.750000
LH,43,34.750000,P1,5,43,36.000000
LH,50,34.875000,P1,5,50,36.000000
RH,74,34.875000,P1,1,74,36.000000
RH,79,35.000000,P1,1,79,36.000000
RH,79,35.750000,P1,1,79,36.875000
LH,59,35.875000,P1,5,59,37.000000
RH,62,35.875000,P1,5,62,37.000000
RH,67,35.875000,P1,5,67,37.000000
RH,79,35.875000,P1,1,79,37.000000
RH,81,36.125000,P1,1,81,37.250000
RH,79,36.333333,P1,1,79,37.500000
RH,77,36.500000,P1,1,77,37.750000
LH,55,36.666667,P1,5,55,38.000000
RH,67,36.666667,P1,1,67,38.000000
RH,76,36.750000,P1,1,76,38.000000
RH,72,37.500000,P1,1,72,38.875000
RH,64,37.666667,P1,5,64,39.000000
RH,67,37.666667,P1,5,67,39.000000
RH,72,37.666667,P1,1,72,39.000000
RH,76,37.875000,P1,1,76,39.250000
RH,74,38.000000,P1,1,74,39.500000
RH,72,38.250000,P1,1,72,39.750000
LH,58,38.500000,P1,5,58,40.000000
RH,70,38.500000,P1,1,70,40.000000
RH,65,38.625000,P1,5,65,40.000000
RH,70,39.333333,P1,1,70,40.875000
RH,62,39.500000,P1,5,62,41.000000
RH,65,39.500000,P1,5,65,41.000000
RH,70,39.500000,P1,1,70,41.000000
RH,74,39.750000,P1,1,74,41.250000
RH,72,39.875000,P1,1,72,41.500000
RH,70,40.000000,P1,1,70,41.750000
LH,52,40.125000,P1,5,52,42.000000
RH,60,40.250000,P1,5,60,42.000000
RH,64,40.250000,P1,5,64,42.000000
RH,69,40.250000,P1,1,69,42.000000
RH,60,41.250000,P1,5,60,43.000000
RH,69,41.250000,P1,1,69,43.000000
RH,72,41.500000,P1,1,72,43.250000
RH,71,41.750000,P1,1,71,43.500000
RH,69,41.875000,P1,1,69,43.750000
LH,57,42.875000,P1,5,57,44.750000
RH,63,42.875000,P1,5,63,44.750000
RH,75,42.875000,P1,1,75,44.750000
RH,76,43.375000,P1,1,76,45.250000
RH,74,43.625000,P1,1,74,45.500000
LH,56,43.750000,P1,5,56,45.750000
RH,71,43.750000,P1,1,71,45.750000
RH,62,43.875000,P1,5,62,45.750000
RH,69,44.000000,P1,1,69,46.000000
LH,57,44.125000,P1,5,57,46.000000
RH,64,45.125000,P1,5,64,47.000000
RH,72,45.125000,P1,1,72,47.000000
RH,81,45.125000,P1,1,81,47.000000
LH,57,46.250000,P1,5,57,48.000000
RH,84,46.625000,P1,1,84,48.333333
LH,57,46.875000,P1,5,57,48.750000
RH,81,46.875000,P1,1,81,48.666667
LH,57,47.125000,P1,5,57,49.000000
RH,76,47.125000,P1,1,76,49.000000
RH,60,47.250000,P1,5,60,49.250000
LH,59,47.500000,P1,5,59,49.500000
