hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,69,5.250000,P1,1,69,0.875000
RH,69,5.500000,P1,1,69,1.000000
RH,72,5.625000,P1,1,72,1.250000
RH,71,5.750000,P1,1,71,1.500000
RH,64,6.125000,P1,5,64,2.000000
RH,71,6.125000,P1,1,71,2.000000
RH,68,6.333333,P1,5,68,2.000000
RH,64,7.000000,P1,1,64,2.875000
RH,64,7.250000,P1,1,64,3.000000
RH,68,7.375000,P1,1,68,3.250000
RH,66,7.500000,P1,1,66,3.500000
RH,64,8.000000,P1,1,64,3.750000
RH,60,8.125000,P1,5,60,4.000000
RH,69,8.875000,P1,1,69,4.875000
RH,69,9.125000,P1,1,69,5.000000
RH,72,9.250000,P1,1,72,5.250000
RH,71,9.375000,P1,1,71,5.500000
RH,71,10.000000,P1,1,71,6.000000
RH,76,10.000000,P1,2,76,6.000000
RH,80,10.000000,P1,1,80,6.000000
RH,88,10.000000,P1,1,88,6.000000
RH,64,11.125000,P1,1,64,7.000000
LH,57,12.000000,P1,5,57,8.000000
RH,64,12.000000,P1,1,64,8.000000
RH,60,12.125000,P1,5,60,8.000000
RH,69,12.875000,P1,1,69,8.875000
RH,69,13.125000,P1,1,69,9.000000
RH,72,13.250000,P1,1,72,9.250000
RH,71,13.375000,P1,1,71,9.500000
RH,69,13.625000,P1,1,69,9.750000
RH,64,13.875000,P1,5,64,10.000000
RH,68,13.875000,P1,5,68,10.000000
RH,71,13.875000,P1,1,71,10.000000
RH,64,14.666667,P1,1,64,11.000000
RH,68,15.000000,P1,1,68,11.250000
RH,66,15.125000,P1,1,66,11.500000
RH,64,15.375000,P1,1,64,11.750000
RH,64,15.625000,P1,1,64,12.000000
RH,60,15.666667,P1,5,60,12.000000
RH,69,15.666667,P1,1,69,12.000000
RH,69,16.500000,P1,1,69,12.875000
RH,69,16.666667,P1,1,69,13.000000
RH,72,16.875000,P1,1,72,13.250000
RH,71,17.625000,P1,1,71,14.000000
RH,76,17.625000,P1,2,76,14.000000
RH,88,17.625000,P1,1,88,14.000000
RH,80,17.666667,P1,1,80,14.000000
RH,64,18.750000,P1,1,64,15.000000
LH,57,19.666667,P1,5,57,16.000000
RH,61,19.875000,P1,5,61,16.000000
RH,81,20.500000,P1,1,81,16.875000
RH,81,20.666667,P1,1,81,17.000000
RH,82,20.875000,P1,1,82,17.250000
RH,81,21.125000,P1,1,81,17.500000
RH,65,21.500000,P1,5,65,18.000000
RH,69,21.500000,P1,1,69,18.000000
RH,77,21.625000,P1,1,77,18.000000
RH,74,22.375000,P1,1,74,18.875000
RH,74,22.625000,P1,1,74,19.000000
RH,77,22.750000,P1,1,77,19.250000
RH,76,22.875000,P1,1,76,19.500000
RH,74,23.333333,P1,1,74,19.750000
LH,59,23.500000,P1,5,59,20.000000
RH,79,23.500000,P1,1,79,20.000000
RH,79,24.250000,P1,1,79,20.875000
RH,79,24.375000,P1,1,79,21.000000
RH,81,24.625000,P1,1,81,21.250000
RH,79,24.750000,P1,1,79,21.500000
RH,76,25.333333,P1,1,76,22.000000
RH,72,26.000000,P1,1,72,22.875000
RH,72,26.250000,P1,1,72,23.000000
RH,76,26.375000,P1,1,76,23.250000
RH,74,26.625000,P1,1,74,23.500000
RH,71,27.125000,P1,1,71,24.000000
RH,71,27.875000,P1,1,71,24.875000
RH,71,28.000000,P1,1,71,25.000000
RH,74,28.250000,P1,1,74,25.250000
RH,69,28.875000,P1,1,69,26.000000
RH,69,29.666667,P1,1,69,26.875000
