hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,31,1.875000,P1,5,31,3.000000
LH,55,1.875000,P1,1,55,1.000000
LH,41,4.500000,P1,5,41,6.000000
LH,53,4.500000,P1,2,53,6.000000
LH,39,9.000000,P1,5,39,7.500000
LH,51,9.000000,P1,2,51,7.500000
LH,38,10.250000,P1,5,38,8.000000
LH,50,10.250000,P1,2,50,8.000000
LH,36,12.500000,P1,5,36,9.000000
LH,48,12.500000,P1,2,48,9.000000
LH,34,14.875000,P1,5,34,10.000000
LH,46,14.875000,P1,2,46,10.000000
LH,32,17.625000,P1,5,32,11.000000
LH,44,17.625000,P1,2,44,11.000000
LH,31,23.000000,P1,5,31,13.000000
LH,43,23.000000,P1,1,43,13.000000
LH,55,23.000000,P1,1,55,13.000000
LH,31,28.333333,P1,5,31,15.000000
LH,55,28.375000,P1,1,55,15.000000
LH,31,33.666667,P1,5,31,17.000000
LH,55,33.666667,P1,1,55,17.000000
LH,42,36.500000,P1,5,42,18.000000
LH,54,36.500000,P1,2,54,18.000000
LH,39,41.333333,P1,5,39,19.500000
LH,51,41.333333,P1,2,51,19.500000
LH,38,42.500000,P1,5,38,20.000000
LH,50,42.500000,P1,2,50,20.000000
LH,49,44.750000,P1,2,49,21.000000
LH,37,44.875000,P1,5,37,21.000000
LH,34,46.875000,P1,5,34,22.000000
LH,46,46.875000,P1,2,46,22.000000
LH,33,50.125000,P1,5,33,23.000000
LH,45,50.125000,P1,2,45,23.000000
LH,31,55.750000,P1,5,31,25.000000
LH,55,55.750000,P1,1,55,25.000000
LH,31,61.000000,P1,5,31,27.000000
LH,55,61.000000,P1,1,55,27.000000
LH,31,64.750000,P1,5,31,29.750000
LH,43,64.750000,P1,5,43,29.750000
LH,55,65.000000,P1,1,55,30.000000
RH,67,65.000000,P1,1,67,30.000000
LH,55,66.750000,P1,5,55,32.000000
RH,67,66.750000,P1,5,67,32.000000
RH,79,66.750000,P1,1,79,32.000000
RH,91,66.750000,P1,1,91,32.000000
LH,46,68.625000,P1,5,46,34.000000
LH,58,68.625000,P1,5,58,34.000000
RH,70,68.625000,P1,1,70,34.000000
RH,82,68.625000,P1,1,82,34.000000
LH,47,70.125000,P1,5,47,35.750000
LH,59,70.125000,P1,5,59,35.750000
RH,71,70.125000,P1,1,71,35.750000
RH,83,70.125000,P1,1,83,35.750000
LH,50,70.500000,P1,5,50,36.000000
RH,62,70.500000,P1,5,62,36.000000
RH,74,70.500000,P1,1,74,36.000000
RH,86,70.500000,P1,1,86,36.000000
LH,49,72.875000,P1,5,49,39.000000
RH,61,72.875000,P1,5,61,39.000000
RH,73,72.875000,P1,1,73,39.000000
RH,85,72.875000,P1,1,85,39.000000
LH,46,73.333333,P1,5,46,39.333333
LH,58,73.333333,P1,5,58,39.333333
RH,70,73.333333,P1,1,70,39.333333
RH,82,73.333333,P1,1,82,39.333333
LH,43,73.500000,P1,5,43,39.666667
LH,55,73.500000,P1,5,55,39.666667
RH,67,73.500000,P1,1,67,39.666667
RH,79,73.500000,P1,1,79,39.666667
LH,40,73.875000,P1,5,40,40.000000
LH,52,73.875000,P1,5,52,40.000000
RH,64,73.875000,P1,1,64,40.000000
RH,76,73.875000,P1,1,76,40.000000
LH,39,76.125000,P1,5,39,42.500000
LH,51,76.125000,P1,5,51,42.500000
RH,63,76.125000,P1,1,63,42.500000
RH,75,76.125000,P1,1,75,42.500000
LH,40,76.750000,P1,5,40,43.000000
LH,52,76.750000,P1,5,52,43.000000
RH,64,76.750000,P1,1,64,43.000000
RH,76,76.750000,P1,1,76,43.000000
LH,42,77.125000,P1,5,42,43.500000
LH,54,77.125000,P1,5,54,43.500000
RH,66,77.125000,P1,1,66,43.500000
RH,78,77.125000,P1,1,78,43.500000
LH,45,77.500000,P1,5,45,44.000000
LH,57,77.500000,P1,5,57,44.000000
RH,69,77.500000,P1,1,69,44.000000
RH,81,77.500000,P1,1,81,44.000000
LH,43,79.875000,P1,5,43,47.000000
LH,55,79.875000,P1,5,55,47.000000
RH,67,79.875000,P1,1,67,47.000000
RH,79,79.875000,P1,1,79,47.000000
LH,40,80.333333,P1,5,40,47.333333
LH,52,80.333333,P1,5,52,47.333333
RH,64,80.333333,P1,1,64,47.333333
RH,76,80.333333,P1,1,76,47.333333
LH,37,80.625000,P1,5,37,47.666667
LH,49,80.625000,P1,5,49,47.666667
RH,61,80.625000,P1,1,61,47.666667
RH,73,80.625000,P1,1,73,47.666667
LH,34,80.875000,P1,5,34,48.000000
LH,46,80.875000,P1,5,46,48.000000
LH,58,80.875000,P1,1,58,48.000000
RH,70,80.875000,P1,1,70,48.000000
LH,34,84.250000,P1,5,34,51.750000
LH,35,84.333333,P1,5,35,51.833333
LH,37,84.500000,P1,5,37,51.916667
LH,38,84.500000,P1,5,38,52.000000
LH,38,85.375000,P1,5,38,52.500000
LH,38,85.875000,P1,5,38,53.000000
LH,54,85.875000,P1,3,54,53.000000
RH,66,85.875000,P1,1,66,53.000000
LH,59,86.000000,P1,3,59,53.000000
LH,38,86.375000,P1,5,38,53.500000
LH,38,86.875000,P1,5,38,54.000000
LH,37,87.375000,P1,5,37,54.500000
LH,35,87.500000,P1,5,35,54.750000
LH,42,87.750000,P1,5,42,55.000000
LH,54,87.750000,P1,3,54,55.000000
LH,59,87.750000,P1,3,59,55.000000
RH,62,87.750000,P1,1,62,55.000000
LH,41,88.625000,P1,5,41,55.500000
