hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,70,2.500000,P1,5,70,1.000000
RH,75,2.500000,P1,5,75,1.000000
RH,68,2.666667,P1,5,68,1.166667
RH,72,2.666667,P1,5,72,1.166667
RH,77,2.666667,P1,5,77,1.166667
RH,67,2.750000,P1,5,67,1.333333
RH,70,2.750000,P1,5,70,1.333333
RH,75,2.750000,P1,5,75,1.333333
RH,73,3.000000,P1,5,73,1.500000
RH,67,3.125000,P1,5,67,1.666667
RH,68,3.125000,P1,5,68,1.500000
RH,70,3.125000,P1,5,70,1.666667
RH,75,3.125000,P1,5,75,1.666667
RH,65,3.333333,P1,5,65,1.833333
RH,73,3.333333,P1,5,73,1.833333
RH,63,3.500000,P1,5,63,2.000000
RH,67,3.500000,P1,5,67,2.000000
RH,72,3.500000,P1,5,72,2.000000
RH,68,3.625000,P1,5,68,2.166667
RH,73,3.625000,P1,5,73,2.166667
RH,63,3.750000,P1,5,63,2.333333
RH,67,3.750000,P1,5,67,2.333333
RH,72,3.750000,P1,5,72,2.333333
RH,61,4.000000,P1,5,61,2.500000
RH,65,4.000000,P1,5,65,2.500000
RH,70,4.000000,P1,5,70,2.500000
RH,63,4.125000,P1,5,63,2.666667
RH,67,4.125000,P1,5,67,2.666667
RH,72,4.125000,P1,5,72,2.666667
RH,61,4.333333,P1,5,61,2.833333
RH,65,4.333333,P1,5,65,2.833333
RH,70,4.333333,P1,5,70,2.833333
RH,60,4.375000,P1,5,60,3.000000
RH,63,4.375000,P1,5,63,3.000000
RH,68,4.375000,P1,5,68,3.000000
RH,61,4.625000,P1,5,61,3.166667
RH,65,4.625000,P1,5,65,3.166667
RH,70,4.625000,P1,5,70,3.166667
RH,60,4.750000,P1,5,60,3.333333
RH,63,4.750000,P1,5,63,3.333333
RH,68,4.750000,P1,5,68,3.333333
RH,61,4.875000,P1,5,61,3.500000
RH,67,4.875000,P1,5,67,3.500000
LH,58,5.000000,P1,5,58,3.500000
RH,63,5.125000,P1,5,63,3.666667
RH,68,5.125000,P1,5,68,3.666667
RH,60,5.875000,P1,5,60,4.166667
LH,53,6.125000,P1,5,53,4.333333
RH,71,6.250000,P1,1,71,4.500000
RH,65,6.500000,P1,5,65,4.666667
RH,68,6.500000,P1,5,68,4.666667
RH,72,6.750000,P1,1,72,4.833333
LH,55,7.000000,P1,5,55,5.000000
LH,53,7.333333,P1,5,53,5.333333
RH,73,7.625000,P1,1,73,5.500000
RH,64,7.750000,P1,5,64,5.666667
RH,67,7.750000,P1,5,67,5.666667
RH,72,8.000000,P1,1,72,5.833333
RH,65,8.333333,P1,1,65,6.000000
LH,56,8.375000,P1,5,56,6.000000
RH,60,8.500000,P1,5,60,6.166667
LH,53,8.750000,P1,5,53,6.333333
RH,73,9.500000,P1,5,73,6.666667
RH,79,9.500000,P1,5,79,6.666667
RH,68,9.750000,P1,5,68,6.833333
RH,72,9.750000,P1,5,72,6.833333
RH,77,9.750000,P1,5,77,6.833333
RH,67,9.875000,P1,5,67,7.000000
RH,70,9.875000,P1,5,70,7.000000
RH,75,9.875000,P1,5,75,7.000000
RH,68,10.000000,P1,5,68,7.166667
RH,77,10.000000,P1,5,77,7.166667
RH,67,10.125000,P1,5,67,7.333333
RH,70,10.125000,P1,5,70,7.333333
RH,72,10.125000,P1,5,72,7.166667
RH,75,10.125000,P1,5,75,7.333333
RH,68,10.375000,P1,5,68,7.500000
RH,73,10.375000,P1,5,73,7.500000
RH,67,10.500000,P1,5,67,7.666667
RH,70,10.500000,P1,5,70,7.666667
RH,75,10.500000,P1,5,75,7.666667
RH,65,10.750000,P1,5,65,7.833333
RH,68,10.750000,P1,5,68,7.833333
RH,73,10.750000,P1,5,73,7.833333
RH,63,10.875000,P1,5,63,8.000000
RH,67,10.875000,P1,5,67,8.000000
RH,72,10.875000,P1,5,72,8.000000
RH,65,11.000000,P1,5,65,8.166667
RH,68,11.000000,P1,5,68,8.166667
RH,73,11.000000,P1,5,73,8.166667
RH,63,11.125000,P1,5,63,8.333333
RH,67,11.125000,P1,5,67,8.333333
RH,72,11.125000,P1,5,72,8.333333
RH,65,11.333333,P1,5,65,8.500000
RH,70,11.333333,P1,5,70,8.500000
RH,63,11.500000,P1,5,63,8.666667
RH,67,11.500000,P1,5,67,8.666667
RH,72,11.500000,P1,5,72,8.666667
RH,70,11.625000,P1,5,70,8.833333
RH,61,11.666667,P1,5,61,8.833333
RH,65,11.666667,P1,5,65,8.833333
RH,60,11.750000,P1,5,60,9.000000
RH,68,11.750000,P1,5,68,9.000000
RH,61,11.875000,P1,5,61,9.166667
RH,63,11.875000,P1,5,63,9.000000
RH,65,11.875000,P1,5,65,9.166667
RH,70,11.875000,P1,5,70,9.166667
RH,60,12.125000,P1,5,60,9.333333
RH,63,12.125000,P1,5,63,9.333333
RH,68,12.125000,P1,5,68,9.333333
RH,61,12.250000,P1,5,61,9.500000
RH,67,12.250000,P1,5,67,9.500000
LH,58,12.333333,P1,5,58,9.500000
RH,60,12.375000,P1,5,60,9.666667
RH,63,12.375000,P1,5,63,9.666667
RH,68,12.375000,P1,5,68,9.666667
LH,58,12.625000,P1,5,58,9.833333
LH,56,12.875000,P1,5,56,10.000000
RH,65,12.875000,P1,6,65,10.000000
RH,60,13.250000,P1,5,60,10.166667
LH,53,13.500000,P1,5,53,10.333333
RH,71,13.500000,P1,1,71,10.500000
RH,65,13.750000,P1,5,65,10.666667
RH,68,13.750000,P1,5,68,10.666667
RH,72,14.000000,P1,1,72,10.833333
LH,55,14.125000,P1,5,55,11.000000
RH,64,14.125000,P1,6,64,11.000000
LH,53,14.625000,P1,5,53,11.333333
RH,73,14.875000,P1,1,73,11.500000
RH,64,15.125000,P1,5,64,11.666667
RH,67,15.125000,P1,5,67,11.666667
RH,72,15.333333,P1,1,72,11.833333
LH,56,15.666667,P1,5,56,12.000000
RH,65,15.666667,P1,2,65,12.000000
RH,60,15.875000,P1,5,60,12.166667
LH,53,16.000000,P1,5,53,12.333333
RH,71,16.125000,P1,2,71,12.500000
RH,65,16.375000,P1,1,65,12.666667
RH,68,16.375000,P1,1,68,12.666667
RH,73,16.625000,P1,2,73,12.833333
LH,41,16.875000,P1,5,41,13.166667
RH,60,16.875000,P1,1,60,13.000000
RH,72,16.875000,P1,1,72,13.000000
LH,48,17.125000,P1,5,48,13.333333
RH,68,17.333333,P1,1,68,13.333333
RH,80,17.333333,P1,1,80,13.333333
LH,53,17.375000,P1,5,53,13.500000
LH,56,17.625000,P1,5,56,13.666667
RH,77,17.625000,P1,1,77,13.666667
RH,65,17.666667,P1,1,65,13.666667
RH,60,18.125000,P1,5,60,14.000000
