hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,70,5.333333,P1,5,70,1.000000
RH,75,5.333333,P1,5,75,1.000000
RH,68,5.625000,P1,5,68,1.166667
RH,72,5.625000,P1,5,72,1.166667
RH,77,5.625000,P1,5,77,1.166667
RH,67,5.750000,P1,5,67,1.333333
RH,70,5.750000,P1,5,70,1.333333
RH,75,5.750000,P1,5,75,1.333333
RH,65,6.000000,P1,5,65,1.500000
RH,68,6.000000,P1,5,68,1.500000
RH,73,6.000000,P1,5,73,1.500000
RH,67,6.125000,P1,5,67,1.666667
RH,70,6.125000,P1,5,70,1.666667
RH,75,6.125000,P1,5,75,1.666667
RH,65,6.375000,P1,5,65,1.833333
RH,68,6.375000,P1,5,68,1.833333
RH,73,6.375000,P1,5,73,1.833333
RH,72,6.500000,P1,5,72,2.000000
RH,63,6.625000,P1,5,63,2.000000
RH,67,6.625000,P1,5,67,2.000000
RH,65,6.666667,P1,5,65,2.166667
RH,68,6.666667,P1,5,68,2.166667
RH,73,6.666667,P1,5,73,2.166667
RH,63,6.875000,P1,5,63,2.333333
RH,67,6.875000,P1,5,67,2.333333
RH,72,6.875000,P1,5,72,2.333333
RH,61,7.125000,P1,5,61,2.500000
RH,65,7.125000,P1,5,65,2.500000
RH,67,7.125000,P1,5,67,2.666667
RH,70,7.125000,P1,5,70,2.500000
RH,72,7.125000,P1,5,72,2.666667
RH,63,7.250000,P1,5,63,2.666667
RH,61,7.375000,P1,5,61,2.833333
RH,65,7.375000,P1,5,65,2.833333
RH,70,7.375000,P1,5,70,2.833333
RH,60,7.625000,P1,5,60,3.000000
RH,63,7.625000,P1,5,63,3.000000
RH,68,7.625000,P1,5,68,3.000000
RH,61,7.750000,P1,5,61,3.166667
RH,65,7.750000,P1,5,65,3.166667
RH,70,7.750000,P1,5,70,3.166667
RH,60,7.875000,P1,5,60,3.333333
RH,63,7.875000,P1,5,63,3.333333
LH,58,8.125000,P1,5,58,3.500000
LH,56,9.125000,P1,5,56,4.000000
LH,53,9.875000,P1,5,53,4.333333
RH,71,10.125000,P1,1,71,4.500000
RH,68,10.375000,P1,5,68,4.666667
RH,72,10.500000,P1,1,72,4.833333
LH,55,10.750000,P1,5,55,5.000000
LH,53,11.333333,P1,5,53,5.333333
RH,73,11.625000,P1,1,73,5.500000
RH,64,12.000000,P1,5,64,5.666667
RH,67,12.000000,P1,5,67,5.666667
RH,72,12.375000,P1,1,72,5.833333
LH,56,12.666667,P1,5,56,6.000000
RH,65,12.666667,P1,1,65,6.000000
RH,60,13.000000,P1,5,60,6.166667
LH,53,13.375000,P1,5,53,6.333333
RH,68,14.750000,P1,5,68,6.833333
RH,72,14.750000,P1,5,72,6.833333
RH,77,14.750000,P1,5,77,6.833333
RH,67,15.000000,P1,5,67,7.000000
RH,70,15.000000,P1,5,70,7.000000
RH,75,15.000000,P1,5,75,7.000000
RH,68,15.250000,P1,5,68,7.166667
RH,72,15.250000,P1,5,72,7.166667
RH,77,15.250000,P1,5,77,7.166667
RH,67,15.375000,P1,5,67,7.333333
RH,70,15.375000,P1,5,70,7.333333
RH,75,15.375000,P1,5,75,7.333333
RH,65,15.500000,P1,5,65,7.500000
RH,68,15.500000,P1,5,68,7.500000
RH,73,15.500000,P1,5,73,7.500000
RH,67,15.666667,P1,5,67,7.666667
RH,70,15.666667,P1,5,70,7.666667
RH,75,15.666667,P1,5,75,7.666667
RH,65,15.875000,P1,5,65,7.833333
RH,68,15.875000,P1,5,68,7.833333
RH,73,15.875000,P1,5,73,7.833333
RH,63,16.125000,P1,5,63,8.000000
RH,67,16.125000,P1,5,67,8.000000
RH,72,16.125000,P1,5,72,8.000000
RH,65,16.250000,P1,5,65,8.166667
