hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,60,2.000000,P1,5,60,0.000000
RH,64,6.000000,P1,5,64,1.500000
RH,67,6.000000,P1,5,67,1.500000
RH,62,7.000000,P1,5,62,2.000000
RH,65,7.000000,P1,5,65,2.000000
RH,62,9.000000,P1,5,62,3.000000
RH,65,9.000000,P1,5,65,3.000000
RH,60,10.000000,P1,5,60,3.500000
RH,64,10.000000,P1,5,64,3.500000
LH,58,10.750000,P1,5,58,4.000000
RH,62,10.750000,P1,5,62,4.000000
LH,58,12.500000,P1,5,58,5.000000
RH,62,12.500000,P1,5,62,5.000000
LH,56,14.500000,P1,5,56,6.000000
LH,59,14.500000,P1,7,59,6.000000
LH,55,15.500000,P1,5,55,6.500000
LH,50,16.333333,P1,5,50,7.000000
LH,53,16.333333,P1,5,53,7.000000
LH,49,17.250000,P1,5,49,7.500000
LH,53,17.333333,P1,5,53,7.500000
LH,58,17.500000,P1,7,58,7.500000
LH,48,18.500000,P1,5,48,8.000000
LH,52,18.500000,P1,5,52,8.000000
LH,52,19.333333,P1,5,52,8.500000
LH,55,19.333333,P1,5,55,8.500000
RH,60,19.333333,P1,7,60,8.500000
LH,53,20.625000,P1,5,53,9.000000
LH,57,20.625000,P1,6,57,9.000000
RH,65,22.500000,P1,5,65,10.000000
RH,64,23.666667,P1,5,64,10.500000
RH,67,23.666667,P1,5,67,10.500000
RH,69,23.875000,P1,1,69,10.500000
RH,81,23.875000,P1,1,81,10.500000
RH,62,26.500000,P1,5,62,12.000000
RH,65,26.500000,P1,5,65,12.000000
RH,60,27.333333,P1,5,60,12.500000
RH,64,27.333333,P1,5,64,12.500000
LH,58,28.125000,P1,5,58,13.000000
RH,62,28.125000,P1,5,62,13.000000
RH,82,29.125000,P1,1,82,13.500000
RH,70,29.250000,P1,1,70,13.500000
LH,58,30.000000,P1,5,58,14.000000
RH,62,30.000000,P1,5,62,14.000000
LH,57,30.666667,P1,5,57,14.500000
RH,60,30.666667,P1,5,60,14.500000
RH,72,30.666667,P1,1,72,14.500000
RH,84,30.666667,P1,1,84,14.500000
RH,74,31.375000,P1,1,74,15.000000
RH,86,31.375000,P1,1,86,15.000000
LH,56,31.500000,P1,5,56,15.000000
LH,59,31.500000,P1,6,59,15.000000
LH,55,32.125000,P1,5,55,15.500000
LH,50,32.875000,P1,5,50,16.000000
LH,53,32.875000,P1,5,53,16.000000
RH,77,32.875000,P1,1,77,16.000000
LH,49,33.750000,P1,5,49,16.500000
LH,55,33.750000,P1,6,55,16.500000
LH,58,33.750000,P1,6,58,16.500000
RH,76,33.875000,P1,1,76,16.500000
RH,88,33.875000,P1,1,88,16.500000
LH,48,34.666667,P1,5,48,17.000000
RH,91,35.333333,P1,1,91,17.500000
LH,52,35.375000,P1,5,52,17.500000
RH,60,35.375000,P1,6,60,17.500000
RH,79,35.375000,P1,1,79,17.500000
LH,53,36.125000,P1,5,53,18.000000
LH,57,36.125000,P1,6,57,18.000000
RH,93,36.333333,P1,1,93,18.000000
RH,81,36.375000,P1,1,81,18.000000
LH,52,38.500000,P1,5,52,19.500000
LH,55,38.500000,P1,5,55,19.500000
RH,81,38.750000,P1,1,81,19.500000
RH,93,38.750000,P1,1,93,19.500000
LH,49,41.250000,P1,5,49,21.000000
LH,52,41.250000,P1,5,52,21.000000
LH,55,42.750000,P1,5,55,22.000000
LH,58,42.750000,P1,5,58,22.000000
RH,81,42.750000,P1,1,81,22.000000
RH,93,42.750000,P1,1,93,22.000000
LH,53,43.666667,P1,5,53,22.500000
LH,57,43.666667,P1,5,57,22.500000
RH,83,43.666667,P1,1,83,22.500000
RH,95,43.666667,P1,1,95,22.500000
LH,52,44.500000,P1,5,52,23.000000
LH,55,44.500000,P1,5,55,23.000000
