hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,61,3.875000,P1,10,61,1.000000
RH,67,4.000000,P1,10,67,1.000000
RH,85,4.125000,P1,5,85,1.000000
LH,56,6.250000,P1,10,56,3.000000
RH,62,6.333333,P1,10,62,3.000000
RH,80,6.375000,P1,5,80,3.000000
LH,51,8.250000,P1,10,51,5.000000
LH,57,8.333333,P1,10,57,5.000000
RH,69,8.375000,P1,5,69,5.000000
RH,75,8.375000,P1,5,75,5.000000
LH,46,9.375000,P1,10,46,6.000000
LH,52,9.375000,P1,10,52,6.000000
RH,64,9.375000,P1,5,64,6.000000
RH,70,9.375000,P1,5,70,6.000000
LH,41,10.000000,P1,10,41,7.000000
LH,47,10.000000,P1,10,47,7.000000
LH,59,10.125000,P1,5,59,7.000000
RH,65,10.125000,P1,5,65,7.000000
LH,36,10.666667,P1,10,36,8.000000
LH,42,10.750000,P1,10,42,8.000000
LH,54,10.875000,P1,5,54,8.000000
RH,60,10.875000,P1,5,60,8.000000
RH,61,11.625000,P1,5,61,9.000000
LH,34,13.000000,P1,10,34,11.000000
LH,41,13.000000,P1,10,41,11.000000
LH,33,14.125000,P1,10,33,12.000000
LH,57,14.333333,P1,5,57,12.000000
RH,62,14.333333,P1,5,62,12.000000
LH,57,18.500000,P1,10,57,16.000000
RH,61,18.500000,P1,10,61,16.000000
RH,64,18.500000,P1,10,64,16.000000
RH,69,18.500000,P1,10,69,16.000000
RH,79,18.500000,P1,5,79,16.000000
RH,81,18.500000,P1,5,81,16.000000
RH,85,18.500000,P1,5,85,16.000000
RH,88,18.500000,P1,5,88,16.000000
RH,93,18.500000,P1,5,93,16.000000
LH,37,23.875000,P1,10,37,21.000000
LH,53,24.000000,P1,5,53,21.250000
LH,41,24.125000,P1,10,41,21.250000
LH,40,24.250000,P1,10,40,21.500000
LH,52,24.250000,P1,5,52,21.500000
LH,38,24.375000,P1,10,38,21.750000
LH,50,24.375000,P1,5,50,21.750000
LH,49,24.500000,P1,5,49,22.000000
LH,37,24.625000,P1,10,37,22.000000
LH,46,24.666667,P1,5,46,22.250000
LH,33,24.750000,P1,10,33,22.500000
LH,45,24.750000,P1,5,45,22.500000
LH,46,25.000000,P1,5,46,22.750000
LH,38,25.125000,P1,10,38,23.250000
LH,49,25.125000,P1,5,49,23.000000
LH,50,25.250000,P1,5,50,23.250000
LH,41,25.500000,P1,10,41,23.750000
LH,52,25.500000,P1,5,52,23.500000
LH,53,25.500000,P1,5,53,23.750000
LH,46,25.666667,P1,10,46,24.000000
LH,58,25.666667,P1,5,58,24.000000
LH,45,25.875000,P1,10,45,24.250000
LH,57,25.875000,P1,5,57,24.250000
LH,41,26.125000,P1,10,41,24.750000
LH,43,26.125000,P1,10,43,24.500000
LH,55,26.125000,P1,5,55,24.500000
LH,53,26.250000,P1,5,53,24.750000
LH,40,26.333333,P1,10,40,25.000000
LH,38,26.500000,P1,10,38,25.250000
LH,50,26.500000,P1,5,50,25.250000
LH,37,26.666667,P1,10,37,25.500000
LH,49,26.666667,P1,5,49,25.500000
LH,38,26.875000,P1,10,38,25.625000
LH,50,26.875000,P1,5,50,25.625000
LH,40,27.000000,P1,10,40,25.750000
LH,52,27.000000,P1,5,52,25.750000
LH,41,27.125000,P1,10,41,25.875000
LH,53,27.125000,P1,5,53,25.875000
LH,43,27.333333,P1,10,43,26.000000
LH,45,27.500000,P1,10,45,26.125000
LH,57,27.500000,P1,5,57,26.125000
LH,46,27.666667,P1,10,46,26.250000
LH,58,27.666667,P1,5,58,26.250000
LH,49,27.750000,P1,10,49,26.375000
RH,61,27.750000,P1,5,61,26.375000
LH,53,28.000000,P1,10,53,26.500000
RH,65,28.000000,P1,5,65,26.500000
LH,52,28.250000,P1,10,52,26.750000
RH,64,28.250000,P1,5,64,26.750000
RH,62,28.375000,P1,5,62,27.000000
RH,61,28.500000,P1,5,61,27.250000
LH,49,28.625000,P1,10,49,27.250000
LH,58,28.666667,P1,5,58,27.500000
LH,57,28.750000,P1,10,57,27.625000
RH,61,29.000000,P1,10,61,28.375000
RH,70,29.625000,P1,10,70,29.375000
RH,69,29.875000,P1,10,69,29.500000
RH,67,30.000000,P1,10,67,29.625000
RH,64,30.250000,P1,10,64,30.375000
RH,64,30.875000,P1,10,64,31.125000
RH,65,31.000000,P1,10,65,31.000000
LH,58,31.500000,P1,10,58,31.500000
RH,70,31.500000,P1,5,70,31.500000
RH,73,31.625000,P1,10,73,31.500000
RH,65,31.875000,P1,5,65,31.875000
RH,64,32.000000,P1,5,64,32.000000
RH,74,32.125000,P1,1,74,32.000000
RH,62,32.250000,P1,5,62,32.125000
RH,61,32.333333,P1,5,61,32.250000
LH,57,32.500000,P1,5,57,32.500000
LH,58,32.500000,P1,5,58,32.375000
RH,64,33.000000,P1,5,64,33.000000
RH,64,34.000000,P1,5,64,33.500000
RH,74,34.500000,P1,1,74,34.000000
RH,76,37.125000,P1,1,76,36.000000
RH,70,40.875000,P1,1,70,38.000000
RH,82,40.875000,P1,1,82,38.000000
RH,66,56.125000,P1,5,66,49.000000
RH,65,61.000000,P1,5,65,53.250000
RH,65,63.125000,P1,5,65,55.250000
LH,52,63.666667,P1,10,52,56.000000
RH,63,68.000000,P1,5,63,60.500000
RH,60,68.125000,P1,5,60,60.500000
RH,64,68.125000,P1,5,64,60.750000
RH,69,69.000000,P1,5,69,61.250000
LH,57,69.666667,P1,10,57,62.000000
RH,60,70.000000,P1,5,60,62.500000
RH,68,70.250000,P1,5,68,63.000000
RH,72,70.666667,P1,5,72,63.000000
RH,69,71.125000,P1,5,69,63.250000
RH,76,73.125000,P1,5,76,65.250000
RH,63,74.000000,P1,5,63,66.500000
RH,64,74.333333,P1,5,64,66.750000
RH,67,74.375000,P1,5,67,66.750000
RH,76,75.125000,P1,5,76,67.250000
LH,58,75.500000,P1,10,58,68.000000
RH,69,85.625000,P1,5,69,77.250000
RH,64,90.750000,P1,5,64,81.750000
RH,63,94.875000,P1,5,63,85.750000
RH,64,101.875000,P1,6,64,92.687500
RH,62,103.875000,P1,9,62,94.264583
RH,62,104.333333,P1,9,62,94.931250
RH,68,109.500000,P1,10,68,99.354167
LH,57,110.375000,P1,10,57,100.354167
RH,61,110.375000,P1,10,61,100.354167
LH,45,115.500000,P1,10,45,105.339583
LH,57,115.500000,P1,10,57,105.339583
RH,81,115.625000,P1,5,81,105.333333
RH,71,116.666667,P1,5,71,107.114583
RH,64,117.000000,P1,5,64,107.337500
LH,57,118.750000,P1,10,57,109.506250
RH,69,118.750000,P1,5,69,109.500000
LH,52,127.000000,P1,10,52,116.000000
RH,64,127.000000,P1,10,64,116.000000
RH,76,127.000000,P1,5,76,116.000000
RH,69,129.250000,P1,10,69,117.556250
RH,61,130.333333,P1,10,61,118.666667
RH,73,130.333333,P1,10,73,118.666667
RH,85,130.333333,P1,5,85,118.666667
LH,55,133.750000,P1,10,55,120.222917
RH,67,133.750000,P1,10,67,120.222917
RH,79,133.750000,P1,5,79,120.222917
LH,43,134.333333,P1,10,43,120.666667
RH,64,137.125000,P1,5,64,122.666667
RH,76,137.125000,P1,5,76,122.666667
LH,52,137.250000,P1,10,52,122.666667
LH,49,138.250000,P1,10,49,123.112500
RH,61,138.250000,P1,5,61,123.112500
RH,73,138.250000,P1,5,73,123.112500
LH,57,138.750000,P1,6,57,123.333333
RH,69,138.750000,P1,5,69,123.333333
LH,45,138.875000,P1,10,45,123.333333
LH,57,140.750000,P1,6,57,124.889583
RH,69,140.750000,P1,5,69,124.889583
LH,52,141.500000,P1,6,52,125.556250
RH,64,141.500000,P1,5,64,125.556250
RH,69,144.333333,P1,5,69,127.000000
RH,74,145.875000,P1,5,74,128.000000
RH,86,145.875000,P1,5,86,128.000000
