hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,56,5.125000,P1,10,56,3.000000
RH,62,5.125000,P1,10,62,3.000000
RH,74,5.125000,P1,5,74,3.000000
RH,80,5.250000,P1,5,80,3.000000
LH,51,6.875000,P1,10,51,5.000000
LH,57,7.000000,P1,10,57,5.000000
RH,69,7.000000,P1,5,69,5.000000
RH,75,7.000000,P1,5,75,5.000000
LH,46,7.625000,P1,10,46,6.000000
LH,52,7.625000,P1,10,52,6.000000
RH,64,7.666667,P1,5,64,6.000000
RH,70,7.666667,P1,5,70,6.000000
LH,41,8.125000,P1,10,41,7.000000
LH,47,8.250000,P1,10,47,7.000000
LH,59,8.250000,P1,5,59,7.000000
RH,65,8.250000,P1,5,65,7.000000
LH,36,8.875000,P1,10,36,8.000000
LH,42,9.000000,P1,10,42,8.000000
RH,60,9.000000,P1,5,60,8.000000
LH,37,9.500000,P1,10,37,9.000000
LH,43,9.500000,P1,10,43,9.000000
LH,55,9.500000,P1,5,55,9.000000
RH,61,9.500000,P1,5,61,9.000000
LH,38,9.875000,P1,10,38,10.000000
LH,44,10.000000,P1,10,44,10.000000
LH,56,10.000000,P1,5,56,10.000000
LH,34,10.375000,P1,10,34,11.000000
LH,53,10.375000,P1,5,53,11.000000
LH,41,10.500000,P1,10,41,11.000000
LH,33,11.000000,P1,10,33,12.000000
LH,38,11.000000,P1,10,38,12.000000
LH,57,11.000000,P1,5,57,12.000000
RH,62,11.000000,P1,5,62,12.000000
LH,45,12.250000,P1,10,45,14.000000
LH,50,12.250000,P1,10,50,14.000000
LH,53,12.250000,P1,10,53,14.000000
LH,57,12.250000,P1,10,57,14.000000
RH,69,12.250000,P1,5,69,14.000000
RH,74,12.250000,P1,5,74,14.000000
RH,77,12.250000,P1,5,77,14.000000
RH,81,12.250000,P1,5,81,14.000000
LH,57,14.000000,P1,10,57,16.000000
RH,61,14.000000,P1,10,61,16.000000
RH,64,14.000000,P1,10,64,16.000000
RH,69,14.000000,P1,10,69,16.000000
RH,79,14.000000,P1,5,79,16.000000
RH,81,14.000000,P1,5,81,16.000000
RH,85,14.000000,P1,5,85,16.000000
RH,88,14.000000,P1,5,88,16.000000
RH,93,14.000000,P1,5,93,16.000000
LH,37,16.750000,P1,10,37,21.000000
LH,49,16.750000,P1,5,49,21.000000
LH,41,17.000000,P1,10,41,21.250000
LH,53,17.000000,P1,5,53,21.250000
LH,40,17.125000,P1,10,40,21.500000
LH,52,17.125000,P1,5,52,21.500000
LH,50,17.333333,P1,5,50,21.750000
LH,38,17.375000,P1,10,38,21.750000
LH,37,17.500000,P1,10,37,22.000000
LH,49,17.500000,P1,5,49,22.000000
LH,34,17.750000,P1,10,34,22.250000
LH,46,17.875000,P1,5,46,22.250000
LH,33,18.000000,P1,10,33,22.500000
LH,45,18.000000,P1,5,45,22.500000
LH,34,18.125000,P1,10,34,22.750000
LH,46,18.125000,P1,5,46,22.750000
LH,37,18.333333,P1,10,37,23.000000
LH,49,18.375000,P1,5,49,23.000000
LH,38,18.500000,P1,10,38,23.250000
LH,50,18.500000,P1,5,50,23.250000
LH,40,18.625000,P1,10,40,23.500000
LH,52,18.750000,P1,5,52,23.500000
