hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,2.500000,P1,1,68,1.000000
RH,69,2.750000,P1,1,69,1.125000
RH,68,2.875000,P1,1,68,1.250000
RH,70,3.000000,P1,1,70,1.375000
RH,71,3.250000,P1,1,71,1.500000
RH,72,3.375000,P1,1,72,1.625000
RH,71,3.625000,P1,1,71,1.750000
RH,73,3.666667,P1,1,73,1.875000
RH,74,3.875000,P1,1,74,2.000000
RH,75,4.000000,P1,1,75,2.125000
RH,74,4.250000,P1,1,74,2.250000
RH,76,4.375000,P1,1,76,2.375000
RH,77,4.500000,P1,1,77,2.500000
RH,78,4.750000,P1,1,78,2.625000
RH,77,4.875000,P1,1,77,2.750000
RH,80,5.250000,P1,1,80,3.250000
RH,82,5.875000,P1,1,82,3.375000
RH,83,6.000000,P1,1,83,3.500000
RH,84,6.250000,P1,1,84,3.625000
RH,83,6.375000,P1,1,83,3.750000
RH,86,6.500000,P1,1,86,3.875000
RH,84,6.750000,P1,1,84,4.000000
RH,85,7.000000,P1,1,85,4.125000
RH,84,7.125000,P1,1,84,4.250000
RH,86,7.250000,P1,1,86,4.375000
RH,87,7.375000,P1,1,87,4.500000
RH,67,7.500000,P1,6,67,4.500000
RH,89,7.625000,P1,1,89,4.625000
RH,87,7.750000,P1,1,87,4.750000
RH,90,8.000000,P1,1,90,4.875000
RH,63,8.125000,P1,6,63,5.000000
RH,91,8.125000,P1,1,91,5.000000
RH,92,8.333333,P1,1,92,5.125000
RH,91,8.500000,P1,1,91,5.250000
RH,95,8.666667,P1,1,95,5.375000
RH,60,8.875000,P1,6,60,5.500000
RH,96,8.875000,P1,1,96,5.500000
RH,97,9.000000,P1,1,97,5.625000
RH,96,9.125000,P1,1,96,5.750000
RH,98,9.333333,P1,1,98,5.875000
RH,99,9.375000,P1,1,99,6.000000
RH,98,9.500000,P1,1,98,6.125000
RH,99,9.666667,P1,1,99,6.250000
RH,97,9.875000,P1,1,97,6.375000
RH,96,10.000000,P1,1,96,6.500000
RH,95,10.125000,P1,1,95,6.625000
RH,96,10.250000,P1,1,96,6.750000
RH,94,10.375000,P1,1,94,6.875000
RH,93,10.500000,P1,1,93,7.000000
RH,92,10.666667,P1,1,92,7.125000
RH,93,10.875000,P1,1,93,7.250000
RH,91,11.000000,P1,1,91,7.375000
RH,90,11.125000,P1,1,90,7.500000
RH,89,11.333333,P1,1,89,7.625000
RH,90,11.375000,P1,1,90,7.750000
RH,88,11.625000,P1,1,88,7.875000
RH,87,11.750000,P1,1,87,8.000000
RH,86,11.875000,P1,1,86,8.125000
RH,87,12.000000,P1,1,87,8.250000
RH,85,12.125000,P1,1,85,8.375000
RH,84,12.250000,P1,1,84,8.500000
RH,83,12.500000,P1,1,83,8.625000
RH,82,12.875000,P1,1,82,8.875000
RH,81,13.375000,P1,1,81,9.250000
RH,78,14.125000,P1,1,78,9.750000
RH,77,14.250000,P1,1,77,9.625000
RH,78,14.375000,P1,1,78,9.750000
LH,53,14.625000,P1,5,53,10.000000
RH,75,14.625000,P1,1,75,9.875000
RH,74,14.875000,P1,1,74,10.000000
