hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,53,2.125000,P1,5,53,0.000000
LH,57,2.500000,P1,5,57,0.500000
RH,60,2.875000,P1,5,60,1.000000
LH,57,3.250000,P1,5,57,1.500000
RH,69,3.500000,P1,1,69,2.000000
RH,60,3.625000,P1,5,60,2.000000
LH,57,4.000000,P1,5,57,2.500000
LH,53,4.375000,P1,5,53,3.000000
RH,72,4.375000,P1,1,72,3.000000
RH,60,4.750000,P1,5,60,3.500000
RH,63,5.250000,P1,5,63,4.000000
RH,60,5.500000,P1,5,60,4.500000
RH,63,5.875000,P1,5,63,5.000000
RH,69,5.875000,P1,1,69,5.000000
RH,60,6.250000,P1,5,60,5.500000
RH,70,6.625000,P1,1,70,6.000000
LH,53,6.666667,P1,5,53,6.000000
LH,58,7.000000,P1,5,58,6.500000
RH,62,7.375000,P1,5,62,7.000000
LH,58,7.750000,P1,5,58,7.500000
RH,79,8.000000,P1,1,79,8.000000
RH,62,8.125000,P1,5,62,8.000000
LH,58,8.375000,P1,5,58,8.500000
LH,53,8.875000,P1,5,53,9.000000
RH,77,8.875000,P1,1,77,9.000000
LH,55,9.250000,P1,5,55,9.500000
RH,76,9.250000,P1,1,76,9.500000
RH,76,9.500000,P1,1,76,10.000000
LH,58,9.625000,P1,5,58,10.000000
LH,55,10.000000,P1,5,55,10.500000
LH,58,10.333333,P1,5,58,11.000000
LH,55,10.666667,P1,5,55,11.500000
LH,53,11.125000,P1,5,53,12.000000
LH,57,11.125000,P1,5,57,12.000000
RH,77,11.125000,P1,1,77,12.000000
RH,69,11.875000,P1,1,69,13.000000
RH,74,12.666667,P1,1,74,14.000000
RH,67,13.500000,P1,1,67,15.000000
RH,72,14.250000,P1,1,72,16.000000
RH,69,15.500000,P1,1,69,17.500000
LH,53,15.875000,P1,6,53,18.000000
RH,65,15.875000,P1,1,65,18.000000
LH,45,16.625000,P1,6,45,19.000000
LH,50,17.375000,P1,6,50,20.000000
LH,43,18.125000,P1,6,43,21.000000
RH,67,18.125000,P1,5,67,21.000000
LH,48,18.750000,P1,6,48,22.000000
RH,64,18.750000,P1,1,64,22.000000
RH,62,19.125000,P1,1,62,22.500000
RH,64,19.500000,P1,1,64,23.000000
LH,45,19.875000,P1,6,45,23.500000
RH,69,20.250000,P1,1,69,24.000000
LH,41,20.333333,P1,6,41,24.000000
RH,65,20.333333,P1,5,65,24.000000
LH,50,21.000000,P1,6,50,25.000000
RH,70,21.000000,P1,1,70,25.000000
LH,46,21.750000,P1,6,46,26.000000
RH,74,21.750000,P1,1,74,26.000000
LH,45,22.500000,P1,6,45,27.000000
RH,74,22.500000,P1,1,74,27.000000
RH,72,22.875000,P1,1,72,27.500000
RH,70,23.250000,P1,1,70,28.000000
RH,69,23.625000,P1,1,69,28.500000
LH,50,24.000000,P1,6,50,29.000000
RH,67,24.000000,P1,1,67,29.000000
RH,65,24.333333,P1,1,65,29.500000
LH,46,24.666667,P1,6,46,30.000000
RH,67,24.666667,P1,1,67,30.000000
RH,70,25.500000,P1,1,70,31.000000
LH,48,26.250000,P1,6,48,32.000000
LH,58,26.250000,P1,1,58,32.000000
RH,64,26.250000,P1,1,64,32.000000
LH,41,27.125000,P1,6,41,33.000000
LH,57,27.125000,P1,1,57,33.000000
RH,65,27.125000,P1,1,65,33.000000
RH,84,28.666667,P1,1,84,35.000000
