hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,60,4.000000,P1,5,60,0.000000
RH,64,4.000000,P1,5,64,0.000000
LH,57,4.625000,P1,5,57,0.500000
RH,60,4.625000,P1,5,60,0.500000
RH,64,4.625000,P1,5,64,0.500000
LH,57,5.000000,P1,5,57,1.000000
RH,60,5.000000,P1,5,60,1.000000
RH,64,5.000000,P1,5,64,1.000000
RH,76,5.000000,P1,1,76,1.000000
LH,57,5.500000,P1,5,57,1.500000
RH,60,5.500000,P1,5,60,1.500000
RH,64,5.500000,P1,5,64,1.500000
RH,76,5.625000,P1,1,76,1.750000
LH,57,5.875000,P1,5,57,2.000000
RH,60,5.875000,P1,5,60,2.000000
RH,64,5.875000,P1,5,64,2.000000
RH,76,5.875000,P1,1,76,2.000000
LH,57,6.375000,P1,5,57,2.500000
RH,60,6.375000,P1,5,60,2.500000
RH,64,6.375000,P1,5,64,2.500000
LH,57,6.750000,P1,5,57,3.000000
RH,60,6.750000,P1,5,60,3.000000
RH,64,6.750000,P1,5,64,3.000000
RH,72,6.750000,P1,1,72,3.000000
LH,57,7.125000,P1,5,57,3.500000
RH,60,7.125000,P1,5,60,3.500000
RH,64,7.125000,P1,5,64,3.500000
RH,69,7.333333,P1,1,69,3.750000
LH,59,7.500000,P1,5,59,4.000000
RH,62,7.500000,P1,5,62,4.000000
LH,57,8.000000,P1,5,57,4.500000
LH,59,8.000000,P1,5,59,4.500000
RH,62,8.000000,P1,5,62,4.500000
RH,64,8.000000,P1,5,64,4.500000
RH,64,8.375000,P1,5,64,5.000000
RH,68,8.375000,P1,1,68,5.000000
LH,57,8.500000,P1,5,57,5.000000
LH,59,8.500000,P1,5,59,5.000000
RH,62,8.500000,P1,5,62,5.000000
LH,57,8.875000,P1,5,57,5.500000
LH,59,8.875000,P1,5,59,5.500000
RH,62,8.875000,P1,5,62,5.500000
RH,64,8.875000,P1,5,64,5.500000
LH,59,9.250000,P1,5,59,6.000000
RH,62,9.250000,P1,5,62,6.000000
RH,64,9.250000,P1,5,64,6.000000
LH,57,9.333333,P1,5,57,6.000000
LH,57,9.666667,P1,5,57,6.500000
LH,59,9.666667,P1,5,59,6.500000
RH,62,9.666667,P1,5,62,6.500000
RH,64,9.666667,P1,5,64,6.500000
LH,59,10.125000,P1,5,59,7.000000
RH,62,10.125000,P1,5,62,7.000000
RH,64,10.125000,P1,5,64,7.000000
RH,74,10.125000,P1,1,74,7.000000
LH,59,10.625000,P1,5,59,7.500000
RH,62,10.625000,P1,5,62,7.500000
RH,64,10.625000,P1,5,64,7.500000
RH,71,10.750000,P1,1,71,7.750000
LH,57,11.000000,P1,5,57,8.000000
RH,60,11.000000,P1,5,60,8.000000
RH,64,11.000000,P1,5,64,8.000000
RH,76,11.000000,P1,1,76,8.000000
RH,60,11.375000,P1,5,60,8.500000
RH,64,11.375000,P1,5,64,8.500000
LH,57,11.500000,P1,5,57,8.500000
LH,57,11.875000,P1,5,57,9.000000
RH,60,11.875000,P1,5,60,9.000000
RH,64,11.875000,P1,5,64,9.000000
RH,76,11.875000,P1,1,76,9.000000
LH,57,12.250000,P1,5,57,9.500000
RH,60,12.250000,P1,5,60,9.500000
RH,64,12.250000,P1,5,64,9.500000
RH,76,12.500000,P1,1,76,9.750000
RH,60,12.666667,P1,5,60,10.000000
RH,76,12.666667,P1,1,76,10.000000
LH,57,12.750000,P1,5,57,10.000000
RH,64,12.750000,P1,5,64,10.000000
LH,57,13.125000,P1,5,57,10.500000
RH,60,13.125000,P1,5,60,10.500000
RH,64,13.125000,P1,5,64,10.500000
RH,77,13.125000,P1,1,77,10.500000
RH,76,13.375000,P1,1,76,10.750000
LH,57,13.500000,P1,5,57,11.000000
RH,60,13.500000,P1,5,60,11.000000
RH,64,13.500000,P1,5,64,11.000000
RH,74,13.500000,P1,1,74,11.000000
RH,72,13.750000,P1,1,72,11.250000
LH,57,13.875000,P1,5,57,11.500000
RH,60,13.875000,P1,5,60,11.500000
RH,64,13.875000,P1,5,64,11.500000
RH,71,13.875000,P1,1,71,11.500000
RH,69,14.125000,P1,1,69,11.750000
LH,59,14.333333,P1,5,59,12.000000
RH,62,14.333333,P1,5,62,12.000000
RH,64,14.333333,P1,5,64,12.000000
LH,59,14.750000,P1,5,59,12.500000
RH,62,14.750000,P1,5,62,12.500000
RH,64,14.750000,P1,5,64,12.500000
LH,59,15.250000,P1,5,59,13.000000
RH,62,15.250000,P1,5,62,13.000000
RH,64,15.250000,P1,5,64,13.000000
RH,68,15.250000,P1,1,68,13.000000
LH,57,15.666667,P1,5,57,13.500000
LH,59,15.666667,P1,5,59,13.500000
RH,62,15.666667,P1,5,62,13.500000
RH,64,15.666667,P1,5,64,13.500000
LH,59,16.125000,P1,5,59,14.000000
RH,62,16.125000,P1,5,62,14.000000
RH,64,16.125000,P1,5,64,14.000000
LH,57,16.500000,P1,5,57,14.500000
LH,59,16.500000,P1,5,59,14.500000
RH,62,16.500000,P1,5,62,14.500000
RH,64,16.500000,P1,5,64,14.500000
LH,57,17.000000,P1,5,57,15.000000
