hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,38,0.000000,P1,6,38,0.000000
RH,69,3.875000,P1,6,69,1.000000
RH,62,4.625000,P1,6,62,1.333333
LH,57,5.250000,P1,6,57,1.666667
LH,54,6.000000,P1,6,54,2.000000
LH,45,6.750000,P1,6,45,2.333333
RH,62,7.500000,P1,6,62,2.666667
LH,38,8.375000,P1,6,38,3.000000
RH,62,10.250000,P1,6,62,3.666667
RH,69,11.000000,P1,6,69,4.000000
RH,62,11.666667,P1,6,62,4.333333
LH,57,12.375000,P1,6,57,4.666667
LH,54,13.000000,P1,6,54,5.000000
RH,66,16.375000,P1,1,66,6.000000
RH,69,19.250000,P1,6,69,7.000000
RH,62,19.875000,P1,6,62,7.333333
RH,64,21.625000,P1,1,64,8.000000
RH,67,22.375000,P1,6,67,8.333333
RH,69,22.375000,P1,6,69,8.333333
RH,61,22.500000,P1,6,61,8.333333
LH,57,23.125000,P1,6,57,8.666667
RH,66,24.000000,P1,1,66,9.000000
LH,50,24.875000,P1,6,50,9.333333
LH,57,25.625000,P1,6,57,9.666667
RH,69,26.250000,P1,6,69,10.000000
RH,62,26.875000,P1,6,62,10.333333
LH,59,28.500000,P1,1,59,11.000000
RH,62,29.125000,P1,6,62,11.333333
RH,69,29.125000,P1,6,69,11.333333
LH,57,29.750000,P1,6,57,11.666667
RH,61,30.500000,P1,1,61,12.000000
LH,38,31.250000,P1,6,38,12.333333
LH,57,32.000000,P1,6,57,12.666667
RH,67,32.750000,P1,6,67,13.000000
RH,69,32.750000,P1,6,69,13.000000
LH,57,34.000000,P1,6,57,13.666667
RH,62,34.750000,P1,1,62,14.000000
RH,62,37.125000,P1,1,62,14.750000
RH,64,37.625000,P1,1,64,15.000000
LH,50,38.333333,P1,6,50,15.333333
LH,57,39.000000,P1,6,57,15.666667
RH,67,39.625000,P1,6,67,16.000000
RH,69,39.625000,P1,6,69,16.000000
LH,57,40.750000,P1,6,57,16.666667
RH,66,41.375000,P1,1,66,17.000000
LH,59,44.000000,P1,2,59,18.000000
RH,67,44.000000,P1,1,67,18.000000
LH,59,45.875000,P1,6,59,18.666667
RH,74,46.625000,P1,6,74,19.000000
RH,62,47.250000,P1,6,62,19.333333
LH,59,47.875000,P1,6,59,19.666667
RH,66,48.500000,P1,1,66,20.000000
LH,58,49.250000,P1,6,58,20.333333
RH,62,50.000000,P1,6,62,20.666667
LH,59,51.000000,P1,2,59,21.000000
RH,67,51.000000,P1,1,67,21.000000
LH,50,51.750000,P1,6,50,21.333333
LH,59,52.500000,P1,6,59,21.666667
RH,74,53.125000,P1,6,74,22.000000
RH,62,53.750000,P1,6,62,22.333333
LH,59,54.375000,P1,6,59,22.666667
RH,62,55.250000,P1,1,62,23.000000
LH,55,55.875000,P1,6,55,23.333333
LH,54,56.375000,P1,6,54,23.666667
LH,38,57.000000,P1,6,38,24.000000
RH,64,57.125000,P1,1,64,24.000000
LH,59,58.500000,P1,6,59,24.666667
RH,71,59.125000,P1,6,71,25.000000
LH,59,59.625000,P1,6,59,25.333333
LH,55,60.250000,P1,6,55,25.666667
RH,66,60.666667,P1,1,66,26.000000
RH,60,60.750000,P1,2,60,26.000000
RH,62,61.333333,P1,6,62,26.333333
RH,64,61.875000,P1,1,64,26.500000
RH,72,62.000000,P1,6,72,26.666667
RH,66,62.250000,P1,1,66,26.750000
RH,67,62.750000,P1,1,67,27.000000
LH,59,62.875000,P1,2,59,27.000000
RH,62,62.875000,P1,2,62,27.000000
LH,50,63.375000,P1,6,50,27.333333
LH,59,64.000000,P1,6,59,27.666667
RH,74,64.625000,P1,6,74,28.000000
RH,62,65.125000,P1,6,62,28.333333
LH,59,65.666667,P1,6,59,28.666667
RH,62,66.250000,P1,2,62,29.000000
RH,65,66.250000,P1,2,65,29.000000
RH,68,66.250000,P1,1,68,29.000000
RH,69,69.375000,P1,1,69,30.000000
RH,73,72.250000,P1,6,73,31.000000
RH,66,72.875000,P1,6,66,31.333333
LH,57,73.500000,P1,6,57,31.666667
RH,68,74.125000,P1,1,68,32.000000
RH,62,74.250000,P1,2,62,32.000000
RH,65,74.250000,P1,2,65,32.000000
LH,42,76.875000,P1,6,42,33.000000
LH,49,76.875000,P1,6,49,33.000000
RH,69,77.000000,P1,1,69,33.000000
RH,61,78.625000,P1,6,61,33.666667
RH,73,79.375000,P1,6,73,34.000000
RH,66,80.125000,P1,6,66,34.333333
LH,58,82.333333,P1,2,58,35.000000
RH,62,82.333333,P1,2,62,35.000000
LH,50,84.125000,P1,6,50,35.333333
LH,43,85.500000,P1,6,43,35.666667
RH,66,86.333333,P1,1,66,35.833333
LH,54,87.000000,P1,2,54,36.000000
RH,62,87.000000,P1,2,62,36.000000
RH,66,87.000000,P1,1,66,36.000000
LH,38,88.125000,P1,6,38,36.333333
RH,69,89.750000,P1,6,69,37.000000
RH,62,90.375000,P1,6,62,37.333333
LH,57,91.000000,P1,6,57,37.666667
LH,58,91.666667,P1,2,58,38.000000
RH,61,91.666667,P1,2,61,38.000000
RH,64,91.666667,P1,1,64,38.000000
RH,70,92.500000,P1,6,70,38.333333
LH,55,93.375000,P1,6,55,38.666667
LH,57,94.125000,P1,2,57,39.000000
RH,66,94.125000,P1,1,66,39.000000
RH,62,94.250000,P1,2,62,39.000000
LH,38,94.875000,P1,6,38,39.333333
LH,57,95.625000,P1,6,57,39.666667
RH,69,96.375000,P1,6,69,40.000000
RH,62,97.125000,P1,6,62,40.333333
LH,57,97.875000,P1,6,57,40.666667
LH,55,98.875000,P1,6,55,41.000000
RH,61,98.875000,P1,2,61,41.000000
RH,64,98.875000,P1,1,64,41.000000
LH,54,103.375000,P1,2,54,42.000000
LH,59,103.375000,P1,2,59,42.000000
