hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,69,5.333333,P1,6,69,1.000000
RH,62,5.875000,P1,6,62,1.333333
LH,57,6.500000,P1,6,57,1.666667
LH,54,7.250000,P1,6,54,2.000000
LH,45,8.000000,P1,6,45,2.333333
RH,62,8.875000,P1,6,62,2.666667
LH,38,9.875000,P1,6,38,3.000000
RH,62,11.375000,P1,6,62,3.666667
RH,69,12.000000,P1,6,69,4.000000
RH,62,12.500000,P1,6,62,4.333333
LH,57,13.250000,P1,6,57,4.666667
LH,54,14.000000,P1,6,54,5.000000
RH,66,16.875000,P1,1,66,6.000000
LH,57,18.333333,P1,6,57,6.666667
RH,69,19.000000,P1,6,69,7.000000
RH,62,19.500000,P1,6,62,7.333333
RH,64,20.875000,P1,1,64,8.000000
RH,61,21.500000,P1,6,61,8.333333
RH,67,21.500000,P1,6,67,8.333333
RH,69,21.500000,P1,6,69,8.333333
RH,66,23.125000,P1,1,66,9.000000
LH,50,23.750000,P1,6,50,9.333333
LH,57,24.375000,P1,6,57,9.666667
RH,69,25.000000,P1,6,69,10.000000
RH,62,25.625000,P1,6,62,10.333333
LH,59,26.875000,P1,1,59,11.000000
RH,62,27.500000,P1,6,62,11.333333
RH,69,27.500000,P1,6,69,11.333333
RH,61,29.000000,P1,1,61,12.000000
LH,38,29.666667,P1,6,38,12.333333
LH,57,30.375000,P1,6,57,12.666667
RH,67,31.000000,P1,6,67,13.000000
RH,69,31.000000,P1,6,69,13.000000
LH,57,32.125000,P1,6,57,13.666667
RH,62,32.750000,P1,1,62,14.000000
LH,59,33.375000,P1,6,59,14.333333
RH,69,33.375000,P1,6,69,14.333333
RH,61,33.666667,P1,1,61,14.500000
RH,62,34.125000,P1,1,62,14.750000
RH,64,34.750000,P1,1,64,15.000000
LH,50,35.250000,P1,6,50,15.333333
LH,57,35.750000,P1,6,57,15.666667
RH,67,36.333333,P1,6,67,16.000000
RH,69,36.333333,P1,6,69,16.000000
RH,66,38.125000,P1,1,66,17.000000
LH,50,39.750000,P1,6,50,17.666667
