hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,73,3.000000,P2,2,73,0.000000
RH,77,3.000000,P2,2,77,0.000000
RH,81,3.125000,P2,2,81,0.125000
RH,73,3.375000,P2,2,73,0.250000
RH,77,3.375000,P2,2,77,0.250000
RH,80,3.375000,P2,2,80,0.250000
RH,73,3.666667,P2,2,73,0.375000
RH,77,3.666667,P2,2,77,0.375000
RH,80,3.666667,P2,2,80,0.375000
RH,81,3.875000,P2,2,81,0.500000
RH,73,4.125000,P2,2,73,0.625000
RH,77,4.125000,P2,2,77,0.625000
RH,80,4.125000,P2,2,80,0.625000
RH,73,4.375000,P2,2,73,0.750000
RH,77,4.375000,P2,2,77,0.750000
RH,80,4.375000,P2,2,80,0.750000
RH,81,4.625000,P2,2,81,0.875000
RH,73,4.875000,P2,2,73,1.000000
RH,77,4.875000,P2,2,77,1.000000
RH,80,4.875000,P2,2,80,1.000000
RH,81,5.125000,P2,2,81,1.125000
RH,73,5.333333,P2,2,73,1.250000
RH,77,5.333333,P2,2,77,1.250000
RH,80,5.333333,P2,2,80,1.250000
RH,77,5.500000,P2,2,77,1.375000
RH,80,5.625000,P2,2,80,1.375000
RH,81,5.750000,P2,2,81,1.500000
RH,73,6.125000,P2,2,73,1.750000
RH,80,6.125000,P2,2,80,1.750000
RH,81,6.375000,P2,2,81,1.875000
RH,73,10.250000,P2,2,73,4.000000
RH,77,10.250000,P2,2,77,4.000000
RH,80,10.250000,P2,2,80,4.000000
RH,81,10.500000,P2,2,81,4.125000
RH,73,10.750000,P2,2,73,4.250000
RH,77,10.750000,P2,2,77,4.250000
RH,80,10.750000,P2,2,80,4.250000
RH,73,10.875000,P2,2,73,4.375000
RH,77,10.875000,P2,2,77,4.375000
RH,80,10.875000,P2,2,80,4.375000
RH,81,11.125000,P2,2,81,4.500000
RH,73,11.375000,P2,2,73,4.625000
RH,77,11.375000,P2,2,77,4.625000
RH,80,11.375000,P2,2,80,4.625000
RH,80,11.625000,P2,2,80,4.750000
RH,81,11.875000,P2,2,81,4.875000
RH,73,12.125000,P2,2,73,5.000000
RH,77,12.125000,P2,2,77,5.000000
RH,80,12.125000,P2,2,80,5.000000
RH,81,12.250000,P2,2,81,5.125000
RH,77,12.500000,P2,2,77,5.250000
RH,80,12.500000,P2,2,80,5.250000
RH,77,12.750000,P2,2,77,5.375000
RH,80,12.750000,P2,2,80,5.375000
RH,81,13.000000,P2,2,81,5.500000
RH,80,13.500000,P2,2,80,5.750000
RH,81,13.750000,P2,2,81,5.875000
RH,81,14.375000,P2,2,81,6.125000
RH,77,14.500000,P2,2,77,6.250000
RH,80,14.500000,P2,2,80,6.250000
RH,77,14.750000,P2,2,77,6.375000
RH,80,14.750000,P2,2,80,6.375000
RH,81,15.000000,P2,2,81,6.500000
RH,77,15.250000,P2,2,77,6.625000
RH,80,15.250000,P2,2,80,6.625000
RH,80,15.500000,P2,2,80,6.625000
RH,81,15.750000,P2,2,81,6.875000
RH,77,16.000000,P2,2,77,7.000000
RH,80,16.000000,P2,2,80,7.000000
RH,81,16.250000,P2,2,81,7.125000
RH,77,16.500000,P2,2,77,7.250000
RH,80,16.500000,P2,2,80,7.250000
RH,77,16.666667,P2,2,77,7.375000
RH,80,16.666667,P2,2,80,7.375000
RH,81,17.000000,P2,2,81,7.500000
RH,77,17.125000,P2,2,77,7.625000
RH,80,17.125000,P2,2,80,7.625000
RH,77,17.375000,P2,2,77,7.750000
RH,81,17.625000,P2,2,81,7.875000
RH,77,17.875000,P2,2,77,8.000000
RH,80,17.875000,P2,2,80,8.000000
RH,81,18.125000,P2,2,81,8.125000
RH,77,18.250000,P2,2,77,8.250000
RH,80,18.250000,P2,2,80,8.250000
