hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,73,1.125000,P2,2,73,0.000000
RH,77,1.125000,P2,2,77,0.000000
RH,81,1.500000,P2,2,81,0.125000
RH,73,1.750000,P2,2,73,0.375000
RH,77,1.750000,P2,2,77,0.375000
RH,80,1.750000,P2,2,80,0.375000
RH,73,2.000000,P2,2,73,0.375000
RH,77,2.000000,P2,2,77,0.375000
RH,80,2.000000,P2,2,80,0.375000
RH,81,2.250000,P2,2,81,0.500000
RH,77,2.500000,P2,2,77,0.625000
RH,80,2.500000,P2,2,80,0.625000
RH,77,2.750000,P2,2,77,0.750000
RH,81,3.000000,P2,2,81,0.875000
RH,77,3.250000,P2,2,77,1.000000
RH,80,3.250000,P2,2,80,1.000000
RH,73,3.333333,P2,2,73,1.000000
RH,81,3.375000,P2,2,81,1.125000
RH,73,3.625000,P2,2,73,1.250000
RH,77,3.625000,P2,2,77,1.250000
RH,80,3.625000,P2,2,80,1.250000
RH,77,3.875000,P2,2,77,1.375000
RH,80,3.875000,P2,2,80,1.375000
RH,81,4.125000,P2,2,81,1.500000
RH,73,4.333333,P2,2,73,1.625000
RH,77,4.333333,P2,2,77,1.625000
RH,80,4.333333,P2,2,80,1.625000
RH,77,4.500000,P2,2,77,1.750000
RH,80,4.500000,P2,2,80,1.750000
RH,81,4.750000,P2,2,81,1.875000
RH,73,8.500000,P2,2,73,4.000000
RH,77,8.500000,P2,2,77,4.000000
RH,80,8.500000,P2,2,80,4.000000
RH,81,8.750000,P2,2,81,4.125000
RH,77,8.875000,P2,2,77,4.250000
RH,80,8.875000,P2,2,80,4.250000
RH,77,9.125000,P2,2,77,4.375000
RH,80,9.125000,P2,2,80,4.375000
RH,81,9.375000,P2,2,81,4.500000
RH,73,9.625000,P2,2,73,4.625000
RH,77,9.625000,P2,2,77,4.625000
RH,80,9.625000,P2,2,80,4.625000
RH,81,10.000000,P2,2,81,4.875000
RH,80,10.333333,P2,2,80,5.000000
RH,77,10.375000,P2,2,77,5.000000
RH,81,10.500000,P2,2,81,5.125000
RH,80,10.666667,P2,2,80,5.250000
RH,73,10.875000,P2,2,73,5.250000
RH,77,10.875000,P2,2,77,5.250000
RH,80,10.875000,P2,2,80,5.250000
RH,81,11.250000,P2,2,81,5.500000
RH,73,11.375000,P2,2,73,5.625000
RH,77,11.625000,P2,2,77,5.625000
RH,80,11.625000,P2,2,80,5.625000
RH,81,12.625000,P2,2,81,6.125000
RH,73,13.000000,P2,2,73,6.375000
RH,77,13.000000,P2,2,77,6.375000
RH,81,13.333333,P2,2,81,6.500000
RH,77,13.500000,P2,2,77,6.625000
RH,80,13.500000,P2,2,80,6.625000
RH,80,13.750000,P2,2,80,6.750000
RH,77,13.875000,P2,2,77,6.750000
RH,81,14.000000,P2,2,81,6.875000
RH,81,14.625000,P2,2,81,7.125000
RH,80,14.875000,P2,2,80,7.250000
RH,73,15.000000,P2,2,73,7.375000
RH,77,15.000000,P2,2,77,7.375000
RH,80,15.000000,P2,2,80,7.375000
RH,81,15.333333,P2,2,81,7.500000
RH,77,15.500000,P2,2,77,7.625000
RH,80,15.500000,P2,2,80,7.625000
RH,73,15.625000,P2,2,73,7.625000
RH,80,15.750000,P2,2,80,7.750000
RH,81,16.000000,P2,2,81,7.875000
RH,81,16.375000,P2,2,81,8.125000
RH,77,16.750000,P2,2,77,8.250000
RH,80,16.750000,P2,2,80,8.250000
RH,81,17.125000,P2,2,81,8.500000
RH,77,17.375000,P2,2,77,8.625000
RH,80,17.375000,P2,2,80,8.625000
RH,73,17.625000,P2,2,73,8.750000
RH,77,17.625000,P2,2,77,8.750000
RH,80,17.625000,P2,2,80,8.750000
RH,81,17.750000,P2,2,81,8.875000
RH,71,18.000000,P2,4,71,9.000000
RH,80,18.250000,P2,2,80,9.000000
RH,81,18.333333,P2,2,81,9.125000
RH,77,18.500000,P2,2,77,9.250000
RH,80,18.625000,P2,2,80,9.250000
RH,77,18.750000,P2,2,77,9.250000
RH,81,19.000000,P2,2,81,9.500000
RH,77,19.250000,P2,2,77,9.625000
RH,80,19.250000,P2,2,80,9.625000
RH,81,20.250000,P2,2,81,10.125000
RH,77,20.500000,P2,2,77,10.250000
RH,80,20.500000,P2,2,80,10.250000
RH,77,20.666667,P2,2,77,10.375000
RH,80,20.666667,P2,2,80,10.375000
RH,81,21.000000,P2,2,81,10.500000
RH,77,21.125000,P2,2,77,10.625000
RH,80,21.125000,P2,2,80,10.625000
RH,77,21.375000,P2,2,77,10.750000
RH,81,21.666667,P2,2,81,10.875000
RH,71,22.000000,P2,4,71,11.000000
RH,81,22.125000,P2,2,81,11.125000
RH,77,22.375000,P2,2,77,11.250000
RH,80,22.375000,P2,2,80,11.250000
RH,77,22.625000,P2,2,77,11.375000
RH,80,22.625000,P2,2,80,11.375000
RH,81,22.875000,P2,2,81,11.500000
RH,77,23.125000,P2,2,77,11.625000
RH,80,23.125000,P2,2,80,11.625000
RH,77,23.333333,P2,2,77,11.750000
RH,80,23.333333,P2,2,80,11.750000
RH,81,23.500000,P2,2,81,11.875000
RH,77,23.750000,P2,2,77,12.000000
RH,80,23.750000,P2,2,80,12.000000
RH,81,24.000000,P2,2,81,12.125000
RH,77,24.125000,P2,2,77,12.250000
RH,80,24.125000,P2,2,80,12.250000
RH,73,24.250000,P2,2,73,12.250000
RH,77,25.000000,P2,2,77,12.625000
RH,80,25.000000,P2,2,80,12.625000
RH,73,25.125000,P2,2,73,12.750000
RH,77,25.125000,P2,2,77,12.750000
RH,81,25.375000,P2,2,81,12.875000
RH,71,25.625000,P2,4,71,13.000000
RH,80,25.666667,P2,2,80,13.000000
RH,81,25.875000,P2,2,81,13.125000
RH,77,26.000000,P2,2,77,13.250000
RH,77,26.125000,P2,2,77,13.250000
RH,80,26.125000,P2,2,80,13.250000
RH,81,26.500000,P2,2,81,13.500000
RH,77,26.750000,P2,2,77,13.625000
RH,80,26.750000,P2,2,80,13.625000
