hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,73,1.125000,P2,2,73,0.000000
RH,73,2.125000,P2,2,73,0.375000
RH,77,2.125000,P2,2,77,0.375000
RH,80,2.125000,P2,2,80,0.375000
RH,73,2.875000,P2,2,73,0.750000
RH,77,2.875000,P2,2,77,0.750000
RH,73,3.125000,P2,2,73,0.750000
RH,77,3.125000,P2,2,77,0.750000
RH,81,3.500000,P2,2,81,0.875000
RH,73,3.666667,P2,2,73,1.000000
RH,77,3.666667,P2,2,77,1.000000
RH,80,3.666667,P2,2,80,1.000000
RH,81,3.875000,P2,2,81,1.125000
RH,73,4.000000,P2,2,73,1.250000
RH,77,4.000000,P2,2,77,1.250000
RH,80,4.000000,P2,2,80,1.250000
RH,73,4.375000,P2,2,73,1.375000
RH,77,4.375000,P2,2,77,1.375000
RH,81,4.625000,P2,2,81,1.500000
RH,73,4.750000,P2,2,73,1.625000
RH,77,4.750000,P2,2,77,1.625000
RH,80,4.875000,P2,2,80,1.625000
RH,73,5.125000,P2,2,73,1.750000
RH,77,5.125000,P2,2,77,1.750000
RH,80,5.125000,P2,2,80,1.750000
RH,81,5.250000,P2,2,81,1.875000
RH,73,9.125000,P2,2,73,4.000000
RH,77,9.125000,P2,2,77,4.000000
RH,80,9.250000,P2,2,80,4.000000
RH,81,9.375000,P2,2,81,4.125000
RH,73,9.625000,P2,2,73,4.250000
RH,77,9.625000,P2,2,77,4.250000
RH,80,9.625000,P2,2,80,4.250000
RH,73,9.875000,P2,2,73,4.250000
RH,77,9.875000,P2,2,77,4.250000
RH,80,9.875000,P2,2,80,4.250000
RH,73,10.250000,P2,2,73,4.375000
RH,77,10.250000,P2,2,77,4.375000
RH,77,10.500000,P2,2,77,4.625000
RH,73,11.000000,P2,2,73,4.750000
RH,77,11.000000,P2,2,77,4.750000
RH,81,11.250000,P2,2,81,4.875000
RH,73,11.666667,P2,2,73,5.000000
RH,77,11.666667,P2,2,77,5.000000
RH,81,12.000000,P2,2,81,5.125000
RH,73,12.375000,P2,2,73,5.250000
RH,77,12.375000,P2,2,77,5.250000
RH,80,12.375000,P2,2,80,5.250000
RH,73,12.875000,P2,2,73,5.375000
RH,77,12.875000,P2,2,77,5.375000
RH,80,12.875000,P2,2,80,5.375000
RH,81,13.125000,P2,2,81,5.500000
RH,73,13.500000,P2,2,73,5.625000
RH,73,14.000000,P2,2,73,5.750000
RH,77,14.000000,P2,2,77,5.750000
RH,73,14.250000,P2,2,73,5.750000
RH,77,14.250000,P2,2,77,5.750000
RH,80,14.250000,P2,2,80,5.750000
RH,81,14.500000,P2,2,81,5.875000
RH,73,14.875000,P2,2,73,6.000000
RH,77,14.875000,P2,2,77,6.000000
RH,80,14.875000,P2,2,80,6.000000
RH,81,15.333333,P2,2,81,6.125000
RH,73,15.625000,P2,2,73,6.375000
RH,80,15.625000,P2,2,80,6.375000
RH,80,15.875000,P2,2,80,6.375000
RH,81,16.125000,P2,2,81,6.500000
RH,73,16.250000,P2,2,73,6.625000
RH,77,16.250000,P2,2,77,6.625000
RH,80,16.250000,P2,2,80,6.625000
RH,73,16.500000,P2,2,73,6.750000
RH,77,16.500000,P2,2,77,6.750000
RH,80,16.500000,P2,2,80,6.750000
RH,81,16.750000,P2,2,81,6.875000
RH,73,17.000000,P2,2,73,7.000000
RH,80,17.125000,P2,2,80,7.000000
RH,81,17.375000,P2,2,81,7.125000
RH,73,17.666667,P2,2,73,7.250000
RH,77,17.666667,P2,2,77,7.250000
RH,80,17.666667,P2,2,80,7.250000
RH,73,17.875000,P2,2,73,7.375000
RH,77,17.875000,P2,2,77,7.375000
RH,80,17.875000,P2,2,80,7.375000
RH,81,18.250000,P2,2,81,7.500000
