hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,73,1.000000,P2,2,73,0.000000
RH,77,1.125000,P2,2,77,0.000000
RH,73,2.000000,P2,2,73,0.375000
RH,77,2.000000,P2,2,77,0.375000
RH,80,2.000000,P2,2,80,0.375000
RH,80,2.750000,P2,2,80,0.750000
RH,73,2.875000,P2,2,73,0.750000
RH,77,2.875000,P2,2,77,0.750000
RH,73,3.125000,P2,2,73,0.750000
RH,80,3.125000,P2,2,80,0.750000
RH,81,3.333333,P2,2,81,0.875000
RH,73,3.625000,P2,2,73,1.000000
RH,77,3.625000,P2,2,77,1.000000
RH,80,3.625000,P2,2,80,1.000000
RH,81,3.875000,P2,2,81,1.125000
RH,73,4.000000,P2,2,73,1.250000
RH,77,4.000000,P2,2,77,1.250000
RH,80,4.000000,P2,2,80,1.250000
RH,73,4.333333,P2,2,73,1.375000
RH,77,4.333333,P2,2,77,1.375000
RH,80,4.333333,P2,2,80,1.375000
RH,81,4.500000,P2,2,81,1.500000
RH,73,4.750000,P2,2,73,1.625000
RH,77,4.750000,P2,2,77,1.625000
RH,80,4.750000,P2,2,80,1.625000
RH,73,5.000000,P2,2,73,1.750000
RH,77,5.000000,P2,2,77,1.750000
RH,81,5.250000,P2,2,81,1.875000
RH,73,9.250000,P2,2,73,4.000000
RH,77,9.250000,P2,2,77,4.000000
RH,80,9.250000,P2,2,80,4.000000
RH,81,9.500000,P2,2,81,4.125000
RH,73,9.666667,P2,2,73,4.250000
RH,77,9.666667,P2,2,77,4.250000
RH,80,9.666667,P2,2,80,4.250000
RH,73,10.000000,P2,2,73,4.375000
RH,80,10.000000,P2,2,80,4.375000
RH,81,10.125000,P2,2,81,4.500000
RH,73,10.375000,P2,2,73,4.625000
RH,80,10.375000,P2,2,80,4.625000
RH,77,10.500000,P2,2,77,4.625000
RH,80,10.750000,P2,2,80,4.750000
RH,81,10.875000,P2,2,81,4.875000
RH,73,11.125000,P2,2,73,5.000000
RH,77,11.125000,P2,2,77,5.000000
RH,80,11.125000,P2,2,80,5.000000
RH,81,11.500000,P2,2,81,5.125000
RH,73,11.666667,P2,2,73,5.250000
RH,77,11.666667,P2,2,77,5.250000
RH,80,11.666667,P2,2,80,5.250000
RH,73,11.875000,P2,2,73,5.375000
RH,80,11.875000,P2,2,80,5.375000
RH,81,12.125000,P2,2,81,5.500000
RH,77,12.375000,P2,2,77,5.625000
RH,80,12.375000,P2,2,80,5.625000
RH,77,12.625000,P2,2,77,5.750000
RH,80,12.625000,P2,2,80,5.750000
RH,73,13.250000,P2,2,73,6.000000
RH,77,13.250000,P2,2,77,6.000000
RH,80,13.250000,P2,2,80,6.000000
RH,77,14.125000,P2,2,77,6.375000
RH,80,14.125000,P2,2,80,6.375000
RH,77,14.875000,P2,2,77,6.750000
RH,80,14.875000,P2,2,80,6.750000
RH,77,15.125000,P2,2,77,6.750000
RH,80,15.125000,P2,2,80,6.750000
RH,81,15.375000,P2,2,81,6.875000
RH,73,15.625000,P2,2,73,7.000000
RH,77,15.625000,P2,2,77,7.000000
RH,80,15.750000,P2,2,80,7.000000
RH,81,16.000000,P2,2,81,7.125000
RH,73,16.250000,P2,2,73,7.250000
RH,77,16.250000,P2,2,77,7.250000
RH,80,16.250000,P2,2,80,7.250000
RH,80,16.625000,P2,2,80,7.375000
RH,81,16.750000,P2,2,81,7.500000
RH,73,17.000000,P2,2,73,7.625000
RH,77,17.000000,P2,2,77,7.625000
RH,80,17.000000,P2,2,80,7.625000
RH,80,17.250000,P2,2,80,7.750000
RH,77,17.333333,P2,2,77,7.750000
RH,81,17.500000,P2,2,81,7.875000
RH,73,17.666667,P2,2,73,8.000000
RH,77,17.666667,P2,2,77,8.000000
RH,80,17.750000,P2,2,80,8.000000
RH,81,18.000000,P2,2,81,8.125000
RH,77,18.125000,P2,2,77,8.250000
RH,80,18.125000,P2,2,80,8.250000
RH,80,18.375000,P2,2,80,8.375000
RH,81,18.625000,P2,2,81,8.500000
RH,77,18.875000,P2,2,77,8.625000
RH,80,18.875000,P2,2,80,8.625000
RH,77,19.125000,P2,2,77,8.750000
RH,80,19.125000,P2,2,80,8.750000
RH,81,19.333333,P2,2,81,8.875000
RH,71,19.625000,P2,4,71,9.000000
RH,77,19.666667,P2,2,77,9.000000
RH,80,19.666667,P2,2,80,9.000000
RH,81,19.875000,P2,2,81,9.125000
RH,77,20.125000,P2,2,77,9.250000
RH,80,20.125000,P2,2,80,9.250000
RH,80,20.333333,P2,2,80,9.375000
RH,77,20.375000,P2,2,77,9.375000
RH,77,20.750000,P2,2,77,9.625000
RH,80,20.750000,P2,2,80,9.625000
RH,77,21.125000,P2,2,77,9.750000
RH,81,21.333333,P2,2,81,9.875000
RH,77,21.500000,P2,2,77,10.000000
RH,80,21.625000,P2,2,80,10.000000
RH,81,22.000000,P2,2,81,10.125000
RH,77,22.375000,P2,2,77,10.375000
RH,80,22.375000,P2,2,80,10.375000
RH,73,22.625000,P2,2,73,10.375000
RH,80,22.625000,P2,2,80,10.375000
RH,81,22.875000,P2,2,81,10.500000
RH,77,23.125000,P2,2,77,10.625000
RH,77,23.250000,P2,2,77,10.750000
RH,80,23.250000,P2,2,80,10.750000
RH,81,23.500000,P2,2,81,10.875000
RH,71,23.875000,P2,4,71,11.000000
RH,73,23.875000,P2,2,73,11.000000
RH,77,23.875000,P2,2,77,11.000000
RH,80,23.875000,P2,2,80,11.000000
RH,81,24.125000,P2,2,81,11.125000
RH,77,24.375000,P2,2,77,11.250000
RH,80,24.375000,P2,2,80,11.250000
RH,73,24.500000,P2,4,73,11.500000
RH,77,24.500000,P2,2,77,11.375000
RH,80,24.500000,P2,2,80,11.375000
RH,81,24.750000,P2,2,81,11.500000
RH,77,25.000000,P2,2,77,11.625000
RH,80,25.000000,P2,2,80,11.625000
RH,77,25.250000,P2,2,77,11.750000
RH,80,25.250000,P2,2,80,11.750000
RH,81,25.500000,P2,2,81,11.875000
RH,73,25.750000,P2,2,73,12.000000
RH,77,25.750000,P2,2,77,12.000000
RH,80,25.750000,P2,2,80,12.000000
RH,81,25.875000,P2,2,81,12.125000
