hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,77,3.000000,P2,2,77,0.000000
RH,81,3.333333,P2,2,81,0.125000
RH,73,3.750000,P2,2,73,0.375000
RH,73,4.500000,P2,2,73,0.625000
RH,77,4.500000,P2,2,77,0.625000
RH,73,4.625000,P2,2,73,0.750000
RH,77,4.666667,P2,2,77,0.750000
RH,80,4.666667,P2,2,80,0.750000
RH,81,5.000000,P2,2,81,0.875000
RH,73,5.125000,P2,2,73,1.000000
RH,77,5.125000,P2,2,77,1.000000
RH,81,5.375000,P2,2,81,1.125000
RH,73,5.625000,P2,2,73,1.250000
RH,77,5.625000,P2,2,77,1.250000
RH,80,5.625000,P2,2,80,1.250000
RH,77,5.875000,P2,2,77,1.375000
RH,80,5.875000,P2,2,80,1.375000
RH,81,6.000000,P2,2,81,1.500000
RH,77,6.250000,P2,2,77,1.625000
RH,77,6.500000,P2,2,77,1.750000
RH,81,6.750000,P2,2,81,1.875000
RH,73,10.500000,P2,2,73,4.000000
RH,77,10.500000,P2,2,77,4.000000
RH,80,10.500000,P2,2,80,4.000000
RH,81,10.666667,P2,2,81,4.125000
RH,73,10.875000,P2,2,73,4.250000
RH,77,10.875000,P2,2,77,4.250000
RH,80,10.875000,P2,2,80,4.250000
RH,77,11.250000,P2,2,77,4.375000
RH,80,11.250000,P2,2,80,4.375000
RH,81,11.375000,P2,2,81,4.500000
RH,73,11.500000,P2,2,73,4.625000
RH,77,11.500000,P2,2,77,4.625000
RH,80,11.625000,P2,2,80,4.625000
RH,77,11.875000,P2,2,77,4.750000
RH,80,11.875000,P2,2,80,4.750000
RH,81,12.000000,P2,2,81,4.875000
RH,73,12.250000,P2,2,73,5.000000
RH,77,12.250000,P2,2,77,5.000000
RH,80,12.250000,P2,2,80,5.000000
RH,81,12.500000,P2,2,81,5.125000
RH,73,12.750000,P2,2,73,5.250000
RH,77,12.750000,P2,2,77,5.250000
RH,80,12.750000,P2,2,80,5.250000
RH,77,13.000000,P2,2,77,5.375000
RH,80,13.000000,P2,2,80,5.375000
RH,81,13.250000,P2,2,81,5.500000
RH,77,13.750000,P2,2,77,5.625000
RH,77,14.625000,P2,2,77,6.000000
RH,81,14.875000,P2,2,81,6.125000
RH,73,15.000000,P2,2,73,6.250000
RH,77,15.000000,P2,2,77,6.250000
RH,80,15.000000,P2,2,80,6.250000
RH,77,15.375000,P2,2,77,6.375000
RH,81,15.666667,P2,2,81,6.500000
