hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,63,4.375000,P1,1,63,0.500000
RH,62,4.875000,P1,4,62,1.000000
RH,63,5.250000,P1,1,63,1.500000
RH,62,5.750000,P1,4,62,2.000000
RH,65,6.125000,P1,4,65,2.500000
RH,66,6.125000,P1,1,66,2.500000
RH,62,6.625000,P1,4,62,3.000000
RH,63,7.000000,P1,1,63,3.500000
RH,62,7.500000,P1,4,62,4.000000
LH,57,7.875000,P1,4,57,4.500000
RH,61,8.250000,P1,1,61,5.000000
RH,60,8.333333,P1,4,60,5.000000
LH,55,8.666667,P1,4,55,5.500000
LH,56,8.666667,P1,1,56,5.500000
RH,62,9.125000,P1,4,62,6.000000
RH,63,9.625000,P1,1,63,6.500000
RH,62,10.000000,P1,4,62,7.000000
RH,63,10.375000,P1,1,63,7.500000
RH,62,10.875000,P1,4,62,8.000000
RH,66,11.250000,P1,1,66,8.500000
RH,65,11.333333,P1,4,65,8.500000
RH,62,11.750000,P1,4,62,9.000000
RH,63,12.125000,P1,1,63,9.500000
RH,62,12.625000,P1,4,62,10.000000
LH,57,13.000000,P1,4,57,10.500000
RH,60,13.375000,P1,4,60,11.000000
RH,61,13.375000,P1,1,61,11.000000
LH,55,13.875000,P1,4,55,11.500000
LH,56,13.875000,P1,1,56,11.500000
RH,62,14.333333,P1,4,62,12.000000
RH,63,14.666667,P1,1,63,12.500000
RH,62,15.250000,P1,4,62,13.000000
RH,63,15.625000,P1,1,63,13.500000
RH,62,16.000000,P1,4,62,14.000000
RH,63,16.375000,P1,1,63,14.500000
RH,69,16.875000,P1,4,69,15.000000
RH,67,17.375000,P1,4,67,15.500000
RH,69,17.375000,P1,4,69,15.500000
RH,73,17.500000,P1,4,73,15.666992
RH,75,17.500000,P1,4,75,15.666992
RH,81,17.500000,P1,4,81,15.666992
RH,67,17.666667,P1,4,67,15.833008
RH,69,17.666667,P1,4,69,15.833008
RH,65,17.750000,P1,4,65,16.000000
RH,63,18.250000,P1,4,63,16.500000
RH,62,18.625000,P1,4,62,17.000000
RH,60,19.125000,P1,4,60,17.500000
LH,38,19.625000,P1,4,38,18.000000
LH,45,19.625000,P1,4,45,18.000000
LH,50,20.000000,P1,4,50,18.500000
LH,57,20.000000,P1,4,57,18.500000
LH,50,20.375000,P1,4,50,19.000000
LH,57,20.375000,P1,4,57,19.000000
RH,62,20.875000,P1,4,62,19.500000
RH,69,20.875000,P1,4,69,19.500000
RH,62,21.250000,P1,4,62,20.000000
RH,69,21.250000,P1,4,69,20.000000
RH,69,21.666667,P1,4,69,20.500000
RH,74,21.666667,P1,4,74,20.500000
RH,81,21.666667,P1,4,81,20.500000
RH,69,22.125000,P1,4,69,21.000000
RH,67,22.500000,P1,4,67,21.500000
RH,69,22.500000,P1,4,69,21.500000
RH,73,22.625000,P1,4,73,21.666992
RH,75,22.625000,P1,4,75,21.666992
RH,81,22.625000,P1,4,81,21.666992
RH,67,22.750000,P1,4,67,21.833008
RH,69,22.750000,P1,4,69,21.833008
RH,65,23.000000,P1,4,65,22.000000
RH,63,23.375000,P1,4,63,22.500000
RH,62,23.750000,P1,4,62,23.000000
RH,60,24.333333,P1,4,60,23.500000
LH,38,24.750000,P1,4,38,24.000000
LH,45,24.750000,P1,4,45,24.000000
LH,50,25.250000,P1,4,50,24.500000
LH,57,25.250000,P1,4,57,24.500000
LH,50,25.666667,P1,4,50,25.000000
LH,57,25.666667,P1,4,57,25.000000
RH,62,26.125000,P1,4,62,25.500000
RH,69,26.125000,P1,4,69,25.500000
RH,62,26.500000,P1,4,62,26.000000
RH,69,26.500000,P1,4,69,26.000000
RH,69,27.000000,P1,4,69,26.500000
RH,74,27.000000,P1,4,74,26.500000
RH,81,27.000000,P1,4,81,26.500000
LH,38,27.375000,P1,4,38,27.000000
LH,45,27.375000,P1,4,45,27.000000
LH,50,27.875000,P1,4,50,27.500000
LH,57,27.875000,P1,4,57,27.500000
LH,38,28.333333,P1,4,38,28.000000
LH,45,28.333333,P1,4,45,28.000000
LH,50,28.750000,P1,4,50,28.500000
LH,57,28.750000,P1,4,57,28.500000
LH,38,29.250000,P1,4,38,29.000000
LH,45,29.250000,P1,4,45,29.000000
LH,50,29.666667,P1,4,50,29.500000
LH,57,29.666667,P1,4,57,29.500000
LH,38,30.125000,P1,4,38,30.000000
LH,45,30.125000,P1,4,45,30.000000
