hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,31,2.125000,P1,5,31,0.000000
LH,43,2.125000,P1,5,43,0.000000
RH,71,15.250000,P1,1,71,3.000000
RH,72,16.250000,P1,1,72,3.750000
RH,74,16.625000,P1,1,74,4.000000
RH,74,17.875000,P1,1,74,5.000000
RH,74,19.125000,P1,1,74,6.000000
RH,72,20.375000,P1,1,72,7.000000
RH,74,21.375000,P1,1,74,7.750000
RH,75,21.875000,P1,1,75,8.000000
RH,74,23.875000,P1,1,74,9.500000
RH,72,24.625000,P1,1,72,10.000000
RH,74,26.000000,P1,1,74,11.000000
RH,72,26.875000,P1,1,72,11.750000
RH,71,27.333333,P1,1,71,12.000000
RH,69,28.666667,P1,1,69,13.000000
RH,71,29.625000,P1,1,71,13.750000
RH,72,30.125000,P1,1,72,14.000000
RH,74,31.500000,P1,1,74,15.000000
RH,75,32.625000,P1,1,75,15.750000
RH,74,33.250000,P1,1,74,16.000000
LH,55,37.500000,P1,5,55,19.000000
RH,62,37.500000,P1,1,62,19.000000
RH,67,37.500000,P1,1,67,19.000000
RH,71,37.500000,P1,1,71,19.000000
RH,63,38.375000,P1,1,63,19.750000
RH,67,38.375000,P1,1,67,19.750000
RH,72,38.375000,P1,1,72,19.750000
LH,55,38.500000,P1,5,55,19.750000
LH,55,38.750000,P1,5,55,20.000000
RH,65,38.750000,P1,1,65,20.000000
RH,67,38.750000,P1,1,67,20.000000
RH,74,38.750000,P1,1,74,20.000000
LH,55,40.000000,P1,5,55,21.000000
RH,65,40.000000,P1,1,65,21.000000
RH,67,40.000000,P1,1,67,21.000000
RH,74,40.000000,P1,1,74,21.000000
LH,55,41.125000,P1,5,55,22.000000
RH,65,41.125000,P1,1,65,22.000000
RH,67,41.125000,P1,1,67,22.000000
RH,74,41.125000,P1,1,74,22.000000
LH,55,42.375000,P1,5,55,23.000000
RH,63,42.375000,P1,1,63,23.000000
RH,67,42.375000,P1,1,67,23.000000
RH,72,42.375000,P1,1,72,23.000000
RH,74,43.250000,P1,1,74,23.750000
RH,65,43.333333,P1,1,65,23.750000
RH,67,43.333333,P1,1,67,23.750000
LH,55,43.625000,P1,5,55,24.000000
RH,67,43.625000,P1,1,67,24.000000
RH,75,43.625000,P1,1,75,24.000000
LH,57,44.875000,P1,5,57,25.000000
LH,59,45.750000,P1,5,59,25.750000
RH,65,45.750000,P1,1,65,25.750000
RH,67,45.750000,P1,1,67,25.750000
RH,74,45.750000,P1,1,74,25.750000
RH,60,46.125000,P1,5,60,26.000000
RH,63,46.125000,P1,1,63,26.000000
RH,67,46.125000,P1,1,67,26.000000
RH,72,46.125000,P1,1,72,26.000000
LH,53,47.375000,P1,5,53,27.000000
RH,65,47.375000,P1,1,65,27.000000
RH,68,47.375000,P1,1,68,27.000000
RH,74,47.375000,P1,1,74,27.000000
LH,53,48.250000,P1,5,53,27.750000
RH,63,48.250000,P1,1,63,27.750000
RH,68,48.250000,P1,1,68,27.750000
RH,72,48.250000,P1,1,72,27.750000
RH,62,48.625000,P1,1,62,28.000000
RH,67,48.625000,P1,1,67,28.000000
RH,71,48.625000,P1,1,71,28.000000
LH,55,48.666667,P1,5,55,28.000000
RH,60,49.750000,P1,1,60,29.000000
RH,67,49.750000,P1,1,67,29.000000
RH,69,49.750000,P1,1,69,29.000000
LH,53,50.750000,P1,5,53,29.750000
RH,62,50.750000,P1,1,62,29.750000
RH,67,50.750000,P1,1,67,29.750000
RH,71,50.750000,P1,1,71,29.750000
LH,55,50.875000,P1,5,55,29.750000
RH,67,51.000000,P1,1,67,30.000000
RH,72,51.000000,P1,1,72,30.000000
LH,51,51.125000,P1,5,51,30.000000
LH,55,51.125000,P1,5,55,30.000000
RH,63,51.125000,P1,1,63,30.000000
LH,43,52.375000,P1,5,43,31.000000
LH,55,52.375000,P1,5,55,31.000000
RH,67,52.375000,P1,1,67,31.000000
RH,75,52.375000,P1,1,75,31.000000
LH,43,53.375000,P1,5,43,31.750000
RH,67,53.375000,P1,1,67,31.750000
RH,63,53.875000,P1,1,63,32.000000
RH,67,53.875000,P1,1,67,32.000000
RH,72,53.875000,P1,1,72,32.000000
LH,48,54.000000,P1,5,48,32.000000
LH,55,54.000000,P1,5,55,32.000000
RH,74,58.500000,P1,1,74,35.000000
RH,75,59.500000,P1,1,75,35.750000
RH,77,59.875000,P1,1,77,36.000000
RH,77,61.125000,P1,1,77,37.000000
RH,77,62.375000,P1,1,77,38.000000
RH,75,63.750000,P1,1,75,39.000000
RH,74,64.750000,P1,1,74,39.750000
RH,79,65.250000,P1,1,79,40.000000
RH,77,67.250000,P1,1,77,41.500000
RH,75,68.125000,P1,1,75,42.000000
RH,74,69.500000,P1,1,74,43.000000
RH,72,70.500000,P1,1,72,43.750000
RH,71,70.875000,P1,1,71,44.000000
RH,69,72.250000,P1,1,69,45.000000
RH,71,73.125000,P1,1,71,45.750000
RH,72,73.500000,P1,1,72,46.000000
RH,77,75.000000,P1,1,77,47.000000
RH,75,76.125000,P1,1,75,47.750000
RH,74,76.666667,P1,1,74,48.000000
LH,58,80.875000,P1,5,58,51.000000
RH,65,80.875000,P1,1,65,51.000000
RH,70,80.875000,P1,1,70,51.000000
RH,74,80.875000,P1,1,74,51.000000
LH,58,81.875000,P1,5,58,51.750000
RH,67,81.875000,P1,1,67,51.750000
RH,70,81.875000,P1,1,70,51.750000
RH,75,81.875000,P1,1,75,51.750000
RH,70,82.125000,P1,1,70,52.000000
RH,77,82.125000,P1,1,77,52.000000
LH,58,82.250000,P1,5,58,52.000000
RH,68,82.250000,P1,1,68,52.000000
LH,58,83.333333,P1,5,58,53.000000
RH,68,83.333333,P1,1,68,53.000000
RH,70,83.333333,P1,1,70,53.000000
RH,77,83.333333,P1,1,77,53.000000
LH,58,84.500000,P1,5,58,54.000000
RH,68,84.500000,P1,1,68,54.000000
RH,70,84.500000,P1,1,70,54.000000
RH,77,84.500000,P1,1,77,54.000000
RH,75,85.666667,P1,1,75,55.000000
LH,58,85.750000,P1,5,58,55.000000
RH,67,85.750000,P1,1,67,55.000000
RH,70,85.750000,P1,1,70,55.000000
LH,58,86.666667,P1,5,58,55.750000
RH,65,86.666667,P1,1,65,55.750000
RH,70,86.666667,P1,1,70,55.750000
RH,74,86.666667,P1,1,74,55.750000
RH,70,87.000000,P1,1,70,56.000000
RH,79,87.000000,P1,1,79,56.000000
LH,58,87.125000,P1,5,58,56.000000
RH,60,88.333333,P1,5,60,57.000000
RH,62,89.125000,P1,5,62,57.750000
RH,68,89.125000,P1,1,68,57.750000
RH,77,89.125000,P1,1,77,57.750000
RH,70,89.250000,P1,1,70,57.750000
RH,63,89.500000,P1,5,63,58.000000
RH,67,89.500000,P1,1,67,58.000000
RH,70,89.500000,P1,1,70,58.000000
RH,75,89.500000,P1,1,75,58.000000
LH,53,90.875000,P1,5,53,59.000000
RH,65,90.875000,P1,1,65,59.000000
RH,68,90.875000,P1,1,68,59.000000
RH,74,90.875000,P1,1,74,59.000000
LH,53,91.750000,P1,5,53,59.750000
RH,63,91.750000,P1,1,63,59.750000
RH,68,91.750000,P1,1,68,59.750000
RH,72,91.750000,P1,1,72,59.750000
LH,55,92.125000,P1,5,55,60.000000
RH,62,92.125000,P1,1,62,60.000000
RH,67,92.125000,P1,1,67,60.000000
RH,71,92.125000,P1,1,71,60.000000
RH,60,93.333333,P1,1,60,61.000000
RH,67,93.333333,P1,1,67,61.000000
RH,69,93.333333,P1,1,69,61.000000
RH,62,94.125000,P1,1,62,61.750000
RH,67,94.125000,P1,1,67,61.750000
RH,71,94.125000,P1,1,71,61.750000
LH,53,94.250000,P1,5,53,61.750000
LH,55,94.250000,P1,5,55,61.750000
LH,51,94.500000,P1,5,51,62.000000
LH,55,94.500000,P1,5,55,62.000000
RH,63,94.500000,P1,1,63,62.000000
RH,67,94.500000,P1,1,67,62.000000
RH,72,94.500000,P1,1,72,62.000000
LH,43,95.875000,P1,5,43,63.000000
LH,55,95.875000,P1,5,55,63.000000
RH,67,95.875000,P1,1,67,63.000000
RH,75,95.875000,P1,1,75,63.000000
LH,43,96.875000,P1,5,43,63.750000
LH,55,96.875000,P1,5,55,63.750000
RH,65,96.875000,P1,1,65,63.750000
RH,67,96.875000,P1,1,67,63.750000
RH,74,96.875000,P1,1,74,63.750000
LH,48,97.333333,P1,5,48,64.000000
RH,63,97.333333,P1,1,63,64.000000
RH,67,97.333333,P1,1,67,64.000000
RH,72,97.333333,P1,1,72,64.000000
LH,55,97.375000,P1,5,55,64.000000
RH,67,97.500000,P1,1,67,64.000000
RH,71,102.000000,P1,1,71,67.000000
RH,72,103.000000,P1,1,72,67.750000
RH,74,103.500000,P1,2,74,68.000000
RH,68,104.666667,P1,1,68,69.000000
RH,71,104.666667,P1,1,71,69.000000
RH,74,104.666667,P1,2,74,69.000000
RH,65,104.750000,P1,5,65,69.000000
RH,66,106.000000,P1,5,66,70.000000
RH,69,106.000000,P1,1,69,70.000000
RH,72,106.000000,P1,1,72,70.000000
RH,74,106.000000,P1,2,74,70.000000
RH,62,107.250000,P1,5,62,71.000000
RH,66,107.250000,P1,5,66,71.000000
RH,69,107.250000,P1,1,69,71.000000
RH,72,107.250000,P1,2,72,71.000000
RH,66,108.750000,P1,6,66,72.000000
RH,69,108.750000,P1,2,69,72.000000
RH,60,108.875000,P1,5,60,72.000000
RH,63,111.625000,P1,5,63,74.000000
RH,72,111.625000,P1,1,72,74.000000
LH,54,112.875000,P1,5,54,75.000000
RH,62,112.875000,P1,6,62,75.000000
RH,69,112.875000,P1,2,69,75.000000
RH,74,112.875000,P1,1,74,75.000000
RH,72,113.875000,P1,1,72,75.750000
LH,55,114.125000,P1,5,55,76.000000
RH,62,114.125000,P1,5,62,76.000000
RH,67,114.125000,P1,1,67,76.000000
RH,71,114.125000,P1,1,71,76.000000
LH,53,115.333333,P1,5,53,77.000000
RH,62,115.333333,P1,5,62,77.000000
RH,67,115.333333,P1,1,67,77.000000
RH,69,115.333333,P1,1,69,77.000000
LH,55,115.375000,P1,5,55,77.000000
LH,53,116.250000,P1,5,53,77.750000
LH,55,116.250000,P1,5,55,77.750000
RH,62,116.250000,P1,5,62,77.750000
RH,67,116.250000,P1,1,67,77.750000
RH,71,116.250000,P1,1,71,77.750000
RH,67,116.500000,P1,1,67,78.000000
RH,72,116.500000,P1,1,72,78.000000
LH,51,116.625000,P1,5,51,78.000000
LH,55,116.625000,P1,5,55,78.000000
RH,60,116.625000,P1,5,60,78.000000
LH,50,117.750000,P1,5,50,79.000000
LH,59,117.750000,P1,5,59,79.000000
RH,67,117.750000,P1,1,67,79.000000
RH,74,117.750000,P1,1,74,79.000000
LH,55,117.875000,P1,5,55,79.000000
LH,48,118.666667,P1,5,48,79.750000
RH,60,118.666667,P1,5,60,79.750000
RH,67,118.666667,P1,1,67,79.750000
RH,75,118.666667,P1,1,75,79.750000
LH,55,118.875000,P1,5,55,79.750000
LH,55,119.125000,P1,5,55,80.000000
LH,59,119.125000,P1,5,59,80.000000
RH,67,119.125000,P1,1,67,80.000000
RH,74,119.125000,P1,1,74,80.000000
LH,43,123.250000,P1,5,43,83.000000
LH,55,123.250000,P1,5,55,83.000000
RH,62,123.250000,P1,1,62,83.000000
RH,67,123.250000,P1,1,67,83.000000
RH,71,123.250000,P1,1,71,83.000000
LH,43,124.250000,P1,5,43,83.750000
LH,55,124.250000,P1,5,55,83.750000
RH,63,124.250000,P1,1,63,83.750000
RH,67,124.250000,P1,1,67,83.750000
RH,72,124.250000,P1,1,72,83.750000
LH,43,124.500000,P1,5,43,84.000000
LH,55,124.500000,P1,5,55,84.000000
RH,65,124.500000,P1,1,65,84.000000
RH,67,124.500000,P1,1,67,84.000000
RH,74,124.500000,P1,1,74,84.000000
LH,43,125.750000,P1,5,43,85.000000
LH,55,125.750000,P1,5,55,85.000000
RH,65,125.750000,P1,1,65,85.000000
RH,67,125.750000,P1,1,67,85.000000
RH,74,125.750000,P1,1,74,85.000000
LH,43,127.000000,P1,5,43,86.000000
LH,55,127.000000,P1,5,55,86.000000
RH,65,127.000000,P1,1,65,86.000000
RH,67,127.000000,P1,1,67,86.000000
RH,74,127.000000,P1,1,74,86.000000
LH,43,128.250000,P1,5,43,87.000000
