hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,42,2.000000,P1,5,42,-0.000000
LH,49,2.000000,P1,5,49,-0.000000
RH,61,4.333333,P1,2,61,2.000000
LH,58,4.500000,P1,2,58,2.333333
RH,61,4.750000,P1,2,61,2.666667
RH,66,5.000000,P1,2,66,3.000000
RH,61,5.250000,P1,2,61,3.333333
LH,58,5.500000,P1,2,58,3.666667
LH,49,5.750000,P1,5,49,4.000000
RH,70,5.750000,P1,1,70,4.000000
LH,42,5.875000,P1,5,42,4.000000
RH,61,6.500000,P1,2,61,4.666667
RH,61,6.875000,P1,2,61,5.333333
LH,58,7.125000,P1,2,58,5.666667
LH,42,7.375000,P1,5,42,6.000000
LH,49,7.375000,P1,5,49,6.000000
RH,70,7.375000,P1,1,70,6.000000
LH,58,7.750000,P1,2,58,6.333333
RH,61,7.875000,P1,2,61,6.666667
RH,66,8.250000,P1,2,66,7.000000
RH,61,8.500000,P1,2,61,7.333333
LH,51,9.250000,P1,5,51,8.000000
LH,39,9.333333,P1,5,39,8.000000
RH,70,9.333333,P1,1,70,8.000000
LH,58,11.000000,P1,2,58,9.666667
RH,63,11.333333,P1,2,63,10.000000
LH,58,11.500000,P1,2,58,10.333333
RH,63,11.666667,P1,2,63,10.666667
RH,66,12.000000,P1,2,66,11.000000
RH,63,12.250000,P1,2,63,11.333333
LH,58,12.500000,P1,2,58,11.666667
RH,66,12.750000,P1,1,66,12.000000
LH,54,13.125000,P1,2,54,12.333333
LH,58,13.333333,P1,2,58,12.666667
RH,63,13.625000,P1,2,63,13.000000
LH,58,13.875000,P1,2,58,13.333333
LH,54,14.000000,P1,2,54,13.666667
LH,58,14.333333,P1,2,58,14.000000
LH,54,14.625000,P1,2,54,14.333333
LH,58,15.500000,P1,2,58,15.333333
LH,35,16.250000,P1,5,35,16.000000
RH,68,16.333333,P1,1,68,16.000000
LH,47,16.375000,P1,5,47,16.000000
LH,56,17.875000,P1,2,56,17.666667
LH,59,18.125000,P1,2,59,18.000000
LH,56,18.375000,P1,2,56,18.333333
RH,63,18.875000,P1,2,63,19.000000
LH,59,19.125000,P1,2,59,19.333333
LH,56,19.375000,P1,2,56,19.666667
LH,37,19.750000,P1,5,37,20.000000
LH,49,19.750000,P1,5,49,20.000000
RH,66,19.750000,P1,1,66,20.000000
RH,65,20.625000,P1,1,65,21.000000
LH,56,21.000000,P1,2,56,21.333333
LH,59,21.125000,P1,2,59,21.666667
RH,63,21.375000,P1,1,63,22.000000
LH,56,21.666667,P1,2,56,22.333333
LH,59,22.000000,P1,2,59,22.666667
LH,47,22.250000,P1,5,47,23.000000
LH,49,22.250000,P1,5,49,23.000000
RH,61,22.250000,P1,1,61,23.000000
LH,53,22.625000,P1,2,53,23.333333
LH,56,22.875000,P1,2,56,23.666667
LH,46,23.125000,P1,5,46,24.000000
LH,49,23.125000,P1,5,49,24.000000
RH,66,23.125000,P1,1,66,24.000000
LH,54,23.500000,P1,2,54,24.333333
LH,58,23.625000,P1,2,58,24.666667
RH,61,24.000000,P1,2,61,25.000000
LH,58,24.250000,P1,2,58,25.333333
LH,54,24.500000,P1,2,54,25.666667
LH,42,24.750000,P1,5,42,26.000000
LH,51,24.750000,P1,5,51,26.000000
RH,70,24.875000,P1,1,70,26.000000
RH,60,25.375000,P1,2,60,26.333333
RH,63,25.666667,P1,2,63,26.666667
RH,66,25.875000,P1,2,66,27.000000
RH,63,26.250000,P1,2,63,27.333333
RH,60,26.500000,P1,2,60,27.666667
LH,37,27.125000,P1,5,37,28.000000
RH,68,27.125000,P1,1,68,28.000000
LH,56,29.125000,P1,2,56,29.666667
RH,61,29.375000,P1,2,61,30.000000
LH,56,29.750000,P1,2,56,30.333333
RH,61,30.750000,P1,2,61,31.333333
LH,57,31.125000,P1,2,57,31.666667
LH,49,31.500000,P1,5,49,32.000000
LH,42,31.625000,P1,5,42,32.000000
RH,70,31.625000,P1,1,70,32.000000
LH,58,33.125000,P1,2,58,33.666667
RH,61,33.375000,P1,2,61,34.000000
LH,58,33.625000,P1,2,58,34.333333
RH,61,33.875000,P1,2,61,34.666667
RH,66,34.000000,P1,2,66,35.000000
RH,61,34.250000,P1,2,61,35.333333
LH,58,34.500000,P1,2,58,35.666667
LH,42,34.666667,P1,5,42,36.000000
LH,49,34.666667,P1,5,49,36.000000
RH,70,34.666667,P1,1,70,36.000000
LH,58,35.000000,P1,2,58,36.333333
RH,61,35.250000,P1,2,61,36.666667
RH,66,35.500000,P1,2,66,37.000000
RH,61,35.750000,P1,2,61,37.333333
LH,58,35.875000,P1,2,58,37.666667
RH,70,36.250000,P1,1,70,38.000000
LH,58,36.625000,P1,2,58,38.333333
LH,58,37.875000,P1,2,58,39.666667
LH,51,38.333333,P1,5,51,40.000000
RH,70,38.333333,P1,1,70,40.000000
LH,39,38.375000,P1,5,39,40.000000
RH,63,39.625000,P1,2,63,41.333333
LH,58,39.750000,P1,2,58,41.666667
RH,63,40.125000,P1,2,63,42.000000
LH,58,40.333333,P1,2,58,42.333333
RH,63,40.500000,P1,2,63,42.666667
RH,66,40.750000,P1,2,66,43.000000
RH,63,40.875000,P1,2,63,43.333333
LH,58,41.125000,P1,2,58,43.666667
RH,66,41.500000,P1,1,66,44.000000
LH,54,41.875000,P1,2,54,44.333333
LH,58,42.000000,P1,2,58,44.666667
RH,63,42.250000,P1,2,63,45.000000
LH,58,42.500000,P1,2,58,45.333333
LH,54,42.666667,P1,2,54,45.666667
LH,34,43.000000,P1,5,34,46.000000
LH,46,43.000000,P1,5,46,46.000000
RH,65,43.000000,P1,1,65,46.000000
LH,56,43.625000,P1,2,56,46.666667
RH,62,43.875000,P1,2,62,47.000000
LH,56,44.125000,P1,2,56,47.333333
LH,53,44.250000,P1,2,53,47.666667
