hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,70,2.125000,P1,1,70,0.000000
LH,58,4.750000,P1,2,58,1.666667
RH,61,5.125000,P1,2,61,2.000000
LH,58,5.375000,P1,2,58,2.333333
RH,61,5.666667,P1,2,61,2.666667
RH,66,6.000000,P1,2,66,3.000000
RH,61,6.250000,P1,2,61,3.333333
LH,58,6.625000,P1,2,58,3.666667
LH,42,6.875000,P1,5,42,4.000000
LH,49,6.875000,P1,5,49,4.000000
RH,70,7.000000,P1,1,70,4.000000
LH,58,7.333333,P1,2,58,4.333333
RH,61,7.625000,P1,2,61,4.666667
RH,66,7.875000,P1,2,66,5.000000
RH,61,8.125000,P1,2,61,5.333333
LH,58,8.500000,P1,2,58,5.666667
LH,42,8.750000,P1,5,42,6.000000
LH,49,8.750000,P1,5,49,6.000000
RH,70,8.750000,P1,1,70,6.000000
LH,58,9.125000,P1,2,58,6.333333
RH,61,9.375000,P1,2,61,6.666667
RH,66,9.666667,P1,2,66,7.000000
RH,61,10.000000,P1,2,61,7.333333
LH,58,10.375000,P1,2,58,7.666667
LH,39,10.750000,P1,5,39,8.000000
LH,51,10.875000,P1,5,51,8.000000
RH,70,10.875000,P1,1,70,8.000000
RH,63,12.375000,P1,2,63,9.333333
LH,58,12.625000,P1,2,58,9.666667
RH,63,13.000000,P1,2,63,10.000000
LH,58,13.250000,P1,2,58,10.333333
RH,63,13.500000,P1,2,63,10.666667
RH,66,13.750000,P1,2,66,11.000000
RH,63,14.125000,P1,2,63,11.333333
LH,58,14.375000,P1,2,58,11.666667
RH,66,14.875000,P1,1,66,12.000000
RH,63,15.875000,P1,2,63,13.000000
LH,58,16.125000,P1,2,58,13.333333
LH,54,16.375000,P1,2,54,13.666667
LH,58,16.666667,P1,2,58,14.000000
LH,54,17.000000,P1,2,54,14.333333
LH,58,17.250000,P1,2,58,14.666667
RH,63,17.500000,P1,2,63,15.000000
LH,58,17.875000,P1,2,58,15.333333
LH,54,18.125000,P1,2,54,15.666667
LH,35,18.500000,P1,5,35,16.000000
LH,47,18.500000,P1,5,47,16.000000
LH,59,20.125000,P1,2,59,17.333333
LH,56,20.500000,P1,2,56,17.666667
LH,59,20.750000,P1,2,59,18.000000
LH,56,21.000000,P1,2,56,18.333333
LH,59,21.333333,P1,2,59,18.666667
RH,63,21.625000,P1,2,63,19.000000
LH,56,22.250000,P1,2,56,19.666667
LH,37,22.625000,P1,5,37,20.000000
LH,49,22.666667,P1,5,49,20.000000
RH,66,22.750000,P1,1,66,20.000000
RH,65,23.875000,P1,1,65,21.000000
LH,59,24.666667,P1,2,59,21.666667
RH,63,24.875000,P1,1,63,22.000000
LH,56,25.250000,P1,2,56,22.333333
LH,59,25.500000,P1,2,59,22.666667
LH,47,25.750000,P1,5,47,23.000000
LH,49,25.750000,P1,5,49,23.000000
RH,61,25.750000,P1,1,61,23.000000
LH,53,26.125000,P1,2,53,23.333333
LH,56,26.500000,P1,2,56,23.666667
LH,46,26.750000,P1,5,46,24.000000
LH,49,26.750000,P1,5,49,24.000000
RH,66,26.875000,P1,1,66,24.000000
LH,58,27.500000,P1,2,58,24.666667
RH,61,27.875000,P1,2,61,25.000000
LH,58,28.125000,P1,2,58,25.333333
LH,54,28.375000,P1,2,54,25.666667
LH,51,28.750000,P1,5,51,26.000000
LH,42,28.875000,P1,5,42,26.000000
RH,70,29.000000,P1,1,70,26.000000
RH,63,29.875000,P1,2,63,26.666667
RH,66,30.125000,P1,2,66,27.000000
RH,63,30.500000,P1,2,63,27.333333
RH,60,30.875000,P1,2,60,27.666667
LH,37,31.375000,P1,5,37,28.000000
RH,68,31.750000,P1,1,68,28.000000
RH,61,33.375000,P1,2,61,29.333333
RH,61,34.625000,P1,2,61,30.000000
LH,56,35.000000,P1,2,56,30.333333
RH,69,35.750000,P1,1,69,31.000000
RH,65,35.875000,P1,2,65,31.000000
RH,61,36.375000,P1,2,61,31.333333
LH,57,36.666667,P1,2,57,31.666667
LH,42,37.250000,P1,5,42,32.000000
LH,49,37.250000,P1,5,49,32.000000
RH,70,37.375000,P1,1,70,32.000000
LH,58,39.333333,P1,2,58,33.666667
RH,61,39.625000,P1,2,61,34.000000
LH,58,39.875000,P1,2,58,34.333333
RH,61,40.125000,P1,2,61,34.666667
RH,66,40.375000,P1,2,66,35.000000
RH,61,40.750000,P1,2,61,35.333333
LH,58,41.000000,P1,2,58,35.666667
LH,42,41.375000,P1,5,42,36.000000
LH,49,41.375000,P1,5,49,36.000000
RH,70,41.375000,P1,1,70,36.000000
LH,58,41.750000,P1,2,58,36.333333
RH,61,42.000000,P1,2,61,36.666667
RH,66,42.375000,P1,2,66,37.000000
RH,61,42.666667,P1,2,61,37.333333
LH,58,43.000000,P1,2,58,37.666667
LH,42,43.250000,P1,5,42,38.000000
LH,49,43.250000,P1,5,49,38.000000
RH,70,43.250000,P1,1,70,38.000000
LH,58,43.625000,P1,2,58,38.333333
RH,61,43.875000,P1,2,61,38.666667
RH,66,44.125000,P1,2,66,39.000000
RH,61,44.500000,P1,2,61,39.333333
LH,58,44.750000,P1,2,58,39.666667
LH,39,45.125000,P1,5,39,40.000000
LH,51,45.125000,P1,5,51,40.000000
RH,70,45.250000,P1,1,70,40.000000
RH,66,46.333333,P1,2,66,41.000000
RH,63,46.625000,P1,2,63,41.333333
LH,58,46.875000,P1,2,58,41.666667
RH,63,47.125000,P1,2,63,42.000000
LH,58,47.375000,P1,2,58,42.333333
RH,63,47.750000,P1,2,63,42.666667
RH,66,48.000000,P1,2,66,43.000000
RH,63,48.250000,P1,2,63,43.333333
LH,58,48.500000,P1,2,58,43.666667
RH,66,48.875000,P1,1,66,44.000000
LH,54,49.125000,P1,2,54,44.333333
LH,58,49.500000,P1,2,58,44.666667
RH,63,49.750000,P1,2,63,45.000000
LH,58,50.000000,P1,2,58,45.333333
LH,54,50.333333,P1,2,54,45.666667
LH,34,50.666667,P1,5,34,46.000000
LH,46,50.666667,P1,5,46,46.000000
RH,65,50.750000,P1,1,65,46.000000
LH,56,51.375000,P1,2,56,46.666667
RH,62,51.750000,P1,2,62,47.000000
LH,56,52.125000,P1,2,56,47.333333
LH,53,52.333333,P1,2,53,47.666667
LH,35,52.666667,P1,5,35,48.000000
LH,47,52.666667,P1,5,47,48.000000
RH,63,52.750000,P1,1,63,48.000000
LH,51,53.250000,P1,2,51,48.333333
LH,54,53.500000,P1,2,54,48.666667
LH,59,53.750000,P1,2,59,49.000000
LH,54,54.125000,P1,2,54,49.333333
LH,51,54.375000,P1,2,51,49.666667
LH,32,54.875000,P1,5,32,50.000000
LH,44,54.875000,P1,5,44,50.000000
RH,68,55.125000,P1,1,68,50.000000
LH,59,55.875000,P1,2,59,50.666667
RH,63,56.125000,P1,2,63,51.000000
LH,59,56.500000,P1,2,59,51.333333
LH,56,56.750000,P1,2,56,51.666667
LH,37,57.125000,P1,5,37,52.000000
LH,49,57.250000,P1,5,49,52.000000
RH,66,57.375000,P1,1,66,52.000000
LH,56,59.333333,P1,2,56,53.666667
RH,63,59.625000,P1,1,63,54.000000
LH,59,60.000000,P1,2,59,54.333333
LH,56,60.250000,P1,2,56,54.666667
LH,59,60.875000,P1,2,59,55.333333
LH,56,61.250000,P1,2,56,55.666667
LH,49,61.750000,P1,5,49,56.000000
RH,68,61.750000,P1,1,68,56.000000
RH,65,62.875000,P1,2,65,57.000000
RH,61,63.125000,P1,2,61,57.333333
LH,59,63.500000,P1,2,59,57.666667
RH,61,63.750000,P1,2,61,58.000000
LH,59,64.000000,P1,2,59,58.333333
RH,61,64.333333,P1,2,61,58.666667
RH,65,64.625000,P1,2,65,59.000000
LH,59,65.333333,P1,2,59,59.666667
RH,66,65.750000,P1,1,66,60.000000
LH,58,67.250000,P1,2,58,61.333333
LH,54,67.500000,P1,2,54,61.666667
LH,58,67.750000,P1,2,58,62.000000
LH,54,68.125000,P1,2,54,62.333333
LH,58,68.375000,P1,2,58,62.666667
RH,61,68.666667,P1,2,61,63.000000
LH,58,69.000000,P1,2,58,63.333333
LH,49,69.750000,P1,5,49,64.000000
LH,53,69.750000,P1,5,53,64.000000
RH,61,71.250000,P1,2,61,65.333333
LH,56,71.500000,P1,2,56,65.666667
RH,61,71.750000,P1,2,61,66.000000
LH,56,72.125000,P1,2,56,66.333333
RH,61,72.375000,P1,2,61,66.666667
RH,65,72.666667,P1,2,65,67.000000
LH,46,73.750000,P1,5,46,68.000000
LH,51,73.750000,P1,5,51,68.000000
LH,55,73.750000,P1,5,55,68.000000
RH,70,73.875000,P1,1,70,68.000000
RH,67,74.875000,P1,2,67,69.000000
RH,63,75.125000,P1,2,63,69.333333
RH,61,75.375000,P1,2,61,69.666667
RH,63,75.666667,P1,2,63,70.000000
RH,61,75.875000,P1,2,61,70.333333
LH,51,77.666667,P1,5,51,72.000000
LH,44,77.875000,P1,5,44,72.000000
LH,56,77.875000,P1,5,56,72.000000
RH,73,77.875000,P1,1,73,72.000000
RH,63,79.250000,P1,2,63,73.333333
RH,61,79.500000,P1,2,61,73.666667
RH,63,79.750000,P1,2,63,74.000000
RH,61,80.000000,P1,2,61,74.333333
RH,63,80.375000,P1,2,63,74.666667
