hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,42,1.000000,P1,5,42,-0.000000
RH,70,1.000000,P1,1,70,0.000000
LH,58,2.375000,P1,2,58,1.666667
RH,61,2.500000,P1,2,61,2.000000
LH,58,2.750000,P1,2,58,2.333333
RH,61,2.875000,P1,2,61,2.666667
RH,66,3.125000,P1,2,66,3.000000
RH,61,3.333333,P1,2,61,3.333333
LH,58,3.500000,P1,2,58,3.666667
LH,42,3.750000,P1,5,42,4.000000
LH,49,3.750000,P1,5,49,4.000000
RH,70,3.750000,P1,1,70,4.000000
LH,58,4.000000,P1,2,58,4.333333
RH,61,4.250000,P1,2,61,4.666667
RH,66,4.375000,P1,2,66,5.000000
RH,61,4.625000,P1,2,61,5.333333
LH,58,4.666667,P1,2,58,5.666667
LH,42,5.000000,P1,5,42,6.000000
LH,49,5.000000,P1,5,49,6.000000
RH,70,5.000000,P1,1,70,6.000000
LH,58,5.250000,P1,2,58,6.333333
RH,61,5.500000,P1,2,61,6.666667
RH,66,5.625000,P1,2,66,7.000000
RH,61,5.750000,P1,2,61,7.333333
LH,39,6.250000,P1,5,39,8.000000
LH,51,6.250000,P1,5,51,8.000000
RH,70,6.375000,P1,1,70,8.000000
RH,63,7.250000,P1,2,63,9.333333
LH,58,7.500000,P1,2,58,9.666667
RH,63,7.666667,P1,2,63,10.000000
LH,58,7.875000,P1,2,58,10.333333
RH,63,8.000000,P1,2,63,10.666667
RH,66,8.250000,P1,2,66,11.000000
RH,63,8.500000,P1,2,63,11.333333
LH,58,8.625000,P1,2,58,11.666667
RH,66,8.875000,P1,1,66,12.000000
RH,63,9.500000,P1,2,63,13.000000
LH,58,9.666667,P1,2,58,13.333333
LH,54,9.875000,P1,2,54,13.666667
LH,58,10.125000,P1,2,58,14.000000
LH,54,10.250000,P1,2,54,14.333333
LH,58,10.500000,P1,2,58,14.666667
RH,63,10.666667,P1,2,63,15.000000
LH,58,10.875000,P1,2,58,15.333333
LH,54,11.125000,P1,2,54,15.666667
LH,35,11.375000,P1,5,35,16.000000
LH,47,11.375000,P1,5,47,16.000000
RH,68,11.500000,P1,1,68,16.000000
LH,59,12.375000,P1,2,59,17.333333
LH,56,12.625000,P1,2,56,17.666667
LH,59,12.750000,P1,2,59,18.000000
LH,56,13.000000,P1,2,56,18.333333
LH,59,13.250000,P1,2,59,18.666667
RH,63,13.333333,P1,2,63,19.000000
LH,56,13.666667,P1,2,56,19.666667
LH,37,13.875000,P1,5,37,20.000000
LH,49,13.875000,P1,5,49,20.000000
RH,66,14.000000,P1,1,66,20.000000
LH,59,14.500000,P1,2,59,20.666667
RH,65,14.625000,P1,1,65,21.000000
LH,59,15.125000,P1,2,59,21.666667
RH,63,15.250000,P1,1,63,22.000000
LH,56,15.500000,P1,2,56,22.333333
LH,59,15.666667,P1,2,59,22.666667
LH,47,15.875000,P1,5,47,23.000000
LH,49,15.875000,P1,5,49,23.000000
RH,61,15.875000,P1,1,61,23.000000
LH,53,16.125000,P1,2,53,23.333333
LH,56,16.333333,P1,2,56,23.666667
LH,46,16.500000,P1,5,46,24.000000
LH,49,16.500000,P1,5,49,24.000000
RH,66,16.500000,P1,1,66,24.000000
LH,58,17.125000,P1,2,58,24.666667
RH,61,17.250000,P1,2,61,25.000000
LH,58,17.375000,P1,2,58,25.333333
LH,42,17.875000,P1,5,42,26.000000
LH,51,17.875000,P1,5,51,26.000000
RH,70,17.875000,P1,1,70,26.000000
RH,63,18.500000,P1,2,63,26.666667
RH,66,18.625000,P1,2,66,27.000000
RH,63,18.750000,P1,2,63,27.333333
RH,60,19.000000,P1,2,60,27.666667
LH,37,19.250000,P1,5,37,28.000000
RH,68,19.333333,P1,1,68,28.000000
LH,56,20.625000,P1,2,56,29.666667
RH,61,20.875000,P1,2,61,30.000000
LH,56,21.125000,P1,2,56,30.333333
RH,65,21.666667,P1,2,65,31.000000
LH,42,22.625000,P1,5,42,32.000000
LH,49,22.625000,P1,5,49,32.000000
RH,70,22.750000,P1,1,70,32.000000
RH,61,23.750000,P1,2,61,33.333333
LH,58,23.875000,P1,2,58,33.666667
RH,61,24.125000,P1,2,61,34.000000
LH,58,24.250000,P1,2,58,34.333333
RH,61,24.500000,P1,2,61,34.666667
RH,66,24.666667,P1,2,66,35.000000
RH,61,24.875000,P1,2,61,35.333333
LH,58,25.000000,P1,2,58,35.666667
LH,42,25.250000,P1,5,42,36.000000
LH,49,25.250000,P1,5,49,36.000000
RH,70,25.333333,P1,1,70,36.000000
RH,66,26.000000,P1,2,66,37.000000
RH,61,26.125000,P1,2,61,37.333333
LH,58,26.333333,P1,2,58,37.666667
LH,42,26.500000,P1,5,42,38.000000
LH,49,26.500000,P1,5,49,38.000000
RH,70,26.500000,P1,1,70,38.000000
LH,58,26.750000,P1,2,58,38.333333
RH,61,27.000000,P1,2,61,38.666667
RH,66,27.125000,P1,2,66,39.000000
RH,61,27.333333,P1,2,61,39.333333
LH,39,27.875000,P1,5,39,40.000000
LH,51,27.875000,P1,5,51,40.000000
LH,58,29.125000,P1,2,58,41.666667
RH,63,29.250000,P1,2,63,42.000000
LH,58,29.500000,P1,2,58,42.333333
RH,63,29.625000,P1,2,63,42.666667
RH,66,29.750000,P1,2,66,43.000000
RH,63,30.000000,P1,2,63,43.333333
LH,58,30.250000,P1,2,58,43.666667
RH,66,30.500000,P1,1,66,44.000000
LH,58,30.875000,P1,2,58,44.666667
RH,63,31.125000,P1,2,63,45.000000
LH,34,31.625000,P1,5,34,46.000000
LH,46,31.625000,P1,5,46,46.000000
RH,65,31.625000,P1,1,65,46.000000
LH,53,32.000000,P1,2,53,46.333333
RH,62,32.250000,P1,2,62,47.000000
LH,53,32.666667,P1,2,53,47.666667
LH,35,32.875000,P1,5,35,48.000000
LH,47,32.875000,P1,5,47,48.000000
RH,63,32.875000,P1,1,63,48.000000
LH,54,33.375000,P1,2,54,48.666667
LH,59,33.500000,P1,2,59,49.000000
LH,54,33.750000,P1,2,54,49.333333
LH,51,33.875000,P1,2,51,49.666667
LH,32,34.125000,P1,5,32,50.000000
LH,44,34.125000,P1,5,44,50.000000
RH,68,34.125000,P1,1,68,50.000000
LH,59,34.625000,P1,2,59,50.666667
RH,63,34.750000,P1,2,63,51.000000
LH,59,35.000000,P1,2,59,51.333333
LH,56,35.125000,P1,2,56,51.666667
LH,37,35.375000,P1,5,37,52.000000
LH,49,35.375000,P1,5,49,52.000000
RH,66,35.375000,P1,1,66,52.000000
LH,56,35.875000,P1,2,56,52.666667
