hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,70,5.500000,P1,1,70,5.750000
RH,68,5.625000,P1,1,68,6.000000
RH,70,6.375000,P1,1,70,6.750000
LH,43,6.500000,P1,5,43,7.000000
LH,52,6.500000,P1,5,52,7.000000
RH,67,6.500000,P1,1,67,7.000000
RH,68,7.250000,P1,1,68,7.750000
LH,44,7.500000,P1,6,44,8.000000
LH,53,7.500000,P1,5,53,8.000000
RH,65,7.500000,P1,1,65,8.000000
RH,66,8.125000,P1,1,66,8.750000
LH,45,8.333333,P1,6,45,9.000000
RH,63,8.333333,P1,1,63,9.000000
RH,65,9.000000,P1,1,65,9.750000
LH,46,9.250000,P1,6,46,10.000000
RH,61,9.250000,P1,1,61,10.000000
RH,63,10.000000,P1,1,63,10.750000
LH,48,10.125000,P1,6,48,11.000000
RH,60,10.125000,P1,1,60,11.000000
RH,61,10.875000,P1,1,61,11.750000
LH,49,11.000000,P1,6,49,12.000000
LH,58,11.000000,P1,1,58,12.000000
RH,60,11.750000,P1,1,60,12.750000
LH,48,11.875000,P1,6,48,13.000000
LH,56,11.875000,P1,1,56,13.000000
LH,58,12.666667,P1,1,58,13.750000
LH,46,12.875000,P1,5,46,14.000000
LH,49,12.875000,P1,5,49,14.000000
LH,54,12.875000,P1,1,54,14.000000
LH,56,13.500000,P1,1,56,14.750000
LH,44,13.666667,P1,5,44,15.000000
LH,53,13.666667,P1,1,53,15.000000
LH,48,13.750000,P1,5,48,15.000000
LH,55,14.375000,P1,1,55,15.750000
LH,46,14.625000,P1,5,46,16.000000
LH,52,14.625000,P1,1,52,16.000000
LH,43,14.666667,P1,5,43,16.000000
LH,58,15.750000,P1,5,58,17.000000
RH,61,15.750000,P1,5,61,17.000000
RH,67,15.750000,P1,1,67,17.000000
RH,70,15.750000,P1,1,70,17.000000
RH,73,15.750000,P1,1,73,17.000000
LH,52,15.875000,P1,5,52,17.000000
LH,55,15.875000,P1,5,55,17.000000
RH,72,18.500000,P1,1,72,18.750000
RH,73,18.666667,P1,1,73,18.833333
RH,75,18.875000,P1,1,75,18.916667
RH,73,19.000000,P1,1,73,19.000000
RH,72,19.875000,P1,1,72,19.750000
LH,53,20.250000,P1,5,53,20.000000
RH,72,20.250000,P1,1,72,20.000000
LH,56,20.333333,P1,5,56,20.000000
RH,77,21.750000,P1,1,77,21.000000
LH,46,22.875000,P1,5,46,22.000000
LH,49,22.875000,P1,5,49,22.000000
LH,55,22.875000,P1,5,55,22.000000
RH,67,23.333333,P1,1,67,22.333333
RH,70,23.666667,P1,1,70,22.666667
RH,73,24.000000,P1,1,73,23.000000
RH,70,24.333333,P1,1,70,23.333333
RH,67,24.666667,P1,1,67,23.666667
LH,48,25.000000,P1,6,48,24.000000
RH,65,25.000000,P1,1,65,24.000000
LH,53,25.375000,P1,5,53,24.333333
LH,56,25.750000,P1,5,56,24.666667
RH,60,26.125000,P1,5,60,25.000000
LH,58,26.375000,P1,5,58,25.333333
LH,56,26.750000,P1,5,56,25.666667
LH,55,27.375000,P1,5,55,26.000000
RH,64,27.375000,P1,1,64,26.000000
RH,78,28.125000,P1,1,78,26.500000
RH,79,28.375000,P1,1,79,26.750000
RH,80,28.625000,P1,1,80,27.000000
RH,81,28.875000,P1,1,81,27.250000
RH,82,29.000000,P1,1,82,27.500000
RH,83,29.250000,P1,1,83,27.750000
LH,41,29.375000,P1,7,41,28.000000
LH,48,29.375000,P1,6,48,28.000000
RH,72,29.625000,P1,1,72,28.000000
RH,77,29.750000,P1,1,77,28.083333
RH,80,29.875000,P1,1,80,28.166667
RH,82,31.750000,P1,1,82,29.750000
RH,80,32.125000,P1,1,80,30.000000
RH,82,32.333333,P1,1,82,30.125000
RH,80,32.500000,P1,1,80,30.250000
RH,82,33.000000,P1,1,82,30.750000
LH,43,33.125000,P1,5,43,31.000000
LH,52,33.125000,P1,5,52,31.000000
RH,79,33.125000,P1,1,79,31.000000
RH,80,33.333333,P1,1,80,31.125000
RH,79,33.500000,P1,1,79,31.250000
RH,77,33.625000,P1,1,77,31.375000
RH,79,33.750000,P1,1,79,31.500000
RH,80,34.000000,P1,1,80,31.750000
LH,44,34.125000,P1,6,44,32.000000
LH,53,34.125000,P1,5,53,32.000000
RH,77,34.125000,P1,1,77,32.000000
RH,77,34.375000,P1,1,77,32.250000
RH,77,34.666667,P1,1,77,32.500000
RH,78,34.875000,P1,1,78,32.750000
LH,45,35.000000,P1,6,45,33.000000
RH,75,35.000000,P1,1,75,33.000000
RH,77,35.250000,P1,1,77,33.125000
RH,75,35.375000,P1,1,75,33.250000
RH,77,35.875000,P1,1,77,33.750000
LH,46,36.000000,P1,6,46,34.000000
RH,73,36.000000,P1,1,73,34.000000
RH,73,36.250000,P1,1,73,34.250000
RH,75,36.250000,P1,1,75,34.125000
LH,48,36.875000,P1,6,48,35.000000
RH,75,36.875000,P1,1,75,34.750000
RH,72,37.000000,P1,1,72,35.000000
RH,73,37.125000,P1,1,73,35.125000
RH,72,37.250000,P1,1,72,35.250000
RH,72,37.625000,P1,1,72,35.500000
RH,73,37.750000,P1,1,73,35.750000
LH,49,38.000000,P1,6,49,36.000000
RH,70,38.000000,P1,1,70,36.000000
RH,73,38.250000,P1,1,73,36.250000
LH,49,38.500000,P1,6,49,36.500000
LH,53,38.500000,P1,5,53,36.500000
RH,70,38.500000,P1,1,70,36.500000
RH,73,38.750000,P1,1,73,36.750000
LH,48,38.875000,P1,6,48,37.000000
LH,51,38.875000,P1,5,51,37.000000
RH,68,38.875000,P1,1,68,37.000000
RH,73,39.125000,P1,1,73,37.250000
LH,51,39.375000,P1,5,51,37.500000
RH,68,39.375000,P1,1,68,37.500000
LH,48,39.500000,P1,6,48,37.500000
RH,73,39.666667,P1,1,73,37.750000
LH,46,39.875000,P1,5,46,38.000000
LH,49,39.875000,P1,5,49,38.000000
RH,66,39.875000,P1,1,66,38.000000
RH,73,40.125000,P1,1,73,38.250000
LH,46,40.375000,P1,5,46,38.500000
LH,49,40.375000,P1,5,49,38.500000
RH,66,40.375000,P1,1,66,38.500000
RH,73,40.625000,P1,1,73,38.750000
LH,44,40.750000,P1,5,44,39.000000
LH,48,40.750000,P1,5,48,39.000000
RH,65,40.750000,P1,1,65,39.000000
RH,73,41.125000,P1,1,73,39.250000
LH,44,41.250000,P1,5,44,39.500000
LH,48,41.250000,P1,5,48,39.500000
RH,65,41.250000,P1,1,65,39.500000
RH,73,41.375000,P1,1,73,39.750000
LH,43,41.666667,P1,5,43,40.000000
LH,46,41.666667,P1,5,46,40.000000
RH,64,41.666667,P1,1,64,40.000000
LH,58,42.875000,P1,5,58,41.000000
RH,61,42.875000,P1,5,61,41.000000
RH,79,42.875000,P1,1,79,41.000000
RH,82,42.875000,P1,1,82,41.000000
RH,85,42.875000,P1,1,85,41.000000
LH,52,43.000000,P1,5,52,41.000000
LH,55,43.000000,P1,5,55,41.000000
RH,72,45.750000,P1,1,72,42.750000
RH,73,46.000000,P1,1,73,42.833333
RH,75,46.125000,P1,1,75,42.916667
RH,73,46.250000,P1,1,73,43.000000
RH,72,47.250000,P1,1,72,43.750000
RH,72,47.666667,P1,1,72,44.000000
LH,53,47.750000,P1,5,53,44.000000
LH,56,47.750000,P1,5,56,44.000000
RH,80,48.125000,P1,1,80,44.333333
RH,79,48.500000,P1,1,79,44.666667
RH,77,48.875000,P1,1,77,45.000000
RH,72,49.125000,P1,1,72,45.333333
RH,68,49.500000,P1,1,68,45.666667
LH,46,49.875000,P1,5,46,46.000000
LH,49,49.875000,P1,5,49,46.000000
LH,55,49.875000,P1,5,55,46.000000
RH,67,49.875000,P1,1,67,46.000000
RH,75,50.250000,P1,1,75,46.333333
RH,72,50.625000,P1,1,72,46.666667
RH,73,50.875000,P1,1,73,47.000000
RH,70,51.250000,P1,1,70,47.333333
RH,67,51.500000,P1,1,67,47.666667
LH,53,51.875000,P1,5,53,48.000000
LH,56,51.875000,P1,5,56,48.000000
RH,65,51.875000,P1,1,65,48.000000
LH,48,52.000000,P1,5,48,48.000000
RH,60,52.250000,P1,1,60,48.333333
RH,65,52.500000,P1,1,65,48.666667
LH,56,52.875000,P1,5,56,49.000000
RH,68,52.875000,P1,1,68,49.000000
LH,53,53.125000,P1,5,53,49.333333
RH,65,53.125000,P1,1,65,49.333333
RH,61,53.375000,P1,5,61,49.666667
RH,73,53.375000,P1,1,73,49.666667
RH,60,53.750000,P1,5,60,50.000000
RH,72,53.750000,P1,1,72,50.000000
LH,48,54.750000,P1,5,48,51.000000
RH,60,54.750000,P1,5,60,51.000000
RH,67,54.750000,P1,1,67,51.000000
RH,72,54.750000,P1,1,72,51.000000
RH,76,54.750000,P1,1,76,51.000000
LH,41,55.875000,P1,5,41,52.000000
LH,53,55.875000,P1,5,53,52.000000
RH,68,55.875000,P1,1,68,52.000000
RH,72,55.875000,P1,1,72,52.000000
RH,77,55.875000,P1,1,77,52.000000
RH,72,57.333333,P1,1,72,52.750000
LH,53,57.500000,P1,5,53,53.000000
RH,65,57.500000,P1,5,65,53.000000
RH,68,57.625000,P1,1,68,53.000000
RH,72,57.875000,P1,1,72,53.250000
RH,68,58.000000,P1,1,68,53.500000
RH,72,58.333333,P1,1,72,53.750000
RH,67,58.500000,P1,1,67,54.000000
RH,71,58.750000,P1,1,71,54.250000
RH,68,59.000000,P1,1,68,54.500000
RH,72,59.333333,P1,1,72,54.750000
LH,53,59.500000,P1,5,53,55.000000
RH,65,59.500000,P1,5,65,55.000000
RH,68,59.500000,P1,1,68,55.000000
RH,72,59.750000,P1,1,72,55.250000
RH,68,60.000000,P1,1,68,55.500000
RH,72,60.333333,P1,1,72,55.750000
RH,69,60.500000,P1,1,69,56.000000
RH,75,60.750000,P1,1,75,56.250000
RH,70,61.000000,P1,1,70,56.500000
RH,73,61.250000,P1,1,73,56.750000
RH,70,61.375000,P1,1,70,57.000000
LH,53,61.500000,P1,5,53,57.000000
RH,65,61.500000,P1,5,65,57.000000
RH,73,61.666667,P1,1,73,57.250000
RH,70,61.875000,P1,1,70,57.500000
RH,73,62.125000,P1,1,73,57.750000
RH,73,62.375000,P1,1,73,58.000000
RH,77,62.625000,P1,1,77,58.250000
RH,70,62.875000,P1,1,70,58.500000
RH,73,63.125000,P1,1,73,58.750000
LH,53,63.375000,P1,5,53,59.000000
RH,65,63.375000,P1,5,65,59.000000
RH,68,63.375000,P1,1,68,59.000000
RH,73,63.666667,P1,1,73,59.250000
RH,67,64.000000,P1,1,67,59.500000
RH,73,64.125000,P1,1,73,59.750000
RH,68,64.500000,P1,1,68,60.000000
RH,73,64.625000,P1,1,73,60.250000
RH,68,64.875000,P1,1,68,60.500000
RH,72,65.125000,P1,1,72,60.750000
LH,53,65.375000,P1,5,53,61.000000
RH,65,65.375000,P1,5,65,61.000000
RH,68,65.500000,P1,1,68,61.000000
RH,72,65.750000,P1,1,72,61.250000
RH,68,66.000000,P1,1,68,61.500000
RH,72,66.250000,P1,1,72,61.750000
LH,46,66.666667,P1,5,46,62.000000
RH,68,66.750000,P1,1,68,62.000000
RH,72,67.125000,P1,1,72,62.250000
RH,66,67.375000,P1,1,66,62.500000
RH,70,67.666667,P1,1,70,62.750000
LH,54,67.875000,P1,5,54,63.000000
LH,58,67.875000,P1,5,58,63.000000
RH,66,67.875000,P1,1,66,63.000000
RH,70,68.125000,P1,1,70,63.250000
RH,66,68.375000,P1,1,66,63.500000
RH,70,68.666667,P1,1,70,63.750000
LH,48,68.875000,P1,5,48,64.000000
RH,66,68.875000,P1,1,66,64.000000
RH,70,69.250000,P1,1,70,64.250000
RH,65,69.500000,P1,1,65,64.500000
RH,68,69.750000,P1,1,68,64.750000
