hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,60,1.875000,P1,5,60,0.500000
RH,65,1.875000,P1,5,65,0.500000
LH,53,2.500000,P1,5,53,1.000000
RH,65,3.125000,P1,5,65,1.500000
RH,60,3.250000,P1,5,60,1.500000
LH,53,3.875000,P1,5,53,2.000000
RH,60,4.500000,P1,5,60,2.500000
RH,65,4.500000,P1,5,65,2.500000
LH,53,5.250000,P1,5,53,3.000000
RH,60,5.875000,P1,5,60,3.500000
RH,65,5.875000,P1,5,65,3.500000
RH,70,6.375000,P1,2,70,3.875000
LH,53,6.500000,P1,5,53,4.000000
RH,68,6.500000,P1,1,68,4.000000
RH,60,7.250000,P1,5,60,4.500000
RH,65,7.250000,P1,5,65,4.500000
RH,68,7.250000,P1,1,68,4.500000
RH,70,7.500000,P1,1,70,4.750000
LH,53,7.750000,P1,5,53,5.000000
RH,68,7.750000,P1,1,68,5.000000
RH,60,8.500000,P1,5,60,5.500000
RH,64,8.500000,P1,5,64,5.500000
RH,67,8.500000,P1,1,67,5.500000
RH,68,8.875000,P1,2,68,5.750000
RH,70,9.000000,P1,2,70,5.875000
LH,53,9.125000,P1,5,53,6.000000
RH,72,9.125000,P1,1,72,6.000000
RH,60,9.750000,P1,5,60,6.500000
RH,65,9.750000,P1,5,65,6.500000
RH,68,10.333333,P1,1,68,7.000000
RH,70,10.375000,P1,2,70,6.875000
LH,53,10.500000,P1,5,53,7.000000
RH,72,10.500000,P1,1,72,7.000000
RH,60,11.125000,P1,5,60,7.500000
RH,65,11.125000,P1,5,65,7.500000
RH,70,11.625000,P1,2,70,7.875000
LH,53,11.750000,P1,5,53,8.000000
RH,68,11.750000,P1,1,68,8.000000
RH,60,12.500000,P1,5,60,8.500000
RH,65,12.500000,P1,5,65,8.500000
RH,68,12.500000,P1,1,68,8.500000
RH,70,12.666667,P1,1,70,8.750000
LH,53,13.000000,P1,5,53,9.000000
RH,68,13.000000,P1,1,68,9.000000
RH,64,13.625000,P1,5,64,9.500000
RH,67,13.625000,P1,1,67,9.500000
RH,72,13.625000,P1,1,72,9.500000
RH,60,13.666667,P1,5,60,9.500000
LH,53,14.250000,P1,5,53,10.000000
RH,72,14.250000,P1,2,72,9.875000
RH,68,14.375000,P1,1,68,10.000000
RH,77,14.375000,P1,1,77,10.000000
RH,65,15.000000,P1,5,65,10.500000
RH,60,15.125000,P1,5,60,10.500000
RH,72,15.625000,P1,2,72,10.875000
LH,53,15.666667,P1,5,53,11.000000
RH,68,15.666667,P1,1,68,11.000000
RH,77,15.666667,P1,1,77,11.000000
RH,60,16.375000,P1,5,60,11.500000
RH,65,16.375000,P1,5,65,11.500000
RH,78,16.750000,P1,2,78,11.875000
LH,49,16.875000,P1,5,49,12.000000
RH,68,16.875000,P1,2,68,12.000000
RH,77,16.875000,P1,1,77,12.000000
RH,61,17.625000,P1,5,61,12.500000
RH,65,17.625000,P1,5,65,12.500000
RH,68,17.625000,P1,2,68,12.500000
RH,77,17.625000,P1,1,77,12.500000
RH,78,17.875000,P1,1,78,12.750000
LH,48,18.125000,P1,5,48,13.000000
RH,69,18.125000,P1,2,69,13.000000
RH,77,18.125000,P1,1,77,13.000000
RH,60,18.750000,P1,5,60,13.500000
RH,63,18.750000,P1,5,63,13.500000
RH,65,18.750000,P1,5,65,13.500000
RH,69,18.750000,P1,2,69,13.500000
RH,77,18.750000,P1,1,77,13.500000
LH,46,19.375000,P1,5,46,14.000000
RH,70,19.375000,P1,2,70,14.000000
RH,77,19.375000,P1,1,77,14.000000
LH,58,20.000000,P1,5,58,14.500000
RH,65,20.000000,P1,5,65,14.500000
RH,82,20.000000,P1,1,82,14.500000
RH,61,20.125000,P1,5,61,14.500000
LH,53,20.875000,P1,5,53,15.000000
RH,68,20.875000,P1,1,68,15.000000
RH,77,20.875000,P1,1,77,15.000000
RH,60,21.625000,P1,5,60,15.500000
RH,65,21.625000,P1,5,65,15.500000
LH,48,22.333333,P1,5,48,16.000000
RH,68,22.333333,P1,1,68,16.000000
RH,72,22.333333,P1,1,72,16.000000
RH,67,22.625000,P1,1,67,16.250000
RH,70,22.625000,P1,1,70,16.250000
RH,68,22.875000,P1,1,68,16.500000
RH,60,23.000000,P1,5,60,16.500000
RH,70,23.125000,P1,1,70,16.750000
LH,48,23.500000,P1,5,48,17.000000
RH,68,23.500000,P1,2,68,17.000000
RH,72,23.500000,P1,1,72,17.000000
RH,73,23.750000,P1,1,73,17.250000
RH,64,24.000000,P1,5,64,17.500000
RH,72,24.000000,P1,1,72,17.500000
RH,60,24.125000,P1,5,60,17.500000
RH,67,24.125000,P1,2,67,17.500000
RH,76,24.333333,P1,1,76,17.750000
RH,72,24.625000,P1,1,72,18.000000
RH,77,24.625000,P1,1,77,18.000000
LH,53,24.750000,P1,5,53,18.000000
RH,68,24.750000,P1,1,68,18.000000
RH,60,25.333333,P1,5,60,18.500000
RH,65,25.333333,P1,5,65,18.500000
LH,53,26.000000,P1,5,53,19.000000
RH,68,26.000000,P1,1,68,19.000000
RH,72,26.000000,P1,1,72,19.000000
RH,77,26.000000,P1,1,77,19.000000
RH,60,26.750000,P1,5,60,19.500000
RH,65,26.750000,P1,5,65,19.500000
RH,70,27.375000,P1,2,70,19.875000
LH,53,27.500000,P1,5,53,20.000000
RH,68,27.500000,P1,1,68,20.000000
RH,65,28.125000,P1,5,65,20.500000
RH,68,28.125000,P1,1,68,20.500000
RH,60,28.250000,P1,5,60,20.500000
RH,70,28.375000,P1,1,70,20.750000
LH,53,28.750000,P1,5,53,21.000000
RH,68,28.750000,P1,1,68,21.000000
RH,64,29.333333,P1,5,64,21.500000
RH,67,29.333333,P1,1,67,21.500000
RH,60,29.375000,P1,5,60,21.500000
RH,68,29.875000,P1,1,68,22.000000
LH,53,30.000000,P1,5,53,22.000000
RH,70,30.000000,P1,2,70,21.875000
RH,72,30.125000,P1,1,72,22.000000
RH,60,30.750000,P1,5,60,22.500000
RH,65,30.750000,P1,5,65,22.500000
RH,68,31.333333,P1,1,68,23.000000
RH,70,31.375000,P1,2,70,22.875000
LH,53,31.500000,P1,5,53,23.000000
RH,72,31.500000,P1,1,72,23.000000
RH,60,32.125000,P1,5,60,23.500000
RH,65,32.125000,P1,5,65,23.500000
RH,70,32.666667,P1,2,70,23.875000
LH,53,32.750000,P1,5,53,24.000000
RH,68,32.750000,P1,1,68,24.000000
RH,60,33.500000,P1,5,60,24.500000
RH,65,33.500000,P1,5,65,24.500000
RH,68,33.500000,P1,1,68,24.500000
RH,70,33.666667,P1,1,70,24.750000
LH,53,34.000000,P1,5,53,25.000000
RH,68,34.000000,P1,1,68,25.000000
RH,60,34.625000,P1,5,60,25.500000
RH,64,34.625000,P1,5,64,25.500000
RH,67,34.625000,P1,1,67,25.500000
RH,72,34.625000,P1,1,72,25.500000
LH,53,35.250000,P1,5,53,26.000000
RH,72,35.250000,P1,2,72,25.875000
RH,68,35.375000,P1,1,68,26.000000
RH,77,35.375000,P1,1,77,26.000000
RH,60,36.000000,P1,5,60,26.500000
RH,65,36.000000,P1,5,65,26.500000
RH,72,36.625000,P1,2,72,26.875000
LH,53,36.666667,P1,5,53,27.000000
RH,68,36.666667,P1,1,68,27.000000
RH,77,36.750000,P1,1,77,27.000000
RH,60,37.375000,P1,5,60,27.500000
RH,65,37.375000,P1,5,65,27.500000
RH,78,37.875000,P1,2,78,27.875000
LH,49,38.000000,P1,5,49,28.000000
RH,68,38.000000,P1,2,68,28.000000
RH,77,38.000000,P1,1,77,28.000000
RH,61,38.666667,P1,5,61,28.500000
RH,65,38.666667,P1,5,65,28.500000
RH,68,38.666667,P1,2,68,28.500000
