hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,83,4.666667,P1,1,83,0.000000
RH,81,4.875000,P1,1,81,0.250000
RH,80,5.000000,P1,1,80,0.500000
RH,78,5.250000,P1,1,78,0.750000
RH,76,5.375000,P1,1,76,1.000000
RH,74,5.625000,P1,1,74,1.250000
RH,64,7.625000,P1,5,64,3.500000
RH,64,8.875000,P1,5,64,5.000000
RH,64,12.750000,P1,5,64,9.500000
RH,64,14.125000,P1,5,64,11.000000
LH,57,17.625000,P1,6,57,15.000000
RH,64,20.500000,P1,5,64,18.500000
RH,64,21.750000,P1,5,64,20.000000
RH,81,24.250000,P1,1,81,23.000000
RH,80,24.750000,P1,1,80,23.750000
RH,64,28.000000,P1,5,64,27.500000
RH,64,29.333333,P1,5,64,29.000000
RH,73,32.875000,P1,1,73,33.000000
RH,61,34.666667,P1,5,61,35.000000
LH,57,37.333333,P1,5,57,38.000000
RH,78,38.250000,P1,1,78,39.000000
LH,54,39.500000,P1,5,54,40.500000
RH,85,39.666667,P1,1,85,40.750000
RH,83,41.000000,P1,1,83,42.500000
RH,62,41.375000,P1,5,62,43.000000
RH,61,45.250000,P1,5,61,47.000000
LH,57,48.000000,P1,5,57,50.000000
RH,78,48.875000,P1,1,78,51.000000
LH,54,50.125000,P1,5,54,52.500000
RH,85,50.250000,P1,1,85,52.750000
RH,83,51.666667,P1,1,83,54.500000
RH,62,52.000000,P1,5,62,55.000000
LH,42,61.875000,P1,5,42,67.500000
RH,74,64.666667,P1,1,74,70.500000
RH,78,64.666667,P1,1,78,70.500000
LH,42,80.500000,P1,5,42,88.500000
RH,78,83.375000,P1,1,78,91.500000
RH,74,83.500000,P1,1,74,91.500000
RH,77,87.333333,P1,2,77,95.500000
LH,59,100.000000,P1,1,59,106.500000
LH,56,102.125000,P1,2,56,108.000000
LH,47,107.375000,P1,5,47,114.000000
LH,59,107.375000,P1,2,59,114.000000
LH,47,109.250000,P1,5,47,115.500000
LH,59,112.000000,P1,1,59,118.500000
LH,59,113.125000,P1,1,59,119.500000
LH,47,113.750000,P1,5,47,120.000000
LH,59,113.750000,P1,1,59,120.000000
RH,64,116.875000,P1,2,64,123.000000
RH,66,124.666667,P1,1,66,130.000000
LH,52,126.875000,P1,5,52,132.000000
RH,76,126.875000,P1,1,76,132.000000
LH,59,127.375000,P1,5,59,132.500000
LH,52,128.333333,P1,5,52,133.500000
LH,59,128.750000,P1,5,59,134.000000
RH,64,130.250000,P1,5,64,135.500000
RH,64,130.666667,P1,5,64,136.000000
RH,68,130.666667,P1,5,68,136.000000
RH,68,132.250000,P1,5,68,137.500000
RH,68,133.625000,P1,5,68,139.000000
RH,64,134.500000,P1,5,64,140.000000
RH,64,135.000000,P1,5,64,140.500000
RH,68,135.000000,P1,5,68,140.500000
LH,59,136.000000,P1,5,59,141.500000
LH,59,137.500000,P1,5,59,143.000000
RH,76,138.375000,P1,1,76,144.000000
LH,59,138.875000,P1,5,59,144.500000
RH,66,143.000000,P1,5,66,149.000000
RH,66,143.500000,P1,5,66,149.500000
RH,69,143.500000,P1,5,69,149.500000
LH,59,144.375000,P1,5,59,150.500000
RH,66,147.250000,P1,5,66,153.500000
RH,66,147.750000,P1,5,66,154.000000
RH,69,147.750000,P1,5,69,154.000000
RH,78,147.750000,P1,1,78,154.000000
RH,80,152.875000,P1,1,80,159.500000
LH,44,153.750000,P1,5,44,160.500000
RH,78,154.375000,P1,1,78,161.250000
RH,76,155.500000,P1,1,76,162.500000
LH,40,156.250000,P1,5,40,163.500000
LH,52,156.250000,P1,5,52,163.500000
RH,74,156.875000,P1,1,74,164.250000
RH,73,181.875000,P1,1,73,167.000000
RH,78,183.625000,P1,1,78,169.000000
RH,68,184.125000,P1,1,68,169.500000
RH,71,184.333333,P1,1,71,169.750000
RH,76,184.500000,P1,1,76,170.000000
RH,68,186.000000,P1,1,68,171.750000
RH,64,188.625000,P1,1,64,174.750000
RH,73,191.125000,P1,1,73,177.750000
LH,52,196.125000,P1,6,52,183.000000
LH,59,197.250000,P1,5,59,184.500000
LH,52,197.333333,P1,5,52,184.500000
LH,52,198.500000,P1,5,52,186.000000
LH,59,198.500000,P1,5,59,186.000000
LH,52,199.666667,P1,5,52,187.500000
LH,59,202.250000,P1,5,59,190.500000
LH,52,203.375000,P1,5,52,192.000000
LH,59,203.375000,P1,5,59,192.000000
RH,83,209.333333,P1,1,83,199.500000
RH,71,209.375000,P1,5,71,199.500000
RH,81,211.000000,P1,5,81,201.000000
RH,87,211.000000,P1,1,87,201.000000
RH,90,211.000000,P1,1,90,201.000000
RH,93,211.000000,P1,1,93,201.000000
RH,69,212.666667,P1,5,69,202.500000
RH,81,212.666667,P1,1,81,202.500000
RH,90,212.666667,P1,1,90,202.500000
RH,93,212.666667,P1,1,93,202.500000
RH,66,212.750000,P1,5,66,202.500000
RH,66,214.666667,P1,5,66,204.000000
RH,69,214.666667,P1,5,69,204.000000
RH,81,214.666667,P1,1,81,204.000000
RH,93,214.666667,P1,1,93,204.000000
RH,90,214.750000,P1,1,90,204.000000
RH,66,220.125000,P1,5,66,209.000000
RH,66,220.625000,P1,5,66,209.500000
LH,59,221.500000,P1,5,59,210.500000
RH,66,224.500000,P1,5,66,213.500000
RH,69,225.000000,P1,5,69,214.000000
RH,83,230.250000,P1,1,83,220.500000
RH,87,231.750000,P1,1,87,222.000000
RH,90,231.750000,P1,1,90,222.000000
RH,93,231.750000,P1,1,93,222.000000
RH,63,232.625000,P1,5,63,222.750000
RH,66,232.625000,P1,5,66,222.750000
RH,75,232.625000,P1,1,75,222.750000
RH,78,232.625000,P1,1,78,222.750000
RH,81,232.625000,P1,1,81,222.750000
RH,81,233.500000,P1,1,81,223.500000
RH,90,233.500000,P1,1,90,223.500000
RH,93,233.500000,P1,1,93,223.500000
RH,66,234.250000,P1,5,66,224.250000
RH,69,234.250000,P1,5,69,224.250000
