hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,59,1.750000,P1,5,59,0.250000
RH,61,2.250000,P1,5,61,0.500000
RH,73,2.250000,P1,1,73,0.500000
RH,69,10.875000,P1,1,69,3.000000
RH,67,13.875000,P1,1,67,4.250000
LH,52,15.666667,P1,6,52,4.875000
LH,55,15.666667,P1,5,55,4.875000
RH,64,26.750000,P1,5,64,8.250000
RH,76,26.750000,P1,1,76,8.250000
LH,52,32.125000,P1,6,52,10.375000
LH,55,32.125000,P1,5,55,10.375000
RH,67,32.125000,P1,1,67,10.375000
LH,54,37.875000,P1,1,54,12.000000
LH,52,47.125000,P1,5,52,15.000000
RH,64,49.625000,P1,1,64,15.750000
RH,74,51.625000,P1,1,74,16.500000
RH,66,57.875000,P1,2,66,18.750000
RH,64,59.333333,P1,2,64,19.250000
RH,66,59.875000,P1,2,66,19.500000
LH,54,75.375000,P1,5,54,24.750000
RH,69,83.625000,P1,1,69,27.000000
LH,50,88.000000,P1,5,50,28.250000
LH,57,91.375000,P1,5,57,29.250000
RH,69,91.375000,P1,1,69,29.250000
RH,69,105.125000,P1,1,69,33.500000
RH,62,119.333333,P1,5,62,38.250000
RH,74,119.333333,P1,1,74,38.250000
LH,52,122.000000,P1,6,52,38.875000
LH,55,123.125000,P1,5,55,39.500000
LH,54,130.500000,P1,5,54,42.000000
LH,54,136.625000,P1,5,54,44.250000
RH,66,139.333333,P1,1,66,45.000000
LH,57,140.625000,P1,5,57,45.500000
RH,74,153.000000,P1,1,74,49.500000
RH,78,156.333333,P1,1,78,50.750000
RH,66,164.750000,P1,1,66,53.750000
RH,71,167.333333,P1,1,71,54.375000
RH,74,172.250000,P1,1,74,56.125000
RH,69,176.875000,P1,1,69,57.625000
RH,68,180.500000,P1,1,68,58.875000
RH,71,180.500000,P1,1,71,59.000000
LH,59,186.750000,P1,1,59,60.375000
RH,61,187.375000,P1,1,61,60.500000
RH,67,198.000000,P1,1,67,63.500000
LH,55,199.875000,P1,5,55,64.250000
LH,54,205.000000,P1,5,54,65.750000
LH,54,213.125000,P1,5,54,68.250000
LH,57,217.375000,P1,5,57,69.750000
LH,54,221.750000,P1,5,54,71.250000
LH,49,228.500000,P1,5,49,73.750000
RH,66,230.250000,P1,1,66,74.250000
LH,54,232.666667,P1,5,54,75.000000
LH,58,232.666667,P1,5,58,75.000000
RH,66,234.875000,P1,2,66,75.750000
RH,74,247.500000,P1,1,74,80.000000
RH,83,247.500000,P1,1,83,80.000000
RH,71,255.000000,P1,1,71,82.750000
RH,74,255.000000,P1,1,74,82.750000
RH,85,259.625000,P1,1,85,84.500000
RH,78,264.625000,P1,1,78,86.250000
RH,61,266.875000,P1,1,61,87.375000
LH,59,268.125000,P1,5,59,88.000000
LH,50,269.750000,P1,5,50,88.500000
RH,79,282.375000,P1,1,79,92.750000
LH,50,282.666667,P1,5,50,93.000000
LH,55,283.000000,P1,5,55,92.875000
LH,50,283.375000,P1,5,50,93.000000
LH,50,283.875000,P1,5,50,93.500000
LH,50,284.500000,P1,5,50,93.500000
LH,49,286.625000,P1,5,49,94.500000
LH,54,287.000000,P1,5,54,94.375000
LH,49,287.250000,P1,5,49,94.500000
LH,49,287.875000,P1,5,49,95.000000
LH,49,288.500000,P1,5,49,95.000000
LH,54,294.250000,P1,5,54,96.875000
LH,54,295.375000,P1,5,54,97.500000
