hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,59,1.875000,P1,5,59,0.250000
RH,61,2.625000,P1,5,61,0.500000
RH,73,2.625000,P1,1,73,0.500000
RH,69,11.125000,P1,1,69,3.000000
RH,67,14.375000,P1,1,67,4.250000
LH,52,16.250000,P1,6,52,4.875000
LH,55,16.250000,P1,5,55,4.875000
RH,76,27.625000,P1,1,76,8.250000
RH,64,27.666667,P1,5,64,8.250000
LH,55,33.500000,P1,5,55,10.375000
RH,67,33.500000,P1,1,67,10.375000
LH,52,33.625000,P1,6,52,10.375000
LH,54,40.625000,P1,1,54,12.000000
LH,52,45.333333,P1,5,52,13.500000
LH,52,47.875000,P1,5,52,14.250000
LH,52,50.000000,P1,6,52,15.000000
RH,64,52.625000,P1,1,64,15.750000
RH,74,54.875000,P1,1,74,16.500000
RH,73,56.333333,P1,1,73,17.000000
RH,66,57.125000,P1,2,66,17.250000
RH,74,57.125000,P1,1,74,17.250000
RH,66,63.875000,P1,1,66,19.500000
RH,69,63.875000,P1,1,69,19.500000
RH,64,65.125000,P1,1,64,20.000000
RH,67,65.125000,P1,1,67,20.000000
RH,69,65.875000,P1,1,69,20.250000
RH,74,72.125000,P1,1,74,22.500000
RH,73,73.375000,P1,1,73,23.000000
RH,66,74.125000,P1,2,66,23.250000
RH,74,74.125000,P1,1,74,23.250000
RH,69,80.875000,P1,1,69,25.500000
RH,68,82.500000,P1,1,68,26.000000
RH,69,83.625000,P1,1,69,26.250000
RH,69,96.500000,P1,1,69,30.000000
RH,67,99.666667,P1,1,67,31.250000
LH,52,101.500000,P1,6,52,31.875000
LH,55,101.625000,P1,5,55,31.875000
RH,64,112.250000,P1,5,64,35.250000
RH,76,112.250000,P1,1,76,35.250000
LH,52,118.125000,P1,6,52,37.375000
LH,55,118.125000,P1,5,55,37.375000
RH,67,118.125000,P1,1,67,37.375000
LH,55,127.750000,P1,5,55,40.250000
LH,54,147.125000,P1,5,54,46.250000
LH,47,149.250000,P1,5,47,47.000000
RH,71,153.250000,P1,1,71,48.500000
RH,73,153.250000,P1,1,73,48.500000
RH,71,155.125000,P1,1,71,49.250000
RH,76,156.375000,P1,1,76,49.750000
RH,76,157.000000,P1,1,76,49.875000
RH,71,157.875000,P1,1,71,50.375000
RH,74,157.875000,P1,1,74,50.375000
RH,73,158.125000,P1,1,73,50.500000
RH,66,158.750000,P1,1,66,50.750000
RH,73,158.750000,P1,1,73,50.750000
RH,61,167.125000,P1,5,61,54.500000
LH,57,167.625000,P1,5,57,54.500000
RH,66,168.000000,P1,1,66,54.875000
RH,62,169.750000,P1,5,62,55.750000
LH,59,170.333333,P1,5,59,56.000000
LH,56,170.750000,P1,5,56,56.250000
LH,47,172.000000,P1,5,47,56.625000
LH,59,172.000000,P1,1,59,56.625000
LH,50,182.250000,P1,5,50,60.125000
LH,50,182.750000,P1,5,50,60.375000
