hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,59,15.500000,P1,5,59,0.250000
RH,61,16.125000,P1,5,61,0.500000
RH,73,16.125000,P1,1,73,0.500000
RH,69,22.250000,P1,1,69,3.000000
RH,67,24.875000,P1,1,67,4.250000
LH,52,26.333333,P1,6,52,4.875000
LH,55,26.333333,P1,5,55,4.875000
RH,64,35.750000,P1,5,64,8.250000
RH,76,35.750000,P1,1,76,8.250000
LH,52,40.625000,P1,6,52,10.375000
RH,67,40.625000,P1,1,67,10.375000
LH,55,40.666667,P1,5,55,10.375000
LH,52,52.000000,P1,5,52,14.250000
LH,52,53.875000,P1,6,52,15.000000
RH,64,55.625000,P1,1,64,15.750000
RH,74,57.333333,P1,1,74,16.500000
RH,73,58.375000,P1,1,73,17.000000
RH,66,59.125000,P1,2,66,17.250000
RH,74,59.125000,P1,1,74,17.250000
RH,66,64.375000,P1,1,66,19.500000
RH,69,64.375000,P1,1,69,19.500000
RH,64,65.500000,P1,1,64,20.000000
RH,67,65.500000,P1,1,67,20.000000
RH,69,66.125000,P1,1,69,20.250000
RH,74,72.000000,P1,1,74,22.500000
RH,73,73.125000,P1,1,73,23.000000
RH,66,73.875000,P1,2,66,23.250000
RH,74,73.875000,P1,1,74,23.250000
RH,69,80.625000,P1,1,69,25.500000
RH,68,82.333333,P1,1,68,26.000000
RH,69,83.500000,P1,1,69,26.250000
RH,69,94.666667,P1,1,69,30.000000
RH,67,97.250000,P1,1,67,31.250000
LH,55,98.750000,P1,5,55,31.875000
LH,52,98.875000,P1,6,52,31.875000
RH,64,108.250000,P1,5,64,35.250000
RH,76,108.250000,P1,1,76,35.250000
LH,52,113.125000,P1,6,52,37.375000
LH,55,113.125000,P1,5,55,37.375000
RH,67,113.125000,P1,1,67,37.375000
LH,55,121.750000,P1,5,55,40.250000
LH,54,139.625000,P1,5,54,46.250000
LH,47,141.500000,P1,5,47,47.000000
RH,71,145.333333,P1,1,71,48.500000
RH,73,145.333333,P1,1,73,48.500000
RH,71,147.500000,P1,1,71,49.250000
RH,76,148.625000,P1,1,76,49.750000
RH,76,149.250000,P1,1,76,49.875000
RH,71,149.750000,P1,1,71,50.375000
RH,74,149.750000,P1,1,74,50.375000
RH,73,150.250000,P1,1,73,50.500000
RH,66,150.875000,P1,1,66,50.750000
RH,73,150.875000,P1,1,73,50.750000
LH,57,159.500000,P1,5,57,54.500000
RH,66,159.750000,P1,1,66,54.875000
RH,62,161.500000,P1,5,62,55.750000
LH,59,162.125000,P1,5,59,56.000000
LH,56,162.500000,P1,5,56,56.250000
LH,59,163.375000,P1,1,59,56.625000
LH,47,163.666667,P1,5,47,56.625000
LH,59,163.666667,P1,1,59,56.625000
LH,50,175.333333,P1,5,50,60.125000
LH,50,175.875000,P1,5,50,60.375000
LH,50,176.375000,P1,5,50,60.625000
LH,49,179.000000,P1,5,49,61.625000
LH,49,179.500000,P1,5,49,61.875000
RH,66,179.875000,P1,1,66,62.000000
RH,78,179.875000,P1,1,78,62.000000
LH,49,180.125000,P1,5,49,62.125000
LH,47,182.000000,P1,5,47,63.000000
LH,47,182.500000,P1,5,47,63.125000
RH,85,182.750000,P1,1,85,63.250000
RH,73,182.875000,P1,1,73,63.250000
LH,47,183.125000,P1,5,47,63.375000
RH,73,183.375000,P1,1,73,63.500000
RH,85,183.375000,P1,1,85,63.500000
LH,47,183.666667,P1,5,47,63.625000
RH,73,184.125000,P1,1,73,63.750000
RH,85,184.125000,P1,1,85,63.750000
LH,49,186.250000,P1,5,49,64.625000
RH,73,186.250000,P1,1,73,64.500000
RH,85,186.250000,P1,1,85,64.500000
RH,83,187.500000,P1,1,83,65.250000
LH,54,188.250000,P1,5,54,65.250000
LH,54,190.125000,P1,5,54,66.125000
LH,49,193.000000,P1,5,49,67.000000
LH,54,193.333333,P1,5,54,66.875000
LH,49,193.625000,P1,5,49,67.000000
LH,49,194.750000,P1,5,49,67.625000
RH,73,194.875000,P1,1,73,67.500000
RH,85,194.875000,P1,1,85,67.500000
LH,54,197.250000,P1,5,54,68.250000
LH,54,197.875000,P1,5,54,68.750000
LH,54,198.375000,P1,5,54,68.750000
LH,54,199.000000,P1,5,54,69.125000
LH,58,200.750000,P1,5,58,69.750000
LH,49,202.000000,P1,5,49,70.000000
RH,73,202.000000,P1,1,73,69.875000
LH,59,202.875000,P1,5,59,70.250000
LH,58,203.375000,P1,5,58,70.500000
LH,49,204.000000,P1,5,49,70.750000
RH,66,204.000000,P1,1,66,70.750000
RH,73,204.000000,P1,1,73,70.750000
LH,49,204.750000,P1,5,49,71.000000
LH,59,204.750000,P1,5,59,71.000000
LH,58,205.333333,P1,5,58,71.250000
RH,66,205.333333,P1,1,66,71.250000
RH,73,205.333333,P1,1,73,71.250000
LH,49,206.000000,P1,5,49,71.500000
RH,66,206.000000,P1,1,66,71.500000
RH,73,206.000000,P1,1,73,71.500000
LH,49,206.750000,P1,5,49,71.750000
LH,59,206.875000,P1,5,59,71.750000
LH,58,207.625000,P1,5,58,72.000000
RH,66,207.625000,P1,2,66,72.000000
RH,73,207.625000,P1,1,73,72.000000
LH,49,208.250000,P1,5,49,72.250000
RH,66,208.250000,P1,2,66,72.250000
RH,73,208.250000,P1,1,73,72.250000
LH,49,208.750000,P1,5,49,72.500000
LH,59,208.750000,P1,5,59,72.500000
RH,66,208.750000,P1,2,66,72.500000
LH,58,209.500000,P1,5,58,72.750000
RH,66,209.500000,P1,2,66,72.750000
RH,73,209.500000,P1,1,73,72.750000
LH,56,210.000000,P1,5,56,73.000000
RH,65,210.000000,P1,2,65,73.125000
LH,49,210.125000,P1,5,49,73.000000
RH,73,210.125000,P1,1,73,73.000000
RH,66,210.666667,P1,2,66,73.250000
RH,73,210.666667,P1,1,73,73.250000
RH,68,211.333333,P1,2,68,73.375000
