hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,21.875000,P1,5,36,0.000000
LH,43,21.875000,P1,5,43,0.000000
LH,48,21.875000,P1,5,48,0.000000
RH,60,21.875000,P1,1,60,0.000000
LH,36,22.666667,P1,5,36,1.000000
LH,43,22.666667,P1,5,43,1.000000
LH,48,22.666667,P1,5,48,1.000000
LH,52,22.666667,P1,6,52,1.000000
LH,55,22.666667,P1,6,55,1.000000
RH,64,22.666667,P1,1,64,1.000000
RH,60,22.750000,P1,1,60,1.000000
LH,36,23.125000,P1,5,36,1.500000
LH,43,23.125000,P1,5,43,1.500000
LH,48,23.125000,P1,5,48,1.500000
LH,52,23.125000,P1,6,52,1.500000
LH,55,23.125000,P1,6,55,1.500000
RH,60,23.125000,P1,1,60,1.500000
RH,64,23.125000,P1,1,64,1.500000
LH,36,23.625000,P1,5,36,2.000000
LH,43,23.625000,P1,5,43,2.000000
LH,48,23.625000,P1,5,48,2.000000
LH,52,23.625000,P1,6,52,2.000000
LH,55,23.625000,P1,6,55,2.000000
RH,60,23.625000,P1,1,60,2.000000
RH,64,23.625000,P1,1,64,2.000000
LH,36,24.375000,P1,5,36,3.000000
LH,43,24.375000,P1,5,43,3.000000
LH,48,24.375000,P1,5,48,3.000000
LH,52,24.375000,P1,6,52,3.000000
LH,55,24.375000,P1,6,55,3.000000
RH,60,24.375000,P1,1,60,3.000000
RH,64,24.375000,P1,1,64,3.000000
LH,36,24.750000,P1,5,36,3.500000
LH,43,24.750000,P1,5,43,3.500000
LH,48,24.750000,P1,5,48,3.500000
LH,52,24.750000,P1,6,52,3.500000
LH,55,24.750000,P1,6,55,3.500000
RH,60,24.750000,P1,1,60,3.500000
RH,64,24.750000,P1,1,64,3.500000
LH,36,25.125000,P1,5,36,4.000000
LH,43,25.125000,P1,5,43,4.000000
LH,48,25.125000,P1,5,48,4.000000
LH,52,25.125000,P1,6,52,4.000000
LH,55,25.125000,P1,6,55,4.000000
RH,60,25.125000,P1,1,60,4.000000
RH,64,25.125000,P1,1,64,4.000000
LH,48,25.500000,P1,6,48,4.500000
LH,52,25.750000,P1,6,52,4.750000
LH,55,25.875000,P1,1,55,5.000000
RH,60,26.125000,P1,1,60,5.250000
RH,64,26.250000,P1,1,64,5.500000
RH,67,26.375000,P1,1,67,5.750000
LH,59,26.625000,P1,1,59,6.000000
RH,71,26.625000,P1,1,71,6.000000
RH,60,27.375000,P1,1,60,7.000000
RH,72,27.375000,P1,1,72,7.000000
RH,60,27.750000,P1,1,60,7.500000
RH,72,27.750000,P1,1,72,7.500000
LH,31,28.250000,P1,5,31,8.000000
LH,43,28.250000,P1,5,43,8.000000
RH,65,28.250000,P1,1,65,8.000000
RH,67,28.250000,P1,1,67,8.000000
RH,71,28.250000,P1,1,71,8.000000
RH,73,28.250000,P1,1,73,8.000000
LH,43,29.125000,P1,5,43,9.000000
LH,55,29.125000,P1,5,55,9.000000
RH,65,29.125000,P1,1,65,9.000000
RH,67,29.125000,P1,1,67,9.000000
RH,71,29.125000,P1,1,71,9.000000
RH,74,29.125000,P1,1,74,9.000000
LH,31,32.000000,P1,5,31,12.000000
LH,43,32.000000,P1,5,43,12.000000
LH,53,32.000000,P1,6,53,12.000000
LH,55,32.000000,P1,6,55,12.000000
LH,59,32.000000,P1,6,59,12.000000
RH,62,32.000000,P1,1,62,12.000000
LH,31,32.875000,P1,5,31,13.000000
LH,43,32.875000,P1,5,43,13.000000
LH,53,32.875000,P1,6,53,13.000000
LH,55,32.875000,P1,6,55,13.000000
LH,59,32.875000,P1,6,59,13.000000
RH,62,32.875000,P1,1,62,13.000000
LH,31,33.250000,P1,5,31,13.500000
LH,43,33.250000,P1,5,43,13.500000
LH,53,33.250000,P1,6,53,13.500000
LH,55,33.250000,P1,6,55,13.500000
LH,59,33.250000,P1,6,59,13.500000
RH,62,33.250000,P1,1,62,13.500000
LH,31,33.750000,P1,5,31,14.000000
LH,43,33.750000,P1,5,43,14.000000
LH,53,33.750000,P1,6,53,14.000000
LH,55,33.750000,P1,6,55,14.000000
LH,59,33.750000,P1,6,59,14.000000
RH,62,33.750000,P1,1,62,14.000000
LH,31,34.500000,P1,5,31,15.000000
LH,43,34.500000,P1,5,43,15.000000
LH,53,34.500000,P1,6,53,15.000000
LH,55,34.500000,P1,6,55,15.000000
LH,59,34.500000,P1,6,59,15.000000
RH,62,34.500000,P1,1,62,15.000000
LH,31,34.875000,P1,5,31,15.500000
LH,43,34.875000,P1,5,43,15.500000
LH,53,34.875000,P1,6,53,15.500000
LH,55,34.875000,P1,6,55,15.500000
LH,59,34.875000,P1,6,59,15.500000
RH,62,34.875000,P1,1,62,15.500000
LH,31,35.250000,P1,5,31,16.000000
LH,43,35.250000,P1,5,43,16.000000
LH,53,35.250000,P1,6,53,16.000000
LH,55,35.250000,P1,6,55,16.000000
LH,59,35.250000,P1,6,59,16.000000
RH,62,35.250000,P1,1,62,16.000000
LH,55,35.666667,P1,6,55,16.500000
LH,59,35.875000,P1,6,59,16.750000
RH,62,36.000000,P1,1,62,17.000000
RH,65,36.250000,P1,1,65,17.250000
RH,67,36.375000,P1,1,67,17.500000
RH,71,36.500000,P1,1,71,17.750000
RH,61,36.750000,P1,1,61,18.000000
RH,73,36.750000,P1,1,73,18.000000
RH,62,37.500000,P1,1,62,19.000000
RH,74,37.500000,P1,1,74,19.000000
RH,62,38.000000,P1,1,62,19.500000
RH,74,38.000000,P1,1,74,19.500000
LH,36,38.375000,P1,5,36,20.000000
LH,43,38.375000,P1,5,43,20.000000
LH,48,38.375000,P1,5,48,20.000000
RH,63,38.375000,P1,1,63,20.000000
RH,67,38.375000,P1,1,67,20.000000
RH,72,38.375000,P1,1,72,20.000000
RH,75,38.375000,P1,1,75,20.000000
LH,48,39.333333,P1,5,48,21.000000
RH,60,39.333333,P1,5,60,21.000000
RH,64,39.333333,P1,1,64,21.000000
RH,67,39.333333,P1,1,67,21.000000
RH,72,39.333333,P1,1,72,21.000000
RH,76,39.333333,P1,1,76,21.000000
LH,55,40.625000,P1,1,55,22.500000
RH,60,40.750000,P1,1,60,22.750000
RH,64,41.000000,P1,1,64,23.000000
RH,67,41.125000,P1,1,67,23.250000
RH,72,41.333333,P1,1,72,23.500000
RH,76,41.375000,P1,1,76,23.750000
LH,36,41.625000,P1,5,36,24.000000
LH,48,41.625000,P1,5,48,24.000000
RH,67,41.625000,P1,1,67,24.000000
RH,76,41.625000,P1,1,76,24.000000
RH,79,41.625000,P1,1,79,24.000000
RH,67,42.500000,P1,1,67,25.000000
RH,76,42.500000,P1,1,76,25.000000
RH,79,42.500000,P1,1,79,25.000000
RH,67,42.875000,P1,1,67,25.500000
RH,76,42.875000,P1,1,76,25.500000
RH,79,42.875000,P1,1,79,25.500000
LH,35,43.333333,P1,5,35,26.000000
LH,47,43.333333,P1,5,47,26.000000
RH,67,43.333333,P1,1,67,26.000000
RH,74,43.333333,P1,1,74,26.000000
RH,79,43.333333,P1,1,79,26.000000
LH,47,44.125000,P1,5,47,27.000000
LH,59,44.125000,P1,5,59,27.000000
LH,47,44.500000,P1,5,47,27.500000
LH,59,44.500000,P1,5,59,27.500000
RH,67,44.500000,P1,1,67,27.500000
RH,74,44.500000,P1,1,74,27.500000
RH,79,44.500000,P1,1,79,27.500000
LH,45,45.000000,P1,5,45,28.000000
LH,57,45.000000,P1,5,57,28.000000
RH,72,45.000000,P1,1,72,28.000000
RH,79,45.000000,P1,1,79,28.000000
RH,84,45.000000,P1,1,84,28.000000
LH,38,45.750000,P1,5,38,29.000000
